year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,price_to_sales,price_to_book
2026,10600000000.0,1.26,1390000000.0,,,,,,,,800000000.0,13.8,
2025,9890000000.0,1.67,1860000000.0,17.3,2900000000.0,330000000.0,23570000000.0,7820000000.0,110.0,15750000000.0,670000000.0,15.6,14.4
2024,8570000000.0,4.25,1260000000.0,12.31,2570000000.0,1340000000.0,19990000000.0,5160000000.0,42.8,14820000000.0,650000000.0,14.3,20.7
2023,7520000000.0,1.0,870000000.0,8.22,2390000000.0,2270000000.0,14500000000.0,1740000000.0,147.0,12750000000.0,,10.2,42.8
2022,6150000000.0,-0.24,100000000.0,-3.77,3630000000.0,3950000000.0,12250000000.0,210000000.0,-289.0,12040000000.0,,8.92,83.1
2021,4850000000.0,-0.88,,-10.93,2900000000.0,3530000000.0,10240000000.0,760000000.0,-106.0,9470000000.0,,10.9,106.0
2020,3780000000.0,-0.52,,-6.8,3740000000.0,3420000000.0,9060000000.0,1100000000.0,-115.0,7960000000.0,,5.86,46.1
2019,3120000000.0,-0.18,,-2.57,2800000000.0,1430000000.0,6590000000.0,1580000000.0,-214.0,5000000000.0,,7.36,14.9
2018,2590000000.0,-0.22,,-4.63,3400000000.0,1920000000.0,5940000000.0,1180000000.0,-143.0,4760000000.0,,7.14,14.2
2017,1980000000.0,-0.41,,-10.26,1370000000.0,520000000.0,3430000000.0,750000000.0,-58.9,2670000000.0,,7.25,18.9
2016,1560000000.0,-0.47,,-12.5,1280000000.0,500000000.0,2850000000.0,890000000.0,-44.3,1960000000.0,,9.54,12.5
2015,1140000000.0,-0.35,,-13.13,780000000.0,480000000.0,1960000000.0,570000000.0,-84.3,1380000000.0,,13.4,24.2
2014,730000000.0,-0.53,,-37.14,770000000.0,460000000.0,1470000000.0,460000000.0,-38.3,1000000000.0,,12.9,20.0
2013,480000000.0,-0.07833,,-4.71,410000000.0,,580000000.0,270000000.0,-122.0,310000000.0,,6.97,14.4
2012,320000000.0,-0.03822,,1.1,320000000.0,,400000000.0,220000000.0,-233.0,170000000.0,,13.3,15.5
2011,180000000.0,,760000.0,-10.16,40510000.0,,91170000.0,,,160000000.0,,,
2010,,,,-43.21,18830000.0,,38110000.0,,,100000000.0,,,
2009,,,,-142.25,,,,,,,,,
