Year,revenue,net_income,pe_ratio,cash,total_assets
2026,10600000000.0,1390000000.0,,,
2025,9890000000.0,1860000000.0,110.0,2900000000.0,23570000000.0
2024,8570000000.0,1260000000.0,42.8,2570000000.0,19990000000.0
2023,7520000000.0,870000000.0,147.0,2390000000.0,14500000000.0
2022,6150000000.0,100000000.0,-289.0,3630000000.0,12250000000.0
2021,4850000000.0,,-106.0,2900000000.0,10240000000.0
2020,3780000000.0,,-115.0,3740000000.0,9060000000.0
2019,3120000000.0,,-214.0,2800000000.0,6590000000.0
2018,2590000000.0,,-143.0,3400000000.0,5940000000.0
2017,1980000000.0,,-58.9,1370000000.0,3430000000.0
2016,1560000000.0,,-44.3,1280000000.0,2850000000.0
2015,1140000000.0,,-84.3,780000000.0,1960000000.0
2014,730000000.0,,-38.3,770000000.0,1470000000.0
2013,480000000.0,,-122.0,410000000.0,580000000.0
2012,320000000.0,,-233.0,320000000.0,400000000.0
2011,180000000.0,760000.0,,40510000.0,91170000.0
2010,,,,18830000.0,38110000.0
