year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,9221500000.0,Revenues,0001327567-25-000027,USD,True,1133900000.0,NetIncomeLoss,0001327567-25-000027,USD,True,3716000000.0,NetCashProvidedByUsedInOperatingActivities,0001327567-25-000027,USD,True,246200000.0,PaymentsToAcquireProductiveAssets,0001327567-25-000027,USD,True,1242900000.0,OperatingIncomeLoss,0001327567-25-000027,USD,True,3000000.0,InterestExpense,0001327567-25-000027,USD,True,461800000.0,IncomeTaxExpenseBenefit,0001327567-25-000027,USD,True,0.289,EffectiveIncomeTaxRateContinuingOperations,0001327567-25-000027,pure,True,1595700000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001327567-25-000027,USD,True,2268600000.0,CashAndCashEquivalentsAtCarryingValue,0001327567-25-000027,USD,True,634600000.0,ShortTermInvestments,0001327567-25-000027,USD,True,,,,,False,,,,,False,,,,,False,7824400000.0,StockholdersEquity,0001327567-25-000027,USD,True,2903200000.0,,3469800000.0,0.2894027699442251,,,,1242900000.0,False,0.37627284064414684,3.060058206191022,False,True,PANW,0001327567,ticker:PANW,14
2024,8027500000.0,Revenues,0001327567-24-000029,USD,True,2577600000.0,NetIncomeLoss,0001327567-24-000029,USD,True,3257600000.0,NetCashProvidedByUsedInOperatingActivities,0001327567-24-000029,USD,True,156800000.0,PaymentsToAcquireProductiveAssets,0001327567-24-000029,USD,True,683900000.0,OperatingIncomeLoss,0001327567-24-000029,USD,True,8300000.0,InterestExpense,0001327567-24-000029,USD,True,-1589300000.0,IncomeTaxExpenseBenefit,0001327567-24-000029,USD,True,-1.608,EffectiveIncomeTaxRateContinuingOperations,0001327567-24-000029,pure,True,988300000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001327567-24-000029,USD,True,1535200000.0,CashAndCashEquivalentsAtCarryingValue,0001327567-24-000029,USD,True,1043600000.0,ShortTermInvestments,0001327567-24-000029,USD,True,,,,,False,,,,,False,,,,,False,5169700000.0,StockholdersEquity,0001327567-24-000029,USD,True,2578800000.0,,3100800000.0,-1.608114944854801,,,,683900000.0,False,0.38627218934911245,1.2029795158286778,False,True,PANW,0001327567,ticker:PANW,14
2023,6892700000.0,Revenues,0001327567-23-000024,USD,True,439700000.0,NetIncomeLoss,0001327567-23-000024,USD,True,2777500000.0,NetCashProvidedByUsedInOperatingActivities,0001327567-23-000024,USD,True,146300000.0,PaymentsToAcquireProductiveAssets,0001327567-23-000024,USD,True,387300000.0,OperatingIncomeLoss,0001327567-23-000024,USD,True,27200000.0,InterestExpense,0001327567-23-000024,USD,True,126600000.0,IncomeTaxExpenseBenefit,0001327567-23-000024,USD,True,0.224,EffectiveIncomeTaxRateContinuingOperations,0001327567-23-000024,pure,True,566300000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001327567-23-000024,USD,True,1135300000.0,CashAndCashEquivalentsAtCarryingValue,0001327567-23-000024,USD,True,1254700000.0,ShortTermInvestments,0001327567-23-000024,USD,True,1991500000.0,LongTermDebt,0001327567-23-000024,USD,True,,,,,False,,,,,False,1748400000.0,StockholdersEquity,0001327567-23-000024,USD,True,2390000000.0,1991500000.0,2631200000.0,0.22355641885926186,1349900000.0,300716598.9758079,0.22276953772561517,387300000.0,False,0.3817372002263264,5.98408005458267,True,True,PANW,0001327567,ticker:PANW,14
2022,5501500000.0,Revenues,0001327567-22-000028,USD,True,-267000000.0,NetIncomeLoss,0001327567-22-000028,USD,True,1984700000.0,NetCashProvidedByUsedInOperatingActivities,0001327567-22-000028,USD,True,192800000.0,PaymentsToAcquireProductiveAssets,0001327567-22-000028,USD,True,-188800000.0,OperatingIncomeLoss,0001327567-22-000028,USD,True,27400000.0,InterestExpense,0001327567-22-000028,USD,True,59800000.0,IncomeTaxExpenseBenefit,0001327567-22-000028,USD,True,-0.289,EffectiveIncomeTaxRateContinuingOperations,0001327567-22-000028,pure,True,-207200000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001327567-22-000028,USD,True,2118500000.0,CashAndCashEquivalentsAtCarryingValue,0001327567-22-000028,USD,True,1516000000.0,ShortTermInvestments,0001327567-22-000028,USD,True,3676800000.0,LongTermDebt,0001327567-22-000028,USD,True,,,,,False,,,,,False,210000000.0,StockholdersEquity,0001327567-22-000028,USD,True,3634500000.0,3676800000.0,1791900000.0,-0.2886100386100386,252300000.0,-243289575.28957528,-0.9642868620276468,-188800000.0,False,0.3257111696809961,-6.71123595505618,True,True,PANW,0001327567,ticker:PANW,14
2021,4256100000.0,Revenues,0001327567-21-000029,USD,True,-498900000.0,NetIncomeLoss,0001327567-21-000029,USD,True,1503000000.0,NetCashProvidedByUsedInOperatingActivities,0001327567-21-000029,USD,True,116000000.0,PaymentsToAcquireProductiveAssets,0001327567-21-000029,USD,True,-304100000.0,OperatingIncomeLoss,0001327567-21-000029,USD,True,163300000.0,InterestExpense,0001327567-21-000029,USD,True,33900000.0,IncomeTaxExpenseBenefit,0001327567-21-000029,USD,True,-0.073,EffectiveIncomeTaxRateContinuingOperations,0001327567-21-000029,pure,True,-465000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001327567-21-000029,USD,True,1874200000.0,CashAndCashEquivalentsAtCarryingValue,0001327567-21-000029,USD,True,1026900000.0,ShortTermInvestments,0001327567-21-000029,USD,True,3226000000.0,LongTermDebt,0001327567-21-000029,USD,True,,,,,False,,,,,False,634500000.0,StockholdersEquity,0001327567-21-000029,USD,True,2901100000.0,3226000000.0,1387000000.0,-0.07290322580645162,959400000.0,-326269870.96774197,-0.34007699704788613,-304100000.0,False,0.3258852000657879,-2.7801162557626777,True,True,PANW,0001327567,ticker:PANW,14
2020,3408400000.0,Revenues,0001327567-20-000032,USD,True,-267000000.0,NetIncomeLoss,0001327567-20-000032,USD,True,1035700000.0,NetCashProvidedByUsedInOperatingActivities,0001327567-20-000032,USD,True,214400000.0,PaymentsToAcquireProductiveAssets,0001327567-20-000032,USD,True,-179000000.0,OperatingIncomeLoss,0001327567-20-000032,USD,True,88700000.0,InterestExpense,0001327567-20-000032,USD,True,35200000.0,IncomeTaxExpenseBenefit,0001327567-20-000032,USD,True,-0.152,EffectiveIncomeTaxRateContinuingOperations,0001327567-20-000032,pure,True,-231800000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001327567-20-000032,USD,True,2958000000.0,CashAndCashEquivalentsAtCarryingValue,0001327567-20-000032,USD,True,789800000.0,ShortTermInvestments,0001327567-20-000032,USD,True,3084100000.0,LongTermDebt,0001327567-20-000032,USD,True,,,,,False,,,,,False,1101800000.0,StockholdersEquity,0001327567-20-000032,USD,True,3747800000.0,3084100000.0,821300000.0,-0.15185504745470232,438100000.0,-206182053.4943917,-0.4706278326737998,-179000000.0,False,0.24096350193639243,-3.0760299625468166,True,True,PANW,0001327567,ticker:PANW,14
2019,2899600000.0,Revenues,0001327567-19-000032,USD,True,-81900000.0,NetIncomeLoss,0001327567-19-000032,USD,True,1055600000.0,NetCashProvidedByUsedInOperatingActivities,0001327567-19-000032,USD,True,131200000.0,PaymentsToAcquireProductiveAssets,0001327567-19-000032,USD,True,-54100000.0,OperatingIncomeLoss,0001327567-19-000032,USD,True,83900000.0,InterestExpense,0001327567-19-000032,USD,True,7300000.0,IncomeTaxExpenseBenefit,0001327567-19-000032,USD,True,-0.098,EffectiveIncomeTaxRateContinuingOperations,0001327567-19-000032,pure,True,-74600000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001327567-19-000032,USD,True,961400000.0,CashAndCashEquivalentsAtCarryingValue,0001327567-19-000032,USD,True,1841700000.0,ShortTermInvestments,0001327567-19-000032,USD,True,1430000000.0,LongTermDebt,0001327567-19-000032,USD,True,,,,,False,,,,,False,1586300000.0,StockholdersEquity,0001327567-19-000032,USD,True,2803100000.0,1430000000.0,924400000.0,-0.09785522788203753,213200000.0,-59393967.828418225,-0.27858333878244945,-54100000.0,False,0.31880259346116707,-11.286935286935288,True,True,PANW,0001327567,ticker:PANW,14
2018,2273100000.0,Revenues,0001327567-18-000024,USD,True,-147900000.0,NetIncomeLoss,0001327567-18-000024,USD,True,1037000000.0,NetCashProvidedByUsedInOperatingActivities,0001327567-18-000024,USD,True,112000000.0,PaymentsToAcquireProductiveAssets,0001327567-18-000024,USD,True,-129100000.0,OperatingIncomeLoss,0001327567-18-000024,USD,True,29600000.0,InterestExpense,0001327567-18-000024,USD,True,17700000.0,IncomeTaxExpenseBenefit,0001327567-18-000024,USD,True,-0.136,EffectiveIncomeTaxRateContinuingOperations,0001327567-18-000024,pure,True,-130200000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001327567-18-000024,USD,True,2506900000.0,CashAndCashEquivalentsAtCarryingValue,0001327567-18-000024,USD,True,896500000.0,ShortTermInvestments,0001327567-18-000024,USD,True,1920100000.0,LongTermDebt,0001327567-18-000024,USD,True,,,,,False,,,,,False,966400000.0,StockholdersEquity,0001327567-18-000024,USD,True,3403400000.0,1920100000.0,925000000.0,-0.1359447004608295,-516900000.0,-146650460.82949308,0.2837114738430897,-129100000.0,False,0.40693326294487703,-6.2542258282623395,True,True,PANW,0001327567,ticker:PANW,14
2017,1761600000.0,Revenues,0001327567-17-000027,USD,True,-216600000.0,NetIncomeLoss,0001327567-17-000027,USD,True,868500000.0,NetCashProvidedByUsedInOperatingActivities,0001327567-17-000027,USD,True,163400000.0,PaymentsToAcquireProductiveAssets,0001327567-17-000027,USD,True,-179800000.0,OperatingIncomeLoss,0001327567-17-000027,USD,True,24500000.0,InterestExpense,0001327567-17-000027,USD,True,22500000.0,IncomeTaxExpenseBenefit,0001327567-17-000027,USD,True,-0.116,EffectiveIncomeTaxRateContinuingOperations,0001327567-17-000027,pure,True,-194100000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001327567-17-000027,USD,True,744300000.0,CashAndCashEquivalentsAtCarryingValue,0001327567-17-000027,USD,True,630700000.0,ShortTermInvestments,0001327567-17-000027,USD,True,524700000.0,LongTermDebt,0001327567-17-000027,USD,True,,,,,False,,,,,False,759600000.0,StockholdersEquity,0001327567-17-000027,USD,True,1375000000.0,524700000.0,705100000.0,-0.11591962905718702,-90700000.0,-200642349.30448225,2.2121537960802895,-179800000.0,False,0.4002611262488647,-3.255309325946445,True,True,PANW,0001327567,ticker:PANW,14
2016,1378500000.0,Revenues,0001327567-16-000064,USD,True,-225900000.0,NetIncomeLoss,0001327567-16-000064,USD,True,658100000.0,NetCashProvidedByUsedInOperatingActivities,0001327567-16-000064,USD,True,72500000.0,PaymentsToAcquireProductiveAssets,0001327567-16-000064,USD,True,-190100000.0,OperatingIncomeLoss,0001327567-16-000064,USD,True,23400000.0,InterestExpense,0001327567-16-000064,USD,True,20800000.0,IncomeTaxExpenseBenefit,0001327567-16-000064,USD,True,-0.102,EffectiveIncomeTaxRateContinuingOperations,0001327567-16-000064,pure,True,-205100000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001327567-16-000064,USD,True,734400000.0,CashAndCashEquivalentsAtCarryingValue,0001327567-16-000064,USD,True,551200000.0,ShortTermInvestments,0001327567-16-000064,USD,True,508200000.0,LongTermDebt,0001327567-16-000064,USD,True,,,,,False,,,,,False,789900000.0,StockholdersEquity,0001327567-16-000064,USD,True,1285600000.0,508200000.0,585600000.0,-0.10141394441735739,12500000.0,-209378790.83373964,-16.75030326669917,-190100000.0,False,0.4248095756256801,-2.592297476759628,True,True,PANW,0001327567,ticker:PANW,14
