year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,6330000000.0,4.91,2410000000.0,,,,,,,,350000000.0,2.9,5.31,
2025,6030000000.0,4.43,2310000000.0,39.05,1660000000.0,5020000000.0,16559999999.999998,4120000000.0,25.3,12430000000.0,350000000.0,3.76,6.66,10.0
2024,5360000000.0,4.79,2290000000.0,42.02,1500000000.0,860000000.0,10380000000.0,3800000000.0,28.7,6580000000.0,360000000.0,2.79,9.8,13.0
2023,5150000000.0,4.52,2180000000.0,40.91,1590000000.0,860000000.0,10540000000.0,3490000000.0,25.0,7050000000.0,360000000.0,3.06,8.68,12.2
2022,4810000000.0,4.06,1940000000.0,39.56,1220000000.0,880000000.0,9630000000.0,3080000000.0,26.2,6550000000.0,360000000.0,2.84,9.43,13.0
2021,4330000000.0,3.55,1720000000.0,35.35,1030000000.0,890000000.0,9220000000.0,2940000000.0,34.6,6270000000.0,360000000.0,2.12,9.93,15.8
2020,3970000000.0,2.96,1410000000.0,35.57,930000000.0,890000000.0,8550000000.000001,2780000000.0,27.6,5760000000.0,360000000.0,3.04,8.43,11.6
2019,4030000000.0000005,3.0,1450000000.0,36.26,710000000.0,800000000.0,8670000000.0,2610000000.0,24.0,6050000000.0,350000000.0,3.35,7.64,11.9
2018,3520000000.0,2.7,1320000000.0,38.49,420000000.0,,7910000000.0,2350000000.0,19.9,5550000000.0,350000000.0,4.07,7.2,9.65
2017,3190000000.0,2.28,1230000000.0,39.93,320000000.0,,6830000000.0,1950000000.0,23.8,4870000000.0,350000000.0,3.54,7.58,12.4
2016,3060000000.0,2.15,1190000000.0,39.0,350000000.0,,6440000000.0,1910000000.0,21.8,4520000000.0,360000000.0,3.75,6.91,12.0
2015,2840000000.0,2.01,1110000000.0,38.69,530000000.0,,6460000000.0,1780000000.0,19.6,4680000000.0,360000000.0,4.05,6.89,10.3
2014,2650000000.0,1.79,1020000000.0,39.23,550000000.0,,6370000000.0,1770000000.0,18.6,4590000000.0,360000000.0,4.38,6.47,9.14
2013,2400000000.0,1.62,940000000.0,39.18,500000000.0,,6160000000.0,1770000000.0,19.6,4390000000.0,360000000.0,2.2,6.63,9.42
2012,2300000000.0,1.54,910000000.0,38.58,310000000.0,,6470000000.0,1600000000.0,13.9,4870000000.0,360000000.0,9.14,5.14,6.66
2011,2120000000.0,1.49,790000000.0,38.01,460000000.0,,5390000000.0,1490000000.0,13.1,3890000000.0,360000000.0,6.43,4.96,7.0
2010,1980000000.0,,690000000.0,36.45,360000000.0,,5220000000.0,1400000000.0,,3820000000.0,360000000.0,6.47,5.21,7.71
2009,1900000000.0,,630000000.0,40.46,490000000.0,,5120000000.0,1340000000.0,,3780000000.0,360000000.0,6.81,5.96,7.95
2008,2060000000.0,,790000000.0,44.19,390000000.0,,5300000000.0,1190000000.0,,4110000000.0000005,360000000.0,8.18,4.94,7.38
2007,1940000000.0,,750000000.0,39.39,590000000.0,,6240000000.0,1950000000.0,,4290000000.0,360000000.0,5.16,7.27,10.6
2006,1780000000.0,,690000000.0,40.29,570000000.0,,5540000000.0,1650000000.0,,3890000000.0,380000000.0,3.28,8.41,8.25
2005,1550000000.0,,590000000.0,37.79,300000000.0,,4610000000.0,1380000000.0,,3230000000.0,370000000.0,2.76,10.3,9.51
2004,1360000000.0,,450000000.0,34.75,520000000.0,,3950000000.0,1190000000.0,,2750000000.0,370000000.0,2.8,9.19,10.0
2003,1140000000.0,,420000000.0,41.26,380000000.0,,3690000000.0,1070000000.0000001,,2610000000.0,370000000.0,2.39,12.7,12.2
2002,1000000000.0,,380000000.0,41.37,61890000.0,,2950000000.0,920000000.0,,2020000000.0,370000000.0,3.16,10.9,10.5
2001,920000000.0,,350000000.0,41.84,45780000.0,,2900000000.0,750000000.0,,2140000000.0000002,370000000.0,2.22,14.2,
2000,800000000.0,,300000000.0,,47130000.0,,,,,,370000000.0,1.14,,
1999,800000000.0,,220000000.0,,52690000.0,,,,,,,1.4,,
1998,820000000.0,,150000000.0,,35600000.0,,,,,,,1.09,,
1997,850000000.0,,110000000.0,,50200000.0,,,,,,,1.12,,
1996,500000000.0,,80600000.0,,15400000.0,,,,,,,1.11,,
1995,,,,,,,,,,,,1.15,,
1994,,,,,,,,,,,,1.43,,
1993,,,,,,,,,,,,1.11,,
1992,,,,,,,,,,,,1.11,,
1991,,,,,,,,,,,,1.32,,
1990,,,,,,,,,,,,2.04,,
1989,,,,,,,,,,,,1.49,,
1988,,,,,,,,,,,,0.39,,
1987,,,,,,,,,,,,0.0,,
1986,,,,,,,,,,,,0.0,,
1985,,,,,,,,,,,,0.0,,
1984,,,,,,,,,,,,0.0,,
1983,,,,,,,,,,,,0.0,,
