year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,5571700000.0,Revenues,0000950170-25-095300,USD,True,1657300000.0,NetIncomeLoss,0000950170-25-095300,USD,True,1900900000.0,NetCashProvidedByUsedInOperatingActivities,0000950170-25-095300,USD,True,191800000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000950170-25-095300,USD,True,2207700000.0,OperatingIncomeLoss,0000950170-25-095300,USD,True,,,,,False,518600000.0,IncomeTaxExpenseBenefit,0000950170-25-095300,USD,True,0.238,EffectiveIncomeTaxRateContinuingOperations,0000950170-25-095300,pure,True,2175900000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000950170-25-095300,USD,True,1628600000.0,CashAndCashEquivalentsAtCarryingValue,0000950170-25-095300,USD,True,,,,,False,4948200000.0,LongTermDebt,0000950170-25-095300,USD,True,399800000.0,LongTermDebtCurrent,0000950170-25-095300,USD,True,4548400000.0,LongTermDebtNoncurrent,0000950170-25-095300,USD,True,4128000000.0,StockholdersEquity,0000950170-25-095300,USD,True,1628600000.0,4948200000.0,1709100000.0,0.23833815892274463,7447600000.0,1681520846.5462565,0.225780230751686,2207700000.0,False,0.3067465943966832,1.0312556567911664,True,True,PAYX,0000723531,ticker:PAYX,25
2024,5278300000.0,Revenues,0000950170-24-082958,USD,True,1690400000.0,NetIncomeLoss,0000950170-24-082958,USD,True,1897700000.0,NetCashProvidedByUsedInOperatingActivities,0000950170-24-082958,USD,True,161400000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000950170-24-082958,USD,True,2174100000.0,OperatingIncomeLoss,0000950170-24-082958,USD,True,37300000.0,InterestExpense,0000950170-24-082958,USD,True,527600000.0,IncomeTaxExpenseBenefit,0000950170-24-082958,USD,True,0.238,EffectiveIncomeTaxRateContinuingOperations,0000950170-24-082958,pure,True,2218000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000950170-24-082958,USD,True,1468900000.0,CashAndCashEquivalentsAtCarryingValue,0000950170-24-082958,USD,True,,,,,False,798600000.0,LongTermDebt,0000950170-24-082958,USD,True,,,,,False,798600000.0,LongTermDebtNoncurrent,0000950170-24-082958,USD,True,3801000000.0,StockholdersEquity,0000950170-24-082958,USD,True,1468900000.0,798600000.0,1736300000.0,0.23787195671776376,3130700000.0,1656942578.89991,0.5292562618263998,2174100000.0,False,0.32895060909762613,1.0271533364884051,True,True,PAYX,0000723531,ticker:PAYX,25
2023,5007100000.0,Revenues,0000950170-23-032988,USD,True,,,,,False,1699400000.0,NetCashProvidedByUsedInOperatingActivities,0000950170-23-032988,USD,True,143000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000950170-23-032988,USD,True,2033100000.0,OperatingIncomeLoss,0000950170-23-032988,USD,True,36700000.0,InterestExpense,0000950170-23-032988,USD,True,490900000.0,IncomeTaxExpenseBenefit,0000950170-23-032988,USD,True,0.24,EffectiveIncomeTaxRateContinuingOperations,0000950170-23-032988,pure,True,2048200000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000950170-23-032988,USD,True,1222000000.0,CashAndCashEquivalentsAtCarryingValue,0000950170-23-032988,USD,True,,,,,False,798200000.0,LongTermDebt,0000950170-23-032988,USD,True,,,,,False,798200000.0,LongTermDebtNoncurrent,0000950170-23-032988,USD,True,3493200000.0,StockholdersEquity,0000950170-23-032988,USD,True,1222000000.0,798200000.0,1556400000.0,0.23967385997461185,3069400000.0,1545819075.2856169,0.5036225566187583,2033100000.0,False,0.3108386091749715,,True,False,PAYX,0000723531,ticker:PAYX,25
2022,4611700000.0,Revenues,0000950170-22-012734,USD,True,,,,,False,1505500000.0,NetCashProvidedByUsedInOperatingActivities,0000950170-22-012734,USD,True,132600000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000950170-22-012734,USD,True,1840000000.0,OperatingIncomeLoss,0000950170-22-012734,USD,True,36600000.0,InterestExpense,0000950170-22-012734,USD,True,431800000.0,IncomeTaxExpenseBenefit,0000950170-22-012734,USD,True,0.237,EffectiveIncomeTaxRateContinuingOperations,0000950170-22-012734,pure,True,1824600000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000950170-22-012734,USD,True,370000000.0,CashAndCashEquivalentsAtCarryingValue,0000950170-22-012734,USD,True,,,,,False,797700000.0,LongTermDebt,0000950170-22-012734,USD,True,,,,,False,797700000.0,LongTermDebtNoncurrent,0000950170-22-012734,USD,True,3085200000.0,StockholdersEquity,0000950170-22-012734,USD,True,370000000.0,797700000.0,1372900000.0,0.23665460922942014,3512900000.0,1404555519.0178668,0.39982792536589906,1840000000.0,False,0.2976993299650888,,True,False,PAYX,0000723531,ticker:PAYX,25
2021,4056800000.0,Revenues,0000723531-21-000035,USD,True,,,,,False,1260300000.0,NetCashProvidedByUsedInOperatingActivities,0000723531-21-000035,USD,True,114600000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000723531-21-000035,USD,True,1460700000.0,OperatingIncomeLoss,0000723531-21-000035,USD,True,35800000.0,InterestExpense,0000723531-21-000035,USD,True,336700000.0,IncomeTaxExpenseBenefit,0000723531-21-000035,USD,True,0.235,EffectiveIncomeTaxRateContinuingOperations,0000723531-21-000035,pure,True,1434200000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000723531-21-000035,USD,True,995200000.0,CashAndCashEquivalentsAtCarryingValue,0000723531-21-000035,USD,True,,,,,False,797300000.0,LongTermDebt,0000723531-21-000035,USD,True,,,,,False,797300000.0,LongTermDebtNoncurrent,0000723531-21-000035,USD,True,2948000000.0,StockholdersEquity,0000723531-21-000035,USD,True,995200000.0,797300000.0,1145700000.0,0.23476502579835448,2750100000.0,1117778726.8163435,0.4064502115618863,1460700000.0,False,0.28241471110234667,,True,False,PAYX,0000723531,ticker:PAYX,25
2020,4040500000.0,Revenues,0000723531-20-000048,USD,True,,,,,False,1440900000.0,NetCashProvidedByUsedInOperatingActivities,0000723531-20-000048,USD,True,127000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000723531-20-000048,USD,True,1460500000.0,OperatingIncomeLoss,0000723531-20-000048,USD,True,38800000.0,InterestExpense,0000723531-20-000048,USD,True,339000000.0,IncomeTaxExpenseBenefit,0000723531-20-000048,USD,True,0.236,EffectiveIncomeTaxRateContinuingOperations,0000723531-20-000048,pure,True,1437100000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000723531-20-000048,USD,True,905200000.0,CashAndCashEquivalentsAtCarryingValue,0000723531-20-000048,USD,True,,,,,False,796800000.0,LongTermDebt,0000723531-20-000048,USD,True,,,,,False,796800000.0,LongTermDebtNoncurrent,0000723531-20-000048,USD,True,2781400000.0,StockholdersEquity,0000723531-20-000048,USD,True,905200000.0,796800000.0,1313900000.0,0.23589172639343123,2673000000.0,1115980133.6023936,0.41750098526090296,1460500000.0,False,0.3251825269149858,,True,False,PAYX,0000723531,ticker:PAYX,25
2019,3772500000.0,Revenues,0000723531-19-000032,USD,True,,,,,False,1271500000.0,NetCashProvidedByUsedInOperatingActivities,0000723531-19-000032,USD,True,123800000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000723531-19-000032,USD,True,1371300000.0,OperatingIncomeLoss,0000723531-19-000032,USD,True,17600000.0,InterestExpense,0000723531-19-000032,USD,True,333600000.0,IncomeTaxExpenseBenefit,0000723531-19-000032,USD,True,0.244,EffectiveIncomeTaxRateContinuingOperations,0000723531-19-000032,pure,True,1368000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000723531-19-000032,USD,True,673600000.0,CashAndCashEquivalentsAtCarryingValue,0000723531-19-000032,USD,True,,,,,False,796400000.0,LongTermDebt,0000723531-19-000032,USD,True,0.0,LongTermDebtCurrent,0000723531-19-000032,USD,True,796400000.0,LongTermDebtNoncurrent,0000723531-19-000032,USD,True,2619500000.0,StockholdersEquity,0000723531-19-000032,USD,True,673600000.0,796400000.0,1147700000.0,0.24385964912280703,2742300000.0,1036895263.1578947,0.3781115352652499,1371300000.0,False,0.3042279655400928,,True,False,PAYX,0000723531,ticker:PAYX,25
2018,3380900000.0,Revenues,0000723531-18-000026,USD,True,,,,,False,1276400000.0,NetCashProvidedByUsedInOperatingActivities,0000723531-18-000026,USD,True,154000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000723531-18-000026,USD,True,1287500000.0,OperatingIncomeLoss,0000723531-18-000026,USD,True,3900000.0,InterestExpense,0000723531-18-000026,USD,True,362400000.0,IncomeTaxExpenseBenefit,0000723531-18-000026,USD,True,0.28,EffectiveIncomeTaxRateContinuingOperations,0000723531-18-000026,pure,True,1296100000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000723531-18-000026,USD,True,358200000.0,CashAndCashEquivalentsAtCarryingValue,0000723531-18-000026,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,2024500000.0,StockholdersEquity,0000723531-18-000026,USD,True,358200000.0,,1122400000.0,0.27960805493403285,,,,1287500000.0,False,0.3319826081812535,,False,False,PAYX,0000723531,ticker:PAYX,25
2017,3151300000.0,Revenues,0000723531-17-000023,USD,True,,,,,False,,,,,False,94300000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000723531-17-000023,USD,True,1239600000.0,OperatingIncomeLoss,0000723531-17-000023,USD,True,2500000.0,InterestExpense,0000723531-17-000023,USD,True,427500000.0,IncomeTaxExpenseBenefit,0000723531-17-000023,USD,True,0.343,EffectiveIncomeTaxRateContinuingOperations,0000723531-17-000023,pure,True,1244800000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000723531-17-000023,USD,True,184600000.0,CashAndCashEquivalentsAtCarryingValue,0000723531-17-000023,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,1955300000.0,StockholdersEquity,0000723531-17-000023,USD,True,184600000.0,,,0.34342866323907456,,,,1239600000.0,False,,,False,False,PAYX,0000723531,ticker:PAYX,25
2016,2951900000.0,Revenues,0000723531-16-000046,USD,True,,,,,False,,,,,False,97700000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000723531-16-000046,USD,True,1146600000.0,OperatingIncomeLoss,0000723531-16-000046,USD,True,1100000.0,InterestExpense,0000723531-16-000046,USD,True,394300000.0,IncomeTaxExpenseBenefit,0000723531-16-000046,USD,True,0.343,EffectiveIncomeTaxRateContinuingOperations,0000723531-16-000046,pure,True,1151100000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000723531-16-000046,USD,True,131500000.0,CashAndCashEquivalentsAtCarryingValue,0000723531-16-000046,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,1911700000.0,StockholdersEquity,0000723531-16-000046,USD,True,131500000.0,,,0.34254191642776477,,,,1146600000.0,False,,,False,False,PAYX,0000723531,ticker:PAYX,25
