year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,96900000000.0,7.64,14280000000.0,,,,,,,,1360000000.0,4.11,1.99,
2025,93920000000.0,6.02,11360000000.0,10.91,9530000000.0,49900000000.0,107390000000.0,20540000000.0,23.8,86850000000.0,1360000000.0,3.92,2.07,9.48
2024,91850000000.0,6.97,12860000000.0,13.01,9260000000.0,44940000000.0,99460000000.0,18170000000.0,21.2,81290000000.0,1370000000.0,3.61,2.28,11.5
2023,91470000000.0,6.59,12230000000.0,12.48,10000000000.0,44660000000.0,100490000000.0,18630000000.0,24.3,81850000000.0,1370000000.0,3.09,2.55,12.5
2022,86390000000.0,6.45,11640000000.0,12.39,5340000000.0,39550000000.0,92180000000.0,17270000000.0,25.6,74910000000.0,1370000000.0,2.74,2.88,14.4
2021,79470000000.0,5.51,11680000000.0,12.36,5980000000.0,40780000000.0,92370000000.0,16149999999.999998,28.1,76220000000.0,1380000000.0,2.75,3.02,14.9
2020,70370000000.0,5.14,10190000000.0,12.89,9550000000.0,44610000000.0,92910000000.0,13550000000.0,24.9,79360000000.0,1380000000.0,3.14,2.91,15.1
2019,67160000000.0,5.23,10300000000.0,13.87,5730000000.0,32509999999.999996,78540000000.0,14860000000.0,22.0,63670000000.0,1390000000.0,3.3,2.83,12.8
2018,64660000000.0,8.86,10710000000.0,14.21,8990000000.0,32320000000.0,77640000000.0,14600000000.0,10.2,63040000000.0,1410000000.0,3.98,2.41,10.7
2017,63520000000.0,3.39,10750000000.0,15.12,19510000000.0,39280000000.0,79800000000.0,10980000000.0,28.0,68820000000.0,1420000000.0,3.34,2.68,15.5
2016,62790000000.0,4.39,9890000000.0,13.62,16120000000.000002,36940000000.0,73490000000.0,11190000000.0,18.3,62290000000.0,1420000000.0,3.68,2.39,13.4
2015,63050000000.0,3.71,8410000000.0,11.8,12000000000.0,33280000000.0,69660000000.0,12030000000.0,20.1,57630000000.0,1440000000.0,3.7,2.29,12.0
2014,66680000000.00001,4.31,9660000000.0,13.13,8720000000.0,28890000000.0,70500000000.0,17540000000.0,15.9,52960000000.0,1480000000.0,3.69,2.11,8.02
2013,66410000000.0,4.38,9800000000.0,13.39,9670000000.0,29630000000.0,77470000000.0,24380000000.0,13.4,53080000000.0,1520000000.0,3.83,1.91,5.2
2012,65489999999.99999,3.96,9200000000.0,12.68,6610000000.0,28350000000.0,74630000000.0,22390000000.0,11.8,52230000000.0,1540000000.0,4.53,1.61,4.72
2011,66500000000.0,4.08,9690000000.0,13.28,4420000000.0,26770000000.0,72880000000.0,20890000000.0,10.8,51980000000.0,1570000000.0,4.59,1.56,4.96
2010,57830000000.0,,9130000000.0,14.23,6360000000.0,24890000000.0,68150000000.00001,21470000000.0,,46670000000.0,1590000000.0,4.49,1.79,4.81
2009,43230000000.0,,8470000000.000001,18.69,4130000000.0,7860000000.0,39840000000.0,17440000000.0,,22400000000.0,1550000000.0,4.66,2.2,5.46
2008,43250000000.0,,7850000000.0,16.29,2270000000.0,8220000000.000001,35990000000.0,12580000000.0,,23410000000.0,1560000000.0,4.97,1.97,6.76
2007,39470000000.0,,7170000000.0,19.33,2480000000.0,4200000000.0,34620000000.0,17230000000.0,,17390000000.0,1610000000.0,3.18,3.09,7.07
2006,34950000000.0,,6420000000.0,19.89,2820000000.0,2820000000.0,29930000000.0,15440000000.0,,14480000000.0,1650000000.0,3.2,2.93,6.63
2005,32560000000.000004,,5920000000.0,19.6,4880000000.0,5200000000.0,31720000000.0,14320000000.0,,17400000000.0,1660000000.0,3.01,3.0,6.83
2004,29260000000.0,,5400000000.0,18.95,3440000000.0,3450000000.0,27980000000.0,13570000000.0,,14410000000.0,1700000000.0,2.92,3.0,6.46
2003,26970000000.0,,4890000000.0,18.51,2000000000.0,2290000000.0,25320000000.0,11890000000.0,,13430000000.0,1700000000.0,2.46,2.95,6.68
2002,25180000000.0,,4960000000.0,17.65,1840000000.0,2740000000.0,23470000000.0,9290000000.0,,14170000000.0,1760000000.0,2.61,2.89,7.82
2001,23940000000.0,,4160000000.0,15.5,1640000000.0,3000000000.0,21690000000.0,8640000000.0,,13040000000.0,1790000000.0,2.21,3.57,
2000,21950000000.0,,3490000000.0,,1500000000.0,3210000000.0,,,,,1750000000.0,2.12,,
1999,20360000000.0,,2880000000.0,,1050000000.0,3040000000.0,,,,,1460000000.0,2.92,,
1998,22340000000.0,,2870000000.0,,310000000.0,7940000000.0,,,,,1460000000.0,2.46,,
1997,23530000000.0,,3570000000.0,,1920000000.0,4940000000.0,,,,,1530000000.0,20.15,,
1996,31640000000.0,,3360000000.0,,300000000.0,8170000000.0,,,,,1600000000.0,3.32,,
1995,,,,,,,,,,,,3.09,,
1994,,,,,,,,,,,,4.34,,
1993,,,,,,,,,,,,3.42,,
1992,,,,,,,,,,,,2.86,,
1991,,,,,,,,,,,,3.21,,
1990,,,,,,,,,,,,3.54,,
1989,,,,,,,,,,,,3.66,,
1988,,,,,,,,,,,,5.03,,
1987,,,,,,,,,,,,5.09,,
1986,,,,,,,,,,,,6.25,,
1985,,,,,,,,,,,,6.38,,
1984,,,,,,,,,,,,10.58,,
1983,,,,,,,,,,,,12.02,,
1982,,,,,,,,,,,,13.12,,
1981,,,,,,,,,,,,12.08,,
1980,,,,,,,,,,,,14.91,,
1979,,,,,,,,,,,,15.09,,
1978,,,,,,,,,,,,13.52,,
1977,,,,,,,,,,,,10.83,,
1976,,,,,,,,,,,,9.09,,
1975,,,,,,,,,,,,8.28,,
1974,,,,,,,,,,,,12.8,,
1973,,,,,,,,,,,,6.74,,
1972,,,,,,,,,,,,3.58,,
