Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,96900000000.0,14280000000.0,,,,
2025,93920000000.0,11360000000.0,23.8,9530000000.0,107390000000.0,
2024,91850000000.0,12860000000.0,21.2,9260000000.0,99460000000.0,
2023,91470000000.0,12230000000.0,24.3,10000000000.0,100490000000.0,
2022,86390000000.0,11640000000.0,25.6,5340000000.0,92180000000.0,
2021,79470000000.0,11680000000.0,28.1,5980000000.0,92370000000.0,
2020,70370000000.0,10190000000.0,24.9,9550000000.0,92910000000.0,
2019,67160000000.0,10300000000.0,22.0,5730000000.0,78540000000.0,
2018,64660000000.0,10710000000.0,10.2,8990000000.0,77640000000.0,
2017,63520000000.0,10750000000.0,28.0,19510000000.0,79800000000.0,
2016,62790000000.0,9890000000.0,18.3,16120000000.000002,73490000000.0,
2015,63050000000.0,8410000000.0,20.1,12000000000.0,69660000000.0,
2014,66680000000.00001,9660000000.0,15.9,8720000000.0,70500000000.0,
2013,66410000000.0,9800000000.0,13.4,9670000000.0,77470000000.0,
2012,65489999999.99999,9200000000.0,11.8,6610000000.0,74630000000.0,
2011,66500000000.0,9690000000.0,10.8,4420000000.0,72880000000.0,
2010,57830000000.0,9130000000.0,,6360000000.0,68150000000.00001,
2009,43230000000.0,8470000000.000001,,4130000000.0,39840000000.0,
2008,43250000000.0,7850000000.0,,2270000000.0,35990000000.0,
2007,39470000000.0,7170000000.0,,2480000000.0,34620000000.0,
2006,34950000000.0,6420000000.0,,2820000000.0,29930000000.0,
2005,32560000000.000004,5920000000.0,,4880000000.0,31720000000.0,
2004,29260000000.0,5400000000.0,,3440000000.0,27980000000.0,
2003,26970000000.0,4890000000.0,,2000000000.0,25320000000.0,
2002,25180000000.0,4960000000.0,,1840000000.0,23470000000.0,
2001,23940000000.0,4160000000.0,,1640000000.0,21690000000.0,
2000,21950000000.0,3490000000.0,,1500000000.0,,
1999,20360000000.0,2880000000.0,,1050000000.0,,
1998,22340000000.0,2870000000.0,,310000000.0,,
1997,23530000000.0,3570000000.0,,1920000000.0,,
1996,31640000000.0,3360000000.0,,300000000.0,,
