year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,93925000000.0,Revenues,0000077476-26-000007,USD,True,8240000000.0,NetIncomeLoss,0000077476-26-000007,USD,True,12087000000.0,NetCashProvidedByUsedInOperatingActivities,0000077476-26-000007,USD,True,4415000000.0,PaymentsToAcquireProductiveAssets,0000077476-26-000007,USD,True,11498000000.0,OperatingIncomeLoss,0000077476-26-000007,USD,True,1121000000.0,InterestExpense,0000077476-26-000007,USD,True,1949000000.0,IncomeTaxExpenseBenefit,0000077476-26-000007,USD,True,0.19,EffectiveIncomeTaxRateContinuingOperations,0000077476-26-000007,pure,True,10244000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000077476-26-000007,USD,True,9159000000.0,CashAndCashEquivalentsAtCarryingValue,0000077476-26-000007,USD,True,371000000.0,ShortTermInvestments,0000077476-26-000007,USD,True,46351000000.0,LongTermDebt,0000077476-26-000007,USD,True,6861000000.0,DebtCurrent,0000077476-26-000007,USD,True,42321000000.0,LongTermDebtNoncurrent,0000077476-26-000007,USD,True,20406000000.0,StockholdersEquity,0000077476-26-000007,USD,True,9530000000.0,46351000000.0,7672000000.0,0.1902577118313159,57227000000.0,9310416829.36353,0.1626927294697176,11498000000.0,False,0.08168219323928666,0.9310679611650485,True,True,PEP,0000077476,ticker:PEP,26
2024,91854000000.0,Revenues,0000077476-25-000007,USD,True,9578000000.0,NetIncomeLoss,0000077476-25-000007,USD,True,12507000000.0,NetCashProvidedByUsedInOperatingActivities,0000077476-25-000007,USD,True,5318000000.0,PaymentsToAcquireProductiveAssets,0000077476-25-000007,USD,True,12887000000.0,OperatingIncomeLoss,0000077476-25-000007,USD,True,919000000.0,InterestExpense,0000077476-25-000007,USD,True,2320000000.0,IncomeTaxExpenseBenefit,0000077476-25-000007,USD,True,0.194,EffectiveIncomeTaxRateContinuingOperations,0000077476-25-000007,pure,True,11946000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000077476-25-000007,USD,True,8505000000.0,CashAndCashEquivalentsAtCarryingValue,0000077476-25-000007,USD,True,761000000.0,ShortTermInvestments,0000077476-25-000007,USD,True,41228000000.0,LongTermDebt,0000077476-25-000007,USD,True,7082000000.0,DebtCurrent,0000077476-25-000007,USD,True,37224000000.0,LongTermDebtNoncurrent,0000077476-25-000007,USD,True,18041000000.0,StockholdersEquity,0000077476-25-000007,USD,True,9266000000.0,41228000000.0,7189000000.0,0.19420726603047045,50003000000.0,10384250962.665327,0.20767255889977254,12887000000.0,False,0.07826550830666057,0.7505742326164127,True,True,PEP,0000077476,ticker:PEP,26
2023,91471000000.0,Revenues,0000077476-24-000008,USD,True,9074000000.0,NetIncomeLoss,0000077476-24-000008,USD,True,13442000000.0,NetCashProvidedByUsedInOperatingActivities,0000077476-24-000008,USD,True,5518000000.0,PaymentsToAcquireProductiveAssets,0000077476-24-000008,USD,True,11986000000.0,OperatingIncomeLoss,0000077476-24-000008,USD,True,819000000.0,InterestExpense,0000077476-24-000008,USD,True,2262000000.0,IncomeTaxExpenseBenefit,0000077476-24-000008,USD,True,0.198,EffectiveIncomeTaxRateContinuingOperations,0000077476-24-000008,pure,True,11417000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000077476-24-000008,USD,True,9711000000.0,CashAndCashEquivalentsAtCarryingValue,0000077476-24-000008,USD,True,292000000.0,ShortTermInvestments,0000077476-24-000008,USD,True,41519000000.0,LongTermDebt,0000077476-24-000008,USD,True,6510000000.0,DebtCurrent,0000077476-24-000008,USD,True,37595000000.0,LongTermDebtNoncurrent,0000077476-24-000008,USD,True,18503000000.0,StockholdersEquity,0000077476-24-000008,USD,True,10003000000.0,41519000000.0,7924000000.0,0.19812560217219935,50019000000.0,9611266532.36402,0.1921523127684284,11986000000.0,False,0.086628548939008,0.8732642715450738,True,True,PEP,0000077476,ticker:PEP,26
2022,86392000000.0,Revenues,0000077476-23-000007,USD,True,8910000000.0,NetIncomeLoss,0000077476-23-000007,USD,True,10811000000.0,NetCashProvidedByUsedInOperatingActivities,0000077476-23-000007,USD,True,5207000000.0,PaymentsToAcquireProductiveAssets,0000077476-23-000007,USD,True,11512000000.0,OperatingIncomeLoss,0000077476-23-000007,USD,True,939000000.0,InterestExpense,0000077476-23-000007,USD,True,1727000000.0,IncomeTaxExpenseBenefit,0000077476-23-000007,USD,True,0.161,EffectiveIncomeTaxRateContinuingOperations,0000077476-23-000007,pure,True,10705000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000077476-23-000007,USD,True,4954000000.0,CashAndCashEquivalentsAtCarryingValue,0000077476-23-000007,USD,True,394000000.0,ShortTermInvestments,0000077476-23-000007,USD,True,38753000000.0,LongTermDebt,0000077476-23-000007,USD,True,3414000000.0,DebtCurrent,0000077476-23-000007,USD,True,35657000000.0,LongTermDebtNoncurrent,0000077476-23-000007,USD,True,17149000000.0,StockholdersEquity,0000077476-23-000007,USD,True,5348000000.0,38753000000.0,5604000000.0,0.16132648295189164,50554000000.0,9654809528.257824,0.1909801307168142,11512000000.0,False,0.0648671173256783,0.6289562289562289,True,True,PEP,0000077476,ticker:PEP,26
2021,79474000000.0,Revenues,0000077476-22-000010,USD,True,7618000000.0,NetIncomeLoss,0000077476-22-000010,USD,True,11616000000.0,NetCashProvidedByUsedInOperatingActivities,0000077476-22-000010,USD,True,4625000000.0,PaymentsToAcquireProductiveAssets,0000077476-22-000010,USD,True,11162000000.0,OperatingIncomeLoss,0000077476-22-000010,USD,True,1863000000.0,InterestExpense,0000077476-22-000010,USD,True,2142000000.0,IncomeTaxExpenseBenefit,0000077476-22-000010,USD,True,0.218,EffectiveIncomeTaxRateContinuingOperations,0000077476-22-000010,pure,True,9821000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000077476-22-000010,USD,True,5596000000.0,CashAndCashEquivalentsAtCarryingValue,0000077476-22-000010,USD,True,392000000.0,ShortTermInvestments,0000077476-22-000010,USD,True,39898000000.0,LongTermDebt,0000077476-22-000010,USD,True,4308000000.0,DebtCurrent,0000077476-22-000010,USD,True,36026000000.0,LongTermDebtNoncurrent,0000077476-22-000010,USD,True,16043000000.0,StockholdersEquity,0000077476-22-000010,USD,True,5988000000.0,39898000000.0,6991000000.0,0.218104062722737,49953000000.0,8727522451.88881,0.17471468083776368,11162000000.0,False,0.08796587563228225,0.9176949330532949,True,True,PEP,0000077476,ticker:PEP,26
2020,70372000000.0,Revenues,0000077476-21-000007,USD,True,7120000000.0,NetIncomeLoss,0000077476-21-000007,USD,True,10613000000.0,NetCashProvidedByUsedInOperatingActivities,0000077476-21-000007,USD,True,4240000000.0,PaymentsToAcquireProductiveAssets,0000077476-21-000007,USD,True,10080000000.0,OperatingIncomeLoss,0000077476-21-000007,USD,True,1128000000.0,InterestExpense,0000077476-21-000007,USD,True,1894000000.0,IncomeTaxExpenseBenefit,0000077476-21-000007,USD,True,0.209,EffectiveIncomeTaxRateContinuingOperations,0000077476-21-000007,pure,True,9069000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000077476-21-000007,USD,True,8185000000.0,CashAndCashEquivalentsAtCarryingValue,0000077476-21-000007,USD,True,1366000000.0,ShortTermInvestments,0000077476-21-000007,USD,True,43728000000.0,LongTermDebt,0000077476-21-000007,USD,True,3780000000.0,DebtCurrent,0000077476-21-000007,USD,True,40370000000.0,LongTermDebtNoncurrent,0000077476-21-000007,USD,True,13454000000.0,StockholdersEquity,0000077476-21-000007,USD,True,9551000000.0,43728000000.0,6373000000.0,0.20884331238284265,47631000000.0,7974859411.180946,0.1674300226991024,10080000000.0,False,0.09056158699482748,0.8950842696629213,True,True,PEP,0000077476,ticker:PEP,26
2019,67161000000.0,Revenues,0000077476-20-000015,USD,True,7314000000.0,NetIncomeLoss,0000077476-20-000015,USD,True,9649000000.0,NetCashProvidedByUsedInOperatingActivities,0000077476-20-000015,USD,True,4232000000.0,PaymentsToAcquireProductiveAssets,0000077476-20-000015,USD,True,10291000000.0,OperatingIncomeLoss,0000077476-20-000015,USD,True,1135000000.0,InterestExpense,0000077476-20-000015,USD,True,1959000000.0,IncomeTaxExpenseBenefit,0000077476-20-000015,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0000077476-20-000015,pure,True,9312000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000077476-20-000015,USD,True,5509000000.0,CashAndCashEquivalentsAtCarryingValue,0000077476-20-000015,USD,True,229000000.0,ShortTermInvestments,0000077476-20-000015,USD,True,31996000000.0,LongTermDebt,0000077476-20-000015,USD,True,2920000000.0,DebtCurrent,0000077476-20-000015,USD,True,29148000000.0,LongTermDebtNoncurrent,0000077476-20-000015,USD,True,14786000000.0,StockholdersEquity,0000077476-20-000015,USD,True,5738000000.0,31996000000.0,5417000000.0,0.2103737113402062,41044000000.0,8126044136.597938,0.19798372811124496,10291000000.0,False,0.08065692887241108,0.7406343997812415,True,True,PEP,0000077476,ticker:PEP,26
2018,64661000000.0,Revenues,0000077476-19-000017,USD,True,12515000000.0,NetIncomeLoss,0000077476-19-000017,USD,True,9415000000.0,NetCashProvidedByUsedInOperatingActivities,0000077476-19-000017,USD,True,3282000000.0,PaymentsToAcquireProductiveAssets,0000077476-19-000017,USD,True,10110000000.0,OperatingIncomeLoss,0000077476-19-000017,USD,True,1525000000.0,InterestExpense,0000077476-19-000017,USD,True,-3370000000.0,IncomeTaxExpenseBenefit,0000077476-19-000017,USD,True,-0.367,EffectiveIncomeTaxRateContinuingOperations,0000077476-19-000017,pure,True,9189000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000077476-19-000017,USD,True,8721000000.0,CashAndCashEquivalentsAtCarryingValue,0000077476-19-000017,USD,True,272000000.0,ShortTermInvestments,0000077476-19-000017,USD,True,32248000000.0,LongTermDebt,0000077476-19-000017,USD,True,4026000000.0,DebtCurrent,0000077476-19-000017,USD,True,28295000000.0,LongTermDebtNoncurrent,0000077476-19-000017,USD,True,14518000000.0,StockholdersEquity,0000077476-19-000017,USD,True,8993000000.0,32248000000.0,6133000000.0,-0.3667428447056263,37773000000.0,13817770159.973883,0.3658107685376825,10110000000.0,False,0.09484851765360883,0.49005193767479027,True,True,PEP,0000077476,ticker:PEP,26
2017,63525000000.0,Revenues,0000077476-18-000012,USD,True,4857000000.0,NetIncomeLoss,0000077476-18-000012,USD,True,9994000000.0,NetCashProvidedByUsedInOperatingActivities,0000077476-18-000012,USD,True,2969000000.0,PaymentsToAcquireProductiveAssets,0000077476-18-000012,USD,True,10509000000.0,OperatingIncomeLoss,0000077476-18-000012,USD,True,1151000000.0,InterestExpense,0000077476-18-000012,USD,True,4694000000.0,IncomeTaxExpenseBenefit,0000077476-18-000012,USD,True,0.489,EffectiveIncomeTaxRateContinuingOperations,0000077476-18-000012,pure,True,9602000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000077476-18-000012,USD,True,10610000000.0,CashAndCashEquivalentsAtCarryingValue,0000077476-18-000012,USD,True,8900000000.0,ShortTermInvestments,0000077476-18-000012,USD,True,37816000000.0,LongTermDebt,0000077476-18-000012,USD,True,5485000000.0,DebtCurrent,0000077476-18-000012,USD,True,33796000000.0,LongTermDebtNoncurrent,0000077476-18-000012,USD,True,11045000000.0,StockholdersEquity,0000077476-18-000012,USD,True,19510000000.0,37816000000.0,7025000000.0,0.4888564882316184,29351000000.0,5371607165.173922,0.18301274795318462,10509000000.0,False,0.11058638331365604,1.446366069590282,True,True,PEP,0000077476,ticker:PEP,26
2016,62799000000.0,Revenues,0000077476-17-000010,USD,True,6329000000.0,NetIncomeLoss,0000077476-17-000010,USD,True,10404000000.0,NetCashProvidedByUsedInOperatingActivities,0000077476-17-000010,USD,True,3040000000.0,PaymentsToAcquireProductiveAssets,0000077476-17-000010,USD,True,9785000000.0,OperatingIncomeLoss,0000077476-17-000010,USD,True,1342000000.0,InterestExpense,0000077476-17-000010,USD,True,2174000000.0,IncomeTaxExpenseBenefit,0000077476-17-000010,USD,True,0.254,EffectiveIncomeTaxRateContinuingOperations,0000077476-17-000010,pure,True,8553000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000077476-17-000010,USD,True,9158000000.0,CashAndCashEquivalentsAtCarryingValue,0000077476-17-000010,USD,True,6967000000.0,ShortTermInvestments,0000077476-17-000010,USD,True,34454000000.0,LongTermDebt,0000077476-17-000010,USD,True,6892000000.0,DebtCurrent,0000077476-17-000010,USD,True,30053000000.0,LongTermDebtNoncurrent,0000077476-17-000010,USD,True,11246000000.0,StockholdersEquity,0000077476-17-000010,USD,True,16125000000.0,34454000000.0,7364000000.0,0.2541798199462177,29575000000.0,7297850461.82626,0.24675741206513135,9785000000.0,False,0.11726301374225705,1.1635329435929846,True,True,PEP,0000077476,ticker:PEP,26
