year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,63310000000.0,1.31,10590000000.0,,,,,,,,5690000000.0,6.97,2.43,
2025,62570000000.0,1.36,10190000000.0,12.02,13590000000.0,63960000000.0,208160000000.0,86770000000.0,18.3,121380000000.0,5680000000.0,6.91,2.29,1.65
2024,63620000000.0,1.42,11110000000.0,12.61,20470000000.0,63640000000.0,213390000000.0,88490000000.0,17.7,124890000000.0,5660000000.0,6.67,2.37,1.7
2023,59230000000.0,0.37,3260000000.0,1.78,12690000000.0,70840000000.0,226500000000.0,89280000000.0,69.6,137210000000.00002,5640000000.0,6.37,2.74,1.82
2022,100330000000.0,5.6,35960000000.0,34.33,22730000000.0,34850000000.0,197200000000.0,95910000000.0,7.83,101280000000.0,5610000000.0,3.65,2.87,3.0
2021,81080000000.0,3.91,25960000000.0,29.91,31060000000.0,36990000000.0,181470000000.0,77460000000.0,12.5,104010000000.0,5610000000.0,3.19,4.09,4.28
2020,36170000000.0,1.73,5290000000.0,16.89,12220000000.0,38270000000.0,154220000000.0,63470000000.0,17.0,90750000000.0,5560000000.0,4.91,5.66,3.22
2019,51750000000.0,2.92,19250000000.0,27.68,9640000000.0,50840000000.0,167590000000.0,63440000000.0,9.75,104140000000.0,,4.8,4.19,3.42
2018,53640000000.0,1.89,13200000000.0,8.8,18830000000.0,41260000000.0,159420000000.0,63750000000.0,16.2,95660000000.0,,4.22,4.65,3.91
2017,52540000000.0,3.58,13570000000.0,23.42,19990000000.0,42600000000.0,171790000000.0,71650000000.0,6.85,100140000000.0,,4.96,4.11,3.01
2016,52820000000.0,1.17,9530000000.0,15.81,17850000000.0,41060000000.0,171610000000.0,59840000000.0,18.1,111770000000.0,,5.38,3.73,3.29
2015,48850000000.0,1.13,10160000000.0,18.35,23290000000.0,37600000000.0,167380000000.0,64989999999.99999,17.9,102380000000.0,,5.25,4.08,3.07
2014,49600000000.0,1.44,13600000000.0,24.67,36120000000.0,36680000000.0,167560000000.0,71620000000.0,13.1,95940000000.0,,5.22,3.95,2.74
2013,51580000000.0,3.17,17129999999.999998,30.47,32400000000.0,36480000000.0,172100000000.0,76620000000.0,5.67,95480000000.0,,5.07,3.8,2.56
2012,56870000000.0,1.97,13110000000.0,20.57,32390000000.0,37460000000.0,185790000000.0,81670000000.0,7.22,104120000000.0,,5.87,3.21,2.23
2011,66340000000.0,1.28,14110000000.0,18.81,26450000000.0,38940000000.0,188000000000.0,82620000000.0,9.23,105380000000.0,,6.42,2.51,2.01
2010,67260000000.00001,,11110000000.0,14.53,28010000000.0,44030000000.0,195010000000.0,88260000000.0,,106740000000.0,,7.44,2.09,1.59
2009,50000000000.0,,12110000000.0,21.65,25960000000.0,48660000000.0,212940000000.0,90440000000.0,,122500000000.0,,8.3,2.94,1.62
2008,48290000000.0,,14870000000.0,20.07,23730000000.0,17280000000.0,111140000000.0,57740000000.0,,53400000000.0,,14.36,2.47,2.07
2007,48410000000.0,,10330000000.0,19.16,25470000000.0,13130000000.0,115260000000.0,65120000000.00001,,50140000000.0,,10.81,3.17,2.36
2006,48370000000.0,,14280000000.0,26.93,27710000000.0,7980000000.0,115540000000.0,71430000000.0,,44110000000.0,,8.22,3.81,2.58
2005,49390000000.0,,14600000000.0,22.78,22220000000.0,17930000000.0,116970000000.0,65760000000.00001,,51200000000.0,,7.5,3.47,2.61
2004,52510000000.0,,17020000000.0,27.36,19890000000.0,18540000000.0,123070000000.0,68269999999.99999,,54800000000.0,,6.0,3.83,2.94
2003,44930000000.0,,10740000000.0,7.29,11950000000.0,14570000000.0,116770000000.0,65370000000.00001,,51390000000.0,,4.11,6.0,4.12
2002,30230000000.0,,11940000000.0,36.53,12550000000.0,11800000000.0,46350000000.0,19950000000.0,,26400000000.0,,4.2,6.23,9.44
2001,32180000000.0,,10970000000.0,34.4,8610000000.0,8870000000.0,39150000000.0,18290000000.0,,20860000000.0,,2.76,7.77,
2000,29410000000.0,,8510000000.0,,6860000000.0,5410000000.0,,,,,,1.98,,
1999,21690000000.0,,5760000000.0,,6380000000.0,7070000000.0,,,,,,2.41,,
1998,13540000000.0,,3600000000.0,,1550000000.0,3250000000.0,,,,,,1.56,,
1997,12150000000.0,,3280000000.0,,870000000.0,2970000000.0,,,,,,2.36,,
1996,11300000000.0,,3010000000.0,,1150000000.0,2920000000.0,,,,,,3.79,,
1995,,,,,,,,,,,,4.41,,
1994,,,,,,,,,,,,6.64,,
1993,,,,,,,,,,,,6.84,,
1992,,,,,,,,,,,,5.89,,
1991,,,,,,,,,,,,4.62,,
1990,,,,,,,,,,,,8.94,,
1989,,,,,,,,,,,,9.86,,
1988,,,,,,,,,,,,11.13,,
1987,,,,,,,,,,,,12.95,,
1986,,,,,,,,,,,,9.28,,
1985,,,,,,,,,,,,10.39,,
1984,,,,,,,,,,,,11.46,,
1983,,,,,,,,,,,,12.36,,
1982,,,,,,,,,,,,10.48,,
1981,,,,,,,,,,,,12.16,,
1980,,,,,,,,,,,,11.31,,
1979,,,,,,,,,,,,14.51,,
1978,,,,,,,,,,,,15.9,,
1977,,,,,,,,,,,,16.89,,
1976,,,,,,,,,,,,14.25,,
1975,,,,,,,,,,,,14.54,,
1974,,,,,,,,,,,,12.44,,
1973,,,,,,,,,,,,8.53,,
1972,,,,,,,,,,,,4.62,,
