Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,63310000000.0,10590000000.0,,,,
2025,62570000000.0,10190000000.0,18.3,13590000000.0,208160000000.0,
2024,63620000000.0,11110000000.0,17.7,20470000000.0,213390000000.0,
2023,59230000000.0,3260000000.0,69.6,12690000000.0,226500000000.0,
2022,100330000000.0,35960000000.0,7.83,22730000000.0,197200000000.0,
2021,81080000000.0,25960000000.0,12.5,31060000000.0,181470000000.0,
2020,36170000000.0,5290000000.0,17.0,12220000000.0,154220000000.0,
2019,51750000000.0,19250000000.0,9.75,9640000000.0,167590000000.0,
2018,53640000000.0,13200000000.0,16.2,18830000000.0,159420000000.0,
2017,52540000000.0,13570000000.0,6.85,19990000000.0,171790000000.0,
2016,52820000000.0,9530000000.0,18.1,17850000000.0,171610000000.0,
2015,48850000000.0,10160000000.0,17.9,23290000000.0,167380000000.0,
2014,49600000000.0,13600000000.0,13.1,36120000000.0,167560000000.0,
2013,51580000000.0,17129999999.999998,5.67,32400000000.0,172100000000.0,
2012,56870000000.0,13110000000.0,7.22,32390000000.0,185790000000.0,
2011,66340000000.0,14110000000.0,9.23,26450000000.0,188000000000.0,
2010,67260000000.00001,11110000000.0,,28010000000.0,195010000000.0,
2009,50000000000.0,12110000000.0,,25960000000.0,212940000000.0,
2008,48290000000.0,14870000000.0,,23730000000.0,111140000000.0,
2007,48410000000.0,10330000000.0,,25470000000.0,115260000000.0,
2006,48370000000.0,14280000000.0,,27710000000.0,115540000000.0,
2005,49390000000.0,14600000000.0,,22220000000.0,116970000000.0,
2004,52510000000.0,17020000000.0,,19890000000.0,123070000000.0,
2003,44930000000.0,10740000000.0,,11950000000.0,116770000000.0,
2002,30230000000.0,11940000000.0,,12550000000.0,46350000000.0,
2001,32180000000.0,10970000000.0,,8610000000.0,39150000000.0,
2000,29410000000.0,8510000000.0,,6860000000.0,,
1999,21690000000.0,5760000000.0,,6380000000.0,,
1998,13540000000.0,3600000000.0,,1550000000.0,,
1997,12150000000.0,3280000000.0,,870000000.0,,
1996,11300000000.0,3010000000.0,,1150000000.0,,
