year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,86710000000.0,6.99,21810000000.0,,,,,,,,2360000000.0,2.89,3.85,
2025,85250000000.0,6.91,21480000000.0,23.93,9550000000.0,35460000000.0,125230000000.0,52280000000.0,20.7,72940000000.0,2370000000.0,2.92,3.89,6.22
2024,84340000000.0,6.45,20370000000.0,22.32,9480000000.0,33360000000.0,122370000000.0,50550000000.0,25.5,71810000000.0,2380000000.0,2.41,4.73,7.76
2023,83930000000.0,6.14,19750000000.0,22.38,8240000000.0,35420000000.0,120820000000.0,47060000000.0,22.8,73760000000.0,2400000000.0,2.66,4.11,7.07
2022,80280000000.0,5.86,18070000000.0,22.44,7210000000.0,32290000000.0,117200000000.0,46850000000.0,24.1,70350000000.0,2410000000.0,2.55,4.47,8.03
2021,78340000000.0,5.84,18150000000.0,23.14,10280000000.0,32830000000.0,119300000000.0,46650000000.0,25.5,72650000000.0,2410000000.0,2.28,5.0,8.73
2020,73970000000.0,5.47,17660000000.0,22.32,16180000000.0,35610000000.0,120700000000.0,46870000000.0,22.6,73820000000.0,2510000000.0,2.52,4.66,7.11
2019,69590000000.0,1.83,7530000000.0,8.97,10280000000.0,30090000000.0,115090000000.0,47570000000.0,59.2,67510000000.00001,2480000000.0,2.73,4.43,6.72
2018,66910000000.0,4.21,13930000000.0,19.94,11850000000.0,31280000000.0,118310000000.0,52880000000.0,18.4,65420000000.0,2490000000.0,3.66,3.44,4.22
2017,65730000000.00001,3.85,14490000000.0,20.38,15130000000.0,31590000000.0,120400000000.0,55770000000.0,19.4,64620000000.00001,2530000000.0,3.66,3.55,4.26
2016,65230000000.00001,5.71,13450000000.0,20.47,13340000000.0,30590000000.0,127130000000.0,57980000000.0,11.6,69150000000.0,2590000000.0,4.02,3.45,4.19
2015,68160000000.0,3.03,12270000000.0,15.56,11600000000.0,30340000000.0,129490000000.00002,63050000000.0,20.0,66440000000.0,2710000000.0,4.33,3.15,3.45
2014,75920000000.0,3.42,13950000000.0,18.16,10680000000.0,35410000000.0,144260000000.0,69970000000.0,19.7,74290000000.0,2790000000.0,3.76,3.24,3.8
2013,83180000000.0,3.91,14630000000.0,17.7,5940000000.0,31540000000.0,139260000000.0,68700000000.0,14.9,70550000000.0,2710000000.0,4.05,2.65,3.15
