Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,86710000000.0,21810000000.0,,,,
2025,85250000000.0,21480000000.0,20.7,9550000000.0,125230000000.0,
2024,84340000000.0,20370000000.0,25.5,9480000000.0,122370000000.0,
2023,83930000000.0,19750000000.0,22.8,8240000000.0,120820000000.0,
2022,80280000000.0,18070000000.0,24.1,7210000000.0,117200000000.0,
2021,78340000000.0,18150000000.0,25.5,10280000000.0,119300000000.0,
2020,73970000000.0,17660000000.0,22.6,16180000000.0,120700000000.0,
2019,69590000000.0,7530000000.0,59.2,10280000000.0,115090000000.0,
2018,66910000000.0,13930000000.0,18.4,11850000000.0,118310000000.0,
2017,65730000000.00001,14490000000.0,19.4,15130000000.0,120400000000.0,
2016,65230000000.00001,13450000000.0,11.6,13340000000.0,127130000000.0,
2015,68160000000.0,12270000000.0,20.0,11600000000.0,129490000000.00002,
2014,75920000000.0,13950000000.0,19.7,10680000000.0,144260000000.0,
2013,83180000000.0,14630000000.0,14.9,5940000000.0,139260000000.0,
2012,83320000000.0,15830000000.0,10.3,4430000000.0,132240000000.00002,
2011,84020000000.0,14320000000.0,,2760000000.0,138350000000.0,
2010,79570000000.0,15600000000.0,,2870000000.0,128169999999.99998,
2009,77360000000.0,16370000000.000002,,4780000000.0,134830000000.00002,
2008,82030000000.0,16649999999.999998,,3310000000.0,143990000000.0,
2007,79200000000.0,16050000000.0,,5550000000.0,138010000000.0,
2006,73600000000.0,14700000000.0,,7820000000.0,135690000000.0,
2005,61670000000.0,11790000000.0,,8130000000.000001,61520000000.0,
2004,54180000000.0,10300000000.0,,5890000000.0,57040000000.0,
2003,46990000000.0,8810000000.0,,6210000000.0,43700000000.0,
2002,41870000000.0,7470000000.0,,3620000000.0,40770000000.0,
2001,39260000000.0,4870000000.0,,2510000000.0,34380000000.0,
2000,39590000000.0,5750000000.0,,1600000000.0,,
1999,39180000000.0,6230000000.0,,2800000000.0,,
1998,37600000000.0,6330000000.0,,2400000000.0,,
1997,36710000000.0,5840000000.0,,3110000000.0,,
1996,35210000000.0,5090000000.0,,2520000000.0,,
