year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,84284000000.0,Revenues,0000080424-25-000076,USD,True,15974000000.0,NetIncomeLoss,0000080424-25-000076,USD,True,17817000000.0,NetCashProvidedByUsedInOperatingActivities,0000080424-25-000076,USD,True,3773000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000080424-25-000076,USD,True,20451000000.0,OperatingIncomeLoss,0000080424-25-000076,USD,True,,,,,False,4102000000.0,IncomeTaxExpenseBenefit,0000080424-25-000076,USD,True,0.203,EffectiveIncomeTaxRateContinuingOperations,0000080424-25-000076,pure,True,20167000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000080424-25-000076,USD,True,,,,,False,,,,,False,,,,,False,9513000000.0,DebtCurrent,0000080424-25-000076,USD,True,24995000000.0,LongTermDebtNoncurrent,0000080424-25-000076,USD,True,52284000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000080424-25-000076,USD,True,,34508000000.0,14044000000.0,0.20340159666782368,,,,20451000000.0,False,0.16662711783968487,0.8791786653311632,False,True,PG,0000080424,ticker:PG,26
2024,84039000000.0,Revenues,0000080424-24-000083,USD,True,14879000000.0,NetIncomeLoss,0000080424-24-000083,USD,True,19846000000.0,NetCashProvidedByUsedInOperatingActivities,0000080424-24-000083,USD,True,3322000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000080424-24-000083,USD,True,18545000000.0,OperatingIncomeLoss,0000080424-24-000083,USD,True,,,,,False,3787000000.0,IncomeTaxExpenseBenefit,0000080424-24-000083,USD,True,0.202,EffectiveIncomeTaxRateContinuingOperations,0000080424-24-000083,pure,True,18761000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000080424-24-000083,USD,True,,,,,False,,,,,False,,,,,False,7191000000.0,DebtCurrent,0000080424-24-000083,USD,True,25269000000.0,LongTermDebtNoncurrent,0000080424-24-000083,USD,True,50559000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000080424-24-000083,USD,True,,32460000000.0,16524000000.0,0.20185491178508608,,,,18545000000.0,False,0.19662299646592654,1.1105585052758922,False,True,PG,0000080424,ticker:PG,26
2023,82006000000.0,Revenues,0000080424-23-000073,USD,True,14653000000.0,NetIncomeLoss,0000080424-23-000073,USD,True,16848000000.0,NetCashProvidedByUsedInOperatingActivities,0000080424-23-000073,USD,True,3062000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000080424-23-000073,USD,True,18134000000.0,OperatingIncomeLoss,0000080424-23-000073,USD,True,756000000.0,InterestExpense,0000080424-23-000073,USD,True,3615000000.0,IncomeTaxExpenseBenefit,0000080424-23-000073,USD,True,0.197,EffectiveIncomeTaxRateContinuingOperations,0000080424-23-000073,pure,True,,,,,False,,,,,False,,,,,False,,,,,False,10229000000.0,DebtCurrent,0000080424-23-000073,USD,True,24378000000.0,LongTermDebtNoncurrent,0000080424-23-000073,USD,True,47065000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000080424-23-000073,USD,True,,34607000000.0,13786000000.0,0.197,,,,18134000000.0,False,0.16810965051337706,0.9408312290998431,False,True,PG,0000080424,ticker:PG,26
2022,80187000000.0,Revenues,0000080424-22-000064,USD,True,14742000000.0,NetIncomeLoss,0000080424-22-000064,USD,True,16723000000.0,NetCashProvidedByUsedInOperatingActivities,0000080424-22-000064,USD,True,3156000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000080424-22-000064,USD,True,17813000000.0,OperatingIncomeLoss,0000080424-22-000064,USD,True,439000000.0,InterestExpense,0000080424-22-000064,USD,True,3202000000.0,IncomeTaxExpenseBenefit,0000080424-22-000064,USD,True,0.178,EffectiveIncomeTaxRateContinuingOperations,0000080424-22-000064,pure,True,,,,,False,,,,,False,,,,,False,,,,,False,8645000000.0,DebtCurrent,0000080424-22-000064,USD,True,22848000000.0,LongTermDebtNoncurrent,0000080424-22-000064,USD,True,46854000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000080424-22-000064,USD,True,,31493000000.0,13567000000.0,0.178,,,,17813000000.0,False,0.16919201366805092,0.920295753629087,False,True,PG,0000080424,ticker:PG,26
2021,76118000000.0,Revenues,0000080424-21-000100,USD,True,14306000000.0,NetIncomeLoss,0000080424-21-000100,USD,True,18371000000.0,NetCashProvidedByUsedInOperatingActivities,0000080424-21-000100,USD,True,2787000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000080424-21-000100,USD,True,17986000000.0,OperatingIncomeLoss,0000080424-21-000100,USD,True,502000000.0,InterestExpense,0000080424-21-000100,USD,True,3263000000.0,IncomeTaxExpenseBenefit,0000080424-21-000100,USD,True,0.185,EffectiveIncomeTaxRateContinuingOperations,0000080424-21-000100,pure,True,,,,,False,,,,,False,,,,,False,,,,,False,8889000000.0,DebtCurrent,0000080424-21-000100,USD,True,23099000000.0,LongTermDebtNoncurrent,0000080424-21-000100,USD,True,46654000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000080424-21-000100,USD,True,,31988000000.0,15584000000.0,0.185,,,,17986000000.0,False,0.20473475393468035,1.0893331469313574,False,True,PG,0000080424,ticker:PG,26
2020,70950000000.0,Revenues,0000080424-20-000053,USD,True,13027000000.0,NetIncomeLoss,0000080424-20-000053,USD,True,17403000000.0,NetCashProvidedByUsedInOperatingActivities,0000080424-20-000053,USD,True,3073000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000080424-20-000053,USD,True,15706000000.0,OperatingIncomeLoss,0000080424-20-000053,USD,True,465000000.0,InterestExpense,0000080424-20-000053,USD,True,2731000000.0,IncomeTaxExpenseBenefit,0000080424-20-000053,USD,True,0.172,EffectiveIncomeTaxRateContinuingOperations,0000080424-20-000053,pure,True,,,,,False,,,,,False,,,,,False,,,,,False,11183000000.0,DebtCurrent,0000080424-20-000053,USD,True,23537000000.0,LongTermDebtNoncurrent,0000080424-20-000053,USD,True,46878000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000080424-20-000053,USD,True,,34720000000.0,14330000000.0,0.172,,,,15706000000.0,False,0.20197322057787173,1.1000230290934214,False,True,PG,0000080424,ticker:PG,26
2019,67684000000.0,Revenues,0000080424-19-000050,USD,True,3897000000.0,NetIncomeLoss,0000080424-19-000050,USD,True,15242000000.0,NetCashProvidedByUsedInOperatingActivities,0000080424-19-000050,USD,True,3347000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000080424-19-000050,USD,True,5487000000.0,OperatingIncomeLoss,0000080424-19-000050,USD,True,509000000.0,InterestExpense,0000080424-19-000050,USD,True,2103000000.0,IncomeTaxExpenseBenefit,0000080424-19-000050,USD,True,0.347,EffectiveIncomeTaxRateContinuingOperations,0000080424-19-000050,pure,True,1659000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000080424-19-000050,USD,True,4239000000.0,CashAndCashEquivalentsAtCarryingValue,0000080424-19-000050,USD,True,,,,,False,,,,,False,9697000000.0,DebtCurrent,0000080424-19-000050,USD,True,20395000000.0,LongTermDebtNoncurrent,0000080424-19-000050,USD,True,47579000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000080424-19-000050,USD,True,4239000000.0,30092000000.0,11895000000.0,1.267631103074141,73432000000.0,-1468491862.5678115,-0.019997982658348016,5487000000.0,False,0.17574315938774304,3.052347959969207,True,True,PG,0000080424,ticker:PG,26
2018,66832000000.0,Revenues,0000080424-18-000055,USD,True,9750000000.0,NetIncomeLoss,0000080424-18-000055,USD,True,14867000000.0,NetCashProvidedByUsedInOperatingActivities,0000080424-18-000055,USD,True,3717000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000080424-18-000055,USD,True,13711000000.0,OperatingIncomeLoss,0000080424-18-000055,USD,True,506000000.0,InterestExpense,0000080424-18-000055,USD,True,3465000000.0,IncomeTaxExpenseBenefit,0000080424-18-000055,USD,True,0.26,EffectiveIncomeTaxRateContinuingOperations,0000080424-18-000055,pure,True,9277000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000080424-18-000055,USD,True,2569000000.0,CashAndCashEquivalentsAtCarryingValue,0000080424-18-000055,USD,True,,,,,False,,,,,False,10423000000.0,DebtCurrent,0000080424-18-000055,USD,True,20863000000.0,LongTermDebtNoncurrent,0000080424-18-000055,USD,True,52883000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000080424-18-000055,USD,True,2569000000.0,31286000000.0,11150000000.0,0.3735043656354425,81600000000.0,8589881642.772449,0.10526815738691726,13711000000.0,False,0.16683624610964806,1.1435897435897435,True,True,PG,0000080424,ticker:PG,26
2017,65058000000.0,Revenues,0000080424-17-000047,USD,True,15326000000.0,NetIncomeLoss,0000080424-17-000047,USD,True,12753000000.0,NetCashProvidedByUsedInOperatingActivities,0000080424-17-000047,USD,True,3384000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000080424-17-000047,USD,True,13955000000.0,OperatingIncomeLoss,0000080424-17-000047,USD,True,465000000.0,InterestExpense,0000080424-17-000047,USD,True,3063000000.0,IncomeTaxExpenseBenefit,0000080424-17-000047,USD,True,0.231,EffectiveIncomeTaxRateContinuingOperations,0000080424-17-000047,pure,True,9031000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000080424-17-000047,USD,True,5569000000.0,CashAndCashEquivalentsAtCarryingValue,0000080424-17-000047,USD,True,,,,,False,,,,,False,13554000000.0,DebtCurrent,0000080424-17-000047,USD,True,18038000000.0,LongTermDebtNoncurrent,0000080424-17-000047,USD,True,55778000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000080424-17-000047,USD,True,5569000000.0,31592000000.0,9369000000.0,0.33916509799579225,81801000000.0,9221951057.468718,0.11273640979289638,13955000000.0,False,0.14400996034307847,0.6113141067467049,True,True,PG,0000080424,ticker:PG,26
2016,65299000000.0,Revenues,0000080424-16-000212,USD,True,10508000000.0,NetIncomeLoss,0000080424-16-000212,USD,True,15435000000.0,NetCashProvidedByUsedInOperatingActivities,0000080424-16-000212,USD,True,3314000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000080424-16-000212,USD,True,13441000000.0,OperatingIncomeLoss,0000080424-16-000212,USD,True,579000000.0,InterestExpense,0000080424-16-000212,USD,True,3342000000.0,IncomeTaxExpenseBenefit,0000080424-16-000212,USD,True,0.25,EffectiveIncomeTaxRateContinuingOperations,0000080424-16-000212,pure,True,8788000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000080424-16-000212,USD,True,7102000000.0,CashAndCashEquivalentsAtCarryingValue,0000080424-16-000212,USD,True,,,,,False,,,,,False,11653000000.0,DebtCurrent,0000080424-16-000212,USD,True,18945000000.0,LongTermDebtNoncurrent,0000080424-16-000212,USD,True,57983000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000080424-16-000212,USD,True,7102000000.0,30598000000.0,12121000000.0,0.3802913063268093,81479000000.0,8329504551.661356,0.10222885101267021,13441000000.0,False,0.18562305701465567,1.1535020936429388,True,True,PG,0000080424,ticker:PG,26
2015,76279000000.0,Revenues,0000080424-15-000070,USD,True,7036000000.0,NetIncomeLoss,0000080424-15-000070,USD,True,14608000000.0,NetCashProvidedByUsedInOperatingActivities,0000080424-15-000070,USD,True,3736000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000080424-15-000070,USD,True,11790000000.0,OperatingIncomeLoss,0000080424-15-000070,USD,True,626000000.0,InterestExpense,0000080424-15-000070,USD,True,2916000000.0,IncomeTaxExpenseBenefit,0000080424-15-000070,USD,True,0.246,EffectiveIncomeTaxRateContinuingOperations,0000080424-15-000070,pure,True,8863000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000080424-15-000070,USD,True,6845000000.0,CashAndCashEquivalentsAtCarryingValue,0000080424-15-000070,USD,True,,,,,False,23129000000.0,LongTermDebt,0000080424-15-000070,USD,True,12021000000.0,DebtCurrent,0000080424-15-000070,USD,True,18329000000.0,LongTermDebtNoncurrent,0000080424-15-000070,USD,True,63050000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000080424-15-000070,USD,True,6845000000.0,23129000000.0,10872000000.0,0.32900823648877353,79334000000.0,7910992891.797359,0.09971755983307737,11790000000.0,False,0.1425293986549378,1.5451961341671405,True,True,PG,0000080424,ticker:PG,26
2014,29400000000.0,Revenues,0000080424-14-000057,USD,True,11643000000.0,NetIncomeLoss,0000080424-14-000057,USD,True,13958000000.0,NetCashProvidedByUsedInOperatingActivities,0000080424-14-000057,USD,True,3848000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000080424-14-000057,USD,True,15288000000.0,OperatingIncomeLoss,0000080424-14-000057,USD,True,709000000.0,InterestExpense,0000080424-14-000057,USD,True,3178000000.0,IncomeTaxExpenseBenefit,0000080424-14-000057,USD,True,0.214,EffectiveIncomeTaxRateContinuingOperations,0000080424-14-000057,pure,True,9005000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000080424-14-000057,USD,True,8558000000.0,CashAndCashEquivalentsAtCarryingValue,0000080424-14-000057,USD,True,,,,,False,,,,,False,15606000000.0,DebtCurrent,0000080424-14-000057,USD,True,19811000000.0,LongTermDebtNoncurrent,0000080424-14-000057,USD,True,69976000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000080424-14-000057,USD,True,8558000000.0,35417000000.0,10110000000.0,0.3529150471960022,96835000000.0,9892634758.467518,0.1021597021579751,15288000000.0,False,0.3438775510204082,0.8683329038907498,True,True,PG,0000080424,ticker:PG,26
2013,84167000000.0,Revenues,0000080424-13-000063,USD,True,11312000000.0,NetIncomeLoss,0000080424-13-000063,USD,True,14873000000.0,NetCashProvidedByUsedInOperatingActivities,0000080424-13-000063,USD,True,4008000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000080424-13-000063,USD,True,14481000000.0,OperatingIncomeLoss,0000080424-13-000063,USD,True,667000000.0,InterestExpense,0000080424-13-000063,USD,True,3441000000.0,IncomeTaxExpenseBenefit,0000080424-13-000063,USD,True,0.232,EffectiveIncomeTaxRateContinuingOperations,0000080424-13-000063,pure,True,8351000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000080424-13-000063,USD,True,5947000000.0,CashAndCashEquivalentsAtCarryingValue,0000080424-13-000063,USD,True,,,,,False,,,,,False,12432000000.0,DebtCurrent,0000080424-13-000063,USD,True,19111000000.0,LongTermDebtNoncurrent,0000080424-13-000063,USD,True,68709000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000080424-13-000063,USD,True,5947000000.0,31543000000.0,10865000000.0,0.41204646150161656,94305000000.0,8514155190.99509,0.09028317895122305,14481000000.0,False,0.1290885976689201,0.960484441301273,True,True,PG,0000080424,ticker:PG,26
2012,83680000000.0,Revenues,0000080424-12-000063,USD,True,10756000000.0,NetIncomeLoss,0000080424-12-000063,USD,True,13284000000.0,NetCashProvidedByUsedInOperatingActivities,0000080424-12-000063,USD,True,3964000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000080424-12-000063,USD,True,13292000000.0,OperatingIncomeLoss,0000080424-12-000063,USD,True,769000000.0,InterestExpense,0000080424-12-000063,USD,True,3468000000.0,IncomeTaxExpenseBenefit,0000080424-12-000063,USD,True,0.271,EffectiveIncomeTaxRateContinuingOperations,0000080424-12-000063,pure,True,7584000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000080424-12-000063,USD,True,4436000000.0,CashAndCashEquivalentsAtCarryingValue,0000080424-12-000063,USD,True,,,,,False,27948000000.0,LongTermDebt,0000080424-12-000063,USD,True,8698000000.0,DebtCurrent,0000080424-12-000063,USD,True,21080000000.0,LongTermDebtNoncurrent,0000080424-12-000063,USD,True,64035000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000080424-12-000063,USD,True,4436000000.0,27948000000.0,9320000000.0,0.4572784810126582,87547000000.0,7213854430.379746,0.08239979017418925,13292000000.0,False,0.11137667304015296,0.8664931201190034,True,True,PG,0000080424,ticker:PG,26
2011,82559000000.0,Revenues,0000080424-11-000014,USD,True,11797000000.0,NetIncomeLoss,0000080424-11-000014,USD,True,13231000000.0,NetCashProvidedByUsedInOperatingActivities,0000080424-11-000014,USD,True,3306000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000080424-11-000014,USD,True,15818000000.0,OperatingIncomeLoss,0000080424-11-000014,USD,True,831000000.0,InterestExpense,0000080424-11-000014,USD,True,3392000000.0,IncomeTaxExpenseBenefit,0000080424-11-000014,USD,True,0.223,EffectiveIncomeTaxRateContinuingOperations,0000080424-11-000014,pure,True,8983000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000080424-11-000014,USD,True,2768000000.0,CashAndCashEquivalentsAtCarryingValue,0000080424-11-000014,USD,True,,,,,False,,,,,False,9981000000.0,DebtCurrent,0000080424-11-000014,USD,True,22033000000.0,LongTermDebtNoncurrent,0000080424-11-000014,USD,True,68001000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0000080424-11-000014,USD,True,2768000000.0,32014000000.0,9925000000.0,0.3776021373705889,97247000000.0,9845089391.072025,0.10123797537273155,15818000000.0,False,0.12021705689264647,0.8413155887089938,True,True,PG,0000080424,ticker:PG,26
2010,78938000000.0,Revenues,0001193125-10-188769,USD,True,12736000000.0,NetIncomeLoss,0001193125-10-188769,USD,True,16072000000.0,NetCashProvidedByUsedInOperatingActivities,0001193125-10-188769,USD,True,3067000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-10-188769,USD,True,16021000000.0,OperatingIncomeLoss,0001193125-10-188769,USD,True,946000000.0,InterestExpense,0001193125-10-188769,USD,True,4101000000.0,IncomeTaxExpenseBenefit,0001193125-10-188769,USD,True,0.273,EffectiveIncomeTaxRateContinuingOperations,0001193125-10-188769,pure,True,8368000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001193125-10-188769,USD,True,2879000000.0,CashAndCashEquivalentsAtCarryingValue,0001193125-10-188769,USD,True,,,,,False,,,,,False,8472000000.0,DebtCurrent,0001193125-10-188769,USD,True,21360000000.0,LongTermDebtNoncurrent,0001193125-10-188769,USD,True,61439000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,0001193125-10-188769,USD,True,2879000000.0,29832000000.0,13005000000.0,0.4900812619502868,88392000000.0,8169408102.294456,0.09242248282983138,16021000000.0,False,0.16474955027996654,1.021121231155779,True,True,PG,0000080424,ticker:PG,26
