Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,20980000000.0,4290000000.0,,,,
2025,20460000000.0,4170000000.0,31.6,460000000.0,29490000000.0,
2024,19900000000.0,3940000000.0,25.7,420000000.0,29290000000.0,
2023,19820000000.0,3340000000.0,22.1,470000000.0,29960000000.0,
2022,17180000000.0,1570000000.0,28.7,560000000.0,25940000000.0,
2021,15290000000.0,2310000000.0,21.5,770000000.0,20340000000.0,
2020,13500000000.0,1810000000.0,22.9,750000000.0,19880000000.0,
2019,14200000000.0,1730000000.0,17.8,3370000000.0,17570000000.0,
2018,14510000000.0,1850000000.0,12.7,850000000.0,15320000000.0,
2017,13350000000.0,1450000000.0,27.0,920000000.0,15480000000.0,
2016,11190000000.0,1220000000.0,18.6,2100000000.0,12030000000.0,
2015,11880000000.0,1190000000.0,13.5,1910000000.0,12270000000.0,
2014,13280000000.0,1470000000.0,14.6,2180000000.0,13270000000.0,
2013,13060000000.0,1530000000.0,15.3,1780000000.0,12540000000.0,
2012,13080000000.0,1420000000.0,9.94,830000000.0,11170000000.0,
2011,12990000000.0,1520000000.0,,650000000.0,10880000000.0,
2010,11090000000.0,1140000000.0,,570000000.0,9910000000.0,
2009,9140000000.0,380000000.0,,180000000.0,9850000000.0,
2008,12280000000.0,1260000000.0,,320000000.0,10380000000.0,
2007,11270000000.0,1200000000.0,,170000000.0,8439999999.999999,
2006,10170000000.0,1080000000.0,,170000000.0,8170000000.0,
2005,8590000000.0,780000000.0,,330000000.0,6860000000.0,
2004,7650000000.0,650000000.0,,180000000.0,6230000000.0,
2003,6510000000.0,310000000.0,,240000000.0,5980000000.0,
2002,6330000000.0,220000000.0,,46380000.0,5750000000.0,
2001,5950000000.0,350000000.0,,23560000.0,5330000000.0,
2000,5820000000.0,650000000.0,,68460000.0,,
1999,5020000000.0,480000000.0,,33299999.999999996,,
1998,4850000000.0,490000000.0,,30500000.0,,
1997,4360000000.0,490000000.0,,69000000.0,,
1996,3850000000.0,360000000.0,,64000000.0,,
