year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,19850000000.0,Revenues,0000076334-25-000035,USD,True,3532000000.0,NetIncomeLoss,0000076334-25-000035,USD,True,3776000000.0,NetCashProvidedByUsedInOperatingActivities,0000076334-25-000035,USD,True,435000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000076334-25-000035,USD,True,4347000000.0,OperatingIncomeLoss,0000076334-25-000035,USD,True,,,,,False,575000000.0,IncomeTaxExpenseBenefit,0000076334-25-000035,USD,True,0.14,EffectiveIncomeTaxRateContinuingOperations,0000076334-25-000035,pure,True,4107000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000076334-25-000035,USD,True,467000000.0,CashAndCashEquivalentsAtCarryingValue,0000076334-25-000035,USD,True,,,,,False,7501000000.0,DebtAndCapitalLeaseObligations,0000076334-25-000035,USD,True,7000000.0,DebtCurrent,0000076334-25-000035,USD,True,102000000.0,FinanceLeaseLiabilityNoncurrent,0000076334-25-000035,USD,True,13682000000.0,StockholdersEquity,0000076334-25-000035,USD,True,467000000.0,7501000000.0,3341000000.0,0.14000486973459947,20716000000.0,3738398831.263696,0.18045949175823983,4347000000.0,False,0.16831234256926952,0.9459229898074745,True,True,PH,0000076334,ticker:PH,24
2024,19929606000.0,Revenues,0000076334-24-000044,USD,True,2844215000.0,NetIncomeLoss,0000076334-24-000044,USD,True,3384329000.0,NetCashProvidedByUsedInOperatingActivities,0000076334-24-000044,USD,True,400112000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000076334-24-000044,USD,True,4068818000.0,OperatingIncomeLoss,0000076334-24-000044,USD,True,,,,,False,749667000.0,IncomeTaxExpenseBenefit,0000076334-24-000044,USD,True,0.209,EffectiveIncomeTaxRateContinuingOperations,0000076334-24-000044,pure,True,3594603000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000076334-24-000044,USD,True,422027000.0,CashAndCashEquivalentsAtCarryingValue,0000076334-24-000044,USD,True,,,,,False,8412014000.0,DebtAndCapitalLeaseObligations,0000076334-24-000044,USD,True,1254980000.0,DebtCurrent,0000076334-24-000044,USD,True,98343000.0,FinanceLeaseLiabilityNoncurrent,0000076334-24-000044,USD,True,12071972000.0,StockholdersEquity,0000076334-24-000044,USD,True,422027000.0,8412014000.0,2984217000.0,0.20855348977341864,20061959000.0,3220251806.847098,0.1605153219008721,4068818000.0,False,0.14973788242477046,1.0492234236863247,True,True,PH,0000076334,ticker:PH,24
2023,19065194000.0,Revenues,0000076334-23-000042,USD,True,2082936000.0,NetIncomeLoss,0000076334-23-000042,USD,True,2979930000.0,NetCashProvidedByUsedInOperatingActivities,0000076334-23-000042,USD,True,380747000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000076334-23-000042,USD,True,3404177000.0,OperatingIncomeLoss,0000076334-23-000042,USD,True,573894000.0,InterestExpense,0000076334-23-000042,USD,True,596128000.0,IncomeTaxExpenseBenefit,0000076334-23-000042,USD,True,0.222,EffectiveIncomeTaxRateContinuingOperations,0000076334-23-000042,pure,True,2679664000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000076334-23-000042,USD,True,475182000.0,CashAndCashEquivalentsAtCarryingValue,0000076334-23-000042,USD,True,8390000.0,ShortTermInvestments,0000076334-23-000042,USD,True,10770655000.0,DebtAndCapitalLeaseObligations,0000076334-23-000042,USD,True,1974371000.0,DebtCurrent,0000076334-23-000042,USD,True,100889000.0,FinanceLeaseLiabilityNoncurrent,0000076334-23-000042,USD,True,10326888000.0,StockholdersEquity,0000076334-23-000042,USD,True,483572000.0,10770655000.0,2599183000.0,0.22246371186835365,20613971000.0,2646871148.7231236,0.12840180810980686,3404177000.0,False,0.13633131663910686,1.2478458291565366,True,True,PH,0000076334,ticker:PH,24
2022,15861608000.0,Revenues,0000076334-22-000034,USD,True,1315605000.0,NetIncomeLoss,0000076334-22-000034,USD,True,2441730000.0,NetCashProvidedByUsedInOperatingActivities,0000076334-22-000034,USD,True,230044000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000076334-22-000034,USD,True,2975035000.0,OperatingIncomeLoss,0000076334-22-000034,USD,True,255252000.0,InterestExpense,0000076334-22-000034,USD,True,298040000.0,IncomeTaxExpenseBenefit,0000076334-22-000034,USD,True,0.185,EffectiveIncomeTaxRateContinuingOperations,0000076334-22-000034,pure,True,1614226000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000076334-22-000034,USD,True,535799000.0,CashAndCashEquivalentsAtCarryingValue,0000076334-22-000034,USD,True,27862000.0,ShortTermInvestments,0000076334-22-000034,USD,True,10058105000.0,DebtAndCapitalLeaseObligations,0000076334-22-000034,USD,True,302280000.0,DebtCurrent,0000076334-22-000034,USD,True,9755825000.0,FinanceLeaseLiabilityNoncurrent,0000076334-22-000034,USD,True,8848011000.0,StockholdersEquity,0000076334-22-000034,USD,True,563661000.0,10058105000.0,2211686000.0,0.1846333784736462,18342455000.0,2425744236.872656,0.1322475228573632,2975035000.0,False,0.1394364304047862,1.681117052610776,True,True,PH,0000076334,ticker:PH,24
2021,14347640000.0,Revenues,0000076334-21-000187,USD,True,1746100000.0,NetIncomeLoss,0000076334-21-000187,USD,True,2575001000.0,NetCashProvidedByUsedInOperatingActivities,0000076334-21-000187,USD,True,209957000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000076334-21-000187,USD,True,2459941000.0,OperatingIncomeLoss,0000076334-21-000187,USD,True,250036000.0,InterestExpense,0000076334-21-000187,USD,True,500096000.0,IncomeTaxExpenseBenefit,0000076334-21-000187,USD,True,0.223,EffectiveIncomeTaxRateContinuingOperations,0000076334-21-000187,pure,True,2246957000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000076334-21-000187,USD,True,733117000.0,CashAndCashEquivalentsAtCarryingValue,0000076334-21-000187,USD,True,39116000.0,ShortTermInvestments,0000076334-21-000187,USD,True,6584872000.0,DebtAndCapitalLeaseObligations,0000076334-21-000187,USD,True,2819000.0,DebtCurrent,0000076334-21-000187,USD,True,6582053000.0,FinanceLeaseLiabilityNoncurrent,0000076334-21-000187,USD,True,8398307000.0,StockholdersEquity,0000076334-21-000187,USD,True,772233000.0,6584872000.0,2365044000.0,0.22256589689967365,14210946000.0,1912442025.0147202,0.13457527915556924,2459941000.0,False,0.16483853790588557,1.3544722524483135,True,True,PH,0000076334,ticker:PH,24
2020,13695520000.0,Revenues,0000076334-20-000099,USD,True,1206341000.0,NetIncomeLoss,0000076334-20-000099,USD,True,2070949000.0,NetCashProvidedByUsedInOperatingActivities,0000076334-20-000099,USD,True,232591000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000076334-20-000099,USD,True,1966704000.0,OperatingIncomeLoss,0000076334-20-000099,USD,True,308161000.0,InterestExpense,0000076334-20-000099,USD,True,305924000.0,IncomeTaxExpenseBenefit,0000076334-20-000099,USD,True,0.202,EffectiveIncomeTaxRateContinuingOperations,0000076334-20-000099,pure,True,1512627000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000076334-20-000099,USD,True,685514000.0,CashAndCashEquivalentsAtCarryingValue,0000076334-20-000099,USD,True,70805000.0,ShortTermInvestments,0000076334-20-000099,USD,True,7738285000.0,DebtAndCapitalLeaseObligations,0000076334-20-000099,USD,True,86029000.0,DebtCurrent,0000076334-20-000099,USD,True,7652256000.0,FinanceLeaseLiabilityNoncurrent,0000076334-20-000099,USD,True,6113983000.0,StockholdersEquity,0000076334-20-000099,USD,True,756319000.0,7738285000.0,1838358000.0,0.20224681960589094,13095949000.0,1568944370.8938158,0.11980379359249305,1966704000.0,False,0.1342306097176303,1.523912392930357,True,True,PH,0000076334,ticker:PH,24
2019,14320324000.0,Revenues,0000076334-19-000096,USD,True,1512364000.0,NetIncomeLoss,0000076334-19-000096,USD,True,1730140000.0,NetCashProvidedByUsedInOperatingActivities,0000076334-19-000096,USD,True,195089000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000076334-19-000096,USD,True,2431233000.0,OperatingIncomeLoss,0000076334-19-000096,USD,True,190138000.0,InterestExpense,0000076334-19-000096,USD,True,420494000.0,IncomeTaxExpenseBenefit,0000076334-19-000096,USD,True,0.217,EffectiveIncomeTaxRateContinuingOperations,0000076334-19-000096,pure,True,1933425000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000076334-19-000096,USD,True,3219767000.0,CashAndCashEquivalentsAtCarryingValue,0000076334-19-000096,USD,True,150931000.0,ShortTermInvestments,0000076334-19-000096,USD,True,6521059000.0,DebtAndCapitalLeaseObligations,0000076334-19-000096,USD,True,228000.0,DebtCurrent,0000076334-19-000096,USD,True,6520831000.0,FinanceLeaseLiabilityNoncurrent,0000076334-19-000096,USD,True,5961969000.0,StockholdersEquity,0000076334-19-000096,USD,True,3370698000.0,6521059000.0,1535051000.0,0.21748658468779497,9112330000.0,1902472438.2497382,0.2087800198467064,2431233000.0,False,0.10719387354643652,1.0150010182733786,True,True,PH,0000076334,ticker:PH,24
2018,14302392000.0,Revenues,0000076334-18-000087,USD,True,1060801000.0,NetIncomeLoss,0000076334-18-000087,USD,True,1600287000.0,NetCashProvidedByUsedInOperatingActivities,0000076334-18-000087,USD,True,247667000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000076334-18-000087,USD,True,2239179000.0,OperatingIncomeLoss,0000076334-18-000087,USD,True,213873000.0,InterestExpense,0000076334-18-000087,USD,True,640962000.0,IncomeTaxExpenseBenefit,0000076334-18-000087,USD,True,0.377,EffectiveIncomeTaxRateContinuingOperations,0000076334-18-000087,pure,True,1702277000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000076334-18-000087,USD,True,822137000.0,CashAndCashEquivalentsAtCarryingValue,0000076334-18-000087,USD,True,32995000.0,ShortTermInvestments,0000076334-18-000087,USD,True,4418970000.0,DebtAndCapitalLeaseObligations,0000076334-18-000087,USD,True,100411000.0,DebtCurrent,0000076334-18-000087,USD,True,4318559000.0,FinanceLeaseLiabilityNoncurrent,0000076334-18-000087,USD,True,5859866000.0,StockholdersEquity,0000076334-18-000087,USD,True,855132000.0,4418970000.0,1352620000.0,0.3765321390114535,9423704000.0,1396056141.5004725,0.14814303818333774,2239179000.0,False,0.0945729917065621,1.2750930664658122,True,True,PH,0000076334,ticker:PH,24
2017,12029312000.0,Revenues,0000076334-17-000095,USD,True,983412000.0,NetIncomeLoss,0000076334-17-000095,USD,True,1302471000.0,NetCashProvidedByUsedInOperatingActivities,0000076334-17-000095,USD,True,203748000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000076334-17-000095,USD,True,1790255000.0,OperatingIncomeLoss,0000076334-17-000095,USD,True,162436000.0,InterestExpense,0000076334-17-000095,USD,True,344797000.0,IncomeTaxExpenseBenefit,0000076334-17-000095,USD,True,0.26,EffectiveIncomeTaxRateContinuingOperations,0000076334-17-000095,pure,True,1328641000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000076334-17-000095,USD,True,884886000.0,CashAndCashEquivalentsAtCarryingValue,0000076334-17-000095,USD,True,39318000.0,ShortTermInvestments,0000076334-17-000095,USD,True,5336160000.0,DebtAndCapitalLeaseObligations,0000076334-17-000095,USD,True,474265000.0,DebtCurrent,0000076334-17-000095,USD,True,4861895000.0,FinanceLeaseLiabilityNoncurrent,0000076334-17-000095,USD,True,5261649000.0,StockholdersEquity,0000076334-17-000095,USD,True,924204000.0,5336160000.0,1098723000.0,0.25951103420713345,9673605000.0,1325664073.4555085,0.13703930163114045,1790255000.0,False,0.09133714380340288,1.117256043245354,True,True,PH,0000076334,ticker:PH,24
2016,11360753000.0,Revenues,0000076334-16-000196,USD,True,806840000.0,NetIncomeLoss,0000076334-16-000196,USD,True,1169843000.0,NetCashProvidedByUsedInOperatingActivities,0000076334-16-000196,USD,True,149407000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000076334-16-000196,USD,True,1575655000.0,OperatingIncomeLoss,0000076334-16-000196,USD,True,136517000.0,InterestExpense,0000076334-16-000196,USD,True,307512000.0,IncomeTaxExpenseBenefit,0000076334-16-000196,USD,True,0.276,EffectiveIncomeTaxRateContinuingOperations,0000076334-16-000196,pure,True,1114728000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000076334-16-000196,USD,True,1221653000.0,CashAndCashEquivalentsAtCarryingValue,0000076334-16-000196,USD,True,882342000.0,ShortTermInvestments,0000076334-16-000196,USD,True,2733140000.0,DebtAndCapitalLeaseObligations,0000076334-16-000196,USD,True,58140000.0,DebtCurrent,0000076334-16-000196,USD,True,2675000000.0,FinanceLeaseLiabilityNoncurrent,0000076334-16-000196,USD,True,4575255000.0,StockholdersEquity,0000076334-16-000196,USD,True,2103995000.0,2733140000.0,1020436000.0,0.2758628113764075,5204400000.0,1140990381.9407067,0.2192357201484718,1575655000.0,False,0.0898211588615649,1.2647315452877894,True,True,PH,0000076334,ticker:PH,24
