year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,22790000000.0,3.16,1450000000.0,,,,,,,,290000000.0,0.74,1.36,
2025,,5.07,,8.42,2440000000.0,6110000000.0,23710000000.0,7840000000.0,20.0,15870000000.0,280000000.0,0.93,1.4,3.85
2024,18320000000.0,2.7,1060000000.0,5.76,1110000000.0,5630000000.0,18890000000.0,5510000000.0,23.4,13380000000.0,280000000.0,1.16,1.01,3.37
2023,16660000000.0,2.14,820000000.0,4.98,2040000000.0,3360000000.0,14720000000.0,4390000000.0,20.6,10330000000.0,270000000.0,1.5,0.7443,2.82
2022,16860000000.0,2.05,770000000.0,4.6,1670000000.0,3280000000.0,13680000000.0,4040000000.0,17.3,9630000000.0,260000000.0,1.66,0.5779,2.41
2021,14780000000.0,1.33,550000000.0,3.74,2210000000.0,4219999999.9999995,13610000000.0,3490000000.0,26.5,10110000000.0,260000000.0,1.61,0.6678,2.82
2020,11590000000.0,0.84,290000000.0,2.52,1460000000.0,3900000000.0,12210000000.0,2980000000.0,39.3,9230000000.0,260000000.0,0.93,0.8125,3.16
2019,12870000000.0,1.24,490000000.0,3.85,1240000000.0,3630000000.0,11740000000.0,2910000000.0,17.6,8830000000.0,260000000.0,2.21,0.4922,2.17
2018,11890000000.0,0.27,220000000.0,1.02,1180000000.0,3720000000.0,11660000000.0,2710000000.0,64.4,8950000000.0,260000000.0,2.78,0.3422,1.5
2017,9060000000.0,1.37,350000000.0,4.11,1660000000.0,2200000000.0,8070000000.0,1960000000.0,20.1,6100000000.0,210000000.0,1.82,0.7551,3.48
2016,8359999999.999999,1.17,400000000.0,4.86,730000000.0,1350000000.0,6590000000.0,1720000000.0,18.1,4870000000.0,220000000.0,2.01,0.6608,3.21
2015,8090000000.0,1.06,340000000.0,4.21,690000000.0,1530000000.0,6830000000.0,1640000000.0,17.0,5180000000.0,220000000.0,2.48,0.5855,2.88
2014,8910000000.0,0.63,220000000.0,2.51,690000000.0,1680000000.0,6880000000.0,1430000000.0,23.0,5440000000.0,220000000.0,3.39,0.442,2.74
2013,9510000000.0,0.95,290000000.0,3.12,830000000.0,1940000000.0,7630000000.0,1630000000.0,21.1,6000000000.0,210000000.0,2.81,0.5745,3.35
2012,10200000000.0,1.01,310000000.0,3.08,1140000000.0,2300000000.0,7750000000.0,1510000000.0,15.1,6230000000.0,220000000.0,1.8,0.4116,2.77
2011,10450000000.0,-0.82,,-1.33,1040000000.0,2410000000.0,7630000000.0,1430000000.0,-11.3,6200000000.0,210000000.0,2.26,0.2513,1.83
2010,6050000000.0,1.05,280000000.0,4.66,1110000000.0,1740000000.0,5000000000.0,1060000000.0,11.8,3940000000.0,180000000.0,4.33,0.5079,2.89
2009,5240000000.0,1.94,460000000.0,9.03,820000000.0,1480000000.0,4360000000.0,1000000000.0,6.4,3360000000.0,180000000.0,4.66,0.6034,3.17
2008,,1.78,,5.56,800000000.0,1610000000.0,4330000000.0,640000000.0,5.89,3680000000.0,180000000.0,5.36,,4.33
2007,,2.36,,7.56,460000000.0,1530000000.0,4350000000.0,660000000.0,6.59,3690000000.0,,0.0,,
2006,,0.63,,2.92,590000000.0,1780000000.0,3910000000.0,220000000.0,,3690000000.0,,,,
2005,,-0.18,,-0.73,330000000.0,1410000000.0,3200000000.0,240000000.0,,2950000000.0,,,,
