year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,44480000000.0,9.28,12380000000.0,,,,,,,,1060000000.0,2.11,3.05,
2025,44860000000.0,4.91,13240000000.0,28.59,10150000000.0,14810000000.0,50140000000.0,21200000000.0,34.8,28930000000.0,1070000000.0000001,2.06,4.16,8.09
2024,40690000000.0,9.47,11690000000.0,26.53,13300000000.0,14630000000.0,55150000000.0,26270000000.0,15.9,28880000000.0,1110000000.0,2.22,4.29,6.5
2023,36290000000.0,6.96,8730000000.0,20.78,11320000000.0,15390000000.0,51040000000.0,21580000000.0,20.0,29450000000.0,1110000000.0,2.26,4.44,6.98
2022,42950000000.0,,14020000000.0,33.93,6380000000.0,15480000000.0,49010000000.0,18010000000.0,,31000000000.0,1120000000.0,2.84,2.87,6.55
2021,36030000000.0,8.85,12090000000.0,30.61,12410000000.0,15740000000.0,41240000000.0,9950000000.0,19.0,31290000000.0,1120000000.0,1.6,5.71,18.2
2020,26690000000.0,5.94,7970000000.0,24.3,11210000000.0,15720000000.0,35590000000.0,6070000000.0,23.1,29510000000.0,1130000000.0,1.87,6.46,23.3
2019,24500000000.0,3.55,8480000000.0,30.82,12260000000.0,15930000000.0,32950000000.000004,4900000000.0,21.9,28040000000.0,1140000000.0,3.19,4.11,22.3
2018,21440000000.0,1.59,1780000000.0,1.73,12080000000.0,16370000000.000002,32710000000.0,800000000.0,30.4,31910000000.0,1210000000.0,5.03,3.21,19.0
2017,22320000000.0,-2.84,2660000000.0,13.42,37300000000.0,21890000000.0,65480000000.00001,30740000000.0,-18.4,34740000000.0,1470000000.0,4.29,4.24,3.96
2016,23770000000.0,3.3,6300000000.0,29.01,18640000000.0,11750000000.0,52350000000.0,31760000000.0,15.5,20590000000.0,1470000000.0,4.04,4.05,3.09
2015,23950000000.0,3.06,6070000000.0,25.66,17320000000.0,10960000000.0,50790000000.0,31410000000.0,12.4,19380000000.0,1500000000.0,4.91,3.12,2.47
2014,26960000000.0,,9320000000.0,33.14,17560000000.0,,48570000000.0,39160000000.0,,9400000000.0,1660000000.0,2.95,4.56,3.17
2013,25470000000.0,,7640000000.0,32.95,14960000000.0,,45510000000.0,36080000000.0,,9420000000.0,1680000000.0,2.43,4.92,3.38
2012,20450000000.0,3.88,7230000000.0,34.32,12370000000.0,,43010000000.0,33540000000.0,11.3,9460000000.0,1700000000.0,2.21,5.19,3.0
2011,16290000000.0,,6050000000.0,38.02,11650000000.0,990000000.0,36420000000.0,26970000000.0,,9450000000.0,1680000000.0,2.2,5.66,3.24
2010,11660000000.0,,4620000000.0,40.91,10270000000.0,1080000000.0,30570000000.0,20850000000.0,,9710000000.0,1620000000.0,2.18,6.93,3.56
2009,10560000000.0,,2700000000.0,23.13,11060000000.0,,27440000000.0,20310000000.0,,7120000000.0,1670000000.0,2.16,7.33,3.63
2008,11210000000.0,,3480000000.0,34.34,6410000000.0,170000000.0,24560000000.0,17940000000.0,,6610000000.0,1650000000.0,2.62,5.27,3.45
2007,9290000000.0,,3060000000.0,40.87,6580000000.0,,18490000000.0,15830000000.0,,2660000000.0,1630000000.0,2.11,6.9,4.11
2006,7800000000.0,,2620000000.0,41.93,5720000000.0,,15200000000.0,13400000000.0,,1800000000.0,1650000000.0,1.85,8.02,4.41
2005,6020000000.0,,2440000000.0,49.52,6540000000.0,,12470000000.0,11110000000.0,,1360000000.0,1640000000.0,1.24,11.8,5.94
2004,5060000000.0,,2140000000.0000002,47.4,5980000000.0,,10820000000.0,9660000000.0,,1150000000.0,1630000000.0,0.84,13.8,6.74
2003,4050000000.0,,1440000000.0,40.68,4560000000.0,220000000.0,8820000000.0,7590000000.0,,1220000000.0,,0.71,10.7,5.46
2002,3430000000.0,,930000000.0,21.34,2790000000.0,94000000.0,6510000000.0,5430000000.0,,1070000000.0000001,,0.0,8.35,4.85
2001,2690000000.0,,580000000.0,-15.91,2280000000.0,,5660000000.0,4810000000.0,,850000000.0,,0.0,14.4,
2000,2730000000.0,,97970000.0,,1770000000.0,,,,,,,0.0,,
1999,4110000000.0000005,,580000000.0,,1610000000.0,110000000.0,,,,,,0.0,,
1998,3500000000.0,,260000000.0,,170000000.0,150000000.0,,,,,,3.49,,
1997,2490000000.0,,130000000.0,,690000000.0,120000000.0,,,,,,0.0,,
1996,1050000000.0,,2810000.0,,110000000.0,93800000.0,,,,,,0.0,,
1995,,,,,,,,,,,,0.0,,
1994,,,,,,,,,,,,0.0,,
1993,,,,,,,,,,,,0.0,,
1992,,,,,,,,,,,,0.0,,
1991,,,,,,,,,,,,0.0,,
