Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,44480000000.0,12380000000.0,,,,
2025,44860000000.0,13240000000.0,34.8,10150000000.0,50140000000.0,
2024,40690000000.0,11690000000.0,15.9,13300000000.0,55150000000.0,
2023,36290000000.0,8730000000.0,20.0,11320000000.0,51040000000.0,
2022,42950000000.0,14020000000.0,,6380000000.0,49010000000.0,
2021,36030000000.0,12090000000.0,19.0,12410000000.0,41240000000.0,
2020,26690000000.0,7970000000.0,23.1,11210000000.0,35590000000.0,
2019,24500000000.0,8480000000.0,21.9,12260000000.0,32950000000.000004,
2018,21440000000.0,1780000000.0,30.4,12080000000.0,32710000000.0,
2017,22320000000.0,2660000000.0,-18.4,37300000000.0,65480000000.00001,
2016,23770000000.0,6300000000.0,15.5,18640000000.0,52350000000.0,
2015,23950000000.0,6070000000.0,12.4,17320000000.0,50790000000.0,
2014,26960000000.0,9320000000.0,,17560000000.0,48570000000.0,
2013,25470000000.0,7640000000.0,,14960000000.0,45510000000.0,
2012,20450000000.0,7230000000.0,11.3,12370000000.0,43010000000.0,
2011,16290000000.0,6050000000.0,,11650000000.0,36420000000.0,
2010,11660000000.0,4620000000.0,,10270000000.0,30570000000.0,
2009,10560000000.0,2700000000.0,,11060000000.0,27440000000.0,
2008,11210000000.0,3480000000.0,,6410000000.0,24560000000.0,
2007,9290000000.0,3060000000.0,,6580000000.0,18490000000.0,
2006,7800000000.0,2620000000.0,,5720000000.0,15200000000.0,
2005,6020000000.0,2440000000.0,,6540000000.0,12470000000.0,
2004,5060000000.0,2140000000.0000002,,5980000000.0,10820000000.0,
2003,4050000000.0,1440000000.0,,4560000000.0,8820000000.0,
2002,3430000000.0,930000000.0,,2790000000.0,6510000000.0,
2001,2690000000.0,580000000.0,,2280000000.0,5660000000.0,
2000,2730000000.0,97970000.0,,1770000000.0,,
1999,4110000000.0000005,580000000.0,,1610000000.0,,
1998,3500000000.0,260000000.0,,170000000.0,,
1997,2490000000.0,130000000.0,,690000000.0,,
1996,1050000000.0,2810000.0,,110000000.0,,
