year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,14910000000.0,42.53,5150000000.0,,,,,,,,100000000.0,0.55,5.23,
2025,14340000000.0,43.12,5230000000.0,36.47,8600000000.0,2700000000.0,40550000000.0,31250000000.0,17.9,9300000000.0,100000000.0,0.46,5.74,2.63
2024,14200000000.0,40.88,4770000000.0,33.66,9010000000.0,2700000000.0,37750000000.0,29350000000.0,17.4,8400000000.0,100000000.0,0.0,5.51,2.67
2023,13110000000.0,37.05,4190000000.0000005,32.01,10840000000.0,2700000000.0,33080000000.0,25970000000.0,23.6,7100000000.0,100000000.0,0.0,7.29,3.68
2022,12170000000.0,40.52,4850000000.0,39.91,7740000000.0,2700000000.0,29210000000.0,22660000000.0,17.7,6550000000.0,100000000.0,0.0,6.45,3.47
2021,16070000000.0,76.45,9320000000.0,58.03,5690000000.0,2690000000.0,25430000000.0,18760000000.0,8.23,6660000000.0,100000000.0,0.0,4.23,3.62
2020,8490000000.0,32.76,3810000000.0,44.84,3580000000.0,2690000000.0,17160000000.0,11020000000.0,14.7,6130000000.0,100000000.0,0.0,6.07,4.68
2019,6860000000.0,19.37,2420000000.0,37.04,3210000000.0,710000000.0,14800000000.0,11080000000.0,19.3,3710000000.0,100000000.0,0.0,6.03,3.73
2018,6710000000.0,22.64,2550000000.0,49.62,2800000000.0,700000000.0,11730000000.0,8750000000.0,16.4,2970000000.0,100000000.0,0.0,6.07,4.65
2017,5870000000.0,11.28,2069999999.9999998,35.4,1400000000.0,700000000.0,8760000000.0,6140000000.0,33.2,2620000000.0,100000000.0,0.0,6.88,6.57
2016,4860000000.0,8.56,1320000000.0,27.36,1030000000.0,480000000.0,6970000000.0,4440000000.0,42.7,2520000000.0,100000000.0,0.0,7.97,8.7
2015,4099999999.9999995,6.16,1220000000.0,29.85,1040000000.0,360000000.0,5600000000.0,3650000000.0,87.8,1950000000.0,100000000.0,0.0,13.8,15.5
2014,2810000000.0,3.57,790000000.0,27.0,900000000.0,450000000.0,3830000000.0,2550000000.0,114.0,1280000000.0,100000000.0,0.0,14.9,16.5
2013,2100000000.0,4.33,710000000.0,33.09,690000000.0,500000000.0,2950000000.0,1950000000.0,63.3,990000000.0,98860000.0,0.0,13.0,14.1
2012,1370000000.0,7.87,410000000.0,30.06,300000000.0,450000000.0,2080000000.0,1240000000.0,21.6,830000000.0,95690000.0,0.0,12.1,13.4
2011,440000000.0,,,-50.0,520000000.0,430000000.0,1320000000.0,480000000.0,,830000000.0,91040000.0,0.0,11.5,10.6
2010,450000000.0,-1.27,,-22.76,240000000.0,160000000.0,1080000000.0,520000000.0,-25.7,560000000.0,87400000.0,0.0,6.39,5.56
2009,370000000.0,,,-18.97,340000000.0,100000000.0,740000000.0,390000000.0,,340000000.0,79860000.0,0.0,5.17,4.94
2008,230000000.0,,,-32.2,470000000.0,5090000.0,720000000.0,420000000.0,,300000000.0,78930000.0,0.0,6.13,3.47
2007,120000000.0,,,-84.46,760000000.0,200000000.0,930000000.0,460000000.0,,470000000.0,66060000.0,0.0,15.2,4.14
2006,63440000.0,,,-169.68,450000000.0,200000000.0,580000000.0,210000000.0,,360000000.0,57010000.0,0.0,20.7,6.06
2005,66190000.0,,120000000.0,187.97,290000000.0,200000000.0,420000000.0,110000000.0,,300000000.0,55970000.0,0.0,13.6,7.87
2004,170000000.0,,5640000.0,3.24,290000000.0,200000000.0,470000000.0,180000000.0,,290000000.0,55460000.0,0.0,2.96,2.82
2003,57700000.0,,,-173.9,290000000.0,210000000.0,470000000.0,130000000.0,,340000000.0,52690000.0,0.0,14.2,5.94
2002,21980000.0,,,-554.63,260000000.0,200000000.0,390000000.0,140000000.0,,240000000.0,43950000.0,0.0,37.5,5.64
2001,21970000.0,,,-389.95,380000000.0,200000000.0,490000000.0,260000000.0,,220000000.0,43320000.0,0.0,56.3,
2000,59460000.0,,,,110000000.0,2680000.0,,,,,36130000.0,0.0,,
1999,34500000.0,,,,66200000.0,4099999.9999999995,,,,,30620000.0,0.0,,
1998,38200000.0,,,,19800000.0,4200000.0,,,,,35000000.0,0.0,,
1997,33100000.0,,,,28900000.0,5600000.0,,,,,31660000.0,0.0,,
1996,24100000.0,,,,34500000.0,8700000.0,,,,,25420000.0,0.0,,
1995,,,,,,,,,,,,0.0,,
1994,,,,,,,,,,,,0.0,,
1993,,,,,,,,,,,,0.0,,
1992,,,,,,,,,,,,0.0,,
1991,,,,,,,,,,,,0.0,,
