Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,14910000000.0,5150000000.0,,,,
2025,14340000000.0,5230000000.0,17.9,8600000000.0,40550000000.0,
2024,14200000000.0,4770000000.0,17.4,9010000000.0,37750000000.0,
2023,13110000000.0,4190000000.0000005,23.6,10840000000.0,33080000000.0,
2022,12170000000.0,4850000000.0,17.7,7740000000.0,29210000000.0,
2021,16070000000.0,9320000000.0,8.23,5690000000.0,25430000000.0,
2020,8490000000.0,3810000000.0,14.7,3580000000.0,17160000000.0,
2019,6860000000.0,2420000000.0,19.3,3210000000.0,14800000000.0,
2018,6710000000.0,2550000000.0,16.4,2800000000.0,11730000000.0,
2017,5870000000.0,2069999999.9999998,33.2,1400000000.0,8760000000.0,
2016,4860000000.0,1320000000.0,42.7,1030000000.0,6970000000.0,
2015,4099999999.9999995,1220000000.0,87.8,1040000000.0,5600000000.0,
2014,2810000000.0,790000000.0,114.0,900000000.0,3830000000.0,
2013,2100000000.0,710000000.0,63.3,690000000.0,2950000000.0,
2012,1370000000.0,410000000.0,21.6,300000000.0,2080000000.0,
2011,440000000.0,,,520000000.0,1320000000.0,
2010,450000000.0,,-25.7,240000000.0,1080000000.0,
2009,370000000.0,,,340000000.0,740000000.0,
2008,230000000.0,,,470000000.0,720000000.0,
2007,120000000.0,,,760000000.0,930000000.0,
2006,63440000.0,,,450000000.0,580000000.0,
2005,66190000.0,120000000.0,,290000000.0,420000000.0,
2004,170000000.0,5640000.0,,290000000.0,470000000.0,
2003,57700000.0,,,290000000.0,470000000.0,
2002,21980000.0,,,260000000.0,390000000.0,
2001,21970000.0,,,380000000.0,490000000.0,
2000,59460000.0,,,110000000.0,,
1999,34500000.0,,,66200000.0,,
1998,38200000.0,,,19800000.0,,
1997,33100000.0,,,28900000.0,,
1996,24100000.0,,,34500000.0,,
