year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,14342900000.0,Revenues,0000872589-26-000008,USD,True,4504900000.0,NetIncomeLoss,0000872589-26-000008,USD,True,4978900000.0,NetCashProvidedByUsedInOperatingActivities,0000872589-26-000008,USD,True,178800000.0,CapitalExpendituresIncurredButNotYetPaid,0000872589-26-000008,USD,True,3577900000.0,OperatingIncomeLoss,0000872589-26-000008,USD,True,,,,,False,725800000.0,IncomeTaxExpenseBenefit,0000872589-26-000008,USD,True,0.139,EffectiveIncomeTaxRateContinuingOperations,0000872589-26-000008,pure,True,5230700000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000872589-26-000008,USD,True,3118100000.0,CashAndCashEquivalentsAtCarryingValue,0000872589-26-000008,USD,True,,,,,False,,,,,False,,,,,False,720000000.0,FinanceLeaseLiabilityNoncurrent,0000872589-26-000008,USD,True,31256900000.0,StockholdersEquity,0000872589-26-000008,USD,True,3118100000.0,720000000.0,4800100000.0,0.1387577188521613,28858800000.0,3081438757.718852,0.10677639949404868,3577900000.0,False,0.33466732669125493,1.06552864658483,True,True,REGN,0000872589,ticker:REGN,25
2024,14202000000.0,Revenues,0001804220-25-000011,USD,True,4412600000.0,NetIncomeLoss,0001804220-25-000011,USD,True,4420500000.0,NetCashProvidedByUsedInOperatingActivities,0001804220-25-000011,USD,True,151600000.0,CapitalExpendituresIncurredButNotYetPaid,0001804220-25-000011,USD,True,3990700000.0,OperatingIncomeLoss,0001804220-25-000011,USD,True,,,,,False,367300000.0,IncomeTaxExpenseBenefit,0001804220-25-000011,USD,True,0.077,EffectiveIncomeTaxRateContinuingOperations,0001804220-25-000011,pure,True,4779900000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001804220-25-000011,USD,True,2488200000.0,CashAndCashEquivalentsAtCarryingValue,0001804220-25-000011,USD,True,,,,,False,,,,,False,,,,,False,720000000.0,FinanceLeaseLiabilityNoncurrent,0001804220-25-000011,USD,True,29353600000.0,StockholdersEquity,0001804220-25-000011,USD,True,2488200000.0,720000000.0,4268900000.0,0.07684261177012071,27585400000.0,3684044189.2089787,0.13355050821119066,3990700000.0,False,0.30058442472891145,0.9674341657979423,True,True,REGN,0000872589,ticker:REGN,25
2023,13117200000.0,Revenues,0001804220-24-000009,USD,True,3953600000.0,NetIncomeLoss,0001804220-24-000009,USD,True,4594000000.0,NetCashProvidedByUsedInOperatingActivities,0001804220-24-000009,USD,True,75400000.0,CapitalExpendituresIncurredButNotYetPaid,0001804220-24-000009,USD,True,4047100000.0,OperatingIncomeLoss,0001804220-24-000009,USD,True,73000000.0,InterestExpense,0001804220-24-000009,USD,True,245700000.0,IncomeTaxExpenseBenefit,0001804220-24-000009,USD,True,0.059,EffectiveIncomeTaxRateContinuingOperations,0001804220-24-000009,pure,True,4199300000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001804220-24-000009,USD,True,2730000000.0,CashAndCashEquivalentsAtCarryingValue,0001804220-24-000009,USD,True,,,,,False,,,,,False,,,,,False,720000000.0,FinanceLeaseLiabilityNoncurrent,0001804220-24-000009,USD,True,25973100000.0,StockholdersEquity,0001804220-24-000009,USD,True,2730000000.0,720000000.0,4518600000.0,0.058509751625270875,23963100000.0,3810305184.197366,0.15900718956217544,4047100000.0,False,0.34447900466562986,1.1429077296641037,True,True,REGN,0000872589,ticker:REGN,25
2022,12172900000.0,Revenues,0001804220-23-000008,USD,True,4338400000.0,NetIncomeLoss,0001804220-23-000008,USD,True,5014900000.0,NetCashProvidedByUsedInOperatingActivities,0001804220-23-000008,USD,True,70800000.0,CapitalExpendituresIncurredButNotYetPaid,0001804220-23-000008,USD,True,4738900000.0,OperatingIncomeLoss,0001804220-23-000008,USD,True,59400000.0,InterestExpense,0001804220-23-000008,USD,True,520400000.0,IncomeTaxExpenseBenefit,0001804220-23-000008,USD,True,0.107,EffectiveIncomeTaxRateContinuingOperations,0001804220-23-000008,pure,True,4858800000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001804220-23-000008,USD,True,3105900000.0,CashAndCashEquivalentsAtCarryingValue,0001804220-23-000008,USD,True,,,,,False,,,,,False,0.0,FinanceLeaseLiabilityCurrent,0001804220-23-000008,USD,True,720000000.0,FinanceLeaseLiabilityNoncurrent,0001804220-23-000008,USD,True,22664000000.0,StockholdersEquity,0001804220-23-000008,USD,True,3105900000.0,720000000.0,4944100000.0,0.10710463488927308,20278100000.0,4231341845.723224,0.20866559715768362,4738900000.0,False,0.40615629800622693,1.139613682463581,True,True,REGN,0000872589,ticker:REGN,25
2021,16071700000.0,Revenues,0001804220-22-000007,USD,True,8075300000.0,NetIncomeLoss,0001804220-22-000007,USD,True,7081300000.0,NetCashProvidedByUsedInOperatingActivities,0001804220-22-000007,USD,True,74800000.0,CapitalExpendituresIncurredButNotYetPaid,0001804220-22-000007,USD,True,8946800000.0,OperatingIncomeLoss,0001804220-22-000007,USD,True,57300000.0,InterestExpense,0001804220-22-000007,USD,True,1250500000.0,IncomeTaxExpenseBenefit,0001804220-22-000007,USD,True,0.134,EffectiveIncomeTaxRateContinuingOperations,0001804220-22-000007,pure,True,9325800000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001804220-22-000007,USD,True,2885600000.0,CashAndCashEquivalentsAtCarryingValue,0001804220-22-000007,USD,True,,,,,False,,,,,False,719700000.0,FinanceLeaseLiabilityCurrent,0001804220-22-000007,USD,True,0.0,FinanceLeaseLiabilityNoncurrent,0001804220-22-000007,USD,True,18768800000.0,StockholdersEquity,0001804220-22-000007,USD,True,2885600000.0,719700000.0,7006500000.0,0.13409037294387613,16602900000.0,7747120251.345729,0.4666124744078281,8946800000.0,False,0.43595263724434874,0.8676457840575582,True,True,REGN,0000872589,ticker:REGN,25
2020,8497100000.0,Revenues,0001804220-21-000008,USD,True,3513200000.0,NetIncomeLoss,0001804220-21-000008,USD,True,2618100000.0,NetCashProvidedByUsedInOperatingActivities,0001804220-21-000008,USD,True,83600000.0,CapitalExpendituresIncurredButNotYetPaid,0001804220-21-000008,USD,True,3576600000.0,OperatingIncomeLoss,0001804220-21-000008,USD,True,56900000.0,InterestExpense,0001804220-21-000008,USD,True,297200000.0,IncomeTaxExpenseBenefit,0001804220-21-000008,USD,True,0.078,EffectiveIncomeTaxRateContinuingOperations,0001804220-21-000008,pure,True,3810400000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001804220-21-000008,USD,True,2193700000.0,CashAndCashEquivalentsAtCarryingValue,0001804220-21-000008,USD,True,,,,,False,,,,,False,,,,,False,717200000.0,FinanceLeaseLiabilityNoncurrent,0001804220-21-000008,USD,True,11025300000.0,StockholdersEquity,0001804220-21-000008,USD,True,2193700000.0,717200000.0,2534500000.0,0.0779970606760445,9548800000.0,3297635712.7860594,0.3453455630850012,3576600000.0,False,0.29827823610408255,0.7214220653535238,True,True,REGN,0000872589,ticker:REGN,25
2019,7863400000.0,Revenues,0001532176-20-000008,USD,True,2115800000.0,NetIncomeLoss,0001532176-20-000008,USD,True,2430000000.0,NetCashProvidedByUsedInOperatingActivities,0001532176-20-000008,USD,True,429600000.0,CapitalExpendituresIncurredButNotYetPaid,0001532176-20-000008,USD,True,2209800000.0,OperatingIncomeLoss,0001532176-20-000008,USD,True,30200000.0,InterestExpense,0001532176-20-000008,USD,True,313300000.0,IncomeTaxExpenseBenefit,0001532176-20-000008,USD,True,0.129,EffectiveIncomeTaxRateContinuingOperations,0001532176-20-000008,pure,True,2429100000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001532176-20-000008,USD,True,1617800000.0,CashAndCashEquivalentsAtCarryingValue,0001532176-20-000008,USD,True,,,,,False,,,,,False,,,,,False,713900000.0,FinanceLeaseLiabilityNoncurrent,0001532176-20-000008,USD,True,11089700000.0,StockholdersEquity,0001532176-20-000008,USD,True,1617800000.0,713900000.0,2000400000.0,0.12897781071178627,10185800000.0,1924784833.8890948,0.18896746783650717,2209800000.0,False,0.25439377368568306,0.9454579827961055,True,True,REGN,0000872589,ticker:REGN,25
2018,6710800000.0,Revenues,0001532176-19-000009,USD,True,2444400000.0,NetIncomeLoss,0001532176-19-000009,USD,True,2195100000.0,NetCashProvidedByUsedInOperatingActivities,0001532176-19-000009,USD,True,383100000.0,CapitalExpendituresIncurredButNotYetPaid,0001532176-19-000009,USD,True,2534400000.0,OperatingIncomeLoss,0001532176-19-000009,USD,True,28200000.0,InterestExpense,0001532176-19-000009,USD,True,109100000.0,IncomeTaxExpenseBenefit,0001532176-19-000009,USD,True,0.043,EffectiveIncomeTaxRateContinuingOperations,0001532176-19-000009,pure,True,2553500000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001532176-19-000009,USD,True,1467700000.0,CashAndCashEquivalentsAtCarryingValue,0001532176-19-000009,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,8757300000.0,StockholdersEquity,0001532176-19-000009,USD,True,1467700000.0,,1812000000.0,0.042725670648130015,,,,2534400000.0,False,0.270012517136556,0.741286205203731,False,True,REGN,0000872589,ticker:REGN,25
2017,5872227000.0,Revenues,0001532176-18-000013,USD,True,1198511000.0,NetIncomeLoss,0001532176-18-000013,USD,True,1307112000.0,NetCashProvidedByUsedInOperatingActivities,0001532176-18-000013,USD,True,272626000.0,CapitalExpendituresIncurredButNotYetPaid,0001532176-18-000013,USD,True,2079591000.0,OperatingIncomeLoss,0001532176-18-000013,USD,True,,,,,False,880000000.0,IncomeTaxExpenseBenefit,0001532176-18-000013,USD,True,0.423,EffectiveIncomeTaxRateContinuingOperations,0001532176-18-000013,pure,True,2078511000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001532176-18-000013,USD,True,812733000.0,CashAndCashEquivalentsAtCarryingValue,0001532176-18-000013,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,6144078000.0,StockholdersEquity,0001532176-18-000013,USD,True,812733000.0,,1034486000.0,0.4233800061678769,,,,2079591000.0,False,0.17616587369664014,0.8631426828790058,False,True,REGN,0000872589,ticker:REGN,25
2016,4860427000.0,Revenues,0001532176-17-000008,USD,True,895522000.0,NetIncomeLoss,0001532176-17-000008,USD,True,1473396000.0,NetCashProvidedByUsedInOperatingActivities,0001532176-17-000008,USD,True,511941000.0,CapitalExpendituresIncurredButNotYetPaid,0001532176-17-000008,USD,True,1330741000.0,OperatingIncomeLoss,0001532176-17-000008,USD,True,,,,,False,434293000.0,IncomeTaxExpenseBenefit,0001532176-17-000008,USD,True,0.327,EffectiveIncomeTaxRateContinuingOperations,0001532176-17-000008,pure,True,1329815000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001532176-17-000008,USD,True,535203000.0,CashAndCashEquivalentsAtCarryingValue,0001532176-17-000008,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,4449245000.0,StockholdersEquity,0001532176-17-000008,USD,True,535203000.0,,961455000.0,0.3265815169779255,,,,1330741000.0,False,0.19781286705879958,1.0736252152375934,False,True,REGN,0000872589,ticker:REGN,25
