year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,,,,,,,,,,,,2.58,,
2025,12910000000.0,,4070000000.0000005,31.52,170000000.0,9780000000.0,19870000000.0,3210000000.0,,16649999999.999998,1830000000.0,2.03,5.6,22.5
2024,11830000000.0,,3560000000.0,30.08,140000000.0,8210000000.000001,18990000000.0,4390000000.0,,14590000000.0,1860000000.0,1.7,7.15,19.2
2023,11670000000.0,,3300000000.0,28.33,190000000.0,8270000000.0,19000000000.0,4380000000.0,,14620000000.0,1890000000.0,1.79,6.41,17.1
2022,10340000000.0,,2770000000.0,26.83,400000000.0,8140000000.000001,19140000000.0,4540000000.0,,14600000000.0,1920000000.0,2.56,5.13,11.7
2021,9770000000.0,,2590000000.0,26.53,150000000.0,8320000000.0,18700000000.0,4350000000.0,,14350000000.0,1920000000.0,2.22,6.41,14.4
2020,9690000000.0,,2220000000.0,22.98,110000000.0,9700000000.0,19280000000.0,2860000000.0,,16410000000.0,1920000000.0,2.65,4.87,16.5
2019,10320000000.0,,2810000000.0,27.28,180000000.0,8410000000.0,18080000000.0,2870000000.0,,15200000000.0,1940000000.0,2.51,4.69,16.9
2018,9510000000.0,,2430000000.0,25.59,140000000.0,8070000000.0,17760000000.0,2990000000.0,,14770000000.0,1970000000.0,3.13,4.25,13.5
2017,9920000000.0,,2570000000.0,25.91,150000000.0,7090000000.0,17070000000.0,3120000000.0,,13940000000.0,2009999999.9999998,2.38,2.51,7.95
2016,8500000000.0,,2029999999.9999998,23.9,190000000.0,5970000000.0,16430000000.0,2900000000.0,,13520000000.0,2060000000.0,3.03,2.27,6.64
2015,8840000000.0,,2160000000.0,24.52,180000000.0,5780000000.0,16570000000.0,3220000000.0,,13340000000.0,2100000000.0,2.86,2.23,6.11
2014,8980000000.0,,2140000000.0000002,23.84,420000000.0,5950000000.0,17260000000.0,3320000000.0,,13930000000.0,,3.16,2.16,5.84
2013,9950000000.0,,2260000000.0,22.8,210000000.0,5410000000.0,17310000000.0,3990000000.0,,13310000000.0,,3.14,1.72,4.29
2012,9880000000.0,,2220000000.0,22.48,1030000000.0,6290000000.0,17800000000.0,3740000000.0,,14060000000.0,,4.5,1.26,3.33
2011,9320000000.0,,1780000000.0,19.09,1120000000.0,6650000000.0,17870000000.0,3410000000.0,,14460000000.0,,5.84,1.04,2.85
2010,9340000000.0,,1600000000.0,17.14,1140000000.0,6640000000.0,17220000000.0,3040000000.0,,14180000000.0,,5.39,1.09,3.34
2009,9820000000.0,,1170000000.0,11.94,1180000000.0,7610000000.0,18340000000.0,2840000000.0,,15490000000.0,,5.58,1.02,3.52
2008,7810000000.0,,1190000000.0,15.3,540000000.0,9000000000.0,18850000000.0,1430000000.0,,17410000000.0,,8.01,1.04,5.68
2007,9100000000.0,,1960000000.0,21.55,4900000000.0,6210000000.0,19420000000.0,5910000000.0,,13510000000.0,,3.89,1.94,2.98
2006,8830000000.0,,1660000000.0,18.87,1010000000.0,5880000000.0,16710000000.0,3870000000.0,,12830000000.0,,4.04,1.63,3.72
2005,7350000000.0,,1310000000.0,17.91,510000000.0,5450000000.0,15730000000.0,3420000000.0,,12310000000.0,,4.57,1.67,3.6
2004,9230000000.0,,1490000000.0,16.19,430000000.0,5290000000.0,15260000000.0,3210000000.0,,12040000000.0,,4.23,1.31,3.76
2003,8800000000.0,,1260000000.0,14.31,120000000.0,5380000000.0,14650000000.0,4370000000.0,,10280000000.0,,4.11,1.24,2.5
2002,8039999999.999999,,830000000.0,10.34,270000000.0,5290000000.0,14000000000.0,4240000000.0,,9750000000.0,,3.67,1.39,2.64
2001,6610000000.0,,750000000.0,11.49,130000000.0,5310000000.0,14260000000.0,4230000000.0000005,,10020000000.0,,3.61,1.63,
2000,5620000000.0,,470000000.0,,120000000.0,3020000000.0,,,,,,2.65,,
1999,5470000000.0,,350000000.0,,120000000.0,2430000000.0,,,,,,6.05,,
1998,5300000000.0,,1900000000.0,,43230000.0,2770000000.0,,,,,,7.88,,
1997,5610000000.0,,300000000.0,,1380000000.0,2420000000.0,,,,,,5.67,,
1996,5780000000.0,,1170000000.0,,1950000000.0,2280000000.0,,,,,,5.51,,
1995,,,,,,,,,,,,3.31,,
1994,,,,,,,,,,,,0.0,,
