year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,,,,,,,,,,,,2.96,,
2025,80020000000.0,20.44,21430000000.0,26.79,19540000000.0,41920000000.0,127190000000.0,47840000000.0,19.4,79350000000.0,790000000.0,2.99,4.13,6.91
2024,69070000000.0,11.5,13050000000.0,18.9,19170000000.0,40240000000.0,112700000000.0,40030000000.0,27.0,72670000000.0,790000000.0,3.78,3.28,5.66
2023,71880000000.0,17.13,16739999999.999998,23.29,12500000000.0,36610000000.0,107600000000.0,39560000000.0,16.8,68030000000.0,790000000.0,4.02,3.26,5.92
2022,71240000000.0,16.8,17670000000.0,24.81,10570000000.0,28730000000.0,95420000000.0,34650000000.0,22.7,60760000000.0,800000000.0,2.97,3.64,7.49
2021,68730000000.0,17.93,19040000000.0,27.7,14260000000.0,35620000000.0,101030000000.0,31020000000.0,23.7,70010000000.0,850000000.0,2.61,4.91,10.9
2020,66150000000.00001,18.98,20370000000.0,30.8,13990000000.0,17480000000.0,97700000000.0,45110000000.0,16.5,52590000000.0,850000000.0,3.5,4.52,6.63
2019,63450000000.0,16.28,17149999999.999998,27.03,12240000000.0,16079999999.999998,85780000000.0,37020000000.0,18.5,48750000000.0,850000000.0,3.53,4.35,7.46
2018,57790000000.0,12.49,14380000000.0,24.89,13330000000.0,19080000000.0,79820000000.0,30870000000.0,18.2,48950000000.0,850000000.0,4.46,3.64,6.82
2017,54730000000.0,10.39,12570000000.0,22.98,12320000000.0,19470000000.0,78740000000.0,29780000000.0,21.7,48950000000.0,850000000.0,4.44,3.95,7.25
2016,49640000000.0,11.03,12760000000.0,25.72,8930000000.0,21940000000.0,75400000000.0,25910000000.0,19.1,49490000000.0,850000000.0,4.69,3.94,7.54
2015,48720000000.0,10.55,12130000000.0,24.9,9280000000.0,23530000000.0,76680000000.0,23580000000.0,22.5,53100000000.0,850000000.0,4.11,4.89,10.1
2014,48010000000.0,11.12,12660000000.0,26.37,11830000000.0,26010000000.0,76410000000.0,21800000000.0,20.0,54600000000.0,840000000.0,4.27,4.82,10.6
2013,52720000000.0,14.83,16540000000.0,31.37,13450000000.0,21010000000.0,70070000000.0,23940000000.0,13.5,46120000000.0,840000000.0,4.49,4.52,9.95
2012,49850000000.0,12.18,13320000000.0,26.72,15330000000.0,26940000000.0,71010000000.0,18350000000.0,12.0,52660000000.0,840000000.0,5.69,6.33,17.2
2011,45330000000.0,11.74,12660000000.0,27.94,12030000000.0,28620000000.0,65640000000.0,15460000000.0,10.6,50180000000.0,840000000.0,6.46,3.26,9.55
2010,50800000000.0,10.85,11990000000.0,23.62,11660000000.0,32159999999.999996,65290000000.00001,12470000000.0,9.39,52810000000.0,,7.19,2.51,10.2
2009,47420000000.0,8.77,9890000000.0,20.86,17930000000.0,41010000000.0,72090000000.0,9100000000.0,14.3,62990000000.0,,4.88,3.14,16.4
2008,43740000000.0,10.0,13570000000.0,31.04,19910000000.0,3920000000.0,72950000000.0,51600000000.0,11.3,21350000000.0,,4.98,3.09,2.62
2007,40750000000.0,10.04,13510000000.0,33.17,21370000000.0,6060000000.0,69220000000.0,47210000000.0,13.9,22010000000.0,,2.98,3.72,3.21
2006,34550000000.0,7.59,10340000000.0,29.94,19990000000.0,6770000000.0,61160000000.0,38470000000.0,21.0,22680000000.0,,2.07,5.08,4.56
2005,26980000000.0,5.33,6960000000.0,25.8,15870000000.0,7340000000.0,52580000000.0,30510000000.0,26.2,22060000000.0,,2.04,,
2004,25880000000.0,6.89,5770000000.0,22.33,11390000000.0,7970000000.0,51240000000.0,29180000000.0,13.6,22060000000.0,,2.14,,
2003,25240000000.0,2.96,3940000000.0,15.63,13010000000.0,12360000000.0,48100000000.0,23580000000.0,36.0,24520000000.0,,1.66,,
2002,35950000000.0,-5.86,,-10.84,19320000000.0,27280000000.0,78130000000.0,31460000000.0,-18.3,46660000000.0,,1.48,,
2001,35600000000.0,5.37,5810000000.0,16.33,29970000000.0,28970000000.0,91910000000.0,41340000000.0,15.4,50560000000.0,,1.69,,
2000,35000000000.0,12.5,11550000000.0,,25200000000.0,26390000000.0,,,,,,1.01,,
1999,33650000000.0,8.16,9220000000.0,,23030000000.0,26450000000.0,,,,,,0.7,,
1998,30110000000.0,6.21,6650000000.0,,19600000000.0,24540000000.0,,,,,,0.7,,
1997,,,,,,,,,,,,0.7,,
1996,,,,,,,,,,,,1.4,,
1995,,,,,,,,,,,,0.77,,
