Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,8800000000.0,1180000000.0,,,,
2025,8560000000.000001,1040000000.0,44.2,460000000.0,11210000000.0,
2024,8090000000.0,1050000000.0,34.8,470000000.0,11230000000.0,
2023,9120000000.0,1400000000.0,28.5,1070000000.0000001,11300000000.0,
2022,7880000000.0,1250000000.0,26.5,490000000.0,10750000000.0,
2021,7280000000.0,1100000000.0,37.7,660000000.0,10700000000.0,
2020,6210000000.0,1500000000.0,20.5,700000000.0,7260000000.0,
2019,6730000000.0,1110000000.0,23.2,1010000000.0,6110000000.0,
2018,6720000000.0,1150000000.0,19.1,900000000.0,6260000000.0,
2017,6400000000.0,1070000000.0000001,58.5,2530000000.0,7160000000.0,
2016,5940000000.0,960000000.0,19.4,2420000000.0,7100000000.0,
2015,6160000000.0,1070000000.0000001,14.1,2140000000.0000002,6400000000.0,
2014,6600000000.0,1140000000.0,14.6,1810000000.0,6220000000.0,
2013,6450000000.0,1030000000.0,16.4,1570000000.0,5840000000.0,
2012,6270000000.0,940000000.0,12.8,1250000000.0,5630000000.0,
2011,6100000000.0,920000000.0,,980000000.0,5280000000.0,
2010,5150000000.0,630000000.0,,810000000.0,4740000000.0,
2009,4210000000.0,230000000.0,,640000000.0,4300000000.0,
2008,5550000000.0,720000000.0,,580000000.0,4590000000.0,
2007,5180000000.0,820000000.0,,620000000.0,4540000000.0,
2006,4890000000.0,780000000.0,,400000000.0,4730000000.0,
2005,4880000000.0,730000000.0,,460000000.0,4520000000.0,
2004,4510000000.0,530000000.0,,470000000.0,4210000000.0,
2003,4110000000.0000005,310000000.0,,220000000.0,3980000000.0,
2002,3950000000.0,250000000.0,,280000000.0,4019999999.9999995,
2001,4139999999.9999995,100000000.0,,120000000.0,4090000000.0,
2000,5980000000.0,720000000.0,,180000000.0,,
1999,6530000000.0,800000000.0,,350000000.0,,
1998,6750000000.0,130000000.0,,100000000.0,,
1997,7190000000.0,760000000.0,,260000000.0,,
1996,8359999999.999999,730000000.0,,660000000.0,,
