year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,8342000000.0,Revenues,0001024478-25-000116,USD,True,869000000.0,NetIncomeLoss,0001024478-25-000116,USD,True,1544000000.0,NetCashProvidedByUsedInOperatingActivities,0001024478-25-000116,USD,True,56000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001024478-25-000116,USD,True,1703000000.0,OperatingIncomeLoss,0001024478-25-000116,USD,True,,,,,False,168000000.0,IncomeTaxExpenseBenefit,0001024478-25-000116,USD,True,0.183,EffectiveIncomeTaxRateContinuingOperations,0001024478-25-000116,pure,True,917000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001024478-25-000116,USD,True,468000000.0,CashAndCashEquivalentsAtCarryingValue,0001024478-25-000116,USD,True,,,,,False,,,,,False,2000000.0,LongTermDebtCurrent,0001024478-25-000116,USD,True,2614000000.0,LongTermDebtNoncurrent,0001024478-25-000116,USD,True,3654000000.0,StockholdersEquity,0001024478-25-000116,USD,True,468000000.0,2616000000.0,1488000000.0,0.183206106870229,5802000000.0,1391000000.0,0.23974491554636332,1703000000.0,False,0.17837449052984897,1.712313003452244,True,True,ROK,0001024478,ticker:ROK,24
2024,8264200000.0,Revenues,0001024478-24-000107,USD,True,952500000.0,NetIncomeLoss,0001024478-24-000107,USD,True,863800000.0,NetCashProvidedByUsedInOperatingActivities,0001024478-24-000107,USD,True,42400000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001024478-24-000107,USD,True,,,,,False,,,,,False,151800000.0,IncomeTaxExpenseBenefit,0001024478-24-000107,USD,True,0.138,EffectiveIncomeTaxRateContinuingOperations,0001024478-24-000107,pure,True,1099100000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001024478-24-000107,USD,True,471000000.0,CashAndCashEquivalentsAtCarryingValue,0001024478-24-000107,USD,True,300000.0,ShortTermInvestments,0001024478-24-000107,USD,True,,,,,False,307400000.0,LongTermDebtCurrent,0001024478-24-000107,USD,True,,,,,False,3498300000.0,StockholdersEquity,0001024478-24-000107,USD,True,471300000.0,307400000.0,821400000.0,0.13811300154672004,3334400000.0,,,,False,0.09939256068342973,0.8623622047244095,False,True,ROK,0001024478,ticker:ROK,24
2023,9058000000.0,Revenues,0001024478-23-000126,USD,True,1387400000.0,NetIncomeLoss,0001024478-23-000126,USD,True,1374600000.0,NetCashProvidedByUsedInOperatingActivities,0001024478-23-000126,USD,True,160500000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001024478-23-000126,USD,True,,,,,False,135300000.0,InterestExpense,0001024478-23-000126,USD,True,330500000.0,IncomeTaxExpenseBenefit,0001024478-23-000126,USD,True,0.205,EffectiveIncomeTaxRateContinuingOperations,0001024478-23-000126,pure,True,1608500000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001024478-23-000126,USD,True,1071800000.0,CashAndCashEquivalentsAtCarryingValue,0001024478-23-000126,USD,True,600000.0,ShortTermInvestments,0001024478-23-000126,USD,True,,,,,False,8600000.0,LongTermDebtCurrent,0001024478-23-000126,USD,True,,,,,False,3561600000.0,StockholdersEquity,0001024478-23-000126,USD,True,1072400000.0,8600000.0,1214100000.0,0.20547093565433633,2497800000.0,1385499782.4059684,0.5546880384362113,1743800000.0,True,0.13403621108412453,0.8750900965835375,True,True,ROK,0001024478,ticker:ROK,24
2022,7760400000.0,Revenues,0001024478-22-000093,USD,True,932200000.0,NetIncomeLoss,0001024478-22-000093,USD,True,823100000.0,NetCashProvidedByUsedInOperatingActivities,0001024478-22-000093,USD,True,141100000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001024478-22-000093,USD,True,,,,,False,123200000.0,InterestExpense,0001024478-22-000093,USD,True,154500000.0,IncomeTaxExpenseBenefit,0001024478-22-000093,USD,True,0.144,EffectiveIncomeTaxRateContinuingOperations,0001024478-22-000093,pure,True,1073600000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001024478-22-000093,USD,True,490700000.0,CashAndCashEquivalentsAtCarryingValue,0001024478-22-000093,USD,True,12600000.0,ShortTermInvestments,0001024478-22-000093,USD,True,,,,,False,609100000.0,LongTermDebtCurrent,0001024478-22-000093,USD,True,,,,,False,2725600000.0,StockholdersEquity,0001024478-22-000093,USD,True,503300000.0,609100000.0,682000000.0,0.14390834575260805,2831400000.0,1024570491.8032788,0.36186003101055264,1196800000.0,True,0.08788206793464254,0.7316026603733105,True,True,ROK,0001024478,ticker:ROK,24
2021,6997400000.0,Revenues,0001024478-21-000083,USD,True,1358100000.0,NetIncomeLoss,0001024478-21-000083,USD,True,1261000000.0,NetCashProvidedByUsedInOperatingActivities,0001024478-21-000083,USD,True,120300000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001024478-21-000083,USD,True,,,,,False,94600000.0,InterestExpense,0001024478-21-000083,USD,True,181900000.0,IncomeTaxExpenseBenefit,0001024478-21-000083,USD,True,0.119,EffectiveIncomeTaxRateContinuingOperations,0001024478-21-000083,pure,True,1526200000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001024478-21-000083,USD,True,662200000.0,CashAndCashEquivalentsAtCarryingValue,0001024478-21-000083,USD,True,600000.0,ShortTermInvestments,0001024478-21-000083,USD,True,,,,,False,,,,,False,3464600000.0,LongTermDebtNoncurrent,0001024478-21-000083,USD,True,2389600000.0,StockholdersEquity,0001024478-21-000083,USD,True,662800000.0,3464600000.0,1140700000.0,0.11918490368234831,5191400000.0,1427625108.1116495,0.27499809456247826,1620800000.0,True,0.16301769228570612,0.8399234224283926,True,True,ROK,0001024478,ticker:ROK,24
2020,6329800000.0,Revenues,0001024478-20-000038,USD,True,1023400000.0,NetIncomeLoss,0001024478-20-000038,USD,True,1120500000.0,NetCashProvidedByUsedInOperatingActivities,0001024478-20-000038,USD,True,113900000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001024478-20-000038,USD,True,,,,,False,103500000.0,InterestExpense,0001024478-20-000038,USD,True,112900000.0,IncomeTaxExpenseBenefit,0001024478-20-000038,USD,True,0.099,EffectiveIncomeTaxRateContinuingOperations,0001024478-20-000038,pure,True,1136100000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001024478-20-000038,USD,True,704600000.0,CashAndCashEquivalentsAtCarryingValue,0001024478-20-000038,USD,True,600000.0,ShortTermInvestments,0001024478-20-000038,USD,True,1974700000.0,LongTermDebt,0001024478-20-000038,USD,True,0.0,LongTermDebtCurrent,0001024478-20-000038,USD,True,1974700000.0,LongTermDebtNoncurrent,0001024478-20-000038,USD,True,1027800000.0,StockholdersEquity,0001024478-20-000038,USD,True,705200000.0,1974700000.0,1006600000.0,0.09937505501276296,2297300000.0,1116414681.806179,0.4859681721177813,1239600000.0,True,0.1590255616291194,0.9835841313269493,True,True,ROK,0001024478,ticker:ROK,24
2019,6694800000.0,Revenues,0001024478-19-000044,USD,True,695800000.0,NetIncomeLoss,0001024478-19-000044,USD,True,1182000000.0,NetCashProvidedByUsedInOperatingActivities,0001024478-19-000044,USD,True,132800000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001024478-19-000044,USD,True,,,,,False,98200000.0,InterestExpense,0001024478-19-000044,USD,True,205200000.0,IncomeTaxExpenseBenefit,0001024478-19-000044,USD,True,0.228,EffectiveIncomeTaxRateContinuingOperations,0001024478-19-000044,pure,True,901000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001024478-19-000044,USD,True,,,,,False,39600000.0,ShortTermInvestments,0001024478-19-000044,USD,True,2256900000.0,LongTermDebt,0001024478-19-000044,USD,True,300500000.0,LongTermDebtCurrent,0001024478-19-000044,USD,True,1956400000.0,LongTermDebtNoncurrent,0001024478-19-000044,USD,True,404200000.0,StockholdersEquity,0001024478-19-000044,USD,True,39600000.0,2256900000.0,1049200000.0,0.22774694783573807,2621500000.0,771635249.7225305,0.2943487506093956,999200000.0,True,0.15671864730835872,1.5079045702788159,True,True,ROK,0001024478,ticker:ROK,24
2018,6666000000.0,Revenues,0001024478-18-000032,USD,True,535500000.0,NetIncomeLoss,0001024478-18-000032,USD,True,,,,,False,125500000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001024478-18-000032,USD,True,,,,,False,73000000.0,InterestExpense,0001024478-18-000032,USD,True,795300000.0,IncomeTaxExpenseBenefit,0001024478-18-000032,USD,True,0.598,EffectiveIncomeTaxRateContinuingOperations,0001024478-18-000032,pure,True,1330800000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001024478-18-000032,USD,True,618800000.0,CashAndCashEquivalentsAtCarryingValue,0001024478-18-000032,USD,True,290900000.0,ShortTermInvestments,0001024478-18-000032,USD,True,1225200000.0,LongTermDebt,0001024478-18-000032,USD,True,0.0,LongTermDebtCurrent,0001024478-18-000032,USD,True,1225200000.0,LongTermDebtNoncurrent,0001024478-18-000032,USD,True,1617500000.0,StockholdersEquity,0001024478-18-000032,USD,True,909700000.0,1225200000.0,,0.5976104598737602,1933000000.0,564874436.4292154,0.2922268165696924,1403800000.0,True,,,True,False,ROK,0001024478,ticker:ROK,24
2017,6311300000.0,Revenues,0001024478-17-000034,USD,True,825700000.0,NetIncomeLoss,0001024478-17-000034,USD,True,,,,,False,141700000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001024478-17-000034,USD,True,,,,,False,76200000.0,InterestExpense,0001024478-17-000034,USD,True,211700000.0,IncomeTaxExpenseBenefit,0001024478-17-000034,USD,True,0.204,EffectiveIncomeTaxRateContinuingOperations,0001024478-17-000034,pure,True,1037400000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001024478-17-000034,USD,True,1410900000.0,CashAndCashEquivalentsAtCarryingValue,0001024478-17-000034,USD,True,1124600000.0,ShortTermInvestments,0001024478-17-000034,USD,True,1493400000.0,LongTermDebt,0001024478-17-000034,USD,True,250000000.0,LongTermDebtCurrent,0001024478-17-000034,USD,True,1243400000.0,LongTermDebtNoncurrent,0001024478-17-000034,USD,True,2663600000.0,StockholdersEquity,0001024478-17-000034,USD,True,2535500000.0,1493400000.0,,0.2040678619625988,1621500000.0,886350028.9184499,0.5466235145966388,1113600000.0,True,,,True,False,ROK,0001024478,ticker:ROK,24
2016,5879500000.0,Revenues,0001024478-16-000071,USD,True,729700000.0,NetIncomeLoss,0001024478-16-000071,USD,True,,,,,False,116900000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001024478-16-000071,USD,True,,,,,False,71300000.0,InterestExpense,0001024478-16-000071,USD,True,213400000.0,IncomeTaxExpenseBenefit,0001024478-16-000071,USD,True,0.226,EffectiveIncomeTaxRateContinuingOperations,0001024478-16-000071,pure,True,943100000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001024478-16-000071,USD,True,1526400000.0,CashAndCashEquivalentsAtCarryingValue,0001024478-16-000071,USD,True,902800000.0,ShortTermInvestments,0001024478-16-000071,USD,True,,,,,False,,,,,False,1516300000.0,LongTermDebtNoncurrent,0001024478-16-000071,USD,True,1990100000.0,StockholdersEquity,0001024478-16-000071,USD,True,2429200000.0,1516300000.0,,0.22627505036581486,1077200000.0,784866588.9089174,0.728617330958891,1014400000.0,True,,,True,False,ROK,0001024478,ticker:ROK,24
