year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,7902500000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000882835-26-000009,USD,True,1536300000.0,NetIncomeLoss,0000882835-26-000009,USD,True,2540300000.0,NetCashProvidedByUsedInOperatingActivities,0000882835-26-000009,USD,True,,,,,False,2235400000.0,OperatingIncomeLoss,0000882835-26-000009,USD,True,,,,,False,399800000.0,IncomeTaxExpenseBenefit,0000882835-26-000009,USD,True,0.206,EffectiveIncomeTaxRateContinuingOperations,0000882835-26-000009,pure,True,1936100000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000882835-26-000009,USD,True,297400000.0,CashAndCashEquivalentsAtCarryingValue,0000882835-26-000009,USD,True,,,,,False,9301000000.0,LongTermDebt,0000882835-26-000009,USD,True,705200000.0,LongTermDebtCurrent,0000882835-26-000009,USD,True,8595800000.0,LongTermDebtNoncurrent,0000882835-26-000009,USD,True,19881500000.0,StockholdersEquity,0000882835-26-000009,USD,True,297400000.0,9301000000.0,,0.20649759826455244,28885100000.0,1773795268.8394194,0.06140865944169899,2235400000.0,False,,,True,False,ROP,0000882835,ticker:ROP,24
2024,7039200000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000882835-25-000008,USD,True,1549300000.0,NetIncomeLoss,0000882835-25-000008,USD,True,2393200000.0,NetCashProvidedByUsedInOperatingActivities,0000882835-25-000008,USD,True,,,,,False,1996800000.0,OperatingIncomeLoss,0000882835-25-000008,USD,True,,,,,False,417900000.0,IncomeTaxExpenseBenefit,0000882835-25-000008,USD,True,0.212,EffectiveIncomeTaxRateContinuingOperations,0000882835-25-000008,pure,True,1967200000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000882835-25-000008,USD,True,188200000.0,CashAndCashEquivalentsAtCarryingValue,0000882835-25-000008,USD,True,,,,,False,7623000000.0,LongTermDebt,0000882835-25-000008,USD,True,1043100000.0,LongTermDebtCurrent,0000882835-25-000008,USD,True,6579900000.0,LongTermDebtNoncurrent,0000882835-25-000008,USD,True,18867600000.0,StockholdersEquity,0000882835-25-000008,USD,True,188200000.0,7623000000.0,,0.21243391622610816,26302400000.0,1572611956.0797071,0.05978967531783058,1996800000.0,False,,,True,False,ROP,0000882835,ticker:ROP,24
2023,6177800000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000882835-24-000008,USD,True,1384200000.0,NetIncomeLoss,0000882835-24-000008,USD,True,2035100000.0,NetCashProvidedByUsedInOperatingActivities,0000882835-24-000008,USD,True,,,,,False,1745200000.0,OperatingIncomeLoss,0000882835-24-000008,USD,True,164700000.0,InterestExpense,0000882835-24-000008,USD,True,374700000.0,IncomeTaxExpenseBenefit,0000882835-24-000008,USD,True,0.215,EffectiveIncomeTaxRateContinuingOperations,0000882835-24-000008,pure,True,1743100000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000882835-24-000008,USD,True,214300000.0,CashAndCashEquivalentsAtCarryingValue,0000882835-24-000008,USD,True,,,,,False,6330100000.0,LongTermDebt,0000882835-24-000008,USD,True,499500000.0,LongTermDebtCurrent,0000882835-24-000008,USD,True,5830600000.0,LongTermDebtNoncurrent,0000882835-24-000008,USD,True,17444800000.0,StockholdersEquity,0000882835-24-000008,USD,True,214300000.0,6330100000.0,,0.21496184957833744,23560600000.0,1370048580.1158855,0.05814998684735896,1745200000.0,False,,,True,False,ROP,0000882835,ticker:ROP,24
2022,5371800000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000882835-23-000016,USD,True,4544700000.0,NetIncomeLoss,0000882835-23-000016,USD,True,734600000.0,NetCashProvidedByUsedInOperatingActivities,0000882835-23-000016,USD,True,,,,,False,1524500000.0,OperatingIncomeLoss,0000882835-23-000016,USD,True,192400000.0,InterestExpense,0000882835-23-000016,USD,True,296400000.0,IncomeTaxExpenseBenefit,0000882835-23-000016,USD,True,0.231,EffectiveIncomeTaxRateContinuingOperations,0000882835-23-000016,pure,True,1282000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000882835-23-000016,USD,True,792800000.0,CashAndCashEquivalentsAtCarryingValue,0000882835-23-000016,USD,True,,,,,False,6661700000.0,LongTermDebt,0000882835-23-000016,USD,True,699200000.0,LongTermDebtCurrent,0000882835-23-000016,USD,True,5962500000.0,LongTermDebtNoncurrent,0000882835-23-000016,USD,True,16037800000.0,StockholdersEquity,0000882835-23-000016,USD,True,792800000.0,6661700000.0,,0.231201248049922,21906700000.0,1172033697.347894,0.0535011524943462,1524500000.0,False,,,True,False,ROP,0000882835,ticker:ROP,24
2021,5777800000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000882835-22-000012,USD,True,1152600000.0,NetIncomeLoss,0000882835-22-000012,USD,True,2011900000.0,NetCashProvidedByUsedInOperatingActivities,0000882835-22-000012,USD,True,,,,,False,1480200000.0,OperatingIncomeLoss,0000882835-22-000012,USD,True,234100000.0,InterestExpense,0000882835-22-000012,USD,True,288400000.0,IncomeTaxExpenseBenefit,0000882835-22-000012,USD,True,0.227,EffectiveIncomeTaxRateContinuingOperations,0000882835-22-000012,pure,True,1271000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000882835-22-000012,USD,True,351500000.0,CashAndCashEquivalentsAtCarryingValue,0000882835-22-000012,USD,True,,,,,False,7921800000.0,LongTermDebt,0000882835-22-000012,USD,True,799200000.0,LongTermDebtCurrent,0000882835-22-000012,USD,True,7122600000.0,LongTermDebtNoncurrent,0000882835-22-000012,USD,True,11563800000.0,StockholdersEquity,0000882835-22-000012,USD,True,351500000.0,7921800000.0,,0.22690794649881982,19134100000.0,1144330857.5924468,0.05980583657409791,1480200000.0,False,,,True,False,ROP,0000882835,ticker:ROP,24
2020,5527100000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000882835-21-000011,USD,True,949700000.0,NetIncomeLoss,0000882835-21-000011,USD,True,1525100000.0,NetCashProvidedByUsedInOperatingActivities,0000882835-21-000011,USD,True,,,,,False,1431100000.0,OperatingIncomeLoss,0000882835-21-000011,USD,True,218900000.0,InterestExpense,0000882835-21-000011,USD,True,259600000.0,IncomeTaxExpenseBenefit,0000882835-21-000011,USD,True,0.215,EffectiveIncomeTaxRateContinuingOperations,0000882835-21-000011,pure,True,1209300000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000882835-21-000011,USD,True,308300000.0,CashAndCashEquivalentsAtCarryingValue,0000882835-21-000011,USD,True,,,,,False,9566500000.0,LongTermDebt,0000882835-21-000011,USD,True,502000000.0,LongTermDebtCurrent,0000882835-21-000011,USD,True,9064500000.0,LongTermDebtNoncurrent,0000882835-21-000011,USD,True,10479800000.0,StockholdersEquity,0000882835-21-000011,USD,True,308300000.0,9566500000.0,,0.21466964359546845,19738000000.0,1123886273.050525,0.05694023067436037,1431100000.0,False,,,True,False,ROP,0000882835,ticker:ROP,24
2019,5366800000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000882835-20-000006,USD,True,1767900000.0,NetIncomeLoss,0000882835-20-000006,USD,True,1461800000.0,NetCashProvidedByUsedInOperatingActivities,0000882835-20-000006,USD,True,,,,,False,1498400000.0,OperatingIncomeLoss,0000882835-20-000006,USD,True,186600000.0,InterestExpense,0000882835-20-000006,USD,True,459500000.0,IncomeTaxExpenseBenefit,0000882835-20-000006,USD,True,0.206,EffectiveIncomeTaxRateContinuingOperations,0000882835-20-000006,pure,True,2227400000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000882835-20-000006,USD,True,709700000.0,CashAndCashEquivalentsAtCarryingValue,0000882835-20-000006,USD,True,,,,,False,5275300000.0,LongTermDebt,0000882835-20-000006,USD,True,602200000.0,LongTermDebtCurrent,0000882835-20-000006,USD,True,4673100000.0,LongTermDebtNoncurrent,0000882835-20-000006,USD,True,9491900000.0,StockholdersEquity,0000882835-20-000006,USD,True,709700000.0,5275300000.0,,0.20629433420131094,14057500000.0,1189288569.6327558,0.08460171222712116,1498400000.0,False,,,True,False,ROP,0000882835,ticker:ROP,24
2018,5191200000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000882835-19-000010,USD,True,944400000.0,NetIncomeLoss,0000882835-19-000010,USD,True,1430100000.0,NetCashProvidedByUsedInOperatingActivities,0000882835-19-000010,USD,True,49100000.0,PaymentsToAcquireProductiveAssets,0000882835-19-000010,USD,True,1396400000.0,OperatingIncomeLoss,0000882835-19-000010,USD,True,182100000.0,InterestExpense,0000882835-19-000010,USD,True,254000000.0,IncomeTaxExpenseBenefit,0000882835-19-000010,USD,True,0.212,EffectiveIncomeTaxRateContinuingOperations,0000882835-19-000010,pure,True,1198400000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000882835-19-000010,USD,True,364400000.0,CashAndCashEquivalentsAtCarryingValue,0000882835-19-000010,USD,True,,,,,False,4941700000.0,LongTermDebt,0000882835-19-000010,USD,True,1500000.0,LongTermDebtCurrent,0000882835-19-000010,USD,True,4940200000.0,LongTermDebtNoncurrent,0000882835-19-000010,USD,True,7738500000.0,StockholdersEquity,0000882835-19-000010,USD,True,364400000.0,4941700000.0,1381000000.0,0.21194926568758343,12315800000.0,1100434045.3938584,0.08935140594958171,1396400000.0,False,0.2660271228232393,1.462304108428632,True,True,ROP,0000882835,ticker:ROP,24
2017,4607471000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000882835-18-000011,USD,True,971772000.0,NetIncomeLoss,0000882835-18-000011,USD,True,,,,,False,48752000.0,PaymentsToAcquireProductiveAssets,0000882835-18-000011,USD,True,1210244000.0,OperatingIncomeLoss,0000882835-18-000011,USD,True,180566000.0,InterestExpense,0000882835-18-000011,USD,True,62951000.0,IncomeTaxExpenseBenefit,0000882835-18-000011,USD,True,0.061,EffectiveIncomeTaxRateContinuingOperations,0000882835-18-000011,pure,True,1034723000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000882835-18-000011,USD,True,671327000.0,CashAndCashEquivalentsAtCarryingValue,0000882835-18-000011,USD,True,,,,,False,5155555000.0,LongTermDebt,0000882835-18-000011,USD,True,800944000.0,LongTermDebtCurrent,0000882835-18-000011,USD,True,4354611000.0,LongTermDebtNoncurrent,0000882835-18-000011,USD,True,6863564000.0,StockholdersEquity,0000882835-18-000011,USD,True,671327000.0,5155555000.0,,0.060838504604613985,11347792000.0,1136614564.8332934,0.10016173761673579,1210244000.0,False,,,True,False,ROP,0000882835,ticker:ROP,24
2016,3789925000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0000882835-17-000006,USD,True,658645000.0,NetIncomeLoss,0000882835-17-000006,USD,True,,,,,False,37305000.0,PaymentsToAcquireProductiveAssets,0000882835-17-000006,USD,True,1054563000.0,OperatingIncomeLoss,0000882835-17-000006,USD,True,111559000.0,InterestExpense,0000882835-17-000006,USD,True,282007000.0,IncomeTaxExpenseBenefit,0000882835-17-000006,USD,True,0.3,EffectiveIncomeTaxRateContinuingOperations,0000882835-17-000006,pure,True,940652000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000882835-17-000006,USD,True,757200000.0,CashAndCashEquivalentsAtCarryingValue,0000882835-17-000006,USD,True,,,,,False,6209536000.0,LongTermDebt,0000882835-17-000006,USD,True,400975000.0,LongTermDebtCurrent,0000882835-17-000006,USD,True,5808561000.0,LongTermDebtNoncurrent,0000882835-17-000006,USD,True,5788865000.0,StockholdersEquity,0000882835-17-000006,USD,True,757200000.0,6209536000.0,,0.29979950077180506,11241201000.0,738405539.067583,0.06568742424119833,1054563000.0,False,,,True,False,ROP,0000882835,ticker:ROP,24
