year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,16690000000.000002,6.98,2580000000.0,,,,,,,,300000000.0,1.15,4.03,
2025,16590000000.0,6.86,2590000000.0,15.63,76000000.0,13800000000.0,,,30.7,22390000000.0,300000000.0,0.85,3.93,5.45
2024,16030000000.000002,6.49,2430000000.0,15.17,74000000.0,12950000000.0,32400000000.0,11400000000.0,30.5,20990000000.0,310000000.0,0.83,3.92,5.5
2023,14960000000.0,5.48,2190000000.0,14.64,140000000.0,13060000000.0,31410000000.0,10540000000.0,29.4,20860000000.0,310000000.0,1.28,3.47,4.92
2022,13510000000.0,4.71,1830000000.0,13.56,140000000.0,12080000000.0,29050000000.0,9680000000.0,26.4,19360000000.0,310000000.0,1.54,3.02,4.21
2021,11290000000.0,4.06,1570000000.0,13.95,29000000.0,9830000000.0,24950000000.0,8970000000.0,32.6,15970000000.0,310000000.0,1.34,3.91,4.92
2020,10150000000.0,3.03,1140000000.0,11.25,38200000.0,9170000000.0,23430000000.0,8480000000.0,29.7,14940000000.0,310000000.0,1.85,3.02,3.62
2019,10290000000.0,3.35,1290000000.0,12.58,47100000.0,8950000000.0,22680000000.0,8119999999.999999,24.5,14560000000.0,310000000.0,1.9,2.77,3.52
2018,10040000000.0,3.18,1320000000.0,13.16,70500000.0,8330000000.0,21610000000.0,7920000000.0,20.4,13680000000.0,320000000.0,2.22,2.32,2.93
2017,10040000000.0,3.8,1280000000.0,12.77,83300000.0,8180000000.0,21140000000.0,7960000000.0,15.7,13180000000.0,330000000.0,2.23,2.25,2.84
2016,9380000000.0,1.79,960000000.0,10.29,67800000.0,7650000000.0,20620000000.0,7690000000.0,27.5,12930000000.0,340000000.0,2.52,2.07,2.52
2015,9110000000.0,2.15,1190000000.0,13.12,32400000.0,7530000000.0,20530000000.0,7770000000.0,17.2,12750000000.0,340000000.0,3.13,1.67,1.95
2014,8790000000.0,1.53,880000000.0,10.06,75200000.0,7060000000.0,20090000000.0,7740000000.0,21.6,12340000000.0,350000000.0,3.27,1.61,1.83
2013,8410000000.0,1.63,850000000.0,10.11,210000000.0,7010000000.0,19940000000.0,7900000000.0,16.2,12040000000.0,360000000.0,3.74,1.42,1.51
2012,8109999999.999999,1.57,820000000.0,10.15,67600000.0,7070000000.0,19610000000.0,7700000000.0,14.4,11910000000.0,360000000.0,4.01,1.3,1.37
2011,8189999999.999999,,900000000.0,11.06,66300000.0,6920000000.0,19550000000.0,7680000000.0,,11860000000.0,370000000.0,4.07,1.25,1.33
2010,8100000000.0,,870000000.0,10.82,88300000.0,6740000000.0,19460000000.0,7840000000.0,,11610000000.0,380000000.0,3.59,1.41,1.46
2009,8189999999.999999,,860000000.0,10.55,48000000.0,6960000000.0,19540000000.0,7560000000.0,,11970000000.0,370000000.0,3.79,1.31,1.42
2008,3680000000.0,,150000000.0,4.32,68700000.0,7700000000.0,19920000000.0,7280000000.0,,12630000000.0,180000000.0,4.24,1.23,0.6202
2007,3170000000.0,,460000000.0,14.74,21800000.0,1560000000.0,4460000000.0,1300000000.0,,3160000000.0,180000000.0,2.47,1.83,4.46
2006,3070000000.0,,440000000.0,14.45,29100000.0,1540000000.0,4420000000.0,1420000000.0,,3000000000.0,,2.24,1.72,3.72
2005,2860000000.0,,400000000.0,14.29,130000000.0,1470000000.0,4550000000.0,1600000000.0,,2940000000.0,,2.14,1.82,3.24
2004,2700000000.0,,380000000.0,14.17,140000000.0,1350000000.0,4460000000.0,1870000000.0,,2590000000.0,,1.68,1.86,2.7
2003,2510000000.0,,340000000.0,13.8,110000000.0,1520000000.0,4550000000.0,1900000000.0,,2640000000.0,,0.74,1.61,2.12
2002,2360000000.0,,380000000.0,16.34,140000000.0,1440000000.0,4200000000.0,1880000000.0,,2320000000.0,,0.0,1.45,1.83
2001,2250000000.0,,200000000.0,9.27,16100000.000000002,1360000000.0,3850000000.0,1750000000.0,,2100000000.0,,0.0,1.5,
2000,2100000000.0,,350000000.0,,2000000.0,1250000000.0,,,,,,0.0,,
1999,1860000000.0,,320000000.0,,13100000.0,1200000000.0,,,,,,0.0,,
1998,,,,,550000000.0,1050000000.0,,,,,,0.0,,
