Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,16690000000.000002,2580000000.0,,,,
2025,16590000000.0,2590000000.0,30.7,76000000.0,,
2024,16030000000.000002,2430000000.0,30.5,74000000.0,32400000000.0,
2023,14960000000.0,2190000000.0,29.4,140000000.0,31410000000.0,
2022,13510000000.0,1830000000.0,26.4,140000000.0,29050000000.0,
2021,11290000000.0,1570000000.0,32.6,29000000.0,24950000000.0,
2020,10150000000.0,1140000000.0,29.7,38200000.0,23430000000.0,
2019,10290000000.0,1290000000.0,24.5,47100000.0,22680000000.0,
2018,10040000000.0,1320000000.0,20.4,70500000.0,21610000000.0,
2017,10040000000.0,1280000000.0,15.7,83300000.0,21140000000.0,
2016,9380000000.0,960000000.0,27.5,67800000.0,20620000000.0,
2015,9110000000.0,1190000000.0,17.2,32400000.0,20530000000.0,
2014,8790000000.0,880000000.0,21.6,75200000.0,20090000000.0,
2013,8410000000.0,850000000.0,16.2,210000000.0,19940000000.0,
2012,8109999999.999999,820000000.0,14.4,67600000.0,19610000000.0,
2011,8189999999.999999,900000000.0,,66300000.0,19550000000.0,
2010,8100000000.0,870000000.0,,88300000.0,19460000000.0,
2009,8189999999.999999,860000000.0,,48000000.0,19540000000.0,
2008,3680000000.0,150000000.0,,68700000.0,19920000000.0,
2007,3170000000.0,460000000.0,,21800000.0,4460000000.0,
2006,3070000000.0,440000000.0,,29100000.0,4420000000.0,
2005,2860000000.0,400000000.0,,130000000.0,4550000000.0,
2004,2700000000.0,380000000.0,,140000000.0,4460000000.0,
2003,2510000000.0,340000000.0,,110000000.0,4550000000.0,
2002,2360000000.0,380000000.0,,140000000.0,4200000000.0,
2001,2250000000.0,200000000.0,,16100000.000000002,3850000000.0,
2000,2100000000.0,350000000.0,,2000000.0,,
1999,1860000000.0,320000000.0,,13100000.0,,
1998,,,,550000000.0,,
