year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,19027000000.0,Revenues,0001060391-26-000094,USD,True,2139249000.0,NetIncomeLoss,0001060391-26-000094,USD,True,4296000000.0,NetCashProvidedByUsedInOperatingActivities,0001060391-26-000094,USD,True,1887000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001060391-26-000094,USD,True,3302000000.0,OperatingIncomeLoss,0001060391-26-000094,USD,True,,,,,False,455000000.0,IncomeTaxExpenseBenefit,0001060391-26-000094,USD,True,0.175,EffectiveIncomeTaxRateContinuingOperations,0001060391-26-000094,pure,True,2594000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001060391-26-000094,USD,True,76000000.0,CashAndCashEquivalentsAtCarryingValue,0001060391-26-000094,USD,True,,,,,False,13710000000.0,DebtAndCapitalLeaseObligations,0001060391-26-000094,USD,True,596000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001060391-26-000094,USD,True,278000000.0,FinanceLeaseLiabilityNoncurrent,0001060391-26-000094,USD,True,11968000000.0,StockholdersEquity,0001060391-26-000094,USD,True,76000000.0,13710000000.0,2409000000.0,0.1754047802621434,25602000000.0,2722813415.5744023,0.10635159032788073,3302000000.0,False,0.12660955484311767,1.126096120647947,True,True,RSG,0001060391,ticker:RSG,23
2024,18418000000.0,Revenues,0001060391-25-000091,USD,True,2043173000.0,NetIncomeLoss,0001060391-25-000091,USD,True,3936000000.0,NetCashProvidedByUsedInOperatingActivities,0001060391-25-000091,USD,True,1855000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001060391-25-000091,USD,True,3196000000.0,OperatingIncomeLoss,0001060391-25-000091,USD,True,,,,,False,388000000.0,IncomeTaxExpenseBenefit,0001060391-25-000091,USD,True,0.16,EffectiveIncomeTaxRateContinuingOperations,0001060391-25-000091,pure,True,2432000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001060391-25-000091,USD,True,74000000.0,CashAndCashEquivalentsAtCarryingValue,0001060391-25-000091,USD,True,,,,,False,12840000000.0,DebtAndCapitalLeaseObligations,0001060391-25-000091,USD,True,862000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001060391-25-000091,USD,True,249000000.0,FinanceLeaseLiabilityNoncurrent,0001060391-25-000091,USD,True,11405000000.0,StockholdersEquity,0001060391-25-000091,USD,True,74000000.0,12840000000.0,2081000000.0,0.15953947368421054,24171000000.0,2686111842.105263,0.11112952886124956,3196000000.0,False,0.11298729503746335,1.0185138507605573,True,True,RSG,0001060391,ticker:RSG,23
2023,17278700000.0,Revenues,0001060391-24-000142,USD,True,1730985000.0,NetIncomeLoss,0001060391-24-000142,USD,True,3617800000.0,NetCashProvidedByUsedInOperatingActivities,0001060391-24-000142,USD,True,1631100000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001060391-24-000142,USD,True,2780200000.0,OperatingIncomeLoss,0001060391-24-000142,USD,True,508200000.0,InterestExpense,0001060391-24-000142,USD,True,460100000.0,IncomeTaxExpenseBenefit,0001060391-24-000142,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0001060391-24-000142,pure,True,2191500000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001060391-24-000142,USD,True,140000000.0,CashAndCashEquivalentsAtCarryingValue,0001060391-24-000142,USD,True,,,,,False,12819400000.0,DebtAndCapitalLeaseObligations,0001060391-24-000142,USD,True,932300000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001060391-24-000142,USD,True,238400000.0,FinanceLeaseLiabilityNoncurrent,0001060391-24-000142,USD,True,10542300000.0,StockholdersEquity,0001060391-24-000142,USD,True,140000000.0,12819400000.0,1986700000.0,0.20994752452657997,23221700000.0,2196503892.3112025,0.09458841912139088,2780200000.0,False,0.11497971490910774,1.14772802768366,True,True,RSG,0001060391,ticker:RSG,23
2022,15645100000.0,Revenues,0001060391-23-000008,USD,True,1487586000.0,NetIncomeLoss,0001060391-23-000008,USD,True,3190000000.0,NetCashProvidedByUsedInOperatingActivities,0001060391-23-000008,USD,True,1454000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001060391-23-000008,USD,True,2391700000.0,OperatingIncomeLoss,0001060391-23-000008,USD,True,395600000.0,InterestExpense,0001060391-23-000008,USD,True,343900000.0,IncomeTaxExpenseBenefit,0001060391-23-000008,USD,True,0.188,EffectiveIncomeTaxRateContinuingOperations,0001060391-23-000008,pure,True,1831500000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001060391-23-000008,USD,True,143400000.0,CashAndCashEquivalentsAtCarryingValue,0001060391-23-000008,USD,True,,,,,False,11902200000.0,DebtAndCapitalLeaseObligations,0001060391-23-000008,USD,True,456000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001060391-23-000008,USD,True,233200000.0,FinanceLeaseLiabilityNoncurrent,0001060391-23-000008,USD,True,9686000000.0,StockholdersEquity,0001060391-23-000008,USD,True,143400000.0,11902200000.0,1736000000.0,0.18776958776958777,21444800000.0,1942611476.931477,0.09058659800657862,2391700000.0,False,0.11096125943586171,1.1669913537771934,True,True,RSG,0001060391,ticker:RSG,23
2021,13321800000.0,Revenues,0001060391-22-000007,USD,True,1290405000.0,NetIncomeLoss,0001060391-22-000007,USD,True,2786700000.0,NetCashProvidedByUsedInOperatingActivities,0001060391-22-000007,USD,True,1316300000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001060391-22-000007,USD,True,2076200000.0,OperatingIncomeLoss,0001060391-22-000007,USD,True,314600000.0,InterestExpense,0001060391-22-000007,USD,True,282800000.0,IncomeTaxExpenseBenefit,0001060391-22-000007,USD,True,0.18,EffectiveIncomeTaxRateContinuingOperations,0001060391-22-000007,pure,True,1575100000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001060391-22-000007,USD,True,29000000.0,CashAndCashEquivalentsAtCarryingValue,0001060391-22-000007,USD,True,,,,,False,9678300000.0,DebtAndCapitalLeaseObligations,0001060391-22-000007,USD,True,8200000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001060391-22-000007,USD,True,241200000.0,FinanceLeaseLiabilityNoncurrent,0001060391-22-000007,USD,True,8978900000.0,StockholdersEquity,0001060391-22-000007,USD,True,29000000.0,9678300000.0,1470400000.0,0.17954415592660783,18628200000.0,1703430423.4651768,0.09144364047332415,2076200000.0,False,0.11037547478568963,1.1394872152541256,True,True,RSG,0001060391,ticker:RSG,23
2020,12031700000.0,Revenues,0001060391-21-000014,USD,True,967237000.0,NetIncomeLoss,0001060391-21-000014,USD,True,2471600000.0,NetCashProvidedByUsedInOperatingActivities,0001060391-21-000014,USD,True,1194600000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001060391-21-000014,USD,True,1709100000.0,OperatingIncomeLoss,0001060391-21-000014,USD,True,355600000.0,InterestExpense,0001060391-21-000014,USD,True,173100000.0,IncomeTaxExpenseBenefit,0001060391-21-000014,USD,True,0.152,EffectiveIncomeTaxRateContinuingOperations,0001060391-21-000014,pure,True,1142700000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001060391-21-000014,USD,True,38200000.0,CashAndCashEquivalentsAtCarryingValue,0001060391-21-000014,USD,True,,,,,False,9054600000.0,DebtAndCapitalLeaseObligations,0001060391-21-000014,USD,True,168100000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001060391-21-000014,USD,True,200700000.0,FinanceLeaseLiabilityNoncurrent,0001060391-21-000014,USD,True,8483900000.0,StockholdersEquity,0001060391-21-000014,USD,True,38200000.0,9054600000.0,1277000000.0,0.1514833289577317,17500300000.0,1450199842.4783406,0.08286714184775922,1709100000.0,False,0.10613628996733629,1.3202555319947438,True,True,RSG,0001060391,ticker:RSG,23
2019,12193000000.0,Revenues,0001060391-20-000016,USD,True,1073286000.0,NetIncomeLoss,0001060391-20-000016,USD,True,2352100000.0,NetCashProvidedByUsedInOperatingActivities,0001060391-20-000016,USD,True,1207100000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001060391-20-000016,USD,True,1787200000.0,OperatingIncomeLoss,0001060391-20-000016,USD,True,392000000.0,InterestExpense,0001060391-20-000016,USD,True,222000000.0,IncomeTaxExpenseBenefit,0001060391-20-000016,USD,True,0.171,EffectiveIncomeTaxRateContinuingOperations,0001060391-20-000016,pure,True,1295800000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001060391-20-000016,USD,True,47100000.0,CashAndCashEquivalentsAtCarryingValue,0001060391-20-000016,USD,True,,,,,False,8788600000.0,DebtAndCapitalLeaseObligations,0001060391-20-000016,USD,True,929900000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001060391-20-000016,USD,True,110400000.0,FinanceLeaseLiabilityNoncurrent,0001060391-20-000016,USD,True,8118200000.0,StockholdersEquity,0001060391-20-000016,USD,True,47100000.0,8788600000.0,1145000000.0,0.17132273498996758,16859700000.0,1481012008.02593,0.08784331915905562,1787200000.0,False,0.09390633970310834,1.0668172323127294,True,True,RSG,0001060391,ticker:RSG,23
2018,11891900000.0,Revenues,0001060391-19-000008,USD,True,1036898000.0,NetIncomeLoss,0001060391-19-000008,USD,True,2242800000.0,NetCashProvidedByUsedInOperatingActivities,0001060391-19-000008,USD,True,1071800000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001060391-19-000008,USD,True,1735800000.0,OperatingIncomeLoss,0001060391-19-000008,USD,True,383800000.0,InterestExpense,0001060391-19-000008,USD,True,283300000.0,IncomeTaxExpenseBenefit,0001060391-19-000008,USD,True,0.215,EffectiveIncomeTaxRateContinuingOperations,0001060391-19-000008,pure,True,1320900000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001060391-19-000008,USD,True,70500000.0,CashAndCashEquivalentsAtCarryingValue,0001060391-19-000008,USD,True,,,,,False,8445200000.0,DebtAndCapitalLeaseObligations,0001060391-19-000008,USD,True,690700000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001060391-19-000008,USD,True,,,,,False,7927100000.0,StockholdersEquity,0001060391-19-000008,USD,True,70500000.0,8445200000.0,1171000000.0,0.21447497918086153,16301800000.0,1363514331.1378605,0.08364194942508561,1735800000.0,False,0.09847038740655405,1.1293299823126286,True,True,RSG,0001060391,ticker:RSG,23
2017,10041500000.0,Revenues,0001060391-18-000005,USD,True,1278374000.0,NetIncomeLoss,0001060391-18-000005,USD,True,1910700000.0,NetCashProvidedByUsedInOperatingActivities,0001060391-18-000005,USD,True,989800000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001060391-18-000005,USD,True,1668500000.0,OperatingIncomeLoss,0001060391-18-000005,USD,True,361900000.0,InterestExpense,0001060391-18-000005,USD,True,3100000.0,IncomeTaxExpenseBenefit,0001060391-18-000005,USD,True,0.002,EffectiveIncomeTaxRateContinuingOperations,0001060391-18-000005,pure,True,1282100000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001060391-18-000005,USD,True,83300000.0,CashAndCashEquivalentsAtCarryingValue,0001060391-18-000005,USD,True,,,,,False,,,,,False,706700000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001060391-18-000005,USD,True,,,,,False,7958800000.0,StockholdersEquity,0001060391-18-000005,USD,True,83300000.0,706700000.0,920900000.0,0.002417908119491459,8582200000.0,1664465720.3026285,0.19394394447841212,1668500000.0,False,0.09170940596524424,0.7203682177516126,True,True,RSG,0001060391,ticker:RSG,23
2015,11355400000.0,Revenues,0001060391-17-000012,USD,True,612588000.0,NetIncomeLoss,0001060391-17-000012,USD,True,1847800000.0,NetCashProvidedByUsedInOperatingActivities,0001060391-17-000012,USD,True,927800000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001060391-17-000012,USD,True,1537500000.0,OperatingIncomeLoss,0001060391-17-000012,USD,True,371300000.0,InterestExpense,0001060391-17-000012,USD,True,352700000.0,IncomeTaxExpenseBenefit,0001060391-17-000012,USD,True,0.365,EffectiveIncomeTaxRateContinuingOperations,0001060391-17-000012,pure,True,965900000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001060391-17-000012,USD,True,67800000.0,CashAndCashEquivalentsAtCarryingValue,0001060391-17-000012,USD,True,,,,,False,,,,,False,5800000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001060391-17-000012,USD,True,,,,,False,7691300000.0,StockholdersEquity,0001060391-17-000012,USD,True,67800000.0,5800000.0,920000000.0,0.3651516720157366,7629300000.0,976079304.275805,0.12793825177615312,1537500000.0,False,0.08101872236997376,1.5018250439120584,True,True,RSG,0001060391,ticker:RSG,23
