year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,88603000000.0,Revenues,0000101829-26-000006,USD,True,6732000000.0,NetIncomeLoss,0000101829-26-000006,USD,True,10567000000.0,NetCashProvidedByUsedInOperatingActivities,0000101829-26-000006,USD,True,2627000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000101829-26-000006,USD,True,9300000000.0,OperatingIncomeLoss,0000101829-26-000006,USD,True,,,,,False,1664000000.0,IncomeTaxExpenseBenefit,0000101829-26-000006,USD,True,0.191,EffectiveIncomeTaxRateContinuingOperations,0000101829-26-000006,pure,True,8733000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000101829-26-000006,USD,True,7435000000.0,CashAndCashEquivalentsAtCarryingValue,0000101829-26-000006,USD,True,,,,,False,,,,,False,3412000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000101829-26-000006,USD,True,,,,,False,65245000000.0,StockholdersEquity,0000101829-26-000006,USD,True,7435000000.0,3412000000.0,7940000000.0,0.19054162372609643,61222000000.0,7527962899.347303,0.12296172779960314,9300000000.0,False,0.0896132185140458,1.1794414735591205,True,True,RTX,0000101829,ticker:RTX,25
2024,80738000000.0,Revenues,0000101829-25-000005,USD,True,4774000000.0,NetIncomeLoss,0000101829-25-000005,USD,True,7159000000.0,NetCashProvidedByUsedInOperatingActivities,0000101829-25-000005,USD,True,2625000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000101829-25-000005,USD,True,6538000000.0,OperatingIncomeLoss,0000101829-25-000005,USD,True,1862000000.0,InterestExpense,0000101829-25-000005,USD,True,1181000000.0,IncomeTaxExpenseBenefit,0000101829-25-000005,USD,True,0.191,EffectiveIncomeTaxRateContinuingOperations,0000101829-25-000005,pure,True,6194000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000101829-25-000005,USD,True,5578000000.0,CashAndCashEquivalentsAtCarryingValue,0000101829-25-000005,USD,True,,,,,False,41078000000.0,LongTermDebt,0000101829-25-000005,USD,True,2352000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000101829-25-000005,USD,True,,,,,False,60156000000.0,StockholdersEquity,0000101829-25-000005,USD,True,5578000000.0,41078000000.0,4534000000.0,0.19066838876331935,95656000000.0,5291410074.265418,0.05531707445706927,6538000000.0,False,0.05615695211672323,0.9497276916631755,True,True,RTX,0000101829,ticker:RTX,25
2023,68920000000.0,Revenues,0000101829-24-000008,USD,True,3195000000.0,NetIncomeLoss,0000101829-24-000008,USD,True,,,,,False,2415000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000101829-24-000008,USD,True,3561000000.0,OperatingIncomeLoss,0000101829-24-000008,USD,True,1505000000.0,InterestExpense,0000101829-24-000008,USD,True,456000000.0,IncomeTaxExpenseBenefit,0000101829-24-000008,USD,True,0.119,EffectiveIncomeTaxRateContinuingOperations,0000101829-24-000008,pure,True,3836000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000101829-24-000008,USD,True,6587000000.0,CashAndCashEquivalentsAtCarryingValue,0000101829-24-000008,USD,True,,,,,False,43638000000.0,LongTermDebt,0000101829-24-000008,USD,True,1283000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000101829-24-000008,USD,True,,,,,False,59798000000.0,StockholdersEquity,0000101829-24-000008,USD,True,6587000000.0,43638000000.0,,0.11887382690302398,96849000000.0,3137690302.398331,0.032397756325809574,3561000000.0,False,,,True,False,RTX,0000101829,ticker:RTX,25
2022,67074000000.0,Revenues,0000101829-23-000009,USD,True,5197000000.0,NetIncomeLoss,0000101829-23-000009,USD,True,,,,,False,2288000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000101829-23-000009,USD,True,5414000000.0,OperatingIncomeLoss,0000101829-23-000009,USD,True,1276000000.0,InterestExpense,0000101829-23-000009,USD,True,700000000.0,IncomeTaxExpenseBenefit,0000101829-23-000009,USD,True,0.116,EffectiveIncomeTaxRateContinuingOperations,0000101829-23-000009,pure,True,6027000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000101829-23-000009,USD,True,6220000000.0,CashAndCashEquivalentsAtCarryingValue,0000101829-23-000009,USD,True,,,,,False,31289000000.0,LongTermDebt,0000101829-23-000009,USD,True,595000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000101829-23-000009,USD,True,,,,,False,72632000000.0,StockholdersEquity,0000101829-23-000009,USD,True,6220000000.0,31289000000.0,,0.11614401858304298,97701000000.0,4785196283.391405,0.048977966278660454,5414000000.0,False,,,True,False,RTX,0000101829,ticker:RTX,25
2021,64388000000.0,Revenues,0000101829-22-000005,USD,True,3864000000.0,NetIncomeLoss,0000101829-22-000005,USD,True,,,,,False,2134000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000101829-22-000005,USD,True,4958000000.0,OperatingIncomeLoss,0000101829-22-000005,USD,True,1322000000.0,InterestExpense,0000101829-22-000005,USD,True,786000000.0,IncomeTaxExpenseBenefit,0000101829-22-000005,USD,True,0.159,EffectiveIncomeTaxRateContinuingOperations,0000101829-22-000005,pure,True,4931000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000101829-22-000005,USD,True,7832000000.0,CashAndCashEquivalentsAtCarryingValue,0000101829-22-000005,USD,True,,,,,False,31351000000.0,LongTermDebt,0000101829-22-000005,USD,True,24000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000101829-22-000005,USD,True,,,,,False,73068000000.0,StockholdersEquity,0000101829-22-000005,USD,True,7832000000.0,31351000000.0,,0.15939971608193065,96587000000.0,4167696207.6657877,0.04314965997148465,4958000000.0,False,,,True,False,RTX,0000101829,ticker:RTX,25
2020,56587000000.0,Revenues,0000101829-21-000008,USD,True,-3519000000.0,NetIncomeLoss,0000101829-21-000008,USD,True,,,,,False,1795000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000101829-21-000008,USD,True,-1889000000.0,OperatingIncomeLoss,0000101829-21-000008,USD,True,1366000000.0,InterestExpense,0000101829-21-000008,USD,True,575000000.0,IncomeTaxExpenseBenefit,0000101829-21-000008,USD,True,-0.244,EffectiveIncomeTaxRateContinuingOperations,0000101829-21-000008,pure,True,-2353000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000101829-21-000008,USD,True,8802000000.0,CashAndCashEquivalentsAtCarryingValue,0000101829-21-000008,USD,True,,,,,False,31576000000.0,LongTermDebt,0000101829-21-000008,USD,True,550000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000101829-21-000008,USD,True,,,,,False,72163000000.0,StockholdersEquity,0000101829-21-000008,USD,True,8802000000.0,31576000000.0,,-0.24436889077773055,94937000000.0,-2350612834.679133,-0.024759712595501575,-1889000000.0,False,,,True,False,RTX,0000101829,ticker:RTX,25
2019,77046000000.0,Revenues,0000101829-20-000013,USD,True,5537000000.0,NetIncomeLoss,0000101829-20-000013,USD,True,,,,,False,2256000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000101829-20-000013,USD,True,8966000000.0,OperatingIncomeLoss,0000101829-20-000013,USD,True,1611000000.0,InterestExpense,0000101829-20-000013,USD,True,2295000000.0,IncomeTaxExpenseBenefit,0000101829-20-000013,USD,True,0.278,EffectiveIncomeTaxRateContinuingOperations,0000101829-20-000013,pure,True,8243000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000101829-20-000013,USD,True,7378000000.0,CashAndCashEquivalentsAtCarryingValue,0000101829-20-000013,USD,True,,,,,False,41284000000.0,LongTermDebt,0000101829-20-000013,USD,True,3496000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000101829-20-000013,USD,True,,,,,False,41774000000.0,StockholdersEquity,0000101829-20-000013,USD,True,7378000000.0,41284000000.0,,0.2784180516802135,75680000000.0,6469703748.635206,0.08548762881389015,8966000000.0,False,,,True,False,RTX,0000101829,ticker:RTX,25
2018,66501000000.0,Revenues,0000101829-19-000007,USD,True,5269000000.0,NetIncomeLoss,0000101829-19-000007,USD,True,,,,,False,1902000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000101829-19-000007,USD,True,8553000000.0,OperatingIncomeLoss,0000101829-19-000007,USD,True,1038000000.0,InterestExpense,0000101829-19-000007,USD,True,2626000000.0,IncomeTaxExpenseBenefit,0000101829-19-000007,USD,True,0.317,EffectiveIncomeTaxRateContinuingOperations,0000101829-19-000007,pure,True,8280000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000101829-19-000007,USD,True,6152000000.0,CashAndCashEquivalentsAtCarryingValue,0000101829-19-000007,USD,True,,,,,False,44068000000.0,LongTermDebt,0000101829-19-000007,USD,True,2876000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000101829-19-000007,USD,True,,,,,False,38446000000.0,StockholdersEquity,0000101829-19-000007,USD,True,6152000000.0,44068000000.0,,0.31714975845410626,76362000000.0,5840418115.942029,0.0764833047319613,8553000000.0,False,,,True,False,RTX,0000101829,ticker:RTX,25
2017,59837000000.0,Revenues,0000101829-18-000005,USD,True,4552000000.0,NetIncomeLoss,0000101829-18-000005,USD,True,,,,,False,2014000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000101829-18-000005,USD,True,8672000000.0,OperatingIncomeLoss,0000101829-18-000005,USD,True,909000000.0,InterestExpense,0000101829-18-000005,USD,True,2843000000.0,IncomeTaxExpenseBenefit,0000101829-18-000005,USD,True,0.366,EffectiveIncomeTaxRateContinuingOperations,0000101829-18-000005,pure,True,7763000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000101829-18-000005,USD,True,8985000000.0,CashAndCashEquivalentsAtCarryingValue,0000101829-18-000005,USD,True,,,,,False,27093000000.0,LongTermDebt,0000101829-18-000005,USD,True,2104000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000101829-18-000005,USD,True,,,,,False,29610000000.0,StockholdersEquity,0000101829-18-000005,USD,True,8985000000.0,27093000000.0,,0.3662243977843617,47718000000.0,5496102022.414015,0.11517880092237762,8672000000.0,False,,,True,False,RTX,0000101829,ticker:RTX,25
2016,57244000000.0,Revenues,0000101829-17-000007,USD,True,5055000000.0,NetIncomeLoss,0000101829-17-000007,USD,True,,,,,False,1699000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000101829-17-000007,USD,True,8172000000.0,OperatingIncomeLoss,0000101829-17-000007,USD,True,1039000000.0,InterestExpense,0000101829-17-000007,USD,True,1697000000.0,IncomeTaxExpenseBenefit,0000101829-17-000007,USD,True,0.238,EffectiveIncomeTaxRateContinuingOperations,0000101829-17-000007,pure,True,7133000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000101829-17-000007,USD,True,7157000000.0,CashAndCashEquivalentsAtCarryingValue,0000101829-17-000007,USD,True,,,,,False,23300000000.0,LongTermDebt,0000101829-17-000007,USD,True,1603000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000101829-17-000007,USD,True,,,,,False,27579000000.0,StockholdersEquity,0000101829-17-000007,USD,True,7157000000.0,23300000000.0,,0.23790831347259217,43722000000.0,6227813262.301977,0.1424411797791038,8172000000.0,False,,,True,False,RTX,0000101829,ticker:RTX,25
