year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,43720000000.0,7.51,12930000000.0,,,,,,,,1160000000.0,1.71,4.41,
2025,42410000000.0,7.23,12390000000.0,27.91,11470000000.0,8780000000.0,82650000000.0,52940000000.0,33.6,29700000000.0,1160000000.0,1.08,6.52,5.22
2024,36760000000.0,2.87,5900000000.0,13.94,11690000000.0,11080000000.0,77250000000.0,47660000000.0,85.1,29580000000.0,1160000000.0,0.98,7.94,6.12
2023,33880000000.000004,5.67,7580000000.0,17.11,12670000000.0,9710000000.0,75530000000.0,47980000000.0,26.7,27550000000.0,1160000000.0,1.44,5.34,3.77
2022,31410000000.0,2.06,6790000000.0,15.29,10570000000.0,14030000000.0,77400000000.0,45960000000.0,48.2,31440000000.0,1160000000.0,2.68,3.84,2.63
2021,32310000000.000004,5.17,9030000000.0,31.55,13200000000.0,17140000000.0,80600000000.0,47020000000.0,25.4,33570000000.0,1170000000.0,1.67,5.16,3.55
2020,31700000000.0,5.11,9300000000.0,26.41,8539999999.999999,19010000000.0,71910000000.0,36800000000.0,23.5,35100000000.0,1180000000.0,1.43,4.97,4.28
2019,30780000000.0,3.1,5910000000.0,16.68,6280000000.0,15250000000.0,67450000000.0,34520000000.0,39.2,32920000000.0,1190000000.0,1.4,5.23,4.66
2018,28980000000.0,3.98,6970000000.0,22.66,10380000000.0,12930000000.0,58910000000.0,33030000000.0,22.4,25880000000.0,1190000000.0,1.94,4.09,3.59
2017,26970000000.0,3.92,6170000000.0,21.44,6000000000.0,7550000000.0,50970000000.0,30610000000.0,25.3,20360000000.0,1190000000.0,1.34,4.96,4.37
2016,24290000000.0,3.31,5610000000.0,22.08,4099999999.9999995,8279999999.999999,46570000000.0,27760000000.0,22.7,18800000000.0,1190000000.0,1.74,4.32,3.78
2015,22860000000.0,2.82,4660000000.0,19.19,3750000000.0,10050000000.0,45250000000.0,25470000000.0,24.0,19780000000.0,1190000000.0,1.76,4.2,3.77
2014,22780000000.0,3.52,5770000000.0,24.8,4090000000.0,13480000000.0,46900000000.0,23750000000.0,16.6,23140000000.0,1190000000.0,2.33,3.72,3.56
2013,22420000000.0,3.76,6120000000.0,26.14,3840000000.0,5890000000.0,37410000000.0,22160000000.0,19.2,15250000000.0,1190000000.0,1.55,4.58,4.63
2012,21100000000.0,3.09,5200000000.0,23.4,3290000000.0,6580000000.0,34790000000.0,18690000000.0,21.2,16100000000.000002,1190000000.0,2.26,4.53,5.12
2011,19530000000.0,,6550000000.0,33.49,6960000000.0,5130000000.0,30160000000.0,16500000000.0,,13660000000.0,1190000000.0,1.96,3.22,3.81
2010,16510000000.000002,,3340000000.0,18.76,4880000000.0,1460000000.0,27720000000.0,13060000000.0,,14650000000.0,1180000000.0,1.7,3.64,4.61
2009,15020000000.0,,3250000000.0,22.82,3390000000.0,8590000.0,19160000000.0,12160000000.0,,6990000000.0,1180000000.0,1.87,3.74,4.62
2008,17149999999.999998,,4120000000.0,22.67,2610000000.0,3240000000.0,19430000000.0,10020000000.0,,9400000000.0,1180000000.0,2.83,2.52,4.31
2007,14320000000.0,,3850000000.0,27.9,3220000000.0,40050000.0,15150000000.0,9510000000.0,,5640000000.0,1200000000.0,1.61,4.27,6.43
2006,11880000000.0,,3220000000.0,28.62,4390000000.0,33990000.0,12530000000.0,8100000000.0,,4420000000.0,1220000000.0,1.11,5.44,7.98
2005,10310000000.0,,2810000000.0,27.3,4050000000.0,37000000.0,10720000000.0,6850000000.0,,3870000000.0,1230000000.0,1.08,5.42,8.15
2004,9540000000.0,,2590000000.0,27.58,4340000000.0,47520000.0,10280000000.0,6250000000.0,,4019999999.9999995,1240000000.0,0.76,5.76,8.78
2003,8199999999.999999,,2029999999.9999998,25.19,1680000000.0,39650000.0,7950000000.0,4730000000.0,,3210000000.0,1240000000.0,0.53,6.39,11.1
2002,7260000000.0,,,14.94,1200000000.0,35540000.0,5860000000.0,3060000000.0,,2800000000.0,1250000000.0,0.91,3.34,7.93
2001,6190000000.0,,1100000000.0,14.4,850000000.0,,5470000000.0,2800000000.0,,2670000000.0,1250000000.0,0.56,6.49,
2000,5850000000.0,,740000000.0,,1110000000.0,280000000.0,,,,,1250000000.0,0.53,,
1999,5320000000.0,,820000000.0,,710000000.0,26000000.0,,,,,1250000000.0,0.38,,
1998,,,,,730000000.0,140000000.0,,,,,,0.0,,
1997,,,,,660000000.0,96500000.0,,,,,,0.0,,
1996,,,,,1020000000.0,9860000.0,,,,,,0.0,,
1995,,,,,,,,,,,,0.0,,
