Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,43720000000.0,12930000000.0,,,,
2025,42410000000.0,12390000000.0,33.6,11470000000.0,82650000000.0,
2024,36760000000.0,5900000000.0,85.1,11690000000.0,77250000000.0,
2023,33880000000.000004,7580000000.0,26.7,12670000000.0,75530000000.0,
2022,31410000000.0,6790000000.0,48.2,10570000000.0,77400000000.0,
2021,32310000000.000004,9030000000.0,25.4,13200000000.0,80600000000.0,
2020,31700000000.0,9300000000.0,23.5,8539999999.999999,71910000000.0,
2019,30780000000.0,5910000000.0,39.2,6280000000.0,67450000000.0,
2018,28980000000.0,6970000000.0,22.4,10380000000.0,58910000000.0,
2017,26970000000.0,6170000000.0,25.3,6000000000.0,50970000000.0,
2016,24290000000.0,5610000000.0,22.7,4099999999.9999995,46570000000.0,
2015,22860000000.0,4660000000.0,24.0,3750000000.0,45250000000.0,
2014,22780000000.0,5770000000.0,16.6,4090000000.0,46900000000.0,
2013,22420000000.0,6120000000.0,19.2,3840000000.0,37410000000.0,
2012,21100000000.0,5200000000.0,21.2,3290000000.0,34790000000.0,
2011,19530000000.0,6550000000.0,,6960000000.0,30160000000.0,
2010,16510000000.000002,3340000000.0,,4880000000.0,27720000000.0,
2009,15020000000.0,3250000000.0,,3390000000.0,19160000000.0,
2008,17149999999.999998,4120000000.0,,2610000000.0,19430000000.0,
2007,14320000000.0,3850000000.0,,3220000000.0,15150000000.0,
2006,11880000000.0,3220000000.0,,4390000000.0,12530000000.0,
2005,10310000000.0,2810000000.0,,4050000000.0,10720000000.0,
2004,9540000000.0,2590000000.0,,4340000000.0,10280000000.0,
2003,8199999999.999999,2029999999.9999998,,1680000000.0,7950000000.0,
2002,7260000000.0,,,1200000000.0,5860000000.0,
2001,6190000000.0,1100000000.0,,850000000.0,5470000000.0,
2000,5850000000.0,740000000.0,,1110000000.0,,
1999,5320000000.0,820000000.0,,710000000.0,,
1998,,,,730000000.0,,
1997,,,,660000000.0,,
1996,,,,1020000000.0,,
