year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,,,,,,,,,,,,1.58,,
2025,47160000000.0,8.7,7250000000.0,15.39,5440000000.0,21000000000.0,73420000000.0,28720000000.0,27.1,44690000000.0,560000000.0,1.66,3.31,5.44
2024,39700000000.0,7.92,6280000000.0,15.83,7160000000.0,15430000000.0,68620000000.00001,32549999999.999996,29.7,36070000000.0,560000000.0,1.48,3.55,4.33
2023,39680000000.0,7.9,5970000000.0,15.05,5190000000.0,15400000000.0,65110000000.0,30030000000.0,22.3,35070000000.0,550000000.0,1.79,2.82,3.73
2022,36650000000.0,6.68,5060000000.0,13.81,4269999999.9999995,11220000000.0,62600000000.0,27990000000.0,18.6,34610000000.0,550000000.0,2.34,2.13,2.79
2021,32729999999.999996,6.52,4700000000.0,14.37,2970000000.0,11040000000.0,61770000000.0,31830000000.0,24.6,29940000000.0,550000000.0,1.63,3.32,3.41
2020,30940000000.0,4.72,3450000000.0,11.17,8500000000.0,12860000000.0,60860000000.0,29180000000.0,23.3,31670000000.0,550000000.0,2.37,2.61,2.76
2019,30420000000.0,4.91,3510000000.0,11.55,4040000000.0,7170000000.0,50410000000.0,25920000000.0,16.4,24490000000.0,550000000.0,2.92,1.86,2.18
2018,29420000000.0,4.82,3530000000.0,12.0,2730000000.0,8570000000.0,48340000000.0,25460000000.0,10.5,22870000000.0,550000000.0,0.37,1.28,1.47
2017,29680000000.0,4.62,3410000000.0,11.49,3690000000.0,8800000000.0,47810000000.0,23920000000.0,12.7,23880000000.0,550000000.0,3.47,1.59,1.97
2016,25720000000.0,3.28,2640000000.0,10.27,2970000000.0,8150000000.0,44020000000.0,21720000000.0,16.2,22290000000.0,560000000.0,3.75,1.5,1.77
2015,29120000000.0,2.7,1940000000.0,6.69,3320000000.0,8470000000.000001,46550000000.0,23270000000.0,15.4,23270000000.0,560000000.0,4.61,1.12,1.4
2014,30330000000.0,4.12,2950000000.0,9.74,3270000000.0,9500000000.0,50050000000.0,24500000000.0,11.1,25540000000.0,570000000.0,4.91,1.39,1.72
2013,32299999999.999996,4.74,3520000000.0,10.92,7720000000.0,12420000000.0,51570000000.0,24290000000.0,10.0,27280000000.0,550000000.0,3.94,1.5,2.0
2012,31670000000.0,4.42,3200000000.0,10.11,5110000000.0,10950000000.0,47810000000.0,22250000000.0,9.3,25550000000.0,540000000.0,4.3,1.27,1.81
2011,29010000000.0,4.34,3110000000.0,10.72,3730000000.0,10630000000.0,46520000000.0,20830000000.0,6.55,25690000000.0,530000000.0,5.64,0.9804,1.37
2010,26040000000.0,4.39,3140000000.0,12.06,4550000000.0,8140000000.000001,41300000000.0,19930000000.0,8.8,21360000000.0,,2.65,1.53,2.0
2009,22620000000.0,2.38,1690000000.0,7.48,5140000000.0,9060000000.0,36720000000.0,16989999999.999998,11.3,19730000000.0,,6.36,1.36,1.81
2008,25590000000.0,4.91,3160000000.0,12.38,2410000000.0,8670000000.0,34680000000.0,15440000000.0,3.39,19230000000.0,,9.98,0.7162,
2007,25270000000.0,4.95,3240000000.0,12.83,1970000000.0,9030000000.0,33970000000.0,15050000000.0,5.5,18910000000.0,,5.86,1.31,
2006,18110000000.0,3.93,2480000000.0,13.71,3450000000.0,5720000000.0,25020000000.0,11660000000.0,6.12,13360000000.0,,4.62,1.4,
2005,13830000000.0,2.67,1720000000.0,12.48,1630000000.0,3560000000.0,19680000000.0,9870000000.0,7.88,9800000000.0,,4.23,1.46,
2004,14030000000.0,2.5,1650000000.0,11.82,1440000000.0,2100000000.0,18030000000.0,10130000000.0,5.52,7900000000.0,,5.9,1.12,
2003,11050000000.0,1.21,1200000000.0,10.87,3880000000.0,3380000000.0,17520000000.0,9730000000.0,11.3,7780000000.0,,3.63,1.33,
2002,9470000000.0,0.96,920000000.0,9.73,3350000000.0,2470000000.0,14390000000.0,8210000000.000001,11.9,6170000000.0,,5.58,,
2001,8670000000.0,-2.37,870000000.0,10.13,510000000.0,2530000000.0,13460000000.0,7470000000.0,-5.68,5990000000.0,,5.87,,
2000,,,,,,,,,,,,3.5,,
