Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2025,47160000000.0,7250000000.0,27.1,5440000000.0,73420000000.0,
2024,39700000000.0,6280000000.0,29.7,7160000000.0,68620000000.00001,
2023,39680000000.0,5970000000.0,22.3,5190000000.0,65110000000.0,
2022,36650000000.0,5060000000.0,18.6,4269999999.9999995,62600000000.0,
2021,32729999999.999996,4700000000.0,24.6,2970000000.0,61770000000.0,
2020,30940000000.0,3450000000.0,23.3,8500000000.0,60860000000.0,
2019,30420000000.0,3510000000.0,16.4,4040000000.0,50410000000.0,
2018,29420000000.0,3530000000.0,10.5,2730000000.0,48340000000.0,
2017,29680000000.0,3410000000.0,12.7,3690000000.0,47810000000.0,
2016,25720000000.0,2640000000.0,16.2,2970000000.0,44020000000.0,
2015,29120000000.0,1940000000.0,15.4,3320000000.0,46550000000.0,
2014,30330000000.0,2950000000.0,11.1,3270000000.0,50050000000.0,
2013,32299999999.999996,3520000000.0,10.0,7720000000.0,51570000000.0,
2012,31670000000.0,3200000000.0,9.3,5110000000.0,47810000000.0,
2011,29010000000.0,3110000000.0,6.55,3730000000.0,46520000000.0,
2010,26040000000.0,3140000000.0,8.8,4550000000.0,41300000000.0,
2009,22620000000.0,1690000000.0,11.3,5140000000.0,36720000000.0,
2008,25590000000.0,3160000000.0,3.39,2410000000.0,34680000000.0,
2007,25270000000.0,3240000000.0,5.5,1970000000.0,33970000000.0,
2006,18110000000.0,2480000000.0,6.12,3450000000.0,25020000000.0,
2005,13830000000.0,1720000000.0,7.88,1630000000.0,19680000000.0,
2004,14030000000.0,1650000000.0,5.52,1440000000.0,18030000000.0,
2003,11050000000.0,1200000000.0,11.3,3880000000.0,17520000000.0,
2002,9470000000.0,920000000.0,11.9,3350000000.0,14390000000.0,
2001,8670000000.0,870000000.0,-5.68,510000000.0,13460000000.0,
