year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,24800000000.0,5.06,12190000000.0,,,,,,,,1740000000.0,1.13,6.62,
2025,23920000000.0,4.68,11450000000.0,47.9,,30950000000.0,490990000000.0,49420000000.0,21.3,441570000000.0,1770000000.0,1.08,7.71,3.73
2024,19610000000.0,3.0,7690000000.0,39.23,,45130000000.0,479840000000.0,48370000000.0,24.4,431460000000.0,1830000000.0,1.36,6.98,2.83
2023,18830000000.0,2.55,6370000000.0,33.86,,59080000000.0,493170000000.0,40950000000.0,26.3,452220000000.0,1820000000.0,1.49,6.66,3.06
2022,20760000000.0,3.52,9380000000.0,45.22,,37870000000.0,551770000000.0,36600000000.0,22.7,515159999999.99994,1860000000.0,1.05,7.49,4.25
2021,18520000000.0,2.84,7710000000.0,41.65,,23760000000.0,667270000000.0,56260000000.0,28.1,611000000000.0,1890000000.0,0.9,8.59,2.83
2020,11690000000.0,2.12,4300000000.0,36.78,,13630000000.0,549000000000.0,56060000000.0,23.5,492940000000.0,1840000000.0,1.44,8.53,1.78
2019,10720000000.0,2.68,4840000000.0,45.22,,7430000000.0,294000000000.0,21740000000.0,16.4,272260000000.0,1280000000.0,1.55,5.7,2.81
2018,10130000000.0,2.47,4560000000.0,45.03,,6870000000.0,296480000000.0,20670000000.0,15.3,275810000000.0,1340000000.0,1.22,5.46,2.68
2017,8610000000.0,1.63,3650000000.0,42.35,,19750000000.0,243270000000.0,18520000000.0,28.4,224740000000.0,1340000000.0,0.69,7.99,3.72
2016,7470000000.0,1.33,2990000000.0,40.02,,2870000000.0,223380000000.0,16420000000.000002,26.5,206960000000.0,1320000000.0,0.77,7.0,3.19
2015,6360000000.0,1.04,2270000000.0,35.78,,2870000000.0,183700000000.0,13400000000.0,28.0,170300000000.0,1310000000.0,0.82,6.83,3.24
2014,6050000000.0,0.96,2109999999.9999998,34.94,,1890000000.0,154640000000.0,11800000000.0,27.6,142830000000.0,1310000000.0,0.91,6.54,3.35
2013,5430000000.0,0.78,1700000000.0,31.38,,1900000000.0,143640000000.0,10380000000.0,29.0,133259999999.99998,1290000000.0,1.06,6.21,3.25
2012,4870000000.0,0.69,1450000000.0,29.6,,1630000000.0,133630000000.0,9580000000.0,17.9,124040000000.0,1260000000.0,1.95,3.77,1.91
2011,4740000000.0,,1390000000.0,29.56,,2000000000.0,108550000000.0,7710000000.0,,100830000000.0,1220000000.0,2.53,3.02,1.85
2010,4130000000.0,,770000000.0,18.22,,2000000000.0,92560000000.0,6220000000.0,,86340000000.0,1240000000.0,1.69,4.98,3.3
2009,4290000000.0,,1270000000.0,31.06,,1510000000.0,75430000000.0,5070000000.0,,70350000000.0,1170000000.0,1.56,5.1,4.31
2008,5190000000.0,,2020000000.0,38.92,,880000000.0,51670000000.0,4059999999.9999995,,47610000000.0,1140000000.0,1.69,3.6,4.6
2007,4990000000.0,,1850000000.0,37.1,,890000000.0,42280000000.0,3730000000.0,,38550000000.0,1200000000.0,5.89,5.94,7.95
2006,3640000000.0,,1330000000.0,34.25,,380000000.0,48990000000.0,5000000000.0,,43980000000.0,1270000000.0,0.93,6.72,4.89
2005,4460000000.0,,1180000000.0,28.38,,460000000.0,47350000000.0,4450000000.0,,42900000000.0,1300000000.0,0.81,4.24,4.26
2004,4200000000.0,,640000000.0,15.35,,1240000000.0,47130000000.0,4380000000.0,,42740000000.0,1360000000.0,0.82,3.79,3.63
2003,4080000000.0,,710000000.0,17.37,,1760000000.0,45860000000.0,4460000000.0,,41400000000.0,1360000000.0,0.56,3.93,3.6
2002,4120000000.0,,170000000.0,5.55,,1150000000.0,39700000000.0,4010000000.0,,35690000000.0,1350000000.0,0.55,3.54,3.64
2001,4350000000.0,,130000000.0,4.12,,1300000000.0,40460000000.0,4160000000.0,,36300000000.0,1390000000.0,0.39,4.95,
2000,5630000000.0,,1190000000.0,,,1100000000.0,,,,,1410000000.0,0.2,,
1999,4210000000.0,,1030000000.0,,,650000000.0,,,,,,0.21,,
1998,2730000000.0,,570000000.0,,,350000000.0,,,,,,0.26,,
1997,2290000000.0,,440000000.0,,,360000000.0,,,,,,0.46,,
1996,1850000000.0,,390000000.0,,,500000000.0,,,,,,0.78,,
1995,,,,,,,,,,,,0.97,,
1994,,,,,,,,,,,,1.13,,
1993,,,,,,,,,,,,0.84,,
1992,,,,,,,,,,,,1.21,,
1991,,,,,,,,,,,,0.6,,
1990,,,,,,,,,,,,1.67,,
1989,,,,,,,,,,,,0.96,,
1988,,,,,,,,,,,,0.0,,
1987,,,,,,,,,,,,0.0,,
