Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,24800000000.0,12190000000.0,,,,
2025,23920000000.0,11450000000.0,21.3,,490990000000.0,
2024,19610000000.0,7690000000.0,24.4,,479840000000.0,
2023,18830000000.0,6370000000.0,26.3,,493170000000.0,
2022,20760000000.0,9380000000.0,22.7,,551770000000.0,
2021,18520000000.0,7710000000.0,28.1,,667270000000.0,
2020,11690000000.0,4300000000.0,23.5,,549000000000.0,
2019,10720000000.0,4840000000.0,16.4,,294000000000.0,
2018,10130000000.0,4560000000.0,15.3,,296480000000.0,
2017,8610000000.0,3650000000.0,28.4,,243270000000.0,
2016,7470000000.0,2990000000.0,26.5,,223380000000.0,
2015,6360000000.0,2270000000.0,28.0,,183700000000.0,
2014,6050000000.0,2109999999.9999998,27.6,,154640000000.0,
2013,5430000000.0,1700000000.0,29.0,,143640000000.0,
2012,4870000000.0,1450000000.0,17.9,,133630000000.0,
2011,4740000000.0,1390000000.0,,,108550000000.0,
2010,4130000000.0,770000000.0,,,92560000000.0,
2009,4290000000.0,1270000000.0,,,75430000000.0,
2008,5190000000.0,2020000000.0,,,51670000000.0,
2007,4990000000.0,1850000000.0,,,42280000000.0,
2006,3640000000.0,1330000000.0,,,48990000000.0,
2005,4460000000.0,1180000000.0,,,47350000000.0,
2004,4200000000.0,640000000.0,,,47130000000.0,
2003,4080000000.0,710000000.0,,,45860000000.0,
2002,4120000000.0,170000000.0,,,39700000000.0,
2001,4350000000.0,130000000.0,,,40460000000.0,
2000,5630000000.0,1190000000.0,,,,
1999,4210000000.0,1030000000.0,,,,
1998,2730000000.0,570000000.0,,,,
1997,2290000000.0,440000000.0,,,,
1996,1850000000.0,390000000.0,,,,
