year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,23921000000.0,Revenues,0000316709-26-000009,USD,True,8852000000.0,NetIncomeLoss,0000316709-26-000009,USD,True,9311000000.0,NetCashProvidedByUsedInOperatingActivities,0000316709-26-000009,USD,True,548000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000316709-26-000009,USD,True,,,,,False,,,,,False,2607000000.0,IncomeTaxExpenseBenefit,0000316709-26-000009,USD,True,0.228,EffectiveIncomeTaxRateContinuingOperations,0000316709-26-000009,pure,True,11459000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000316709-26-000009,USD,True,46030000000.0,CashAndCashEquivalentsAtCarryingValue,0000316709-26-000009,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,49425000000.0,StockholdersEquity,0000316709-26-000009,USD,True,46030000000.0,,8763000000.0,0.22750676324286587,,,,,False,0.366330839011747,0.9899457749661094,False,True,SCHW,0000316709,ticker:SCHW,21
2024,19606000000.0,Revenues,0000316709-25-000010,USD,True,5942000000.0,NetIncomeLoss,0000316709-25-000010,USD,True,2670000000.0,NetCashProvidedByUsedInOperatingActivities,0000316709-25-000010,USD,True,620000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000316709-25-000010,USD,True,,,,,False,,,,,False,1750000000.0,IncomeTaxExpenseBenefit,0000316709-25-000010,USD,True,0.228,EffectiveIncomeTaxRateContinuingOperations,0000316709-25-000010,pure,True,7692000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000316709-25-000010,USD,True,42083000000.0,CashAndCashEquivalentsAtCarryingValue,0000316709-25-000010,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,48375000000.0,StockholdersEquity,0000316709-25-000010,USD,True,42083000000.0,,2050000000.0,0.22750910036401456,,,,,False,0.10455982862389064,0.3450016829350387,False,True,SCHW,0000316709,ticker:SCHW,21
2023,18837000000.0,Revenues,0000316709-24-000018,USD,True,5067000000.0,NetIncomeLoss,0000316709-24-000018,USD,True,19587000000.0,NetCashProvidedByUsedInOperatingActivities,0000316709-24-000018,USD,True,700000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000316709-24-000018,USD,True,,,,,False,6684000000.0,InterestExpense,0000316709-24-000018,USD,True,1311000000.0,IncomeTaxExpenseBenefit,0000316709-24-000018,USD,True,0.206,EffectiveIncomeTaxRateContinuingOperations,0000316709-24-000018,pure,True,6378000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000316709-24-000018,USD,True,43337000000.0,CashAndCashEquivalentsAtCarryingValue,0000316709-24-000018,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,40958000000.0,StockholdersEquity,0000316709-24-000018,USD,True,43337000000.0,,18887000000.0,0.20555032925682032,,,,13062000000.0,True,1.0026543504804375,3.727452141306493,False,True,SCHW,0000316709,ticker:SCHW,21
2022,20762000000.0,Revenues,0000316709-23-000009,USD,True,7183000000.0,NetIncomeLoss,0000316709-23-000009,USD,True,2057000000.0,NetCashProvidedByUsedInOperatingActivities,0000316709-23-000009,USD,True,971000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000316709-23-000009,USD,True,,,,,False,1545000000.0,InterestExpense,0000316709-23-000009,USD,True,2205000000.0,IncomeTaxExpenseBenefit,0000316709-23-000009,USD,True,0.235,EffectiveIncomeTaxRateContinuingOperations,0000316709-23-000009,pure,True,9388000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000316709-23-000009,USD,True,40195000000.0,CashAndCashEquivalentsAtCarryingValue,0000316709-23-000009,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,36608000000.0,StockholdersEquity,0000316709-23-000009,USD,True,40195000000.0,,1086000000.0,0.23487430762675757,,,,10933000000.0,True,0.05230709950871785,0.15119031045524153,False,True,SCHW,0000316709,ticker:SCHW,21
2021,18520000000.0,Revenues,0000316709-22-000009,USD,True,5855000000.0,NetIncomeLoss,0000316709-22-000009,USD,True,2118000000.0,NetCashProvidedByUsedInOperatingActivities,0000316709-22-000009,USD,True,916000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000316709-22-000009,USD,True,,,,,False,476000000.0,InterestExpense,0000316709-22-000009,USD,True,1858000000.0,IncomeTaxExpenseBenefit,0000316709-22-000009,USD,True,0.241,EffectiveIncomeTaxRateContinuingOperations,0000316709-22-000009,pure,True,7713000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000316709-22-000009,USD,True,62975000000.0,CashAndCashEquivalentsAtCarryingValue,0000316709-22-000009,USD,True,,,,,False,18914000000.0,LongTermDebt,0000316709-22-000009,USD,True,,,,,False,,,,,False,56261000000.0,StockholdersEquity,0000316709-22-000009,USD,True,62975000000.0,18914000000.0,1202000000.0,0.24089200051860496,12200000000.0,6216335407.753145,0.5095356891600938,8189000000.0,True,0.06490280777537796,0.2052946199829206,True,True,SCHW,0000316709,ticker:SCHW,21
2020,11691000000.0,Revenues,0000316709-21-000012,USD,True,3299000000.0,NetIncomeLoss,0000316709-21-000012,USD,True,6852000000.0,NetCashProvidedByUsedInOperatingActivities,0000316709-21-000012,USD,True,631000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000316709-21-000012,USD,True,,,,,False,418000000.0,InterestExpense,0000316709-21-000012,USD,True,1001000000.0,IncomeTaxExpenseBenefit,0000316709-21-000012,USD,True,0.233,EffectiveIncomeTaxRateContinuingOperations,0000316709-21-000012,pure,True,4300000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000316709-21-000012,USD,True,40348000000.0,CashAndCashEquivalentsAtCarryingValue,0000316709-21-000012,USD,True,,,,,False,13632000000.0,LongTermDebt,0000316709-21-000012,USD,True,,,,,False,,,,,False,56060000000.0,StockholdersEquity,0000316709-21-000012,USD,True,40348000000.0,13632000000.0,6221000000.0,0.2327906976744186,29344000000.0,3619693488.3720927,0.12335378572696608,4718000000.0,True,0.5321187238046361,1.885722946347378,True,True,SCHW,0000316709,ticker:SCHW,21
2019,10721000000.0,Revenues,0000316709-20-000012,USD,True,3704000000.0,NetIncomeLoss,0000316709-20-000012,USD,True,9325000000.0,NetCashProvidedByUsedInOperatingActivities,0000316709-20-000012,USD,True,708000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000316709-20-000012,USD,True,,,,,False,1064000000.0,InterestExpense,0000316709-20-000012,USD,True,1144000000.0,IncomeTaxExpenseBenefit,0000316709-20-000012,USD,True,0.236,EffectiveIncomeTaxRateContinuingOperations,0000316709-20-000012,pure,True,4848000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000316709-20-000012,USD,True,29345000000.0,CashAndCashEquivalentsAtCarryingValue,0000316709-20-000012,USD,True,,,,,False,7430000000.0,LongTermDebt,0000316709-20-000012,USD,True,,,,,False,,,,,False,21745000000.0,StockholdersEquity,0000316709-20-000012,USD,True,29345000000.0,7430000000.0,8617000000.0,0.23597359735973597,-170000000.0,4516924092.409241,-26.57014172005436,5912000000.0,True,0.803749650219196,2.326403887688985,True,True,SCHW,0000316709,ticker:SCHW,21
2018,10132000000.0,Revenues,0000316709-19-000008,USD,True,3507000000.0,NetIncomeLoss,0000316709-19-000008,USD,True,12456000000.0,NetCashProvidedByUsedInOperatingActivities,0000316709-19-000008,USD,True,570000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000316709-19-000008,USD,True,,,,,False,857000000.0,InterestExpense,0000316709-19-000008,USD,True,1055000000.0,IncomeTaxExpenseBenefit,0000316709-19-000008,USD,True,0.231,EffectiveIncomeTaxRateContinuingOperations,0000316709-19-000008,pure,True,4562000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000316709-19-000008,USD,True,27938000000.0,CashAndCashEquivalentsAtCarryingValue,0000316709-19-000008,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,20670000000.0,StockholdersEquity,0000316709-19-000008,USD,True,27938000000.0,,11886000000.0,0.23125822007891275,,,,5419000000.0,True,1.1731148835373075,3.3892215568862274,False,True,SCHW,0000316709,ticker:SCHW,21
2017,8618000000.0,Revenues,0000316709-18-000009,USD,True,2354000000.0,NetIncomeLoss,0000316709-18-000009,USD,True,,,,,False,400000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000316709-18-000009,USD,True,,,,,False,342000000.0,InterestExpense,0000316709-18-000009,USD,True,1296000000.0,IncomeTaxExpenseBenefit,0000316709-18-000009,USD,True,0.355,EffectiveIncomeTaxRateContinuingOperations,0000316709-18-000009,pure,True,3650000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000316709-18-000009,USD,True,14217000000.0,CashAndCashEquivalentsAtCarryingValue,0000316709-18-000009,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,18525000000.0,StockholdersEquity,0000316709-18-000009,USD,True,14217000000.0,,,0.35506849315068495,,,,3992000000.0,True,,,False,False,SCHW,0000316709,ticker:SCHW,21
2016,7478000000.0,Revenues,0000316709-17-000010,USD,True,1889000000.0,NetIncomeLoss,0000316709-17-000010,USD,True,,,,,False,346000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000316709-17-000010,USD,True,,,,,False,171000000.0,InterestExpense,0000316709-17-000010,USD,True,1104000000.0,IncomeTaxExpenseBenefit,0000316709-17-000010,USD,True,0.369,EffectiveIncomeTaxRateContinuingOperations,0000316709-17-000010,pure,True,2993000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000316709-17-000010,USD,True,10828000000.0,CashAndCashEquivalentsAtCarryingValue,0000316709-17-000010,USD,True,,,,,False,,,,,False,,,,,False,,,,,False,16421000000.0,StockholdersEquity,0000316709-17-000010,USD,True,10828000000.0,,,0.36886067490811897,,,,3164000000.0,True,,,False,False,SCHW,0000316709,ticker:SCHW,21
