ticker,status,rows,roic_years,fcf_margin_years,fcf_conversion_years,error
ADBE,ok,16,13,16,16,
AMZN,ok,16,16,15,15,
ASML,ok,16,16,11,11,
COST,ok,15,15,11,11,
CRM,ok,15,9,14,15,
DPZ,ok,14,14,10,10,
GOOGL,ok,11,11,11,11,
INTU,ok,16,12,16,16,
JNJ,ok,16,4,8,16,
KLAC,ok,16,0,16,16,
KO,ok,16,16,8,16,
LIN,ok,8,8,4,4,
LOW,ok,16,10,12,12,
LRCX,ok,16,16,11,11,
MA,ok,13,10,13,13,
MCD,ok,16,16,16,16,
MDT,ok,12,12,11,11,
META,ok,14,9,14,14,
MO,ok,16,16,14,14,
MSFT,ok,17,17,13,13,
NKE,ok,17,0,17,17,
NVDA,ok,16,13,6,6,
OXY,ok,16,0,16,16,
PFE,ok,16,0,12,16,
RHHBY,error,0,0,0,0,No CIK found for ticker: RHHBY
RNO,error,0,0,0,0,No CIK found for ticker: RNO
SBUX,ok,16,16,16,16,
TXN,ok,16,15,8,8,
UNH,ok,16,16,16,16,
V,ok,16,12,16,16,
