year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,23574300000.0,Revenues,0000089800-26-000008,USD,True,2568500000.0,NetIncomeLoss,0000089800-26-000008,USD,True,3451600000.0,NetCashProvidedByUsedInOperatingActivities,0000089800-26-000008,USD,True,797600000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000089800-26-000008,USD,True,,,,,False,396200000.0,InterestAndDebtExpense,0000089800-26-000008,USD,True,769700000.0,IncomeTaxExpenseBenefit,0000089800-26-000008,USD,True,0.231,EffectiveIncomeTaxRateContinuingOperations,0000089800-26-000008,pure,True,3338200000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000089800-26-000008,USD,True,207200000.0,CashAndCashEquivalentsAtCarryingValue,0000089800-26-000008,USD,True,,,,,False,9670800000.0,LongTermDebt,0000089800-26-000008,USD,True,700000.0,FinanceLeaseLiabilityCurrent,0000089800-26-000008,USD,True,194700000.0,FinanceLeaseLiabilityNoncurrent,0000089800-26-000008,USD,True,4598300000.0,StockholdersEquity,0000089800-26-000008,USD,True,207200000.0,9670800000.0,2654000000.0,0.23057336289018035,14061900000.0,2873346833.6229105,0.2043356042656334,3734400000.0,True,0.112580225075612,1.0332879112322366,True,True,SHW,0000089800,ticker:SHW,23
2024,23098500000.0,Revenues,0000089800-25-000030,USD,True,2681400000.0,NetIncomeLoss,0000089800-25-000030,USD,True,3153200000.0,NetCashProvidedByUsedInOperatingActivities,0000089800-25-000030,USD,True,1070000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000089800-25-000030,USD,True,,,,,False,354700000.0,InterestAndDebtExpense,0000089800-25-000030,USD,True,770400000.0,IncomeTaxExpenseBenefit,0000089800-25-000030,USD,True,0.223,EffectiveIncomeTaxRateContinuingOperations,0000089800-25-000030,pure,True,3451800000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000089800-25-000030,USD,True,210400000.0,CashAndCashEquivalentsAtCarryingValue,0000089800-25-000030,USD,True,,,,,False,9226000000.0,LongTermDebt,0000089800-25-000030,USD,True,3700000.0,FinanceLeaseLiabilityCurrent,0000089800-25-000030,USD,True,185600000.0,FinanceLeaseLiabilityNoncurrent,0000089800-25-000030,USD,True,4051200000.0,StockholdersEquity,0000089800-25-000030,USD,True,210400000.0,9226000000.0,2083200000.0,0.2231879019641926,13066800000.0,2956935251.1733007,0.22629375602085444,3806500000.0,True,0.09018767452431976,0.7769075855896174,True,True,SHW,0000089800,ticker:SHW,23
2023,23051900000.0,Revenues,0000089800-24-000033,USD,True,2388800000.0,NetIncomeLoss,0000089800-24-000033,USD,True,3521900000.0,NetCashProvidedByUsedInOperatingActivities,0000089800-24-000033,USD,True,888400000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000089800-24-000033,USD,True,4161700000.0,OperatingIncomeLoss,0000089800-24-000033,USD,True,417500000.0,InterestAndDebtExpense,0000089800-24-000033,USD,True,721100000.0,IncomeTaxExpenseBenefit,0000089800-24-000033,USD,True,0.232,EffectiveIncomeTaxRateContinuingOperations,0000089800-24-000033,pure,True,3109900000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000089800-24-000033,USD,True,276800000.0,CashAndCashEquivalentsAtCarryingValue,0000089800-24-000033,USD,True,,,,,False,9476700000.0,LongTermDebt,0000089800-24-000033,USD,True,1098800000.0,FinanceLeaseLiabilityCurrent,0000089800-24-000033,USD,True,8377900000.0,FinanceLeaseLiabilityNoncurrent,0000089800-24-000033,USD,True,3715800000.0,StockholdersEquity,0000089800-24-000033,USD,True,276800000.0,9476700000.0,2633500000.0,0.2318724074729091,12915700000.0,3196716601.8199944,0.24750625996422915,4161700000.0,False,0.11424220996967711,1.1024363697253852,True,True,SHW,0000089800,ticker:SHW,23
2022,22148900000.0,Revenues,0000089800-23-000007,USD,True,2020100000.0,NetIncomeLoss,0000089800-23-000007,USD,True,1919900000.0,NetCashProvidedByUsedInOperatingActivities,0000089800-23-000007,USD,True,644500000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000089800-23-000007,USD,True,3397200000.0,OperatingIncomeLoss,0000089800-23-000007,USD,True,390800000.0,InterestAndDebtExpense,0000089800-23-000007,USD,True,553000000.0,IncomeTaxExpenseBenefit,0000089800-23-000007,USD,True,0.215,EffectiveIncomeTaxRateContinuingOperations,0000089800-23-000007,pure,True,2573100000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000089800-23-000007,USD,True,198800000.0,CashAndCashEquivalentsAtCarryingValue,0000089800-23-000007,USD,True,,,,,False,9591600000.0,LongTermDebt,0000089800-23-000007,USD,True,600000.0,FinanceLeaseLiabilityCurrent,0000089800-23-000007,USD,True,9591000000.0,FinanceLeaseLiabilityNoncurrent,0000089800-23-000007,USD,True,3102100000.0,StockholdersEquity,0000089800-23-000007,USD,True,198800000.0,9591600000.0,1275400000.0,0.2149158602463954,12494900000.0,2667087839.5709453,0.21345411644518525,3397200000.0,False,0.05758299509230707,0.6313548834216128,True,True,SHW,0000089800,ticker:SHW,23
2021,19944600000.0,Revenues,0000089800-22-000007,USD,True,1864400000.0,NetIncomeLoss,0000089800-22-000007,USD,True,2244600000.0,NetCashProvidedByUsedInOperatingActivities,0000089800-22-000007,USD,True,372000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000089800-22-000007,USD,True,3083700000.0,OperatingIncomeLoss,0000089800-22-000007,USD,True,334700000.0,InterestAndDebtExpense,0000089800-22-000007,USD,True,384200000.0,IncomeTaxExpenseBenefit,0000089800-22-000007,USD,True,0.171,EffectiveIncomeTaxRateContinuingOperations,0000089800-22-000007,pure,True,2248600000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000089800-22-000007,USD,True,165700000.0,CashAndCashEquivalentsAtCarryingValue,0000089800-22-000007,USD,True,,,,,False,8851500000.0,LongTermDebt,0000089800-22-000007,USD,True,260600000.0,FinanceLeaseLiabilityCurrent,0000089800-22-000007,USD,True,8590900000.0,FinanceLeaseLiabilityNoncurrent,0000089800-22-000007,USD,True,2437200000.0,StockholdersEquity,0000089800-22-000007,USD,True,165700000.0,8851500000.0,1872600000.0,0.17086186960775593,11123000000.0,2556813252.6905627,0.22986723480091367,3083700000.0,False,0.09389007550916037,1.0043981978116283,True,True,SHW,0000089800,ticker:SHW,23
2020,18361700000.0,Revenues,0000089800-21-000010,USD,True,2030400000.0,NetIncomeLoss,0000089800-21-000010,USD,True,3408600000.0,NetCashProvidedByUsedInOperatingActivities,0000089800-21-000010,USD,True,303800000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000089800-21-000010,USD,True,3373800000.0,OperatingIncomeLoss,0000089800-21-000010,USD,True,340400000.0,InterestAndDebtExpense,0000089800-21-000010,USD,True,488800000.0,IncomeTaxExpenseBenefit,0000089800-21-000010,USD,True,0.194,EffectiveIncomeTaxRateContinuingOperations,0000089800-21-000010,pure,True,2519200000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000089800-21-000010,USD,True,226600000.0,CashAndCashEquivalentsAtCarryingValue,0000089800-21-000010,USD,True,,,,,False,8292000000.0,LongTermDebt,0000089800-21-000010,USD,True,25100000.0,FinanceLeaseLiabilityCurrent,0000089800-21-000010,USD,True,8266900000.0,FinanceLeaseLiabilityNoncurrent,0000089800-21-000010,USD,True,3610800000.0,StockholdersEquity,0000089800-21-000010,USD,True,226600000.0,8292000000.0,3104800000.0,0.19402985074626866,11676200000.0,2719182089.552239,0.2328824523005977,3373800000.0,False,0.16909109722955937,1.5291568163908589,True,True,SHW,0000089800,ticker:SHW,23
2019,17900800000.0,Revenues,0000089800-20-000005,USD,True,1541300000.0,NetIncomeLoss,0000089800-20-000005,USD,True,2321300000.0,NetCashProvidedByUsedInOperatingActivities,0000089800-20-000005,USD,True,328900000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000089800-20-000005,USD,True,2808800000.0,OperatingIncomeLoss,0000089800-20-000005,USD,True,349300000.0,InterestAndDebtExpense,0000089800-20-000005,USD,True,440500000.0,IncomeTaxExpenseBenefit,0000089800-20-000005,USD,True,0.222,EffectiveIncomeTaxRateContinuingOperations,0000089800-20-000005,pure,True,1981800000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000089800-20-000005,USD,True,161800000.0,CashAndCashEquivalentsAtCarryingValue,0000089800-20-000005,USD,True,,,,,False,8480500000.0,LongTermDebt,0000089800-20-000005,USD,True,429800000.0,FinanceLeaseLiabilityCurrent,0000089800-20-000005,USD,True,8050700000.0,FinanceLeaseLiabilityNoncurrent,0000089800-20-000005,USD,True,4123300000.0,StockholdersEquity,0000089800-20-000005,USD,True,161800000.0,8480500000.0,1992400000.0,0.2222726814007468,12442000000.0,2184480492.4815826,0.17557309857591888,2808800000.0,False,0.11130228816589202,1.2926750145980666,True,True,SHW,0000089800,ticker:SHW,23
2018,17534493000.0,Revenues,0000089800-19-000004,USD,True,1108746000.0,NetIncomeLoss,0000089800-19-000004,USD,True,1943700000.0,NetCashProvidedByUsedInOperatingActivities,0000089800-19-000004,USD,True,250957000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000089800-19-000004,USD,True,2611000000.0,OperatingIncomeLoss,0000089800-19-000004,USD,True,366734000.0,InterestAndDebtExpense,0000089800-19-000004,USD,True,250904000.0,IncomeTaxExpenseBenefit,0000089800-19-000004,USD,True,0.185,EffectiveIncomeTaxRateContinuingOperations,0000089800-19-000004,pure,True,1359650000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000089800-19-000004,USD,True,155505000.0,CashAndCashEquivalentsAtCarryingValue,0000089800-19-000004,USD,True,,,,,False,,,,,False,307191000.0,FinanceLeaseLiabilityCurrent,0000089800-19-000004,USD,True,8708057000.0,FinanceLeaseLiabilityNoncurrent,0000089800-19-000004,USD,True,3730745000.0,StockholdersEquity,0000089800-19-000004,USD,True,155505000.0,9015248000.0,1692743000.0,0.18453572610598315,12590488000.0,2129177219.137278,0.16910998359533627,2611000000.0,False,0.09653789248425945,1.5267184729415033,True,True,SHW,0000089800,ticker:SHW,23
2017,14984000000.0,Revenues,0000089800-18-000004,USD,True,1772262000.0,NetIncomeLoss,0000089800-18-000004,USD,True,1883968000.0,NetCashProvidedByUsedInOperatingActivities,0000089800-18-000004,USD,True,222767000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000089800-18-000004,USD,True,2294000000.0,OperatingIncomeLoss,0000089800-18-000004,USD,True,263471000.0,InterestAndDebtExpense,0000089800-18-000004,USD,True,-285583000.0,IncomeTaxExpenseBenefit,0000089800-18-000004,USD,True,-0.187,EffectiveIncomeTaxRateContinuingOperations,0000089800-18-000004,pure,True,1528219000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000089800-18-000004,USD,True,204213000.0,CashAndCashEquivalentsAtCarryingValue,0000089800-18-000004,USD,True,,,,,False,,,,,False,1179000.0,FinanceLeaseLiabilityCurrent,0000089800-18-000004,USD,True,9885745000.0,FinanceLeaseLiabilityNoncurrent,0000089800-18-000004,USD,True,3692188000.0,StockholdersEquity,0000089800-18-000004,USD,True,204213000.0,9886924000.0,1661201000.0,-0.18687308559833374,13374899000.0,2722686858.362578,0.20356690980339948,2294000000.0,False,0.1108649893219434,0.9373337576498283,True,True,SHW,0000089800,ticker:SHW,23
2016,11856000000.0,Revenues,0000089800-17-000005,USD,True,1132703000.0,NetIncomeLoss,0000089800-17-000005,USD,True,1308572000.0,NetCashProvidedByUsedInOperatingActivities,0000089800-17-000005,USD,True,239026000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000089800-17-000005,USD,True,2164000000.0,OperatingIncomeLoss,0000089800-17-000005,USD,True,154088000.0,InterestAndDebtExpense,0000089800-17-000005,USD,True,462530000.0,IncomeTaxExpenseBenefit,0000089800-17-000005,USD,True,0.29,EffectiveIncomeTaxRateContinuingOperations,0000089800-17-000005,pure,True,1595233000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000089800-17-000005,USD,True,889793000.0,CashAndCashEquivalentsAtCarryingValue,0000089800-17-000005,USD,True,,,,,False,,,,,False,700475000.0,FinanceLeaseLiabilityCurrent,0000089800-17-000005,USD,True,1211326000.0,FinanceLeaseLiabilityNoncurrent,0000089800-17-000005,USD,True,1878441000.0,StockholdersEquity,0000089800-17-000005,USD,True,889793000.0,1911801000.0,1069546000.0,0.2899451051977987,2900449000.0,1536558792.3519635,0.5297658370659037,2164000000.0,False,0.0902113697705803,0.944242224131127,True,True,SHW,0000089800,ticker:SHW,23
