year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,23930000000.0,10.54,3360000000.0,,,,,,,,240000000.0,0.97,3.26,
2025,23570000000.0,10.38,3330000000.0,16.13,200000000.0,12940000000.0,25900000000.0,4590000000.0,31.2,21300000000.0,240000000.0,0.98,3.47,17.8
2024,23090000000.0,10.69,3450000000.0,16.74,210000000.0,11910000000.0,23630000000.0,4050000000.0,31.6,19580000000.0,240000000.0,0.85,3.74,21.3
2023,23050000000.0,9.34,3100000000.0,15.3,270000000.0,11800000000.0,22950000000.0,3710000000.0,32.9,19230000000.0,250000000.0,0.79,3.46,21.5
2022,22140000000.0,7.83,2570000000.0,13.38,190000000.0,12500000000.0,22590000000.0,3100000000.0,29.6,19490000000.0,250000000.0,1.04,2.78,19.8
2021,19940000000.0,7.1,2240000000.0,12.95,160000000.0,11490000000.0,20660000000.0,2430000000.0,47.9,18220000000.0,250000000.0,0.65,4.63,37.9
2020,18360000000.0,7.49,2510000000.0,15.57,220000000.0,10110000000.0,20400000000.0,3610000000.0,31.3,16790000000.0,,0.76,3.64,18.5
2019,17900000000.0,5.6,1980000000.0,13.02,160000000.0,10420000000.0,20490000000.0,4120000000.0,33.0,16370000000.000002,,0.82,3.0,13.0
2018,17530000000.0,3.97,1350000000.0,9.85,150000000.0,9340000000.0,19130000000.0,3730000000.0,31.1,15400000000.0,,0.93,2.09,9.82
2017,14980000000.0,6.35,1520000000.0,11.56,200000000.0,10520000000.0,19890000000.0,3640000000.0,20.1,16250000000.0,,0.89,2.56,10.5
2016,11850000000.0,4.04,1590000000.0,14.76,880000000.0,1950000000.0,6750000000.0,1870000000.0,20.5,4870000000.0,,1.35,2.11,13.3
2015,11330000000.0,3.8,1540000000.0,14.21,200000000.0,1940000000.0,5770000000.0,860000000.0,20.8,4910000000.0,,1.13,2.11,27.6
2014,11120000000.0,2.99,1250000000.0,11.88,40730000.0,1790000000.0,5690000000.0,990000000.0,26.5,4700000000.0,,0.92,2.24,25.0
2013,10180000000.0,2.47,1080000000.0,11.28,740000000.0,1720000000.0,6380000000.0,1770000000.0,22.2,4600000000.0,,1.22,1.8,10.4
2012,9530000000.0,2.21,900000000.0,9.96,860000000.0,1700000000.0,6230000000.0,1790000000.0,20.5,4440000000.0,,1.15,1.67,8.87
2011,8760000000.0,1.4,740000000.0,8.94,32689999.999999996,990000000.0,5220000000.0,1510000000.0,18.5,3710000000.0,,1.87,1.06,6.11
2010,7770000000.0,,670000000.0,9.62,58580000.0,1040000000.0,5160000000.0,1600000000.0,,3550000000.0,,2.0,1.15,5.57
2009,7090000000.0,,620000000.0,9.34,69320000.0,810000000.0,4320000000.0,1490000000.0,,2830000000.0,,2.74,0.951,4.53
2008,7970000000.0,,710000000.0,9.78,26210000.0,830000000.0,4410000000.0,1600000000.0,,2810000000.0,,2.86,0.8753,4.35
2007,8000000000.0,,910000000.0,12.3,27320000.0,960000000.0,4850000000.0,1780000000.0,,3060000000.0,,2.72,0.8904,3.99
2006,7800000000.0,,830000000.0,11.55,490000000.0,870000000.0,4990000000.0,1990000000.0,,3000000000.0,,2.01,1.09,4.26
2005,7190000000.0,,650000000.0,10.49,36040000.0,620000000.0,4360000000.0,1730000000.0,,2630000000.0,,2.35,0.8536,3.55
2004,6110000000.0,,580000000.0,10.35,45930000.0,730000000.0,4269999999.9999995,1650000000.0,,2620000000.0,,2.02,1.03,3.81
2003,5400000000.0,,520000000.0,10.61,300000000.0,510000000.0,3680000000.0,1450000000.0,,2220000000.0,,2.41,0.9213,3.41
2002,5180000000.0,,490000000.0,10.69,160000000.0,520000000.0,3430000000.0,1340000000.0,,2089999999.9999998,,2.9,0.8114,3.13
2001,5060000000.0,,420000000.0,9.67,110000000.0,610000000.0,3620000000.0,1480000000.0,,2140000000.0000002,,2.97,0.8358,
2000,5210000000.0,,140000000.0,,2890000.0,740000000.0,,,,,,2.96,,
1999,5000000000.0,,490000000.0,,18620000.0,740000000.0,,,,,,3.38,,
1998,4930000000.0,,440000000.0,,19100000.0,840000000.0,,,,,,2.3,,
1997,4880000000.0,,420000000.0,,3500000.0,1000000000.0,,,,,,2.2,,
1996,4130000000.0,,370000000.0,,1900000.0,310000000.0,,,,,,1.94,,
1995,,,,,,,,,,,,2.47,,
1994,,,,,,,,,,,,2.69,,
1993,,,,,,,,,,,,2.28,,
1992,,,,,,,,,,,,2.38,,
1991,,,,,,,,,,,,2.64,,
1990,,,,,,,,,,,,3.48,,
1989,,,,,,,,,,,,3.57,,
1988,,,,,,,,,,,,4.52,,
1987,,,,,,,,,,,,4.21,,
1986,,,,,,,,,,,,3.38,,
1985,,,,,,,,,,,,1.98,,
1984,,,,,,,,,,,,0.0,,
1983,,,,,,,,,,,,0.0,,
1982,,,,,,,,,,,,0.0,,
1981,,,,,,,,,,,,0.0,,
1980,,,,,,,,,,,,0.0,,
