year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,93330000000.0,11.57,12960000000.0,,,,,,,,770000000.0,1.96,1.93,
2025,91840000000.0,,13090000000.0,15.8,19580000000.0,65730000000.00001,195050000000.0,80230000000.0,,114810000000.0,780000000.0,2.17,2.41,2.62
2024,83240000000.0,,11240000000.0,17.14,12760000000.0,53360000000.0,164610000000.0,62620000000.0,,101990000000.0,780000000.0,2.54,1.86,2.29
2023,82330000000.0,,13220000000.0,16.69,13260000000.0,49320000000.0,153570000000.0,56160000000.0,,97410000000.0,780000000.0,2.63,1.8,2.64
2022,77090000000.0,,7150000000.0,10.9,12700000000.0,49540000000.0,148230000000.0,53620000000.0,,94610000000.0,790000000.0,3.34,1.42,2.0
2021,75140000000.0,,9250000000.0,13.07,13940000000.0,56360000000.0,161310000000.0,56700000000.0,,104610000000.0,800000000.0,2.55,1.85,2.35
2020,58680000000.0,,7270000000.0,11.43,19600000000.0,52250000000.0,145280000000.0,46690000000.0,,98580000000.0,800000000.0,3.8,1.97,2.32
2019,72840000000.0,,8100000000.0,13.5,15680000000.0,39720000000.0,163760000000.0,55560000000.0,,108190000000.0,810000000.0,4.3,1.46,1.82
2018,98010000000.0,,8590000000.0,11.01,15120000000.0,37340000000.0,161210000000.0,55760000000.0,,105450000000.0,800000000.0,5.23,0.9207,1.66
2017,95790000000.0,,9010000000.0,11.15,12640000000.0,37830000000.0,159810000000.0,52380000000.0,,107420000000.0,810000000.0,4.42,1.19,2.09
2016,88420000000.0,,9040000000.0,10.54,20950000000.0,34700000000.0,143380000000.0,39220000000.0,,104150000000.0,800000000.0,4.41,1.12,2.41
2015,84840000000.0,,8250000000.0,10.62,13770000000.0,33130000000.000004,134449999999.99998,39160000000.0,,95280000000.0,800000000.0,5.65,0.9366,1.98
2014,93330000000.0,,9080000000.0,11.33,12720000000.0,26450000000.0,132440000000.0,39790000000.0,,92640000000.0,830000000.0,5.11,1.02,2.48
2013,97570000000.0,7.15,8100000000.0,8.98,14530000000.0,27660000000.0,137870000000.0,38710000000.0,11.2,99150000000.0,840000000.0,4.99,1.19,2.76
2012,101790000000.0,6.11,9010000000.0,9.56,16120000000.000002,26520000000.0,138650000000.0,40250000000.0,10.0,98400000000.0,840000000.0,6.49,0.9001,2.27
2011,101760000000.0,9.14,11640000000.0,13.17,21130000000.0,24340000000.0,141470000000.0,43640000000.0,5.99,97830000000.0,870000000.0,6.8,0.8249,1.9
2010,96570000000.0,,7980000000.0,11.21,23100000000.0,27120000000.0,140070000000.0,39630000000.0,,100430000000.0,870000000.0,4.36,1.11,2.52
2009,104520000000.0,,6040000000.0,7.96,18480000000.0,28500000000.0,137790000000.0,39600000000.0,,98180000000.0,860000000.0,4.98,0.7633,1.94
2008,116580000000.0,,4820000000.0,4.8,9870000000.0,22530000000.0,132400000000.0,38370000000.0,,94020000000.0,860000000.0,6.33,0.5771,1.79
2007,92320000000.0,,7300000000.0,8.45,10150000000.0,22060000000.0,130330000000.00002,42170000000.0,,88160000000.0,910000000.0,2.84,1.57,2.79
2006,98580000000.0,,5780000000.0,5.57,16680000000.0,19360000000.0,110810000000.0,32780000000.0,,78030000000.0,890000000.0,3.91,0.8961,2.44
2005,92020000000.0,,4179999999.9999995,5.59,11900000000.0,14940000000.0,103490000000.0,32470000000.0,,71010000000.0,890000000.0,3.83,0.8304,2.27
2004,93900000000.0,,5860000000.0,6.86,16850000000.000002,13920000000.0,98720000000.0,33990000000.000004,,64720000000.0,890000000.0,4.0,0.803,2.0
2003,85670000000.0,,4250000000.0,5.28,14880000000.0,15320000000.0,90230000000.0,28310000000.0,,61920000000.0,890000000.0,5.14,0.8313,2.29
2002,79530000000.0,,3480000000.0,5.02,11370000000.0,12110000000.0,76480000000.0,23610000000.0,,52870000000.0,880000000.0,10.42,0.4739,1.48
2001,77080000000.0,,1780000000.0,4.17,7810000000.0,11470000000.0,82000000000.0,25320000000.0,,56680000000.0,880000000.0,8.04,0.7566,
2000,,,,,8950000000.0,8210000000.000001,,,,,1320000000.0,1.81,,
1999,,,,,2600000000.0,7730000000.0,,,,,,0.0,,
1998,,,,,,,,,,,,0.0,,
1997,,,,,,,,,,,,0.0,,
1996,,,,,,,,,,,,0.0,,
