Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,93330000000.0,12960000000.0,,,,
2025,91840000000.0,13090000000.0,,19580000000.0,195050000000.0,
2024,83240000000.0,11240000000.0,,12760000000.0,164610000000.0,
2023,82330000000.0,13220000000.0,,13260000000.0,153570000000.0,
2022,77090000000.0,7150000000.0,,12700000000.0,148230000000.0,
2021,75140000000.0,9250000000.0,,13940000000.0,161310000000.0,
2020,58680000000.0,7270000000.0,,19600000000.0,145280000000.0,
2019,72840000000.0,8100000000.0,,15680000000.0,163760000000.0,
2018,98010000000.0,8590000000.0,,15120000000.0,161210000000.0,
2017,95790000000.0,9010000000.0,,12640000000.0,159810000000.0,
2016,88420000000.0,9040000000.0,,20950000000.0,143380000000.0,
2015,84840000000.0,8250000000.0,,13770000000.0,134449999999.99998,
2014,93330000000.0,9080000000.0,,12720000000.0,132440000000.0,
2013,97570000000.0,8100000000.0,11.2,14530000000.0,137870000000.0,
2012,101790000000.0,9010000000.0,10.0,16120000000.000002,138650000000.0,
2011,101760000000.0,11640000000.0,5.99,21130000000.0,141470000000.0,
2010,96570000000.0,7980000000.0,,23100000000.0,140070000000.0,
2009,104520000000.0,6040000000.0,,18480000000.0,137790000000.0,
2008,116580000000.0,4820000000.0,,9870000000.0,132400000000.0,
2007,92320000000.0,7300000000.0,,10150000000.0,130330000000.00002,
2006,98580000000.0,5780000000.0,,16680000000.0,110810000000.0,
2005,92020000000.0,4179999999.9999995,,11900000000.0,103490000000.0,
2004,93900000000.0,5860000000.0,,16850000000.000002,98720000000.0,
2003,85670000000.0,4250000000.0,,14880000000.0,90230000000.0,
2002,79530000000.0,3480000000.0,,11370000000.0,76480000000.0,
2001,77080000000.0,1780000000.0,,7810000000.0,82000000000.0,
2000,,,,8950000000.0,,
1999,,,,2600000000.0,,
