year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,7054178000.0,Revenues,0000883241-25-000028,USD,True,1332220000.0,NetIncomeLoss,0000883241-25-000028,USD,True,1518608000.0,NetCashProvidedByUsedInOperatingActivities,0000883241-25-000028,USD,True,169454000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000883241-25-000028,USD,True,914927000.0,OperatingIncomeLoss,0000883241-25-000028,USD,True,,,,,False,55991000.0,IncomeTaxExpenseBenefit,0000883241-25-000028,USD,True,,,,,False,1393142000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000883241-25-000028,USD,True,2888030000.0,CashAndCashEquivalentsAtCarryingValue,0000883241-25-000028,USD,True,72929000.0,ShortTermInvestments,0000883241-25-000028,USD,True,13484515000.0,LongTermDebt,0000883241-25-000028,USD,True,22117000.0,DebtCurrent,0000883241-25-000028,USD,True,13462398000.0,LongTermDebtNoncurrent,0000883241-25-000028,USD,True,28327602000.0,StockholdersEquity,0000883241-25-000028,USD,True,2960959000.0,13484515000.0,1349154000.0,0.04019044720495111,38851158000.0,878155674.7101157,0.022603075942037962,914927000.0,False,0.1912560187735552,1.0127111137800062,True,True,SNPS,0000883241,ticker:SNPS,23
2024,6127436000.0,Revenues,0000883241-24-000024,USD,True,2263380000.0,NetIncomeLoss,0000883241-24-000024,USD,True,1407029000.0,NetCashProvidedByUsedInOperatingActivities,0000883241-24-000024,USD,True,123161000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000883241-24-000024,USD,True,1355711000.0,OperatingIncomeLoss,0000883241-24-000024,USD,True,,,,,False,99718000.0,IncomeTaxExpenseBenefit,0000883241-24-000024,USD,True,,,,,False,1513858000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000883241-24-000024,USD,True,3896532000.0,CashAndCashEquivalentsAtCarryingValue,0000883241-24-000024,USD,True,153869000.0,ShortTermInvestments,0000883241-24-000024,USD,True,,,,,False,,,,,False,15601000.0,LongTermDebtNoncurrent,0000883241-24-000024,USD,True,8990702000.0,StockholdersEquity,0000883241-24-000024,USD,True,4050401000.0,15601000.0,1283868000.0,0.06587011463426556,4955902000.0,1266410161.0190654,0.255535755351713,1355711000.0,False,0.20952776985349172,0.5672348434641996,True,True,SNPS,0000883241,ticker:SNPS,23
2023,5842619000.0,Revenues,0000883241-23-000019,USD,True,1229888000.0,NetIncomeLoss,0000883241-23-000019,USD,True,1703274000.0,NetCashProvidedByUsedInOperatingActivities,0000883241-23-000019,USD,True,189618000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000883241-23-000019,USD,True,1269259000.0,OperatingIncomeLoss,0000883241-23-000019,USD,True,1178000.0,InterestExpense,0000883241-23-000019,USD,True,83657000.0,IncomeTaxExpenseBenefit,0000883241-23-000019,USD,True,,,,,False,1301782000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000883241-23-000019,USD,True,1438913000.0,CashAndCashEquivalentsAtCarryingValue,0000883241-23-000019,USD,True,151639000.0,ShortTermInvestments,0000883241-23-000019,USD,True,,,,,False,,,,,False,18078000.0,LongTermDebtNoncurrent,0000883241-23-000019,USD,True,6147308000.0,StockholdersEquity,0000883241-23-000019,USD,True,1590552000.0,18078000.0,1513656000.0,0.06426344810421407,4574834000.0,1187692040.1226933,0.2596142373958691,1269259000.0,False,0.25907148831713994,1.2307267003174274,True,True,SNPS,0000883241,ticker:SNPS,23
2022,5081542000.0,Revenues,0000883241-22-000017,USD,True,984594000.0,NetIncomeLoss,0000883241-22-000017,USD,True,1738900000.0,NetCashProvidedByUsedInOperatingActivities,0000883241-22-000017,USD,True,136589000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000883241-22-000017,USD,True,1162038000.0,OperatingIncomeLoss,0000883241-22-000017,USD,True,1698000.0,InterestExpense,0000883241-22-000017,USD,True,137078000.0,IncomeTaxExpenseBenefit,0000883241-22-000017,USD,True,,,,,False,1115514000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000883241-22-000017,USD,True,1417608000.0,CashAndCashEquivalentsAtCarryingValue,0000883241-22-000017,USD,True,147913000.0,ShortTermInvestments,0000883241-22-000017,USD,True,,,,,False,0.0,DebtCurrent,0000883241-22-000017,USD,True,20824000.0,LongTermDebtNoncurrent,0000883241-22-000017,USD,True,5515725000.0,StockholdersEquity,0000883241-22-000017,USD,True,1565521000.0,20824000.0,1602311000.0,0.12288326278289649,3971028000.0,1019242979.0822886,0.2566698041621184,1162038000.0,False,0.3153198379546996,1.6273824540876747,True,True,SNPS,0000883241,ticker:SNPS,23
2021,4204193000.0,Revenues,0000883241-21-000022,USD,True,757516000.0,NetIncomeLoss,0000883241-21-000022,USD,True,1492622000.0,NetCashProvidedByUsedInOperatingActivities,0000883241-21-000022,USD,True,93764000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000883241-21-000022,USD,True,734790000.0,OperatingIncomeLoss,0000883241-21-000022,USD,True,3365000.0,InterestExpense,0000883241-21-000022,USD,True,49155000.0,IncomeTaxExpenseBenefit,0000883241-21-000022,USD,True,,,,,False,805514000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000883241-21-000022,USD,True,1432840000.0,CashAndCashEquivalentsAtCarryingValue,0000883241-21-000022,USD,True,147949000.0,ShortTermInvestments,0000883241-21-000022,USD,True,,,,,False,74992000.0,DebtCurrent,0000883241-21-000022,USD,True,25094000.0,LongTermDebtNoncurrent,0000883241-21-000022,USD,True,5295137000.0,StockholdersEquity,0000883241-21-000022,USD,True,1580789000.0,100086000.0,1398858000.0,0.06102314795273577,3814434000.0,689950801.1158093,0.18087894589755893,734790000.0,False,0.3327292538663187,1.8466382228230163,True,True,SNPS,0000883241,ticker:SNPS,23
2020,3685281000.0,Revenues,0000883241-20-000015,USD,True,664347000.0,NetIncomeLoss,0000883241-20-000015,USD,True,991313000.0,NetCashProvidedByUsedInOperatingActivities,0000883241-20-000015,USD,True,154717000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000883241-20-000015,USD,True,620141000.0,OperatingIncomeLoss,0000883241-20-000015,USD,True,5140000.0,InterestExpense,0000883241-20-000015,USD,True,-25288000.0,IncomeTaxExpenseBenefit,0000883241-20-000015,USD,True,0.21,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0000883241-20-000015,pure,True,638159000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000883241-20-000015,USD,True,1235653000.0,CashAndCashEquivalentsAtCarryingValue,0000883241-20-000015,USD,True,,,,,False,,,,,False,27084000.0,DebtCurrent,0000883241-20-000015,USD,True,100823000.0,LongTermDebtNoncurrent,0000883241-20-000015,USD,True,4907404000.0,StockholdersEquity,0000883241-20-000015,USD,True,1235653000.0,127907000.0,836596000.0,-0.03962648806958767,3799658000.0,644715009.937962,0.1696771156609258,620141000.0,False,0.22701009773745884,1.2592756496228628,True,True,SNPS,0000883241,ticker:SNPS,23
2019,3360694000.0,Revenues,0000883241-19-000019,USD,True,532367000.0,NetIncomeLoss,0000883241-19-000019,USD,True,800513000.0,NetCashProvidedByUsedInOperatingActivities,0000883241-19-000019,USD,True,198129000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000883241-19-000019,USD,True,520231000.0,OperatingIncomeLoss,0000883241-19-000019,USD,True,11659000.0,InterestExpense,0000883241-19-000019,USD,True,13139000.0,IncomeTaxExpenseBenefit,0000883241-19-000019,USD,True,0.21,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0000883241-19-000019,pure,True,545506000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000883241-19-000019,USD,True,728597000.0,CashAndCashEquivalentsAtCarryingValue,0000883241-19-000019,USD,True,,,,,False,,,,,False,17614000.0,DebtCurrent,0000883241-19-000019,USD,True,120093000.0,LongTermDebtNoncurrent,0000883241-19-000019,USD,True,4083013000.0,StockholdersEquity,0000883241-19-000019,USD,True,728597000.0,137707000.0,602384000.0,0.024085894563946133,3492123000.0,507700770.98510367,0.14538456147882067,520231000.0,False,0.17924392997398753,1.1315201731136604,True,True,SNPS,0000883241,ticker:SNPS,23
2018,3121058000.0,Revenues,0000883241-18-000012,USD,True,432518000.0,NetIncomeLoss,0000883241-18-000012,USD,True,,,,,False,98976000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000883241-18-000012,USD,True,360225000.0,OperatingIncomeLoss,0000883241-18-000012,USD,True,15607000.0,InterestExpense,0000883241-18-000012,USD,True,-68975000.0,IncomeTaxExpenseBenefit,0000883241-18-000012,USD,True,0.234,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0000883241-18-000012,pure,True,363543000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000883241-18-000012,USD,True,723115000.0,CashAndCashEquivalentsAtCarryingValue,0000883241-18-000012,USD,True,,,,,False,,,,,False,343769000.0,DebtCurrent,0000883241-18-000012,USD,True,125535000.0,LongTermDebtNoncurrent,0000883241-18-000012,USD,True,3479152000.0,StockholdersEquity,0000883241-18-000012,USD,True,723115000.0,469304000.0,,-0.1897299631680434,3225341000.0,428570475.9822085,0.1328760202354444,360225000.0,False,,,True,False,SNPS,0000883241,ticker:SNPS,23
2017,2724880000.0,Revenues,0000883241-17-000014,USD,True,136563000.0,NetIncomeLoss,0000883241-17-000014,USD,True,,,,,False,70328000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000883241-17-000014,USD,True,347563000.0,OperatingIncomeLoss,0000883241-17-000014,USD,True,7303000.0,InterestExpense,0000883241-17-000014,USD,True,246535000.0,IncomeTaxExpenseBenefit,0000883241-17-000014,USD,True,,,,,False,383098000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000883241-17-000014,USD,True,1048356000.0,CashAndCashEquivalentsAtCarryingValue,0000883241-17-000014,USD,True,0.0,ShortTermInvestments,0000883241-17-000014,USD,True,,,,,False,9924000.0,DebtCurrent,0000883241-17-000014,USD,True,134063000.0,LongTermDebtNoncurrent,0000883241-17-000014,USD,True,3275620000.0,StockholdersEquity,0000883241-17-000014,USD,True,1048356000.0,143987000.0,,0.6435298539799216,2371251000.0,123895833.36117652,0.05224914332610783,347563000.0,False,,,True,False,SNPS,0000883241,ticker:SNPS,23
2016,2422532000.0,Revenues,0000883241-16-000027,USD,True,266826000.0,NetIncomeLoss,0000883241-16-000027,USD,True,,,,,False,66909000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000883241-16-000027,USD,True,317395000.0,OperatingIncomeLoss,0000883241-16-000027,USD,True,3771000.0,InterestExpense,0000883241-16-000027,USD,True,62722000.0,IncomeTaxExpenseBenefit,0000883241-16-000027,USD,True,,,,,False,329548000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000883241-16-000027,USD,True,976620000.0,CashAndCashEquivalentsAtCarryingValue,0000883241-16-000027,USD,True,140695000.0,ShortTermInvestments,0000883241-16-000027,USD,True,,,,,False,205000000.0,DebtCurrent,0000883241-16-000027,USD,True,,,,,False,3195146000.0,StockholdersEquity,0000883241-16-000027,USD,True,1117315000.0,205000000.0,,0.19032735747144575,2282831000.0,256986048.3753505,0.1125734004730751,317395000.0,False,,,True,False,SNPS,0000883241,ticker:SNPS,23
