year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,price_to_sales,price_to_book
2026,8670000000.0,4.36,1440000000.0,,,,,,,,190000000.0,10.8,
2025,8000000000.0,8.07,1770000000.0,19.75,2960000000.0,14290000000.0,48220000000.0,28320000000.0,58.2,19890000000.0,180000000.0,11.9,3.24
2024,6070000000.0,14.76,1390000000.0,24.71,4050000000.0,680000000.0,13070000000.0,9020000000.0,32.9,4050000000.0,150000000.0,13.0,8.41
2023,5720000000.0,8.08,1490000000.0,24.55,1580000000.0,670000000.0,10330000000.0,6180000000.0,63.7,4139999999.9999995,150000000.0,12.5,12.7
2022,5170000000.0,6.44,1060000000.0,23.91,1560000000.0,650000000.0,9410000000.0,5550000000.0,49.6,3850000000.0,150000000.0,8.8,8.75
2021,4500000000.0,4.96,950000000.0,19.16,1580000000.0,660000000.0,8750000000.0,5290000000.0,74.3,3450000000.0,150000000.0,12.1,10.7
2020,3820000000.0,4.39,710000000.0,17.32,1230000000.0,660000000.0,8029999999.999999,4910000000.0,59.1,3110000000.0,150000000.0,8.81,8.08
2019,3370000000.0,3.37,500000000.0,16.23,720000000.0,130000000.0,6400000000.0,4080000000.0,41.3,2310000000.0,150000000.0,6.07,5.12
2018,3170000000.0,2.91,400000000.0,11.65,720000000.0,460000000.0,6140000000.0,3480000000.0,28.9,2660000000.0,140000000.0,4.28,3.61
2017,2840000000.0,0.9,400000000.0,14.06,1040000000.0,140000000.0,5390000000.0,3270000000.0,94.7,2109999999.9999998,150000000.0,4.78,3.87
2016,2500000000.0,1.76,370000000.0,13.6,1110000000.0,200000000.0,5240000000.0,3190000000.0,33.4,2040000000.0,150000000.0,3.71,2.77
2015,2260000000.0,1.46,270000000.0,12.56,960000000.0,200000000.0,5040000000.0,3130000000.0,31.2,1910000000.0,150000000.0,3.48,2.2
2014,2120000000.0,1.67,270000000.0,13.23,980000000.0,75000000.0,4770000000.0,3050000000.0,26.0,1710000000.0,150000000.0,3.11,2.18
2013,1960000000.0,1.62,270000000.0,14.05,1020000000.0,100000000.0,4350000000.0,2780000000.0,25.0,1570000000.0,150000000.0,2.86,2.25
2012,1800000000.0,,210000000.0,11.45,700000000.0,130000000.0,4139999999.9999995,2540000000.0,,1600000000.0,140000000.0,2.77,1.89
2011,1590000000.0,1.51,240000000.0,14.27,1000000000.0,,3360000000.0,2100000000.0,18.0,1260000000.0,140000000.0,2.5,1.87
2010,1410000000.0,,170000000.0,14.39,930000000.0,,3280000000.0,2100000000.0,,1180000000.0,140000000.0,2.75,1.91
2009,1350000000.0,,190000000.0,17.14,1160000000.0,,2930000000.0,1840000000.0,,1090000000.0,140000000.0,2.36,1.78
2008,1360000000.0,,230000000.0,16.38,950000000.0,,2740000000.0,1520000000.0,,1210000000.0,140000000.0,1.97,1.72
2007,1220000000.0,,150000000.0,13.67,980000000.0,,2610000000.0,1430000000.0,,1180000000.0,140000000.0,3.41,2.65
2006,1130000000.0,,52520000.0,3.99,570000000.0,,2150000000.0,1160000000.0,,990000000.0,140000000.0,2.92,3.31
2005,1010000000.0,,7920000.0,-0.79,580000000.0,,2130000000.0,1210000000.0,,920000000.0,140000000.0,2.79,2.39
2004,1040000000.0,,130000000.0,8.39,570000000.0,,2089999999.9999998,1260000000.0,,820000000.0,150000000.0,2.19,2.28
2003,1190000000.0,,290000000.0,18.61,690000000.0,,2300000000.0,1430000000.0,,870000000.0,150000000.0,4.2,3.68
2002,990000000.0,,71950000.0,-31.87,410000000.0,1420000.0,1970000000.0,1110000000.0,,860000000.0,,3.07,3.05
2001,690000000.0,,20410000.0,12.28,470000000.0,530000.0,1120000000.0,480000000.0,,640000000.0,,4.11,
2000,720000000.0,,,,430000000.0,6980000.0,,,,,,,
1999,840000000.0,,240000000.0,,700000000.0,20200000.0,,,,,,,
1998,720000000.0,,200000000.0,,160000000.0,20900000.0,,,,,,,
1997,580000000.0,,81700000.0,,120000000.0,18200000.0,,,,,,,
1996,380000000.0,,76800000.0,,47200000.0,27600000.0,,,,,,,
