year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,15336000000.0,Revenues,0000064040-26-000013,USD,True,4471000000.0,NetIncomeLoss,0000064040-26-000013,USD,True,5651000000.0,NetCashProvidedByUsedInOperatingActivities,0000064040-26-000013,USD,True,195000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000064040-26-000013,USD,True,6478000000.0,OperatingIncomeLoss,0000064040-26-000013,USD,True,,,,,False,1407000000.0,IncomeTaxExpenseBenefit,0000064040-26-000013,USD,True,0.226,EffectiveIncomeTaxRateContinuingOperations,0000064040-26-000013,pure,True,6227000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000064040-26-000013,USD,True,1745000000.0,CashAndCashEquivalentsAtCarryingValue,0000064040-26-000013,USD,True,56000000.0,ShortTermInvestments,0000064040-26-000013,USD,True,13088000000.0,LongTermDebt,0000064040-26-000013,USD,True,718000000.0,DebtCurrent,0000064040-26-000013,USD,True,12370000000.0,LongTermDebtNoncurrent,0000064040-26-000013,USD,True,31127000000.0,StockholdersEquity,0000064040-26-000013,USD,True,1801000000.0,13088000000.0,5456000000.0,0.22595150152561427,42414000000.0,5014286173.117071,0.11822243063887092,6478000000.0,False,0.3557642149191445,1.2203086557817042,True,True,SPGI,0000064040,ticker:SPGI,23
2023,12497000000.0,Revenues,0000064040-24-000071,USD,True,2626000000.0,NetIncomeLoss,0000064040-24-000071,USD,True,3710000000.0,NetCashProvidedByUsedInOperatingActivities,0000064040-24-000071,USD,True,143000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000064040-24-000071,USD,True,4020000000.0,OperatingIncomeLoss,0000064040-24-000071,USD,True,334000000.0,InterestExpense,0000064040-24-000071,USD,True,778000000.0,IncomeTaxExpenseBenefit,0000064040-24-000071,USD,True,0.212,EffectiveIncomeTaxRateContinuingOperations,0000064040-24-000071,pure,True,3671000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000064040-24-000071,USD,True,1290000000.0,CashAndCashEquivalentsAtCarryingValue,0000064040-24-000071,USD,True,26000000.0,ShortTermInvestments,0000064040-24-000071,USD,True,11459000000.0,LongTermDebt,0000064040-24-000071,USD,True,47000000.0,DebtCurrent,0000064040-24-000071,USD,True,11412000000.0,LongTermDebtNoncurrent,0000064040-24-000071,USD,True,34200000000.0,StockholdersEquity,0000064040-24-000071,USD,True,1316000000.0,11459000000.0,3567000000.0,0.21193135385453554,44343000000.0,3168035957.504767,0.07144387969927084,4020000000.0,False,0.2854285028406818,1.3583396801218584,True,True,SPGI,0000064040,ticker:SPGI,23
2022,11181000000.0,Revenues,0000064040-23-000058,USD,True,3248000000.0,NetIncomeLoss,0000064040-23-000058,USD,True,2603000000.0,NetCashProvidedByUsedInOperatingActivities,0000064040-23-000058,USD,True,89000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000064040-23-000058,USD,True,4944000000.0,OperatingIncomeLoss,0000064040-23-000058,USD,True,304000000.0,InterestExpense,0000064040-23-000058,USD,True,1180000000.0,IncomeTaxExpenseBenefit,0000064040-23-000058,USD,True,0.251,EffectiveIncomeTaxRateContinuingOperations,0000064040-23-000058,pure,True,4702000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000064040-23-000058,USD,True,1286000000.0,CashAndCashEquivalentsAtCarryingValue,0000064040-23-000058,USD,True,14000000.0,ShortTermInvestments,0000064040-23-000058,USD,True,10956000000.0,LongTermDebt,0000064040-23-000058,USD,True,226000000.0,DebtCurrent,0000064040-23-000058,USD,True,10730000000.0,LongTermDebtNoncurrent,0000064040-23-000058,USD,True,36388000000.0,StockholdersEquity,0000064040-23-000058,USD,True,1300000000.0,10956000000.0,2514000000.0,0.25095703955763504,46044000000.0,3703268396.4270525,0.0804289027110384,4944000000.0,False,0.2248457204185672,0.7740147783251231,True,True,SPGI,0000064040,ticker:SPGI,23
2021,8297000000.0,Revenues,0000064040-22-000055,USD,True,3024000000.0,NetIncomeLoss,0000064040-22-000055,USD,True,3598000000.0,NetCashProvidedByUsedInOperatingActivities,0000064040-22-000055,USD,True,35000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000064040-22-000055,USD,True,4221000000.0,OperatingIncomeLoss,0000064040-22-000055,USD,True,119000000.0,InterestExpense,0000064040-22-000055,USD,True,901000000.0,IncomeTaxExpenseBenefit,0000064040-22-000055,USD,True,0.216,EffectiveIncomeTaxRateContinuingOperations,0000064040-22-000055,pure,True,4164000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000064040-22-000055,USD,True,6497000000.0,CashAndCashEquivalentsAtCarryingValue,0000064040-22-000055,USD,True,11000000.0,ShortTermInvestments,0000064040-22-000055,USD,True,,,,,False,,,,,False,4114000000.0,LongTermDebtNoncurrent,0000064040-22-000055,USD,True,2032000000.0,StockholdersEquity,0000064040-22-000055,USD,True,6508000000.0,4114000000.0,3563000000.0,0.21637848222862632,-362000000.0,3307666426.5129685,-9.137200073240244,4221000000.0,False,0.4294323249367241,1.1782407407407407,True,True,SPGI,0000064040,ticker:SPGI,23
2020,7442000000.0,Revenues,0000064040-21-000063,USD,True,2339000000.0,NetIncomeLoss,0000064040-21-000063,USD,True,3567000000.0,NetCashProvidedByUsedInOperatingActivities,0000064040-21-000063,USD,True,76000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000064040-21-000063,USD,True,3617000000.0,OperatingIncomeLoss,0000064040-21-000063,USD,True,141000000.0,InterestExpense,0000064040-21-000063,USD,True,694000000.0,IncomeTaxExpenseBenefit,0000064040-21-000063,USD,True,0.215,EffectiveIncomeTaxRateContinuingOperations,0000064040-21-000063,pure,True,3228000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000064040-21-000063,USD,True,4108000000.0,CashAndCashEquivalentsAtCarryingValue,0000064040-21-000063,USD,True,9000000.0,ShortTermInvestments,0000064040-21-000063,USD,True,,,,,False,,,,,False,4110000000.0,LongTermDebtNoncurrent,0000064040-21-000063,USD,True,509000000.0,StockholdersEquity,0000064040-21-000063,USD,True,4117000000.0,4110000000.0,3491000000.0,0.21499380421313508,502000000.0,2839367410.1610904,5.656110378806953,3617000000.0,False,0.46909432948132224,1.4925181701581873,True,True,SPGI,0000064040,ticker:SPGI,23
2019,6699000000.0,Revenues,0000064040-20-000055,USD,True,2123000000.0,NetIncomeLoss,0000064040-20-000055,USD,True,2776000000.0,NetCashProvidedByUsedInOperatingActivities,0000064040-20-000055,USD,True,115000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000064040-20-000055,USD,True,3226000000.0,OperatingIncomeLoss,0000064040-20-000055,USD,True,198000000.0,InterestExpense,0000064040-20-000055,USD,True,627000000.0,IncomeTaxExpenseBenefit,0000064040-20-000055,USD,True,0.214,EffectiveIncomeTaxRateContinuingOperations,0000064040-20-000055,pure,True,2930000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000064040-20-000055,USD,True,2866000000.0,CashAndCashEquivalentsAtCarryingValue,0000064040-20-000055,USD,True,28000000.0,ShortTermInvestments,0000064040-20-000055,USD,True,,,,,False,,,,,False,3948000000.0,LongTermDebtNoncurrent,0000064040-20-000055,USD,True,479000000.0,StockholdersEquity,0000064040-20-000055,USD,True,2894000000.0,3948000000.0,2661000000.0,0.21399317406143345,1533000000.0,2535658020.4778156,1.6540495893527825,3226000000.0,False,0.3972234661889834,1.2534149788035798,True,True,SPGI,0000064040,ticker:SPGI,23
2018,6258000000.0,Revenues,0000064040-19-000059,USD,True,1958000000.0,NetIncomeLoss,0000064040-19-000059,USD,True,2064000000.0,NetCashProvidedByUsedInOperatingActivities,0000064040-19-000059,USD,True,113000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000064040-19-000059,USD,True,2790000000.0,OperatingIncomeLoss,0000064040-19-000059,USD,True,134000000.0,InterestExpense,0000064040-19-000059,USD,True,560000000.0,IncomeTaxExpenseBenefit,0000064040-19-000059,USD,True,0.209,EffectiveIncomeTaxRateContinuingOperations,0000064040-19-000059,pure,True,2681000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000064040-19-000059,USD,True,1917000000.0,CashAndCashEquivalentsAtCarryingValue,0000064040-19-000059,USD,True,18000000.0,ShortTermInvestments,0000064040-19-000059,USD,True,,,,,False,0.0,DebtCurrent,0000064040-19-000059,USD,True,3662000000.0,LongTermDebtNoncurrent,0000064040-19-000059,USD,True,628000000.0,StockholdersEquity,0000064040-19-000059,USD,True,1935000000.0,3662000000.0,1951000000.0,0.20887728459530025,2355000000.0,2207232375.9791126,0.9372536628361412,2790000000.0,False,0.3117609459891339,0.9964249233912156,True,True,SPGI,0000064040,ticker:SPGI,23
2017,6063000000.0,Revenues,0000064040-18-000061,USD,True,1496000000.0,NetIncomeLoss,0000064040-18-000061,USD,True,2016000000.0,NetCashProvidedByUsedInOperatingActivities,0000064040-18-000061,USD,True,123000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000064040-18-000061,USD,True,2610000000.0,OperatingIncomeLoss,0000064040-18-000061,USD,True,149000000.0,InterestExpense,0000064040-18-000061,USD,True,823000000.0,IncomeTaxExpenseBenefit,0000064040-18-000061,USD,True,0.334,EffectiveIncomeTaxRateContinuingOperations,0000064040-18-000061,pure,True,2461000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000064040-18-000061,USD,True,2779000000.0,CashAndCashEquivalentsAtCarryingValue,0000064040-18-000061,USD,True,12000000.0,ShortTermInvestments,0000064040-18-000061,USD,True,,,,,False,399000000.0,DebtCurrent,0000064040-18-000061,USD,True,3170000000.0,LongTermDebtNoncurrent,0000064040-18-000061,USD,True,711000000.0,StockholdersEquity,0000064040-18-000061,USD,True,2791000000.0,3569000000.0,1893000000.0,0.33441690369768384,1489000000.0,1737171881.3490453,1.1666701688039256,2610000000.0,False,0.3122216724393864,1.2653743315508021,True,True,SPGI,0000064040,ticker:SPGI,23
2016,5661000000.0,Revenues,0000064040-17-000015,USD,True,2106000000.0,NetIncomeLoss,0000064040-17-000015,USD,True,1464000000.0,NetCashProvidedByUsedInOperatingActivities,0000064040-17-000015,USD,True,115000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000064040-17-000015,USD,True,3369000000.0,OperatingIncomeLoss,0000064040-17-000015,USD,True,181000000.0,InterestExpense,0000064040-17-000015,USD,True,960000000.0,IncomeTaxExpenseBenefit,0000064040-17-000015,USD,True,0.301,EffectiveIncomeTaxRateContinuingOperations,0000064040-17-000015,pure,True,3188000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000064040-17-000015,USD,True,2392000000.0,CashAndCashEquivalentsAtCarryingValue,0000064040-17-000015,USD,True,8000000.0,ShortTermInvestments,0000064040-17-000015,USD,True,,,,,False,0.0,DebtCurrent,0000064040-17-000015,USD,True,3564000000.0,LongTermDebtNoncurrent,0000064040-17-000015,USD,True,650000000.0,StockholdersEquity,0000064040-17-000015,USD,True,2400000000.0,3564000000.0,1349000000.0,0.30112923462986196,1814000000.0,2354495608.531995,1.2979578878346167,3369000000.0,False,0.23829712065006184,0.6405508072174739,True,True,SPGI,0000064040,ticker:SPGI,23
2015,5313000000.0,Revenues,0000064040-16-000042,USD,True,1156000000.0,NetIncomeLoss,0000064040-16-000042,USD,True,195000000.0,NetCashProvidedByUsedInOperatingActivities,0000064040-16-000042,USD,True,139000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000064040-16-000042,USD,True,1917000000.0,OperatingIncomeLoss,0000064040-16-000042,USD,True,102000000.0,InterestExpense,0000064040-16-000042,USD,True,547000000.0,IncomeTaxExpenseBenefit,0000064040-16-000042,USD,True,0.301,EffectiveIncomeTaxRateContinuingOperations,0000064040-16-000042,pure,True,1815000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000064040-16-000042,USD,True,1481000000.0,CashAndCashEquivalentsAtCarryingValue,0000064040-16-000042,USD,True,6000000.0,ShortTermInvestments,0000064040-16-000042,USD,True,,,,,False,143000000.0,DebtCurrent,0000064040-16-000042,USD,True,3468000000.0,LongTermDebtNoncurrent,0000064040-16-000042,USD,True,194000000.0,StockholdersEquity,0000064040-16-000042,USD,True,1487000000.0,3611000000.0,56000000.0,0.30137741046831956,2318000000.0,1339259504.1322315,0.5777651010061395,1917000000.0,False,0.010540184453227932,0.04844290657439446,True,True,SPGI,0000064040,ticker:SPGI,23
