year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,25270000000.0,8.73,4600000000.0,,,,,,,,380000000.0,1.03,4.96,
2025,25110000000.0,8.49,4510000000.0,20.39,4099999999.9999995,15850000000.0,47840000000.0,22420000000.0,41.4,25420000000.0,380000000.0,0.97,5.3,5.94
2024,22590000000.0,7.85,3490000000.0,17.26,4490000000.0,13590000000.0,42970000000.0,20630000000.0,45.7,22330000000.0,380000000.0,0.9,6.19,6.78
2023,20490000000.0,8.34,3670000000.0,19.69,3050000000.0,12990000000.0,39910000000.0,18590000000.0,35.4,21310000000.0,380000000.0,1.03,5.55,6.12
2022,18440000000.0,6.23,2680000000.0,16.86,1920000000.0,13040000000.0,36880000000.0,16610000000.0,38.3,20260000000.0,370000000.0,1.19,5.02,5.57
2021,17100000000.000002,5.29,2280000000.0,15.71,3010000000.0,12470000000.0,34630000000.0,14870000000.0,48.7,19750000000.0,370000000.0,1.0,5.9,6.78
2020,14350000000.0,4.27,1950000000.0,15.61,3020000000.0,13990000000.0,34330000000.0,13080000000.0,54.8,21240000000.0,370000000.0,1.01,6.42,7.04
2019,14880000000.0,5.57,2560000000.0,19.52,4420000000.0,11090000000.0,30160000000.0,12800000000.0,35.5,17360000000.0,370000000.0,1.08,5.28,6.14
2018,13600000000.0,9.49,2350000000.0,18.82,3690000000.0,9850000000.0,27220000000.0,11730000000.0,15.4,15490000000.0,370000000.0,1.32,4.31,5.0
2017,12440000000.0,2.73,2060000000.0,19.85,2790000000.0,7220000000.0,22190000000.0,9980000000.0,52.3,12210000000.0,370000000.0,1.22,4.66,5.81
2016,11320000000.0,4.41,1920000000.0,20.6,3380000000.0,6910000000.0,20430000000.0,9550000000.0,24.7,10880000000.0,370000000.0,1.43,3.96,4.7
2015,9940000000.0,3.82,1730000000.0,21.69,4070000000.0000005,3990000000.0,16219999999.999998,8510000000.0,21.9,7710000000.0,370000000.0,1.69,3.49,4.07
2014,9670000000.0,1.59,1160000000.0,20.74,5000000000.0,3970000000.0,17270000000.0,8590000000.0,52.5,8680000000.0,370000000.0,1.51,3.69,4.15
2013,9020000000.0,2.65,1210000000.0,20.82,3980000000.0,2760000000.0,15740000000.0,9040000000.0,24.7,6690000000.0,370000000.0,1.68,3.15,3.14
2012,8650000000.0,3.41,1700000000.0,22.12,4280000000.0000005,1760000000.0,13200000000.0,8590000000.0,13.8,4600000000.0,380000000.0,1.92,2.41,2.42
2011,8300000000.000001,,1680000000.0,21.21,3410000000.0,1760000000.0,12140000000.0,7680000000.0,,4460000000.0,380000000.0,1.79,2.29,2.48
2010,7320000000.0,,1720000000.0,25.61,4380000000.0,1020000000.0,10890000000.0,7170000000.0,,3720000000.0,390000000.0,1.41,2.87,2.93
2009,6720000000.0,,1620000000.0,24.71,2950000000.0,18000000.0,9070000000.0,6590000000.0,,2470000000.0,390000000.0,0.6,2.98,3.04
2008,6710000000.0,,1580000000.0,23.13,2190000000.0,20500000.0,7600000000.0,5400000000.0,,2190000000.0,400000000.0,1.22,2.4,2.98
2007,6060000000.0,,1370000000.0,23.41,2410000000.0,16800000.0,7350000000.0,5370000000.0,,1970000000.0,410000000.0,0.55,5.06,5.71
2006,5270000000.0,,1090000000.0,21.69,1410000000.0,14800000.0,5870000000.0,4190000000.0000005,,1680000000.0,400000000.0,0.49,4.26,5.36
2005,4870000000.0,,970000000.0,20.57,1050000000.0,230000000.0,4990000000.0,3300000000.0,,1690000000.0,400000000.0,0.31,3.7,5.46
2004,4260000000.0,,710000000.0,18.82,340000000.0,10000000.0,4080000000.0,2750000000.0,,1330000000.0,400000000.0,0.23,4.56,7.06
2003,3620000000.0,,650000000.0,18.52,65900000.00000001,26100000.0,3150000000.0,2150000000.0,,1000000000.0,,0.21,4.68,7.88
2002,3010000000.0,,500000000.0,18.75,37800000.0,500000000.0,2810000000.0,1490000000.0,,1310000000.0,,0.22,4.43,8.91
2001,2600000000.0,,400000000.0,18.16,50100000.0,720000000.0,2420000000.0,1050000000.0,,1360000000.0,,0.21,4.41,
2000,2280000000.0,,330000000.0,,54000000.0,1010000000.0,,,,,,0.2,,
1999,2100000000.0,,29800000.0,,83500000.0,1280000000.0,,,,,,0.24,,
1998,1100000000.0,,60100000.0,,130000000.0,1500000000.0,,,,,,0.07,,
1997,980000000.0,,190000000.0,,150000000.0,78000000.0,,,,,,0.37,,
1996,910000000.0,,160000000.0,,170000000.0,93900000.0,,,,,,0.11,,
1995,,,,,,,,,,,,0.05,,
1994,,,,,,,,,,,,0.06,,
1993,,,,,,,,,,,,0.08,,
1992,,,,,,,,,,,,0.03,,
1991,,,,,,,,,,,,0.03,,
1990,,,,,,,,,,,,0.0,,
1989,,,,,,,,,,,,0.0,,
1988,,,,,,,,,,,,0.0,,
1987,,,,,,,,,,,,0.0,,
1986,,,,,,,,,,,,0.0,,
1985,,,,,,,,,,,,0.0,,
1984,,,,,,,,,,,,0.0,,
1983,,,,,,,,,,,,0.0,,
1982,,,,,,,,,,,,0.0,,
1981,,,,,,,,,,,,0.0,,
1980,,,,,,,,,,,,0.0,,
