year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,44556000000.0,Revenues,0000097745-26-000018,USD,True,6704000000.0,NetIncomeLoss,0000097745-26-000018,USD,True,7818000000.0,NetCashProvidedByUsedInOperatingActivities,0000097745-26-000018,USD,True,1525000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000097745-26-000018,USD,True,7746000000.0,OperatingIncomeLoss,0000097745-26-000018,USD,True,,,,,False,547000000.0,IncomeTaxExpenseBenefit,0000097745-26-000018,USD,True,0.075,EffectiveIncomeTaxRateContinuingOperations,0000097745-26-000018,pure,True,7308000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000097745-26-000018,USD,True,9852000000.0,CashAndCashEquivalentsAtCarryingValue,0000097745-26-000018,USD,True,253000000.0,ShortTermInvestments,0000097745-26-000018,USD,True,39172000000.0,DebtAndCapitalLeaseObligations,0000097745-26-000018,USD,True,3533000000.0,DebtCurrent,0000097745-26-000018,USD,True,,,,,False,53407000000.0,StockholdersEquity,0000097745-26-000018,USD,True,10105000000.0,39172000000.0,6293000000.0,0.07484948002189382,82474000000.0,7166215927.750409,0.08689060707314317,7746000000.0,False,0.14123799263847742,0.9386933174224343,True,True,TMO,0000097745,ticker:TMO,24
2024,42879000000.0,Revenues,0000097745-25-000010,USD,True,6338000000.0,NetIncomeLoss,0000097745-25-000010,USD,True,8667000000.0,NetCashProvidedByUsedInOperatingActivities,0000097745-25-000010,USD,True,1400000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000097745-25-000010,USD,True,7337000000.0,OperatingIncomeLoss,0000097745-25-000010,USD,True,,,,,False,657000000.0,IncomeTaxExpenseBenefit,0000097745-25-000010,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0000097745-25-000010,pure,True,7037000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000097745-25-000010,USD,True,4009000000.0,CashAndCashEquivalentsAtCarryingValue,0000097745-25-000010,USD,True,1561000000.0,ShortTermInvestments,0000097745-25-000010,USD,True,31072000000.0,DebtAndCapitalLeaseObligations,0000097745-25-000010,USD,True,2214000000.0,DebtCurrent,0000097745-25-000010,USD,True,,,,,False,49584000000.0,StockholdersEquity,0000097745-25-000010,USD,True,5570000000.0,31072000000.0,7267000000.0,0.09336364928236464,75086000000.0,6651990905.215291,0.08859162700390606,7337000000.0,False,0.16947690011427505,1.1465762070053644,True,True,TMO,0000097745,ticker:TMO,24
2023,42857000000.0,Revenues,0000097745-24-000007,USD,True,5955000000.0,NetIncomeLoss,0000097745-24-000007,USD,True,8406000000.0,NetCashProvidedByUsedInOperatingActivities,0000097745-24-000007,USD,True,1479000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000097745-24-000007,USD,True,6859000000.0,OperatingIncomeLoss,0000097745-24-000007,USD,True,1375000000.0,InterestExpense,0000097745-24-000007,USD,True,284000000.0,IncomeTaxExpenseBenefit,0000097745-24-000007,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0000097745-24-000007,pure,True,6298000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000097745-24-000007,USD,True,8077000000.0,CashAndCashEquivalentsAtCarryingValue,0000097745-24-000007,USD,True,,,,,False,34727000000.0,DebtAndCapitalLeaseObligations,0000097745-24-000007,USD,True,3609000000.0,DebtCurrent,0000097745-24-000007,USD,True,,,,,False,46735000000.0,StockholdersEquity,0000097745-24-000007,USD,True,8077000000.0,34727000000.0,6927000000.0,0.0450936805335027,73385000000.0,6549702445.220705,0.08925124269565586,6859000000.0,False,0.16163053876846256,1.1632241813602016,True,True,TMO,0000097745,ticker:TMO,24
2022,44915000000.0,Revenues,0000097745-23-000008,USD,True,6960000000.0,NetIncomeLoss,0000097745-23-000008,USD,True,9154000000.0,NetCashProvidedByUsedInOperatingActivities,0000097745-23-000008,USD,True,2243000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000097745-23-000008,USD,True,8393000000.0,OperatingIncomeLoss,0000097745-23-000008,USD,True,726000000.0,InterestExpense,0000097745-23-000008,USD,True,703000000.0,IncomeTaxExpenseBenefit,0000097745-23-000008,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0000097745-23-000008,pure,True,7835000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000097745-23-000008,USD,True,8524000000.0,CashAndCashEquivalentsAtCarryingValue,0000097745-23-000008,USD,True,,,,,False,34278000000.0,DebtAndCapitalLeaseObligations,0000097745-23-000008,USD,True,5579000000.0,DebtCurrent,0000097745-23-000008,USD,True,,,,,False,43978000000.0,StockholdersEquity,0000097745-23-000008,USD,True,8524000000.0,34278000000.0,6911000000.0,0.08972559029993618,69732000000.0,7639933120.612636,0.10956136523565416,8393000000.0,False,0.15386841812312146,0.9929597701149425,True,True,TMO,0000097745,ticker:TMO,24
2021,39211000000.0,Revenues,0000097745-22-000011,USD,True,7728000000.0,NetIncomeLoss,0000097745-22-000011,USD,True,9312000000.0,NetCashProvidedByUsedInOperatingActivities,0000097745-22-000011,USD,True,2523000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000097745-22-000011,USD,True,10028000000.0,OperatingIncomeLoss,0000097745-22-000011,USD,True,536000000.0,InterestExpense,0000097745-22-000011,USD,True,1109000000.0,IncomeTaxExpenseBenefit,0000097745-22-000011,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0000097745-22-000011,pure,True,8841000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000097745-22-000011,USD,True,4477000000.0,CashAndCashEquivalentsAtCarryingValue,0000097745-22-000011,USD,True,,,,,False,34670000000.0,DebtAndCapitalLeaseObligations,0000097745-22-000011,USD,True,2537000000.0,DebtCurrent,0000097745-22-000011,USD,True,,,,,False,40793000000.0,StockholdersEquity,0000097745-22-000011,USD,True,4477000000.0,34670000000.0,6789000000.0,0.12543829883497343,70986000000.0,8770104739.282887,0.12354696333478273,10028000000.0,False,0.1731401902527352,0.8784937888198758,True,True,TMO,0000097745,ticker:TMO,24
2020,32218000000.0,Revenues,0000097745-21-000011,USD,True,,,,,False,8289000000.0,NetCashProvidedByUsedInOperatingActivities,0000097745-21-000011,USD,True,1474000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000097745-21-000011,USD,True,7794000000.0,OperatingIncomeLoss,0000097745-21-000011,USD,True,553000000.0,InterestExpense,0000097745-21-000011,USD,True,850000000.0,IncomeTaxExpenseBenefit,0000097745-21-000011,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0000097745-21-000011,pure,True,7225000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000097745-21-000011,USD,True,10325000000.0,CashAndCashEquivalentsAtCarryingValue,0000097745-21-000011,USD,True,,,,,False,21735000000.0,DebtAndCapitalLeaseObligations,0000097745-21-000011,USD,True,2628000000.0,DebtCurrent,0000097745-21-000011,USD,True,19107000000.0,LongTermDebtNoncurrent,0000097745-21-000011,USD,True,34507000000.0,StockholdersEquity,0000097745-21-000011,USD,True,10325000000.0,21735000000.0,6815000000.0,0.11764705882352941,45917000000.0,6877058823.529411,0.1497715186865303,7794000000.0,False,0.2115277174250419,,True,False,TMO,0000097745,ticker:TMO,24
2019,25542000000.0,Revenues,0000097745-20-000009,USD,True,,,,,False,4973000000.0,NetCashProvidedByUsedInOperatingActivities,0000097745-20-000009,USD,True,926000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000097745-20-000009,USD,True,4594000000.0,OperatingIncomeLoss,0000097745-20-000009,USD,True,676000000.0,InterestExpense,0000097745-20-000009,USD,True,374000000.0,IncomeTaxExpenseBenefit,0000097745-20-000009,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0000097745-20-000009,pure,True,4070000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000097745-20-000009,USD,True,2399000000.0,CashAndCashEquivalentsAtCarryingValue,0000097745-20-000009,USD,True,,,,,False,17752000000.0,DebtAndCapitalLeaseObligations,0000097745-20-000009,USD,True,676000000.0,DebtCurrent,0000097745-20-000009,USD,True,17076000000.0,LongTermDebtNoncurrent,0000097745-20-000009,USD,True,29675000000.0,StockholdersEquity,0000097745-20-000009,USD,True,2399000000.0,17752000000.0,4047000000.0,0.0918918918918919,45028000000.0,4171848648.6486487,0.09265009879738494,4594000000.0,False,0.15844491425886775,,True,False,TMO,0000097745,ticker:TMO,24
2018,24358000000.0,Revenues,0000097745-19-000007,USD,True,,,,,False,4543000000.0,NetCashProvidedByUsedInOperatingActivities,0000097745-19-000007,USD,True,758000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000097745-19-000007,USD,True,3783000000.0,OperatingIncomeLoss,0000097745-19-000007,USD,True,667000000.0,InterestExpense,0000097745-19-000007,USD,True,324000000.0,IncomeTaxExpenseBenefit,0000097745-19-000007,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0000097745-19-000007,pure,True,3262000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000097745-19-000007,USD,True,2103000000.0,CashAndCashEquivalentsAtCarryingValue,0000097745-19-000007,USD,True,,,,,False,18990000000.0,DebtAndCapitalLeaseObligations,0000097745-19-000007,USD,True,1271000000.0,DebtCurrent,0000097745-19-000007,USD,True,,,,,False,27586000000.0,StockholdersEquity,0000097745-19-000007,USD,True,2103000000.0,18990000000.0,3785000000.0,0.09932556713672594,44473000000.0,3407251379.5217657,0.07661393158819431,3783000000.0,False,0.15539042614336152,,True,False,TMO,0000097745,ticker:TMO,24
2017,20918000000.0,Revenues,0000097745-18-000006,USD,True,,,,,False,4005000000.0,NetCashProvidedByUsedInOperatingActivities,0000097745-18-000006,USD,True,508000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000097745-18-000006,USD,True,2968000000.0,OperatingIncomeLoss,0000097745-18-000006,USD,True,592000000.0,InterestExpense,0000097745-18-000006,USD,True,201000000.0,IncomeTaxExpenseBenefit,0000097745-18-000006,USD,True,0.35,EffectiveIncomeTaxRateContinuingOperations,0000097745-18-000006,pure,True,2429000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000097745-18-000006,USD,True,1335000000.0,CashAndCashEquivalentsAtCarryingValue,0000097745-18-000006,USD,True,,,,,False,21008000000.0,DebtAndCapitalLeaseObligations,0000097745-18-000006,USD,True,2135000000.0,DebtCurrent,0000097745-18-000006,USD,True,,,,,False,25413000000.0,StockholdersEquity,0000097745-18-000006,USD,True,1335000000.0,21008000000.0,3497000000.0,0.08275010292301359,45086000000.0,2722397694.5244956,0.06038232920473086,2968000000.0,False,0.16717659432068074,,True,False,TMO,0000097745,ticker:TMO,24
2016,18274100000.0,Revenues,0000097745-17-000007,USD,True,,,,,False,3156300000.0,NetCashProvidedByUsedInOperatingActivities,0000097745-17-000007,USD,True,444400000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000097745-17-000007,USD,True,2449200000.0,OperatingIncomeLoss,0000097745-17-000007,USD,True,469600000.0,InterestExpense,0000097745-17-000007,USD,True,-1400000.0,IncomeTaxExpenseBenefit,0000097745-17-000007,USD,True,0.35,EffectiveIncomeTaxRateContinuingOperations,0000097745-17-000007,pure,True,2023900000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000097745-17-000007,USD,True,786200000.0,CashAndCashEquivalentsAtCarryingValue,0000097745-17-000007,USD,True,,,,,False,16627900000.0,DebtAndCapitalLeaseObligations,0000097745-17-000007,USD,True,1255500000.0,DebtCurrent,0000097745-17-000007,USD,True,,,,,False,21539300000.0,StockholdersEquity,0000097745-17-000007,USD,True,786200000.0,16627900000.0,2711900000.0,-0.000691733781313306,37381000000.0,2450894194.3771925,0.06556523887475435,2449200000.0,False,0.14840128925637924,,True,False,TMO,0000097745,ticker:TMO,24
