year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,45190000000.0,18.22,7420000000.0,,,,,,,,370000000.0,0.32,3.89,
2025,44550000000.0,17.77,7300000000.0,16.4,10100000000.0,39380000000.0,110340000000.0,53530000000.0,32.6,56800000000.0,370000000.0,0.3,5.0,4.16
2024,42870000000.0,16.57,7030000000.0,16.41,5570000000.0,31270000000.0,97320000000.0,49670000000.0,31.3,47640000000.0,380000000.0,0.3,4.69,4.05
2023,42850000000.0,15.53,6290000000.0,14.7,8080000000.0,34910000000.0,98720000000.0,46840000000.0,34.0,51880000000.0,380000000.0,0.26,4.79,4.38
2022,44910000000.0,17.76,7830000000.0,17.44,8520000000.0,34480000000.0,97150000000.0,44140000000.0,30.8,53000000000.0,390000000.0,0.22,4.81,4.89
2021,39210000000.0,19.61,8840000000.0,22.55,4470000000.0,34870000000.0,95120000000.0,40970000000.0,33.7,54140000000.0,390000000.0,0.16,6.71,6.42
2020,32210000000.0,16.09,7220000000.0,22.44,10320000000.0,21730000000.0,69050000000.0,34510000000.0,28.6,34530000000.0,390000000.0,0.19,5.73,5.35
2019,25540000000.0,9.24,4070000000.0000005,15.94,2390000000.0,17750000000.0,58380000000.0,29670000000.0,34.7,28700000000.0,390000000.0,0.24,5.07,4.37
2018,24350000000.0,7.3,3260000000.0,13.39,2100000000.0,18990000000.0,56230000000.0,27580000000.0,30.2,28640000000.0,400000000.0,0.31,3.69,3.26
2017,20910000000.0,5.65,2420000000.0,11.61,1330000000.0,21000000000.0,56660000000.0,25410000000.0,33.0,31250000000.0,400000000.0,0.32,3.64,3.0
2016,18270000000.0,5.13,2020000000.0,11.08,780000000.0,16620000000.000002,45900000000.0,21540000000.0,26.9,24360000000.0,390000000.0,0.44,3.05,2.59
2015,16960000000.0,4.95,1930000000.0,11.41,450000000.0,12470000000.0,40830000000.0,21350000000.0,27.9,19480000000.0,390000000.0,0.43,3.34,2.66
2014,16879999999.999998,,2080000000.0,12.36,1340000000.0,14560000000.0,42850000000.0,20540000000.0,,22300000000.0,390000000.0,0.49,2.97,2.44
2013,13090000000.0,3.54,1310000000.0,10.08,5830000000.0,10480000000.0,31860000000.0,16850000000.000002,30.3,15000000000.0,360000000.0,0.56,3.08,2.39
2012,12500000000.0,,1260000000.0,10.15,800000000.0,7120000000.0,27440000000.0,15460000000.0,,11970000000.0,360000000.0,0.88,1.82,1.47
2011,11640000000.0,3.49,1120000000.0,9.8,1020000000.0,7020000000.0,26830000000.0,15030000000.0,12.2,11790000000.0,370000000.0,0.0,1.46,1.13
2010,10630000000.0,,1120000000.0,10.47,920000000.0,2130000000.0,21340000000.0,15360000000.0,,5980000000.0,400000000.0,0.0,2.04,1.41
2009,10100000000.0,,920000000.0,9.17,1570000000.0,2180000000.0,21620000000.0,15430000000.0,,6190000000.0,400000000.0,0.0,1.93,1.26
2008,10490000000.0,,1140000000.0,10.74,1280000000.0,2040000000.0,21090000000.0,14920000000.0,,6160000000.0,410000000.0,0.0,1.36,0.9591
2007,9740000000.0,,880000000.0,9.04,630000000.0,2190000000.0,21200000000.0,14480000000.0,,6710000000.0,420000000.0,0.0,2.46,1.65
2006,3790000000.0,,200000000.0,5.52,690000000.0,2660000000.0,21260000000.0,13910000000.0,,7350000000.0,150000000.0,0.0,4.98,1.36
2005,2630000000.0,,280000000.0,10.86,290000000.0,590000000.0,4250000000.0,2790000000.0,,1450000000.0,160000000.0,0.0,1.86,1.75
2004,2200000000.0,,250000000.0,11.75,510000000.0,240000000.0,3570000000.0,2660000000.0,,910000000.0,160000000.0,0.0,2.2,1.82
2003,1990000000.0,,220000000.0,11.72,410000000.0,270000000.0,3380000000.0,2380000000.0,,1000000000.0,160000000.0,0.0,2.08,1.75
2002,2080000000.0,,280000000.0,16.3,870000000.0,930000000.0,3650000000.0,2029999999.9999998,,1620000000.0,160000000.0,0.0,1.57,1.61
2001,2180000000.0,,75190000.0,3.5,1040000000.0,1250000000.0,3820000000.0,1910000000.0,,1910000000.0,180000000.0,14.76,1.92,
2000,2190000000.0,,160000000.0,,1020000000.0,1630000000.0,,,,,170000000.0,0.0,,
1999,1100000000.0,,180000000.0,,830000000.0,1860000000.0,,,,,150000000.0,0.0,,
1998,3860000000.0,,340000000.0,,1320000000.0,1900000000.0,,,,,160000000.0,0.0,,
1997,3550000000.0,,410000000.0,,590000000.0,1910000000.0,,,,,150000000.0,0.0,,
1996,2930000000.0,,300000000.0,,410000000.0,1700000000.0,,,,,140000000.0,0.01,,
1995,,,,,,,,,,,,0.0,,
1994,,,,,,,,,,,,0.0,,
1993,,,,,,,,,,,,0.28,,
1992,,,,,,,,,,,,0.0,,
1991,,,,,,,,,,,,0.0,,
1990,,,,,,,,,,,,0.0,,
1989,,,,,,,,,,,,0.0,,
1988,,,,,,,,,,,,0.0,,
1987,,,,,,,,,,,,0.0,,
1986,,,,,,,,,,,,0.0,,
1985,,,,,,,,,,,,0.0,,
1984,,,,,,,,,,,,0.0,,
1983,,,,,,,,,,,,0.0,,
1982,,,,,,,,,,,,0.0,,
1981,,,,,,,,,,,,0.0,,
1980,,,,,,,,,,,,0.0,,
