year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,,,,,,,,,,,,0.89,,
2025,121910000000.0,10.48,65340000000.0,53.6,100110000000.0,34070000000.0,253900000000.0,172710000000.0,28.6,81180000000.0,5180000000.0,1.03,13.6,9.6
2024,88340000000.0,6.91,42910000000.0,48.57,75840000000.0,31960000000.0,204260000000.0,130620000000.0,28.8,73640000000.0,5180000000.0,1.19,11.8,8.01
2023,70450000000.0,5.27,31910000000.0,45.3,55860000000.0,31160000000.0,180300000000.0,112560000000.0,19.3,67730000000.00001,5180000000.0,1.81,7.66,4.79
2022,73860000000.0,6.4,37320000000.0,50.54,51760000000.0,28980000000.0,161980000000.0,95200000000.0,11.2,66769999999.99999,5180000000.0,2.6,5.23,4.06
2021,57390000000.0,4.16,23970000000.0,41.77,43550000000.0,27240000000.0,134680000000.0,77790000000.0,27.2,56890000000.0,5180000000.0,1.67,10.0,7.4
2020,47710000000.0,3.56,20830000000.0,43.66,28490000000.0,13100000000.0,98340000000.0,65390000000.0,28.3,32939999999.999996,5180000000.0,1.69,10.2,7.46
2019,35570000000.0,2.21,12960000000.0,36.44,19750000000.0,6330000000.0,75300000000.0,53680000000.0,23.5,21620000000.0,5180000000.0,3.84,8.05,5.34
2018,33750000000.0,2.22,13010000000.0,38.55,23350000000.0,5900000000.0,68400000000.00001,54360000000.0,14.2,14030000000.0,5180000000.0,4.24,5.66,3.52
2017,32960000000.0,2.23,13360000000.0,40.53,22110000000.0,7210000000.0,67170000000.0,50400000000.0,14.8,16770000000.0,5180000000.0,3.52,6.05,3.96
2016,29220000000.0,1.99,11890000000.0,40.71,19600000000.0,7680000000.0,58140000000.0,41910000000.0,11.6,16219999999.999998,5180000000.0,4.02,4.99,3.48
2015,26360000000.0,1.85,10950000000.0,41.55,18450000000.0,7970000000.0,51810000000.0,37350000000.0,9.59,14450000000.0,5180000000.0,4.13,4.16,2.94
2014,24870000000.0,1.66,9840000000.0,39.6,14350000000.0,8170000000.0,48730000000.0,33330000000.0,10.2,15400000000.0,5180000000.0,2.99,4.64,3.46
2013,19900000000.0,1.21,7190000000.0,36.17,8189999999.999999,7570000000.0,42090000000.0,27800000000.0,10.7,14280000000.0,5180000000.0,3.92,4.59,3.29
2012,17460000000.0,1.1,6250000000.0,35.85,5210000000.0,4019999999.9999995,33119999999.999996,24580000000.0,11.7,8529999999.999999,5180000000.0,4.09,4.97,3.53
2011,14490000000.0,0.88,4920000000.0,33.99,5130000000.0,1720000000.0,26450000000.0,21290000000.0,10.1,5160000000.0,5180000000.0,5.83,4.51,3.07
2010,14440000000.0,1.13,5860000000.0,40.59,6280000000.0,1270000000.0,24750000000.0,19920000000.0,7.29,4820000000.0,5180000000.0,5.65,4.4,3.19
2009,9250000000.0,0.54,2980000000.0,32.28,6180000000.0,210000000.0,18610000000.0,15610000000.0,13.2,2990000000.0,5160000000.0,6.28,5.64,3.34
2008,10140000000.0,0.58,3390000000.0,33.46,6490000000.0,740000000.0,17010000000.000002,14620000000.0,8.13,2390000000.0,,10.49,3.99,2.77
2007,9940000000.0,0.62,3750000000.0,37.7,5340000000.0,460000000.0,17600000000.0,15130000000.0,8.72,2470000000.0,,7.87,5.13,3.37
2006,9740000000.0,0.73,4090000000.0,42.02,6430000000.0,630000000.0,18230000000.0,13740000000.0,8.12,4490000000.0,,6.33,5.8,4.11
2005,8400000000.0,0.56,2970000000.0,35.36,4530000000.0,660000000.0,16379999999.999998,14070000000.0,8.9,2310000000.0,,6.15,5.83,3.48
2004,7950000000.0,0.56,2840000000.0,35.75,3970000000.0,990000000.0,15450000000.0,12340000000.0,7.04,3100000000.0,,2.1,4.96,3.2
2003,6320000000.0,0.29,1470000000.0,23.27,3630000000.0,1370000000.0,12700000000.0,10260000000.0,14.2,2430000000.0,,0.0,6.56,4.04
2002,5020000000.0,0.13,840000000.0,16.77,2100000000.0,1440000000.0,12080000000.0,9150000000.0,20.1,2920000000.0,,0.0,5.23,2.87
2001,4019999999.9999995,0.16,310000000.0,7.79,1320000000.0,1370000000.0,12070000000.0,8870000000.0,36.4,3190000000.0,,0.0,14.4,
2000,5130000000.0,0.41,1970000000.0,,1270000000.0,1730000000.0,,,,,,0.0,,
1999,2350000000.0,0.24,650000000.0,,1030000000.0,1470000000.0,,,,,,0.0,,
1998,1550000000.0,0.12,420000000.0,,480000000.0,970000000.0,,,,,,0.0,,
1997,1360000000.0,0.14,470000000.0,,550000000.0,620000000.0,,,,,,0.0,,
