Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2025,121910000000.0,65340000000.0,28.6,100110000000.0,253900000000.0,
2024,88340000000.0,42910000000.0,28.8,75840000000.0,204260000000.0,
2023,70450000000.0,31910000000.0,19.3,55860000000.0,180300000000.0,
2022,73860000000.0,37320000000.0,11.2,51760000000.0,161980000000.0,
2021,57390000000.0,23970000000.0,27.2,43550000000.0,134680000000.0,
2020,47710000000.0,20830000000.0,28.3,28490000000.0,98340000000.0,
2019,35570000000.0,12960000000.0,23.5,19750000000.0,75300000000.0,
2018,33750000000.0,13010000000.0,14.2,23350000000.0,68400000000.00001,
2017,32960000000.0,13360000000.0,14.8,22110000000.0,67170000000.0,
2016,29220000000.0,11890000000.0,11.6,19600000000.0,58140000000.0,
2015,26360000000.0,10950000000.0,9.59,18450000000.0,51810000000.0,
2014,24870000000.0,9840000000.0,10.2,14350000000.0,48730000000.0,
2013,19900000000.0,7190000000.0,10.7,8189999999.999999,42090000000.0,
2012,17460000000.0,6250000000.0,11.7,5210000000.0,33119999999.999996,
2011,14490000000.0,4920000000.0,10.1,5130000000.0,26450000000.0,
2010,14440000000.0,5860000000.0,7.29,6280000000.0,24750000000.0,
2009,9250000000.0,2980000000.0,13.2,6180000000.0,18610000000.0,
2008,10140000000.0,3390000000.0,8.13,6490000000.0,17010000000.000002,
2007,9940000000.0,3750000000.0,8.72,5340000000.0,17600000000.0,
2006,9740000000.0,4090000000.0,8.12,6430000000.0,18230000000.0,
2005,8400000000.0,2970000000.0,8.9,4530000000.0,16379999999.999998,
2004,7950000000.0,2840000000.0,7.04,3970000000.0,15450000000.0,
2003,6320000000.0,1470000000.0,14.2,3630000000.0,12700000000.0,
2002,5020000000.0,840000000.0,20.1,2100000000.0,12080000000.0,
2001,4019999999.9999995,310000000.0,36.4,1320000000.0,12070000000.0,
2000,5130000000.0,1970000000.0,,1270000000.0,,
1999,2350000000.0,650000000.0,,1030000000.0,,
1998,1550000000.0,420000000.0,,480000000.0,,
1997,1360000000.0,470000000.0,,550000000.0,,
