year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,21600000000.0,13.06,3880000000.0,,,,,,,,220000000.0,0.63,4.21,
2025,21320000000.0,13.12,3900000000.0,17.25,1760000000.0,4610000000.0,21420000000.0,8600000000.0,29.7,12810000000.0,220000000.0,0.72,4.15,10.3
2024,19830000000.0,11.39,3480000000.0,16.34,1590000000.0,4770000000.0,20140000000.0,7480000000.0,32.3,12650000000.0,220000000.0,0.91,4.24,11.2
2023,17670000000.0,8.84,2800000000.0,14.52,1090000000.0,4770000000.0,19390000000.0,7010000000.0,27.2,12370000000.0,220000000.0,1.25,3.14,7.91
2022,15990000000.0,7.59,2390000000.0,13.58,1220000000.0,4830000000.0,18080000000.0,6100000000.0,21.5,11970000000.0,220000000.0,1.64,2.42,6.34
2021,14130000000.0,5.97,2020000000.0,12.67,2150000000.0,4840000000.0,18050000000.0,6270000000.0,32.2,11780000000.0,230000000.0,1.23,3.39,7.65
2020,12450000000.0,3.57,1530000000.0,10.34,3280000000.0,5270000000.0,18150000000.0,6420000000.0,38.2,11720000000.0,230000000.0,1.55,2.8,5.42
2019,14040000000.0,5.86,1730000000.0,10.7,1270000000.0,5570000000.0,20490000000.0,7310000000.0,16.2,13170000000.0,,1.73,2.26,4.33
2018,15660000000.0,5.44,1880000000.0,10.19,900000000.0,4090000000.0,17910000000.0,7060000000.0,11.8,10850000000.0,,2.37,1.41,3.12
2017,14190000000.0,5.14,1630000000.0,9.99,1540000000.0,4059999999.9999995,18170000000.0,7200000000.0,12.0,10960000000.0,,2.15,1.57,3.09
2016,13500000000.0,5.68,1960000000.0,12.89,1710000000.0,4070000000.0000005,17390000000.0,6710000000.0,8.93,10670000000.0,,2.08,1.43,2.89
2015,13300000000.0,2.5,1470000000.0,9.38,730000000.0,4210000000.0,16710000000.0,5870000000.0,14.6,10830000000.0,,2.46,1.09,2.46
2014,12890000000.0,3.47,1430000000.0,9.38,1700000000.0,4219999999.9999995,17290000000.0,6040000000.0,11.9,11250000000.0,,1.89,1.29,2.76
2013,10800000000.0,2.12,940000000.0,6.72,1930000000.0,3520000000.0,17650000000.0,7130000000.0,18.5,10520000000.0,,1.32,1.61,2.44
2012,14030000000.0,3.39,1530000000.0,7.07,700000000.0,3220000000.0,18480000000.0,7220000000.0,7.12,11250000000.0,,1.64,1.01,1.96
2011,14720000000.0,,890000000.0,1.48,1160000000.0,3640000000.0,18840000000.0,7010000000.0,,11820000000.0,,1.76,0.6458,1.36
2010,13680000000.0,,1260000000.0,7.22,1010000000.0,3680000000.0,19990000000.0,8050000000.000001,,11930000000.0,,0.75,1.13,1.92
2009,13140000000.0,,870000000.0,4.5,870000000.0,4090000000.0,19990000000.0,7170000000.0,,12810000000.0,,1.78,0.8714,1.6
2008,13220000000.0,,,-20.84,550000000.0,5120000000.0,20920000000.0,6760000000.0,,14160000000.0,,5.42,0.4181,0.8179
2007,8760000000.0,,1050000000.0,10.7,4730000000.0,1450000000.0,14370000000.0,8000000000.0,,6370000000.0,,2.07,1.44,1.58
2006,9490000000.0,,1160000000.0,10.68,350000000.0,1980000000.0,12140000000.0,5470000000.0,,6660000000.0,,2.36,1.26,2.19
2005,10540000000.0,,1360000000.0,11.93,1030000000.0,2109999999.9999998,11750000000.0,5760000000.0,,5990000000.0,,1.95,1.27,2.32
2004,9390000000.0,,1120000000.0,10.31,1700000000.0,1880000000.0,11410000000.0,5730000000.0,,5680000000.0,,1.54,1.49,2.44
2003,9280000000.0,,840000000.0,6.96,410000000.0,2310000000.0,10660000000.0,4490000000.0,,6170000000.0,,1.51,1.28,2.64
2002,8350000000.0,,640000000.0,4.33,340000000.0,3240000000.0,10800000000.0,3590000000.0,,7210000000.0,,2.28,0.8724,2.03
2001,9310000000.0,,610000000.0,1.56,110000000.0,3460000000.0,11130000000.0,4019999999.9999995,,7100000000.0,,2.38,0.754,
2000,9140000000.0,,1190000000.0,,220000000.0,3660000000.0,,,,,,2.42,,
1999,7660000000.0,,1090000000.0,,220000000.0,2600000000.0,,,,,,1.76,,
1998,8070000000.0,,1030000000.0,,46000000.0,2480000000.0,,,,,,1.95,,
1997,7100000000.0,,760000000.0,,100000000.0,3450000000.0,,,,,,2.2,,
1996,6700000000.0,,680000000.0,,180000000.0,1320000000.0,,,,,,2.76,,
1995,,,,,,,,,,,,3.38,,
1994,,,,,,,,,,,,3.75,,
1993,,,,,,,,,,,,3.06,,
1992,,,,,,,,,,,,4.04,,
1991,,,,,,,,,,,,4.19,,
1990,,,,,,,,,,,,6.07,,
1989,,,,,,,,,,,,4.26,,
1988,,,,,,,,,,,,5.76,,
1987,,,,,,,,,,,,5.72,,
1986,,,,,,,,,,,,9.39,,
1985,,,,,,,,,,,,10.22,,
1984,,,,,,,,,,,,12.68,,
1983,,,,,,,,,,,,11.68,,
1982,,,,,,,,,,,,0.0,,
1981,,,,,,,,,,,,0.0,,
1980,,,,,,,,,,,,0.0,,
