year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,18430000000.0,5.91,6700000000.0,,,,,,,,900000000.0,1.52,9.4,
2025,17680000000.0,5.5,6250000000.0,32.29,4880000000.0,14040000000.0,34580000000.0,16270000000.0,31.5,18310000000.0,900000000.0,3.17,9.13,9.92
2024,15640000000.0,5.26,5960000000.0,34.86,7580000000.0,13590000000.0,35500000000.0,16899999999.999998,34.8,18600000000.0,910000000.0,2.87,11.2,10.3
2023,17510000000.0,7.17,7770000000.0,42.34,8570000000.0,11220000000.0,32340000000.000004,16890000000.0,22.6,15450000000.0,900000000.0,3.1,8.84,9.16
2022,20020000000.0,9.55,10240000000.0,50.09,9060000000.0,8730000000.0,27200000000.0,14570000000.0,15.9,12630000000.0,900000000.0,3.08,7.49,10.3
2021,18340000000.0,8.42,9100000000.0,48.62,9730000000.0,8119999999.999999,24670000000.0,13330000000.0,20.1,11340000000.0,920000000.0,2.49,9.49,13.1
2020,14460000000.0,6.08,6200000000.0,41.61,6560000000.0,7040000000.0,19350000000.0,9180000000.0,23.6,10160000000.0,910000000.0,2.59,10.4,16.4
2019,14380000000.0,5.36,5890000000.0,39.82,5380000000.0,6060000000.0,18010000000.0,8900000000.0,20.4,9110000000.0,930000000.0,2.94,8.31,13.4
2018,15780000000.0,5.75,6810000000.0,42.36,4230000000.0000005,5060000000.0,17129999999.999998,8990000000.0,13.6,8140000000.000001,950000000.0,3.36,5.66,9.93
2017,14960000000.0,3.71,6150000000.0,40.64,4460000000.0,4070000000.0000005,17640000000.0,10330000000.0,22.7,7300000000.0,980000000.0,2.52,6.88,9.96
2016,13370000000.0,3.46,5010000000.0,36.87,3490000000.0,3600000000.0,16430000000.0,10470000000.0,16.6,5950000000.0,990000000.0,2.86,5.45,6.96
2015,13000000000.0,2.91,4300000000.0,32.43,3210000000.0,4120000000.0,16230000000.0,9940000000.0,14.4,6280000000.0,1010000000.0,3.34,4.26,5.57
2014,13040000000.0,2.63,3960000000.0,29.7,3540000000.0,4630000000.0,17370000000.0,10390000000.0,15.2,6980000000.0,1040000000.0,3.11,4.29,5.39
2013,12200000000.0,1.93,2840000000.0,22.56,3820000000.0,5150000000.0,18930000000.0,10800000000.0,16.5,8130000000.000001,1080000000.0,3.35,3.9,4.4
2012,12820000000.0,1.52,2020000000.0,15.09,3960000000.0,5680000000.0,20020000000.0,10960000000.0,14.3,9060000000.0,1110000000.0,3.3,2.67,3.12
