Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,18430000000.0,6700000000.0,,,,
2025,17680000000.0,6250000000.0,31.5,4880000000.0,34580000000.0,
2024,15640000000.0,5960000000.0,34.8,7580000000.0,35500000000.0,
2023,17510000000.0,7770000000.0,22.6,8570000000.0,32340000000.000004,
2022,20020000000.0,10240000000.0,15.9,9060000000.0,27200000000.0,
2021,18340000000.0,9100000000.0,20.1,9730000000.0,24670000000.0,
2020,14460000000.0,6200000000.0,23.6,6560000000.0,19350000000.0,
2019,14380000000.0,5890000000.0,20.4,5380000000.0,18010000000.0,
2018,15780000000.0,6810000000.0,13.6,4230000000.0000005,17129999999.999998,
2017,14960000000.0,6150000000.0,22.7,4460000000.0,17640000000.0,
2016,13370000000.0,5010000000.0,16.6,3490000000.0,16430000000.0,
2015,13000000000.0,4300000000.0,14.4,3210000000.0,16230000000.0,
2014,13040000000.0,3960000000.0,15.2,3540000000.0,17370000000.0,
2013,12200000000.0,2840000000.0,16.5,3820000000.0,18930000000.0,
2012,12820000000.0,2020000000.0,14.3,3960000000.0,20020000000.0,
2011,13730000000.0,2990000000.0,,2930000000.0,20490000000.0,
2010,13960000000.0,4530000000.0,,3070000000.0,13400000000.0,
2009,10420000000.0,2200000000.0,,2920000000.0,12110000000.0,
2008,12500000000.0,2480000000.0,,2540000000.0,11920000000.0,
2007,13830000000.0,3490000000.0,,2920000000.0,12660000000.0,
2006,14250000000.0,3360000000.0,,3710000000.0,13930000000.0,
2005,12870000000.0,2670000000.0,,5330000000.0,15060000000.0,
2004,12580000000.0,2200000000.0,,6350000000.0,16290000000.0,
2003,9830000000.0,960000000.0,,4320000000.0,15510000000.0,
2002,8380000000.000001,280000000.0,,3010000000.0,14670000000.0,
2001,8199999999.999999,,,2940000000.0,15770000000.0,
2000,11860000000.0,2330000000.0,,4000000000.0,,
1999,9680000000.0,1730000000.0,,2820000000.0,,
1998,8460000000.000001,400000000.0,,2340000000.0,,
1997,9750000000.0,610000000.0,,3020000000.0,,
1996,8660000000.0,,,970000000.0,,
