Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,449710000000.0,14550000000.0,,,,
2025,447560000000.0,14690000000.0,24.9,28120000000.0,309580000000.0,
2024,400270000000.0,20070000000.0,32.0,29110000000.0,298270000000.0,
2023,371620000000.0,29110000000.0,21.2,29620000000.0,273720000000.00003,
2022,324160000000.0,26340000000.0,23.7,27910000000.0,245700000000.0,
2021,287590000000.0,22310000000.0,25.9,23900000000.0,212200000000.0,
2020,257140000000.0,20740000000.0,20.2,19780000000.0,197280000000.0,
2019,242150000000.0,17980000000.0,18.5,14240000000.0,173880000000.0,
2018,226240000000.0,15940000000.0,18.1,14320000000.0,152220000000.0,
2017,201150000000.0,14020000000.0,18.0,15490000000.0,139050000000.0,
2016,184840000000.0,11860000000.0,18.5,13270000000.0,122810000000.0,
2015,157100000000.0,10230000000.0,16.6,12910000000.0,111250000000.0,
2014,130470000000.0,9650000000.0,14.8,9230000000.0,86380000000.0,
2013,122480000000.0,8910000000.0,11.2,9210000000.0,81880000000.0,
2012,111110000000.0,8620000000.0,8.25,11430000000.0,80880000000.0,
2011,101200000000.0,7950000000.0,,12000000000.0,67879999999.99999,
2010,93080000000.0,7380000000.0,,11190000000.0,63060000000.0,
2009,87130000000.0,5800000000.0,,11030000000.0,59040000000.0,
2008,80410000000.0,4620000000.0,,8199999999.999999,55810000000.0,
2007,75430000000.0,7300000000.0,,9610000000.0,50890000000.0,
2006,70670000000.0,6520000000.0,,10940000000.0,48320000000.0,
2005,45700000000.0,4970000000.0,,6010000000.0,41280000000.0,
2004,36830000000.0,3970000000.0,,4500000000.0,27870000000.0,
2003,28560000000.0,2840000000.0,,2740000000.0,17660000000.0,
2002,25020000000.0,2089999999.9999998,,1830000000.0,14160000000.0,
2001,23450000000.0,1470000000.0,,1810000000.0,12480000000.0,
2000,21120000000.0,1150000000.0,,1610000000.0,,
1999,19560000000.0,890000000.0,,3110000000.0,,
1998,17350000000.0,,,1810000000.0,,
1997,11790000000.0,740000000.0,,1250000000.0,,
1996,10070000000.0,580000000.0,,1640000000.0,,
