year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,24510000000.0,Revenues,0000100885-26-000037,USD,True,7138000000.0,NetIncomeLoss,0000100885-26-000037,USD,True,9290000000.0,NetCashProvidedByUsedInOperatingActivities,0000100885-26-000037,USD,True,3791000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000100885-26-000037,USD,True,9846000000.0,OperatingIncomeLoss,0000100885-26-000037,USD,True,,,,,False,2028000000.0,IncomeTaxExpenseBenefit,0000100885-26-000037,USD,True,0.221,EffectiveIncomeTaxRateContinuingOperations,0000100885-26-000037,pure,True,9166000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000100885-26-000037,USD,True,1266000000.0,CashAndCashEquivalentsAtCarryingValue,0000100885-26-000037,USD,True,,,,,False,31814000000.0,LongTermDebt,0000100885-26-000037,USD,True,1520000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000100885-26-000037,USD,True,66000000.0,FinanceLeaseLiabilityNoncurrent,0000100885-26-000037,USD,True,18467000000.0,StockholdersEquity,0000100885-26-000037,USD,True,1266000000.0,31814000000.0,5499000000.0,0.22125245472397992,49015000000.0,7667548330.787694,0.15643269062098733,9846000000.0,False,0.2243574051407589,0.7703838610254974,True,True,UNP,0000100885,ticker:UNP,23
2024,24250000000.0,Revenues,0000100885-25-000042,USD,True,6747000000.0,NetIncomeLoss,0000100885-25-000042,USD,True,9346000000.0,NetCashProvidedByUsedInOperatingActivities,0000100885-25-000042,USD,True,3452000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000100885-25-000042,USD,True,9713000000.0,OperatingIncomeLoss,0000100885-25-000042,USD,True,,,,,False,2047000000.0,IncomeTaxExpenseBenefit,0000100885-25-000042,USD,True,0.233,EffectiveIncomeTaxRateContinuingOperations,0000100885-25-000042,pure,True,8794000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000100885-25-000042,USD,True,1016000000.0,CashAndCashEquivalentsAtCarryingValue,0000100885-25-000042,USD,True,,,,,False,31192000000.0,LongTermDebt,0000100885-25-000042,USD,True,1425000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000100885-25-000042,USD,True,72000000.0,FinanceLeaseLiabilityNoncurrent,0000100885-25-000042,USD,True,16890000000.0,StockholdersEquity,0000100885-25-000042,USD,True,1016000000.0,31192000000.0,5894000000.0,0.2327723447805322,47066000000.0,7452082215.14669,0.15833260135016128,9713000000.0,False,0.24305154639175258,0.8735734400474285,True,True,UNP,0000100885,ticker:UNP,23
2023,24119000000.0,Revenues,0001437749-24-003599,USD,True,6379000000.0,NetIncomeLoss,0001437749-24-003599,USD,True,8379000000.0,NetCashProvidedByUsedInOperatingActivities,0001437749-24-003599,USD,True,3606000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001437749-24-003599,USD,True,9082000000.0,OperatingIncomeLoss,0001437749-24-003599,USD,True,1340000000.0,InterestExpense,0001437749-24-003599,USD,True,1854000000.0,IncomeTaxExpenseBenefit,0001437749-24-003599,USD,True,0.225,EffectiveIncomeTaxRateContinuingOperations,0001437749-24-003599,pure,True,8233000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001437749-24-003599,USD,True,1055000000.0,CashAndCashEquivalentsAtCarryingValue,0001437749-24-003599,USD,True,,,,,False,32579000000.0,LongTermDebt,0001437749-24-003599,USD,True,1423000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001437749-24-003599,USD,True,,,,,False,14788000000.0,StockholdersEquity,0001437749-24-003599,USD,True,1055000000.0,32579000000.0,4773000000.0,0.22519130329163123,46312000000.0,7036812583.505404,0.15194361253034644,9082000000.0,False,0.1978937766905759,0.7482364006897633,True,True,UNP,0000100885,ticker:UNP,23
2022,24875000000.0,Revenues,0001437749-23-002959,USD,True,6998000000.0,NetIncomeLoss,0001437749-23-002959,USD,True,9362000000.0,NetCashProvidedByUsedInOperatingActivities,0001437749-23-002959,USD,True,3620000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001437749-23-002959,USD,True,9917000000.0,OperatingIncomeLoss,0001437749-23-002959,USD,True,1271000000.0,InterestExpense,0001437749-23-002959,USD,True,2074000000.0,IncomeTaxExpenseBenefit,0001437749-23-002959,USD,True,0.229,EffectiveIncomeTaxRateContinuingOperations,0001437749-23-002959,pure,True,9072000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001437749-23-002959,USD,True,973000000.0,CashAndCashEquivalentsAtCarryingValue,0001437749-23-002959,USD,True,,,,,False,33326000000.0,LongTermDebt,0001437749-23-002959,USD,True,1678000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001437749-23-002959,USD,True,,,,,False,12163000000.0,StockholdersEquity,0001437749-23-002959,USD,True,973000000.0,33326000000.0,5742000000.0,0.22861552028218696,44516000000.0,7649819885.361552,0.17184427813284106,9917000000.0,False,0.23083417085427135,0.8205201486138897,True,True,UNP,0000100885,ticker:UNP,23
2021,21804000000.0,Revenues,0001437749-22-002494,USD,True,6523000000.0,NetIncomeLoss,0001437749-22-002494,USD,True,9032000000.0,NetCashProvidedByUsedInOperatingActivities,0001437749-22-002494,USD,True,2936000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001437749-22-002494,USD,True,9338000000.0,OperatingIncomeLoss,0001437749-22-002494,USD,True,1157000000.0,InterestExpense,0001437749-22-002494,USD,True,1955000000.0,IncomeTaxExpenseBenefit,0001437749-22-002494,USD,True,0.231,EffectiveIncomeTaxRateContinuingOperations,0001437749-22-002494,pure,True,8478000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001437749-22-002494,USD,True,960000000.0,CashAndCashEquivalentsAtCarryingValue,0001437749-22-002494,USD,True,,,,,False,29729000000.0,LongTermDebt,0001437749-22-002494,USD,True,2166000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0001437749-22-002494,USD,True,,,,,False,14161000000.0,StockholdersEquity,0001437749-22-002494,USD,True,960000000.0,29729000000.0,6096000000.0,0.23059683887709365,42930000000.0,7184686718.5657,0.1673581811918402,9338000000.0,False,0.27958172812328014,0.9345393223976698,True,True,UNP,0000100885,ticker:UNP,23
2020,19533000000.0,Revenues,0000100885-21-000068,USD,True,5349000000.0,NetIncomeLoss,0000100885-21-000068,USD,True,8540000000.0,NetCashProvidedByUsedInOperatingActivities,0000100885-21-000068,USD,True,2927000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000100885-21-000068,USD,True,7834000000.0,OperatingIncomeLoss,0000100885-21-000068,USD,True,1141000000.0,InterestExpense,0000100885-21-000068,USD,True,1631000000.0,IncomeTaxExpenseBenefit,0000100885-21-000068,USD,True,0.234,EffectiveIncomeTaxRateContinuingOperations,0000100885-21-000068,pure,True,6980000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000100885-21-000068,USD,True,1799000000.0,CashAndCashEquivalentsAtCarryingValue,0000100885-21-000068,USD,True,,,,,False,26729000000.0,LongTermDebt,0000100885-21-000068,USD,True,1069000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000100885-21-000068,USD,True,340000000.0,FinanceLeaseLiabilityNoncurrent,0000100885-21-000068,USD,True,16958000000.0,StockholdersEquity,0000100885-21-000068,USD,True,1799000000.0,26729000000.0,5613000000.0,0.2336676217765043,41888000000.0,6003447851.002865,0.1433214250143923,7834000000.0,False,0.28735985255721086,1.0493550196298373,True,True,UNP,0000100885,ticker:UNP,23
2019,21708000000.0,Revenues,0000100885-20-000065,USD,True,5919000000.0,NetIncomeLoss,0000100885-20-000065,USD,True,8609000000.0,NetCashProvidedByUsedInOperatingActivities,0000100885-20-000065,USD,True,3453000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000100885-20-000065,USD,True,8554000000.0,OperatingIncomeLoss,0000100885-20-000065,USD,True,1050000000.0,InterestExpense,0000100885-20-000065,USD,True,1828000000.0,IncomeTaxExpenseBenefit,0000100885-20-000065,USD,True,0.236,EffectiveIncomeTaxRateContinuingOperations,0000100885-20-000065,pure,True,7747000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000100885-20-000065,USD,True,831000000.0,CashAndCashEquivalentsAtCarryingValue,0000100885-20-000065,USD,True,,,,,False,25200000000.0,LongTermDebt,0000100885-20-000065,USD,True,1257000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000100885-20-000065,USD,True,491000000.0,FinanceLeaseLiabilityNoncurrent,0000100885-20-000065,USD,True,18128000000.0,StockholdersEquity,0000100885-20-000065,USD,True,831000000.0,25200000000.0,5156000000.0,0.23596230799018975,42497000000.0,6535578417.451917,0.15378917141096823,8554000000.0,False,0.2375161230882624,0.8710930900489947,True,True,UNP,0000100885,ticker:UNP,23
2018,22832000000.0,Revenues,0000100885-19-000060,USD,True,5966000000.0,NetIncomeLoss,0000100885-19-000060,USD,True,,,,,False,3437000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000100885-19-000060,USD,True,8517000000.0,OperatingIncomeLoss,0000100885-19-000060,USD,True,870000000.0,InterestExpense,0000100885-19-000060,USD,True,1775000000.0,IncomeTaxExpenseBenefit,0000100885-19-000060,USD,True,0.229,EffectiveIncomeTaxRateContinuingOperations,0000100885-19-000060,pure,True,7741000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000100885-19-000060,USD,True,1273000000.0,CashAndCashEquivalentsAtCarryingValue,0000100885-19-000060,USD,True,,,,,False,22391000000.0,LongTermDebt,0000100885-19-000060,USD,True,1466000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000100885-19-000060,USD,True,,,,,False,20423000000.0,StockholdersEquity,0000100885-19-000060,USD,True,1273000000.0,22391000000.0,,0.22929854024027904,41541000000.0,6564064332.773544,0.15801411455606615,8517000000.0,False,,,True,False,UNP,0000100885,ticker:UNP,23
2017,21240000000.0,Revenues,0000100885-18-000048,USD,True,10712000000.0,NetIncomeLoss,0000100885-18-000048,USD,True,,,,,False,3238000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000100885-18-000048,USD,True,8061000000.0,OperatingIncomeLoss,0000100885-18-000048,USD,True,719000000.0,InterestExpense,0000100885-18-000048,USD,True,-3080000000.0,IncomeTaxExpenseBenefit,0000100885-18-000048,USD,True,-0.404,EffectiveIncomeTaxRateContinuingOperations,0000100885-18-000048,pure,True,7632000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000100885-18-000048,USD,True,1275000000.0,CashAndCashEquivalentsAtCarryingValue,0000100885-18-000048,USD,True,,,,,False,16944000000.0,LongTermDebt,0000100885-18-000048,USD,True,800000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000100885-18-000048,USD,True,,,,,False,24856000000.0,StockholdersEquity,0000100885-18-000048,USD,True,1275000000.0,16944000000.0,,-0.40356394129979034,40525000000.0,11314128930.81761,0.2791888693600891,8061000000.0,False,,,True,False,UNP,0000100885,ticker:UNP,23
2016,19941000000.0,Revenues,0000100885-17-000056,USD,True,4233000000.0,NetIncomeLoss,0000100885-17-000056,USD,True,,,,,False,3505000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0000100885-17-000056,USD,True,7272000000.0,OperatingIncomeLoss,0000100885-17-000056,USD,True,698000000.0,InterestExpense,0000100885-17-000056,USD,True,2533000000.0,IncomeTaxExpenseBenefit,0000100885-17-000056,USD,True,0.374,EffectiveIncomeTaxRateContinuingOperations,0000100885-17-000056,pure,True,6766000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0000100885-17-000056,USD,True,1277000000.0,CashAndCashEquivalentsAtCarryingValue,0000100885-17-000056,USD,True,,,,,False,15007000000.0,LongTermDebt,0000100885-17-000056,USD,True,758000000.0,LongTermDebtAndCapitalLeaseObligationsCurrent,0000100885-17-000056,USD,True,,,,,False,19932000000.0,StockholdersEquity,0000100885-17-000056,USD,True,1277000000.0,15007000000.0,,0.3743718592964824,33662000000.0,4549567839.19598,0.13515441266698294,7272000000.0,False,,,True,False,UNP,0000100885,ticker:UNP,23
