year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,24700000000.0,12.17,9260000000.0,,,,,,,,590000000.0,1.84,5.74,
2025,24510000000.0,12.01,9160000000.0,37.4,1510000000.0,32820000000.0,69690000000.0,18460000000.0,19.3,51230000000.0,590000000.0,2.35,5.61,7.45
2024,24250000000.0,11.11,8790000000.0,36.26,1030000000.0,32460000000.0,67709999999.99999,16890000000.0,20.2,50820000000.0,600000000.0,2.36,5.75,8.25
2023,24110000000.0,10.47,8230000000.0,34.13,1070000000.0000001,34170000000.0,67129999999.99999,14780000000.0,22.5,52340000000.0,600000000.0,2.2,6.21,10.1
2022,24870000000.0,11.23,9070000000.0,36.47,1010000000.0,34950000000.0,65440000000.0,12160000000.0,17.3,53280000000.0,610000000.0,2.62,5.12,10.5
2021,21800000000.0,9.99,8470000000.000001,38.88,1000000000.0,31480000000.0,63520000000.0,14160000000.0,23.1,49360000000.0,640000000.0,1.86,7.43,11.4
2020,19530000000.0,7.89,6980000000.0,35.73,1850000000.0,28330000000.0,62390000000.0,16950000000.0,23.7,45440000000.0,670000000.0,2.07,7.18,8.27
2019,21700000000.0,8.42,7740000000.0,35.69,890000000.0,27030000000.0,61670000000.0,18120000000.0,18.9,43540000000.0,690000000.0,2.32,5.76,6.9
2018,22830000000.0,7.96,7740000000.0,33.9,1330000000.0,22390000000.0,59140000000.0,20420000000.0,15.0,38720000000.0,720000000.0,2.57,4.39,4.91
2017,21240000000.0,13.56,7630000000.0,35.93,1360000000.0,16940000000.000002,57800000000.0,24850000000.0,8.34,32950000000.000004,780000000.0,2.19,4.97,4.25
2016,19940000000.0,5.09,6760000000.0,33.93,1330000000.0,15000000000.0,55710000000.0,19930000000.0,16.8,35780000000.0,810000000.0,2.64,4.28,4.29
2015,21810000000.0,5.51,7650000000.0,35.1,1390000000.0,14200000000.0,54600000000.0,20700000000.0,11.4,33890000000.0,850000000.0,3.5,3.04,3.21
2014,23980000000.0,5.78,8340000000.0,34.78,1580000000.0,11410000000.0,52370000000.0,21180000000.0,16.2,31180000000.0,880000000.0,2.04,4.39,4.97
2013,21960000000.0,4.74,7040000000.0,32.09,1430000000.0,9570000000.0,49730000000.0,21220000000.0,13.7,28500000000.0,,2.28,3.49,3.61
2012,20920000000.0,4.17,6310000000.0,30.19,1060000000.0,8990000000.0,47150000000.0,19870000000.0,11.4,27270000000.0,,2.62,2.82,2.97
2011,19550000000.0,,5260000000.0,26.92,1210000000.0,8900000000.0,45090000000.0,18570000000.0,,26510000000.0,,2.46,2.62,2.75
2010,16960000000.0,,4430000000.0,26.13,1080000000.0,9240000000.0,43080000000.0,17760000000.0,,25320000000.0,,1.95,2.68,2.56
2009,14140000000.0,,2970000000.0,21.03,1850000000.0,9840000000.0,42180000000.0,16800000000.0,,25380000000.0,,2.37,2.28,1.92
2008,17970000000.0,,3650000000.0,20.32,1240000000.0,8920000000.0,39720000000.0,15440000000.0,,24270000000.0,,2.94,1.39,1.61
2007,16280000000.000002,,3000000000.0,18.48,870000000.0,7680000000.0,38030000000.0,15580000000.0,,22440000000.0,,1.73,2.01,2.1
2006,15570000000.0,,2520000000.0,16.21,820000000.0,6780000000.0,36510000000.0,15310000000.0,,21200000000.0,,1.92,1.6,1.62
2005,13570000000.0,,1430000000.0,10.58,770000000.0,7410000000.0,35620000000.0,13700000000.0,,21910000000.0,,2.23,1.58,1.57
2004,12210000000.0,,850000000.0,7.01,970000000.0,8130000000.000001,34590000000.0,12650000000.0,,21940000000.0,,2.71,1.43,1.38
2003,11550000000.0,,1630000000.0,14.17,520000000.0,7980000000.0,33490000000.000004,12350000000.0,,21140000000.0,,2.21,1.56,1.46
2002,12140000000.0,,1990000000.0,17.43,360000000.0,7700000000.0,32759999999.999996,10650000000.0,,22110000000.0,,2.19,1.25,1.42
2001,11970000000.0,,1530000000.0,13.66,110000000.0,8080000000.0,31550000000.0,9570000000.0,,21970000000.0,,2.24,1.16,
2000,11860000000.0,,1310000000.0,,100000000.0,8350000000.0,,,,,,2.56,,
1999,11270000000.0,,1200000000.0,,170000000.0,8640000000.0,,,,,,3.03,,
1998,11320000000.0,,,,170000000.0,8690000000.0,,,,,,2.98,,
1997,10590000000.0,,660000000.0,,90000000.0,8510000000.0,,,,,,4.7,,
1996,8780000000.0,,1110000000.0,,190000000.0,8020000000.0,,,,,,3.79,,
1995,,,,,,,,,,,,4.7,,
1994,,,,,,,,,,,,6.79,,
1993,,,,,,,,,,,,4.71,,
1992,,,,,,,,,,,,4.76,,
1991,,,,,,,,,,,,4.09,,
1990,,,,,,,,,,,,6.92,,
1989,,,,,,,,,,,,6.22,,
1988,,,,,,,,,,,,7.2,,
1987,,,,,,,,,,,,9.29,,
1986,,,,,,,,,,,,7.0,,
1985,,,,,,,,,,,,8.13,,
1984,,,,,,,,,,,,11.11,,
1983,,,,,,,,,,,,9.33,,
1982,,,,,,,,,,,,10.43,,
1981,,,,,,,,,,,,6.87,,
1980,,,,,,,,,,,,5.38,,
