Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,24700000000.0,9260000000.0,,,,
2025,24510000000.0,9160000000.0,19.3,1510000000.0,69690000000.0,
2024,24250000000.0,8790000000.0,20.2,1030000000.0,67709999999.99999,
2023,24110000000.0,8230000000.0,22.5,1070000000.0000001,67129999999.99999,
2022,24870000000.0,9070000000.0,17.3,1010000000.0,65440000000.0,
2021,21800000000.0,8470000000.000001,23.1,1000000000.0,63520000000.0,
2020,19530000000.0,6980000000.0,23.7,1850000000.0,62390000000.0,
2019,21700000000.0,7740000000.0,18.9,890000000.0,61670000000.0,
2018,22830000000.0,7740000000.0,15.0,1330000000.0,59140000000.0,
2017,21240000000.0,7630000000.0,8.34,1360000000.0,57800000000.0,
2016,19940000000.0,6760000000.0,16.8,1330000000.0,55710000000.0,
2015,21810000000.0,7650000000.0,11.4,1390000000.0,54600000000.0,
2014,23980000000.0,8340000000.0,16.2,1580000000.0,52370000000.0,
2013,21960000000.0,7040000000.0,13.7,1430000000.0,49730000000.0,
2012,20920000000.0,6310000000.0,11.4,1060000000.0,47150000000.0,
2011,19550000000.0,5260000000.0,,1210000000.0,45090000000.0,
2010,16960000000.0,4430000000.0,,1080000000.0,43080000000.0,
2009,14140000000.0,2970000000.0,,1850000000.0,42180000000.0,
2008,17970000000.0,3650000000.0,,1240000000.0,39720000000.0,
2007,16280000000.000002,3000000000.0,,870000000.0,38030000000.0,
2006,15570000000.0,2520000000.0,,820000000.0,36510000000.0,
2005,13570000000.0,1430000000.0,,770000000.0,35620000000.0,
2004,12210000000.0,850000000.0,,970000000.0,34590000000.0,
2003,11550000000.0,1630000000.0,,520000000.0,33490000000.000004,
2002,12140000000.0,1990000000.0,,360000000.0,32759999999.999996,
2001,11970000000.0,1530000000.0,,110000000.0,31550000000.0,
2000,11860000000.0,1310000000.0,,100000000.0,,
1999,11270000000.0,1200000000.0,,170000000.0,,
1998,11320000000.0,,,170000000.0,,
1997,10590000000.0,660000000.0,,90000000.0,,
1996,8780000000.0,1110000000.0,,190000000.0,,
