year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,40000000000.0,Revenues,0001403161-25-000089,USD,True,20058000000.0,NetIncomeLoss,0001403161-25-000089,USD,True,23059000000.0,NetCashProvidedByUsedInOperatingActivities,0001403161-25-000089,USD,True,59000000.0,CapitalExpendituresIncurredButNotYetPaid,0001403161-25-000089,USD,True,23994000000.0,OperatingIncomeLoss,0001403161-25-000089,USD,True,,,,,False,4136000000.0,IncomeTaxExpenseBenefit,0001403161-25-000089,USD,True,0.17,EffectiveIncomeTaxRateContinuingOperations,0001403161-25-000089,pure,True,24194000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001403161-25-000089,USD,True,17164000000.0,CashAndCashEquivalentsAtCarryingValue,0001403161-25-000089,USD,True,,,,,False,,,,,False,5569000000.0,LongTermDebtCurrent,0001403161-25-000089,USD,True,19602000000.0,LongTermDebtNoncurrent,0001403161-25-000089,USD,True,37909000000.0,StockholdersEquity,0001403161-25-000089,USD,True,17164000000.0,25171000000.0,23000000000.0,0.170951475572456,45916000000.0,19892190295.11449,0.43323003517541797,23994000000.0,False,0.575,1.146674643533752,True,True,V,0001403161,ticker:V,19
2024,35926000000.0,Revenues,0001403161-24-000058,USD,True,19743000000.0,NetIncomeLoss,0001403161-24-000058,USD,True,19950000000.0,NetCashProvidedByUsedInOperatingActivities,0001403161-24-000058,USD,True,52000000.0,CapitalExpendituresIncurredButNotYetPaid,0001403161-24-000058,USD,True,23595000000.0,OperatingIncomeLoss,0001403161-24-000058,USD,True,,,,,False,4173000000.0,IncomeTaxExpenseBenefit,0001403161-24-000058,USD,True,0.17,EffectiveIncomeTaxRateContinuingOperations,0001403161-24-000058,pure,True,23916000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001403161-24-000058,USD,True,11975000000.0,CashAndCashEquivalentsAtCarryingValue,0001403161-24-000058,USD,True,,,,,False,,,,,False,0.0,LongTermDebtCurrent,0001403161-24-000058,USD,True,20836000000.0,LongTermDebtNoncurrent,0001403161-24-000058,USD,True,39137000000.0,StockholdersEquity,0001403161-24-000058,USD,True,11975000000.0,20836000000.0,19898000000.0,0.17448569994982438,47998000000.0,19478009909.683895,0.4058087818176569,23595000000.0,False,0.5538607136892502,1.0078508838575697,True,True,V,0001403161,ticker:V,19
2023,32653000000.0,Revenues,0001403161-23-000099,USD,True,17273000000.0,NetIncomeLoss,0001403161-23-000099,USD,True,20755000000.0,NetCashProvidedByUsedInOperatingActivities,0001403161-23-000099,USD,True,96000000.0,CapitalExpendituresIncurredButNotYetPaid,0001403161-23-000099,USD,True,21000000000.0,OperatingIncomeLoss,0001403161-23-000099,USD,True,,,,,False,3764000000.0,IncomeTaxExpenseBenefit,0001403161-23-000099,USD,True,0.18,EffectiveIncomeTaxRateContinuingOperations,0001403161-23-000099,pure,True,21037000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001403161-23-000099,USD,True,16286000000.0,CashAndCashEquivalentsAtCarryingValue,0001403161-23-000099,USD,True,,,,,False,,,,,False,0.0,LongTermDebtCurrent,0001403161-23-000099,USD,True,20463000000.0,LongTermDebtNoncurrent,0001403161-23-000099,USD,True,38733000000.0,StockholdersEquity,0001403161-23-000099,USD,True,16286000000.0,20463000000.0,20659000000.0,0.1789228502162856,42910000000.0,17242620145.458,0.4018322103346073,21000000000.0,False,0.6326830612807399,1.1960284837607826,True,True,V,0001403161,ticker:V,19
2022,29310000000.0,Revenues,0001403161-22-000081,USD,True,14957000000.0,NetIncomeLoss,0001403161-22-000081,USD,True,18849000000.0,NetCashProvidedByUsedInOperatingActivities,0001403161-22-000081,USD,True,56000000.0,CapitalExpendituresIncurredButNotYetPaid,0001403161-22-000081,USD,True,18813000000.0,OperatingIncomeLoss,0001403161-22-000081,USD,True,,,,,False,3179000000.0,IncomeTaxExpenseBenefit,0001403161-22-000081,USD,True,0.18,EffectiveIncomeTaxRateContinuingOperations,0001403161-22-000081,pure,True,18136000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001403161-22-000081,USD,True,15689000000.0,CashAndCashEquivalentsAtCarryingValue,0001403161-22-000081,USD,True,,,,,False,,,,,False,2250000000.0,LongTermDebtCurrent,0001403161-22-000081,USD,True,20200000000.0,LongTermDebtNoncurrent,0001403161-22-000081,USD,True,35581000000.0,StockholdersEquity,0001403161-22-000081,USD,True,15689000000.0,22450000000.0,18793000000.0,0.17528672254080283,42342000000.0,15515330888.839876,0.36642886233148825,18813000000.0,False,0.641180484476288,1.2564685431570501,True,True,V,0001403161,ticker:V,19
2021,24105000000.0,Revenues,0001403161-21-000060,USD,True,12311000000.0,NetIncomeLoss,0001403161-21-000060,USD,True,15227000000.0,NetCashProvidedByUsedInOperatingActivities,0001403161-21-000060,USD,True,41000000.0,CapitalExpendituresIncurredButNotYetPaid,0001403161-21-000060,USD,True,15804000000.0,OperatingIncomeLoss,0001403161-21-000060,USD,True,,,,,False,3752000000.0,IncomeTaxExpenseBenefit,0001403161-21-000060,USD,True,0.23,EffectiveIncomeTaxRateContinuingOperations,0001403161-21-000060,pure,True,16063000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001403161-21-000060,USD,True,16487000000.0,CashAndCashEquivalentsAtCarryingValue,0001403161-21-000060,USD,True,,,,,False,20977000000.0,LongTermDebt,0001403161-21-000060,USD,True,999000000.0,LongTermDebtCurrent,0001403161-21-000060,USD,True,19978000000.0,LongTermDebtNoncurrent,0001403161-21-000060,USD,True,37589000000.0,StockholdersEquity,0001403161-21-000060,USD,True,16487000000.0,20977000000.0,15186000000.0,0.23358027765672665,42079000000.0,12112497291.913092,0.28785135796746814,15804000000.0,False,0.6299937772246422,1.233530988546828,True,True,V,0001403161,ticker:V,19
2020,21846000000.0,Revenues,0001403161-20-000070,USD,True,10866000000.0,NetIncomeLoss,0001403161-20-000070,USD,True,10440000000.0,NetCashProvidedByUsedInOperatingActivities,0001403161-20-000070,USD,True,38000000.0,CapitalExpendituresIncurredButNotYetPaid,0001403161-20-000070,USD,True,14081000000.0,OperatingIncomeLoss,0001403161-20-000070,USD,True,,,,,False,2924000000.0,IncomeTaxExpenseBenefit,0001403161-20-000070,USD,True,0.21,EffectiveIncomeTaxRateContinuingOperations,0001403161-20-000070,pure,True,13790000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001403161-20-000070,USD,True,16289000000.0,CashAndCashEquivalentsAtCarryingValue,0001403161-20-000070,USD,True,,,,,False,24070000000.0,LongTermDebt,0001403161-20-000070,USD,True,2999000000.0,LongTermDebtCurrent,0001403161-20-000070,USD,True,21071000000.0,LongTermDebtNoncurrent,0001403161-20-000070,USD,True,36210000000.0,StockholdersEquity,0001403161-20-000070,USD,True,16289000000.0,24070000000.0,10402000000.0,0.212037708484409,43991000000.0,11095297026.831038,0.25221743144804704,14081000000.0,False,0.47615124050169366,0.9572979937419474,True,True,V,0001403161,ticker:V,19
2019,22977000000.0,Revenues,0001403161-19-000050,USD,True,12080000000.0,NetIncomeLoss,0001403161-19-000050,USD,True,12784000000.0,NetCashProvidedByUsedInOperatingActivities,0001403161-19-000050,USD,True,95000000.0,CapitalExpendituresIncurredButNotYetPaid,0001403161-19-000050,USD,True,15001000000.0,OperatingIncomeLoss,0001403161-19-000050,USD,True,,,,,False,2804000000.0,IncomeTaxExpenseBenefit,0001403161-19-000050,USD,True,0.19,EffectiveIncomeTaxRateContinuingOperations,0001403161-19-000050,pure,True,14884000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001403161-19-000050,USD,True,7838000000.0,CashAndCashEquivalentsAtCarryingValue,0001403161-19-000050,USD,True,,,,,False,16729000000.0,LongTermDebt,0001403161-19-000050,USD,True,,,,,False,,,,,False,34684000000.0,StockholdersEquity,0001403161-19-000050,USD,True,7838000000.0,16729000000.0,12689000000.0,0.18839021768341843,43575000000.0,12174958344.53104,0.2794023716472987,15001000000.0,False,0.552247900073987,1.0504139072847682,True,True,V,0001403161,ticker:V,19
2018,20609000000.0,Revenues,0001403161-18-000055,USD,True,10301000000.0,NetIncomeLoss,0001403161-18-000055,USD,True,12713000000.0,NetCashProvidedByUsedInOperatingActivities,0001403161-18-000055,USD,True,77000000.0,CapitalExpendituresIncurredButNotYetPaid,0001403161-18-000055,USD,True,12954000000.0,OperatingIncomeLoss,0001403161-18-000055,USD,True,,,,,False,2505000000.0,IncomeTaxExpenseBenefit,0001403161-18-000055,USD,True,0.2,EffectiveIncomeTaxRateContinuingOperations,0001403161-18-000055,pure,True,12806000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001403161-18-000055,USD,True,8162000000.0,CashAndCashEquivalentsAtCarryingValue,0001403161-18-000055,USD,True,3449000000.0,AvailableForSaleSecuritiesCurrent,0001403161-18-000055,USD,True,16630000000.0,LongTermDebt,0001403161-18-000055,USD,True,0.0,LongTermDebtCurrent,0001403161-18-000055,USD,True,,,,,False,34006000000.0,StockholdersEquity,0001403161-18-000055,USD,True,11611000000.0,16630000000.0,12636000000.0,0.19561143214118382,39025000000.0,10420049508.043104,0.26700959661865736,12954000000.0,False,0.6131301858411373,1.2266770216483835,True,True,V,0001403161,ticker:V,19
2017,18358000000.0,Revenues,0001403161-17-000044,USD,True,6699000000.0,NetIncomeLoss,0001403161-17-000044,USD,True,9208000000.0,NetCashProvidedByUsedInOperatingActivities,0001403161-17-000044,USD,True,50000000.0,CapitalExpendituresIncurredButNotYetPaid,0001403161-17-000044,USD,True,12144000000.0,OperatingIncomeLoss,0001403161-17-000044,USD,True,,,,,False,4995000000.0,IncomeTaxExpenseBenefit,0001403161-17-000044,USD,True,0.43,EffectiveIncomeTaxRateContinuingOperations,0001403161-17-000044,pure,True,11694000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001403161-17-000044,USD,True,9874000000.0,CashAndCashEquivalentsAtCarryingValue,0001403161-17-000044,USD,True,3482000000.0,AvailableForSaleSecuritiesCurrent,0001403161-17-000044,USD,True,16618000000.0,LongTermDebt,0001403161-17-000044,USD,True,1749000000.0,LongTermDebtCurrent,0001403161-17-000044,USD,True,,,,,False,32760000000.0,StockholdersEquity,0001403161-17-000044,USD,True,13356000000.0,16618000000.0,9158000000.0,0.4271421241662391,36022000000.0,6956786044.125193,0.19312603531522937,12144000000.0,False,0.49885608454079966,1.367069711897298,True,True,V,0001403161,ticker:V,19
2016,15082000000.0,Revenues,0001403161-16-000058,USD,True,5991000000.0,NetIncomeLoss,0001403161-16-000058,USD,True,5574000000.0,NetCashProvidedByUsedInOperatingActivities,0001403161-16-000058,USD,True,523000000.0,CapitalExpendituresIncurredButNotYetPaid,0001403161-16-000058,USD,True,7883000000.0,OperatingIncomeLoss,0001403161-16-000058,USD,True,,,,,False,2021000000.0,IncomeTaxExpenseBenefit,0001403161-16-000058,USD,True,0.25,EffectiveIncomeTaxRateContinuingOperations,0001403161-16-000058,pure,True,5839000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001403161-16-000058,USD,True,5619000000.0,CashAndCashEquivalentsAtCarryingValue,0001403161-16-000058,USD,True,3248000000.0,AvailableForSaleSecuritiesCurrent,0001403161-16-000058,USD,True,15882000000.0,LongTermDebt,0001403161-16-000058,USD,True,,,,,False,,,,,False,32912000000.0,StockholdersEquity,0001403161-16-000058,USD,True,8867000000.0,15882000000.0,5051000000.0,0.34612091111491694,39927000000.0,5154528857.681109,0.12909882680093945,7883000000.0,False,0.3349025328205808,0.843097980303789,True,True,V,0001403161,ticker:V,19
