year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,43020000000.0,11.49,26450000000.0,,,,,,,,1890000000.0,0.72,13.2,
2025,41390000000.0,10.66,24720000000.0,60.49,18990000000.0,25170000000.0,99620000000.0,37900000000.0,32.9,61710000000.0,1910000000.0,0.7,16.2,17.2
2024,36800000000.0,9.93,24070000000.0,66.57,15170000000.0,20830000000.0,94510000000.0,39130000000.0,31.7,55370000000.0,1960000000.0,0.68,16.8,16.1
2023,33350000000.0,8.7,22100000000.0,64.43,20120000000.0,20460000000.0,90490000000.0,38730000000.0,29.5,51760000000.0,2000000000.0,0.73,16.0,13.5
2022,30180000000.0,7.15,18210000000.0,61.88,18520000000.0,22450000000.0,85500000000.0,35580000000.0,28.5,49920000000.0,2049999999.9999998,0.77,14.6,11.9
2021,25470000000.0,6.05,17210000000.0,66.64,18510000000.0,20970000000.0,82890000000.0,37580000000.0,34.8,45300000000.0,2100000000.0,0.63,18.4,13.0
2020,21470000000.0,4.85,13560000000.0,63.12,20040000000.0,24070000000.0,80910000000.0,36210000000.0,43.6,44700000000.0,2130000000.0,0.58,22.4,12.8
2019,23520000000.0,5.48,15220000000.0,64.78,12070000000.0,16719999999.999998,72570000000.0,34680000000.0,32.9,37890000000.0,2150000000.0,0.58,17.7,11.8
2018,21250000000.0,4.66,13190000000.0,62.14,11700000000.0,16629999999.999998,69220000000.0,34000000000.0,27.0,35210000000.0,2200000000.0,0.7,14.1,8.78
2017,18750000000.0,3.03,11950000000.0,63.7,13430000000.0,18360000000.0,67970000000.0,32759999999.999996,35.7,35210000000.0,2260000000.0,0.64,14.2,7.97
2016,15970000000.0,2.53,8350000000.0,53.12,8930000000.0,15880000000.0,64030000000.0,32909999999.999996,29.0,31120000000.0,2320000000.0,0.8,11.7,5.89
2015,14060000000.0,2.74,9370000000.0,64.81,6010000000.0,,39360000000.0,29840000000.0,26.4,9520000000.0,2420000000.0,0.69,13.2,6.31
2014,12920000000.0,2.23,7900000000.0,60.81,3950000000.0,,38560000000.0,27410000000.0,27.2,11150000000.0,,0.69,12.5,5.77
2013,12080000000.0,1.97,7530000000.0,61.61,4250000000.0,,35950000000.0,26870000000.0,26.0,9080000000.0,,0.68,11.6,5.2
2012,10720000000.0,2.05,2390000000.0,21.18,2810000000.0,,40010000000.0,27630000000.0,16.9,12380000000.0,,0.71,9.31,3.62
