Year,revenue,net_income,pe_ratio,cash,total_assets,dividend_yield
2026,43020000000.0,26450000000.0,,,,
2025,41390000000.0,24720000000.0,32.9,18990000000.0,99620000000.0,
2024,36800000000.0,24070000000.0,31.7,15170000000.0,94510000000.0,
2023,33350000000.0,22100000000.0,29.5,20120000000.0,90490000000.0,
2022,30180000000.0,18210000000.0,28.5,18520000000.0,85500000000.0,
2021,25470000000.0,17210000000.0,34.8,18510000000.0,82890000000.0,
2020,21470000000.0,13560000000.0,43.6,20040000000.0,80910000000.0,
2019,23520000000.0,15220000000.0,32.9,12070000000.0,72570000000.0,
2018,21250000000.0,13190000000.0,27.0,11700000000.0,69220000000.0,
2017,18750000000.0,11950000000.0,35.7,13430000000.0,67970000000.0,
2016,15970000000.0,8350000000.0,29.0,8930000000.0,64030000000.0,
2015,14060000000.0,9370000000.0,26.4,6010000000.0,39360000000.0,
2014,12920000000.0,7900000000.0,27.2,3950000000.0,38560000000.0,
2013,12080000000.0,7530000000.0,26.0,4250000000.0,35950000000.0,
2012,10720000000.0,2390000000.0,16.9,2810000000.0,40010000000.0,
2011,9490000000.0,5890000000.0,18.3,3390000000.0,34760000000.0,
2010,8340000000.0,4810000000.0,,4050000000.0,33400000000.0,
2009,7130000000.0,4250000000.0,,4730000000.0,32280000000.0,
2008,6510000000.0,1600000000.0,,5330000000.0,34980000000.0,
2007,4230000000.0000005,,,1020000000.0,4390000000.0,
2006,,,,930000000.0,2960000000.0,
2003,,,,86000000.0,1900000000.0,
