year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,3072700000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001437749-26-004452,USD,True,908300000.0,NetIncomeLoss,0001437749-26-004452,USD,True,1436000000.0,NetCashProvidedByUsedInOperatingActivities,0001437749-26-004452,USD,True,244100000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001437749-26-004452,USD,True,1343900000.0,OperatingIncomeLoss,0001437749-26-004452,USD,True,,,,,False,263000000.0,IncomeTaxExpenseBenefit,0001437749-26-004452,USD,True,0.225,EffectiveIncomeTaxRateContinuingOperations,0001437749-26-004452,pure,True,1171300000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001437749-26-004452,USD,True,2178200000.0,CashAndCashEquivalentsAtCarryingValue,0001437749-26-004452,USD,True,,,,,False,4773500000.0,DebtAndCapitalLeaseObligations,0001437749-26-004452,USD,True,1508900000.0,DebtCurrent,0001437749-26-004452,USD,True,14700000.0,FinanceLeaseLiabilityNoncurrent,0001437749-26-004452,USD,True,309000000.0,StockholdersEquity,0001437749-26-004452,USD,True,2178200000.0,4773500000.0,1191900000.0,0.22453683940920344,2904300000.0,1042144941.5179715,0.3588282689522334,1343900000.0,False,0.38789989260259705,1.3122316415281294,True,True,VRSK,0001442145,ticker:VRSK,17
2024,2881700000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001437749-25-005160,USD,True,958200000.0,NetIncomeLoss,0001437749-25-005160,USD,True,1144000000.0,NetCashProvidedByUsedInOperatingActivities,0001437749-25-005160,USD,True,223900000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001437749-25-005160,USD,True,1253900000.0,OperatingIncomeLoss,0001437749-25-005160,USD,True,138800000.0,InterestExpense,0001437749-25-005160,USD,True,277900000.0,IncomeTaxExpenseBenefit,0001437749-25-005160,USD,True,0.226,EffectiveIncomeTaxRateContinuingOperations,0001437749-25-005160,pure,True,1228600000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001437749-25-005160,USD,True,291200000.0,CashAndCashEquivalentsAtCarryingValue,0001437749-25-005160,USD,True,,,,,False,3091300000.0,DebtAndCapitalLeaseObligations,0001437749-25-005160,USD,True,514200000.0,DebtCurrent,0001437749-25-005160,USD,True,26900000.0,FinanceLeaseLiabilityNoncurrent,0001437749-25-005160,USD,True,100100000.0,StockholdersEquity,0001437749-25-005160,USD,True,291200000.0,3091300000.0,920100000.0,0.22619241412990396,2900200000.0,970277331.9225134,0.3345553175375882,1253900000.0,False,0.31929069646389285,0.9602379461490295,True,True,VRSK,0001442145,ticker:VRSK,17
2023,2681400000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001437749-24-004939,USD,True,614600000.0,NetIncomeLoss,0001437749-24-004939,USD,True,1060700000.0,NetCashProvidedByUsedInOperatingActivities,0001437749-24-004939,USD,True,230000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001437749-24-004939,USD,True,1131700000.0,OperatingIncomeLoss,0001437749-24-004939,USD,True,115500000.0,InterestExpense,0001437749-24-004939,USD,True,258800000.0,IncomeTaxExpenseBenefit,0001437749-24-004939,USD,True,0.252,EffectiveIncomeTaxRateContinuingOperations,0001437749-24-004939,pure,True,1027200000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001437749-24-004939,USD,True,302700000.0,CashAndCashEquivalentsAtCarryingValue,0001437749-24-004939,USD,True,,,,,False,2884300000.0,DebtAndCapitalLeaseObligations,0001437749-24-004939,USD,True,14500000.0,DebtCurrent,0001437749-24-004939,USD,True,,,,,False,310000000.0,StockholdersEquity,0001437749-24-004939,USD,True,302700000.0,2884300000.0,830700000.0,0.25194704049844235,2891600000.0,846571534.2679129,0.29276923995985366,1131700000.0,False,0.309800850302081,1.351610803774813,True,True,VRSK,0001442145,ticker:VRSK,17
2022,2497000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001437749-23-004945,USD,True,953900000.0,NetIncomeLoss,0001437749-23-004945,USD,True,1059000000.0,NetCashProvidedByUsedInOperatingActivities,0001437749-23-004945,USD,True,274700000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001437749-23-004945,USD,True,1406500000.0,OperatingIncomeLoss,0001437749-23-004945,USD,True,138800000.0,InterestExpense,0001437749-23-004945,USD,True,220300000.0,IncomeTaxExpenseBenefit,0001437749-23-004945,USD,True,0.175,EffectiveIncomeTaxRateContinuingOperations,0001437749-23-004945,pure,True,1262400000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001437749-23-004945,USD,True,112500000.0,CashAndCashEquivalentsAtCarryingValue,0001437749-23-004945,USD,True,,,,,False,3744200000.0,DebtAndCapitalLeaseObligations,0001437749-23-004945,USD,True,1392900000.0,DebtCurrent,0001437749-23-004945,USD,True,,,,,False,1749300000.0,StockholdersEquity,0001437749-23-004945,USD,True,112500000.0,3744200000.0,784300000.0,0.1745088719898606,5381000000.0,1161053271.546261,0.21576905250813253,1406500000.0,False,0.3140969162995595,0.8222035852814761,True,True,VRSK,0001442145,ticker:VRSK,17
2021,2998600000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001437749-22-004083,USD,True,666200000.0,NetIncomeLoss,0001437749-22-004083,USD,True,1155700000.0,NetCashProvidedByUsedInOperatingActivities,0001437749-22-004083,USD,True,268400000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001437749-22-004083,USD,True,1000500000.0,OperatingIncomeLoss,0001437749-22-004083,USD,True,127000000.0,InterestExpense,0001437749-22-004083,USD,True,209100000.0,IncomeTaxExpenseBenefit,0001437749-22-004083,USD,True,0.239,EffectiveIncomeTaxRateContinuingOperations,0001437749-22-004083,pure,True,875400000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001437749-22-004083,USD,True,280300000.0,CashAndCashEquivalentsAtCarryingValue,0001437749-22-004083,USD,True,,,,,False,3323500000.0,DebtAndCapitalLeaseObligations,0001437749-22-004083,USD,True,971300000.0,DebtCurrent,0001437749-22-004083,USD,True,,,,,False,2816500000.0,StockholdersEquity,0001437749-22-004083,USD,True,280300000.0,3323500000.0,887300000.0,0.23886223440712817,5859700000.0,761518334.4756683,0.12995858738086732,1000500000.0,False,0.2959047555525912,1.3318823176223356,True,True,VRSK,0001442145,ticker:VRSK,17
2020,2784600000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001437749-21-003789,USD,True,712700000.0,NetIncomeLoss,0001437749-21-003789,USD,True,1068200000.0,NetCashProvidedByUsedInOperatingActivities,0001437749-21-003789,USD,True,246800000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001437749-21-003789,USD,True,1038100000.0,OperatingIncomeLoss,0001437749-21-003789,USD,True,138200000.0,InterestExpense,0001437749-21-003789,USD,True,184800000.0,IncomeTaxExpenseBenefit,0001437749-21-003789,USD,True,0.206,EffectiveIncomeTaxRateContinuingOperations,0001437749-21-003789,pure,True,897500000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001437749-21-003789,USD,True,218800000.0,CashAndCashEquivalentsAtCarryingValue,0001437749-21-003789,USD,True,,,,,False,3224700000.0,DebtAndCapitalLeaseObligations,0001437749-21-003789,USD,True,514300000.0,DebtCurrent,0001437749-21-003789,USD,True,10300000.0,FinanceLeaseLiabilityNoncurrent,0001437749-21-003789,USD,True,2698200000.0,StockholdersEquity,0001437749-21-003789,USD,True,218800000.0,3224700000.0,821400000.0,0.20590529247910863,5704100000.0,824349715.8774374,0.14451880504855058,1038100000.0,False,0.2949795302736479,1.1525185912726252,True,True,VRSK,0001442145,ticker:VRSK,17
2019,2607100000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001442145-20-000012,USD,True,449900000.0,NetIncomeLoss,0001442145-20-000012,USD,True,956300000.0,NetCashProvidedByUsedInOperatingActivities,0001442145-20-000012,USD,True,216800000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001442145-20-000012,USD,True,696900000.0,OperatingIncomeLoss,0001442145-20-000012,USD,True,126800000.0,InterestExpense,0001442145-20-000012,USD,True,118500000.0,IncomeTaxExpenseBenefit,0001442145-20-000012,USD,True,0.209,EffectiveIncomeTaxRateContinuingOperations,0001442145-20-000012,pure,True,568400000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001442145-20-000012,USD,True,184600000.0,CashAndCashEquivalentsAtCarryingValue,0001442145-20-000012,USD,True,,,,,False,3151000000.0,DebtAndCapitalLeaseObligations,0001442145-20-000012,USD,True,499400000.0,DebtCurrent,0001442145-20-000012,USD,True,,,,,False,2260800000.0,StockholdersEquity,0001442145-20-000012,USD,True,184600000.0,3151000000.0,739500000.0,0.20847994370161857,5227200000.0,551610327.234342,0.1055269221063556,696900000.0,False,0.2836484983314794,1.6436985996888198,True,True,VRSK,0001442145,ticker:VRSK,17
2018,2395100000.0,RevenueFromContractWithCustomerExcludingAssessedTax,0001442145-19-000012,USD,True,598700000.0,NetIncomeLoss,0001442145-19-000012,USD,True,934400000.0,NetCashProvidedByUsedInOperatingActivities,0001442145-19-000012,USD,True,231000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001442145-19-000012,USD,True,834100000.0,OperatingIncomeLoss,0001442145-19-000012,USD,True,129700000.0,InterestExpense,0001442145-19-000012,USD,True,121000000.0,IncomeTaxExpenseBenefit,0001442145-19-000012,USD,True,0.168,EffectiveIncomeTaxRateContinuingOperations,0001442145-19-000012,pure,True,719700000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001442145-19-000012,USD,True,139500000.0,CashAndCashEquivalentsAtCarryingValue,0001442145-19-000012,USD,True,,,,,False,2723300000.0,DebtAndCapitalLeaseObligations,0001442145-19-000012,USD,True,672800000.0,DebtCurrent,0001442145-19-000012,USD,True,,,,,False,2070600000.0,StockholdersEquity,0001442145-19-000012,USD,True,139500000.0,2723300000.0,703400000.0,0.1681256078921773,4654400000.0,693866430.4571348,0.14907752459116855,834100000.0,False,0.2936829359943217,1.174878904292634,True,True,VRSK,0001442145,ticker:VRSK,17
2017,,,,,False,555100000.0,NetIncomeLoss,0001442145-18-000008,USD,True,743500000.0,NetCashProvidedByUsedInOperatingActivities,0001442145-18-000008,USD,True,183500000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001442145-18-000008,USD,True,801200000.0,OperatingIncomeLoss,0001442145-18-000008,USD,True,119400000.0,InterestExpense,0001442145-18-000008,USD,True,135900000.0,IncomeTaxExpenseBenefit,0001442145-18-000008,USD,True,0.197,EffectiveIncomeTaxRateContinuingOperations,0001442145-18-000008,pure,True,691000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001442145-18-000008,USD,True,142300000.0,CashAndCashEquivalentsAtCarryingValue,0001442145-18-000008,USD,True,3800000.0,AvailableForSaleSecuritiesCurrent,0001442145-18-000008,USD,True,3008800000.0,DebtAndCapitalLeaseObligations,0001442145-18-000008,USD,True,724400000.0,DebtCurrent,0001442145-18-000008,USD,True,,,,,False,1925400000.0,StockholdersEquity,0001442145-18-000008,USD,True,146100000.0,3008800000.0,560000000.0,0.196671490593343,4788100000.0,643626801.7366136,0.13442217199653592,801200000.0,False,,1.008827238335435,True,False,VRSK,0001442145,ticker:VRSK,17
2016,,,,,False,591200000.0,NetIncomeLoss,0001442145-17-000010,USD,True,546100000.0,NetCashProvidedByUsedInOperatingActivities,0001442145-17-000010,USD,True,156500000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001442145-17-000010,USD,True,767600000.0,OperatingIncomeLoss,0001442145-17-000010,USD,True,120000000.0,InterestExpense,0001442145-17-000010,USD,True,202200000.0,IncomeTaxExpenseBenefit,0001442145-17-000010,USD,True,0.309,EffectiveIncomeTaxRateContinuingOperations,0001442145-17-000010,pure,True,653700000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001442145-17-000010,USD,True,135100000.0,CashAndCashEquivalentsAtCarryingValue,0001442145-17-000010,USD,True,3400000.0,AvailableForSaleSecuritiesCurrent,0001442145-17-000010,USD,True,2387000000.0,DebtAndCapitalLeaseObligations,0001442145-17-000010,USD,True,106800000.0,DebtCurrent,0001442145-17-000010,USD,True,,,,,False,1332400000.0,StockholdersEquity,0001442145-17-000010,USD,True,138500000.0,2387000000.0,389600000.0,0.30931620009178523,3580900000.0,530168884.80954564,0.1480546468232974,767600000.0,False,,0.6589986468200271,True,False,VRSK,0001442145,ticker:VRSK,17
