year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,,,,,,,,,,,,3.74,,
2025,7190000000.0,,1930000000.0,26.92,1090000000.0,5790000000.0,11250000000.0,930000000.0,,10320000000.0,230000000.0,2.75,3.25,24.9
2024,6150000000.0,,1430000000.0,23.29,990000000.0,4230000000.0000005,9880000000.0,1600000000.0,,8270000000.0,230000000.0,1.39,6.39,24.5
2023,6170000000.0,,1430000000.0,23.23,1250000000.0,4130000000.0,10050000000.0,1930000000.0,,8109999999.999999,240000000.0,1.52,5.59,17.8
2022,5840000000.0,,1360000000.0,23.4,1440000000.0,3870000000.0,10200000000.0,2470000000.0,,7720000000.0,250000000.0,1.78,4.5,10.6
2021,5400000000.0,,1050000000.0,19.47,1130000000.0,3540000000.0,10220000000.0,2730000000.0,,7480000000.0,260000000.0,1.48,5.59,11.0
2020,5660000000.0,,1150000000.0,20.36,880000000.0,3810000000.0,10270000000.0,2560000000.0,,7700000000.0,260000000.0,1.98,3.94,8.68
2019,5160000000.0,,960000000.0,18.6,1000000000.0,3470000000.0,9830000000.0,2660000000.0,,7160000000.0,270000000.0,1.75,3.76,7.28
2018,4870000000.0,,1010000000.0,20.9,890000000.0,3500000000.0,9770000000.0,2570000000.0,,7190000000.0,270000000.0,2.16,3.29,6.21
2017,5240000000.0,,870000000.0,16.62,1220000000.0,3980000000.0,10410000000.0,2710000000.0,,7690000000.0,280000000.0,2.12,2.79,5.38
2016,4500000000.0,,680000000.0,15.28,980000000.0,3010000000.0,9280000000.0,2690000000.0,,6580000000.0,290000000.0,2.59,2.35,3.93
2015,4600000000.0,,590000000.0,12.88,880000000.0,2820000000.0,8850000000.0,2700000000.0,,6140000000.0,290000000.0,3.41,2.17,3.69
2014,4450000000.0,,620000000.0,13.99,640000000.0,2910000000.0,8920000000.0,2570000000.0,,6340000000.0,290000000.0,3.41,2.04,3.53
2013,4920000000.0,,670000000.0,13.74,1030000000.0,3740000000.0,9470000000.0,2180000000.0,,7290000000.0,290000000.0,4.25,1.72,3.87
2012,4750000000.0,,580000000.0,12.29,430000000.0,3180000000.0,8670000000.0,2060000000.0,,6610000000.0,290000000.0,5.85,1.27,2.93
2011,4350000000.0,,400000000.0,9.24,380000000.0,3250000000.0,8680000000.0,2020000000.0,,6660000000.0,290000000.0,7.04,1.17,2.52
2010,4400000000.0,,490000000.0,11.19,600000000.0,2770000000.0,8720000000.0,2160000000.0,,6550000000.0,290000000.0,5.77,1.51,3.06
2009,4900000000.0,,160000000.0,3.3,580000000.0,3850000000.0,8670000000.0,1940000000.0,,6730000000.0,290000000.0,6.47,1.3,3.3
2008,4710000000.0,,530000000.0,11.44,480000000.0,3410000000.0,8930000000.0,2020000000.0,,6900000000.0,280000000.0,7.58,1.16,
2007,4980000000.0,,620000000.0,12.6,220000000.0,1410000000.0,7700000000.0,1770000000.0,,5930000000.0,300000000.0,4.29,1.83,
2006,4450000000.0,,450000000.0,10.28,180000000.0,2750000000.0,7450000000.0,1570000000.0,,5880000000.0,300000000.0,4.31,1.94,
2005,3990000000.0,,400000000.0,10.11,500000000.0,2480000000.0,6440000000.0,1300000000.0,,5140000000.0,300000000.0,5.65,,
2004,4420000000.0,,530000000.0,11.99,930000000.0,2900000000.0,6810000000.0,950000000.0,,5850000000.0,290000000.0,6.79,,
2003,4320000000.0,,,,500000000.0,2160000000.0,6350000000.0,1080000000.0,,5260000000.0,280000000.0,8.41,,
2002,4139999999.9999995,,550000000.0,13.3,300000000.0,2750000000.0,6440000000.0,1330000000.0,,5100000000.0,280000000.0,6.33,,
2001,3380000000.0,,240000000.0,7.3,210000000.0,1880000000.0,5750000000.0,1210000000.0,,4530000000.0,280000000.0,3.96,,
2000,3450000000.0,,310000000.0,,74420000.0,2320000000.0,,,,,270000000.0,3.27,,
1999,3100000000.0,,500000000.0,,100000000.0,2370000000.0,,,,,270000000.0,0.0,,
1998,3250000000.0,,560000000.0,,130000000.0,2750000000.0,,,,,,0.0,,
1997,,,,,,,,,,,,0.0,,
1996,,,,,,,,,,,,0.0,,
1995,,,,,,,,,,,,0.0,,
