year,revenue,revenue_tag,revenue_accn,revenue_unit,revenue_linked_accn,net_income,net_income_tag,net_income_accn,net_income_unit,net_income_linked_accn,operating_cash_flow,operating_cash_flow_tag,operating_cash_flow_accn,operating_cash_flow_unit,operating_cash_flow_linked_accn,capex,capex_tag,capex_accn,capex_unit,capex_linked_accn,ebit,ebit_tag,ebit_accn,ebit_unit,ebit_linked_accn,interest_and_debt_expense,interest_and_debt_expense_tag,interest_and_debt_expense_accn,interest_and_debt_expense_unit,interest_and_debt_expense_linked_accn,tax_provision,tax_provision_tag,tax_provision_accn,tax_provision_unit,tax_provision_linked_accn,effective_tax_rate,effective_tax_rate_tag,effective_tax_rate_accn,effective_tax_rate_unit,effective_tax_rate_linked_accn,pretax_income,pretax_income_tag,pretax_income_accn,pretax_income_unit,pretax_income_linked_accn,cash,cash_tag,cash_accn,cash_unit,cash_linked_accn,short_term_investments,short_term_investments_tag,short_term_investments_accn,short_term_investments_unit,short_term_investments_linked_accn,debt_total,debt_total_tag,debt_total_accn,debt_total_unit,debt_total_linked_accn,debt_current,debt_current_tag,debt_current_accn,debt_current_unit,debt_current_linked_accn,debt_noncurrent,debt_noncurrent_tag,debt_noncurrent_accn,debt_noncurrent_unit,debt_noncurrent_linked_accn,equity,equity_tag,equity_accn,equity_unit,equity_linked_accn,cash_total,debt_computed,fcf_computed,tax_rate_computed,invested_capital_computed,nopat_computed,roic_computed,ebit_effective_for_roic,ebit_proxy_from_pretax_interest,fcf_margin_computed,fcf_conversion_computed,has_roic_inputs,has_fcf_inputs,ticker,cik,cik_source,accession_count_from_links
2025,25204000000.0,Revenues,0001104659-26-012049,USD,True,2708000000.0,NetIncomeLoss,0001104659-26-012049,USD,True,6043000000.0,NetCashProvidedByUsedInOperatingActivities,0001104659-26-012049,USD,True,465000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001104659-26-012049,USD,True,4308000000.0,OperatingIncomeLoss,0001104659-26-012049,USD,True,,,,,False,717000000.0,IncomeTaxExpenseBenefit,0001104659-26-012049,USD,True,0.209,EffectiveIncomeTaxRateContinuingOperations,0001104659-26-012049,pure,True,3426000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001104659-26-012049,USD,True,201000000.0,CashAndCashEquivalentsAtCarryingValue,0001104659-26-012049,USD,True,,,,,False,22907000000.0,DebtAndCapitalLeaseObligations,0001104659-26-012049,USD,True,711000000.0,DebtCurrent,0001104659-26-012049,USD,True,477000000.0,FinanceLeaseLiabilityNoncurrent,0001104659-26-012049,USD,True,9990000000.0,StockholdersEquity,0001104659-26-012049,USD,True,201000000.0,22907000000.0,5578000000.0,0.20928196147110334,32696000000.0,3406413309.9824867,0.10418440512547365,4308000000.0,False,0.22131407713061418,2.0598227474150663,True,True,WM,0000823768,ticker:WM,23
2024,22063000000.0,Revenues,0001558370-25-001132,USD,True,2746000000.0,NetIncomeLoss,0001558370-25-001132,USD,True,5390000000.0,NetCashProvidedByUsedInOperatingActivities,0001558370-25-001132,USD,True,620000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001558370-25-001132,USD,True,4063000000.0,OperatingIncomeLoss,0001558370-25-001132,USD,True,,,,,False,713000000.0,IncomeTaxExpenseBenefit,0001558370-25-001132,USD,True,0.2062,EffectiveIncomeTaxRateContinuingOperations,0001558370-25-001132,pure,True,3458000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001558370-25-001132,USD,True,414000000.0,CashAndCashEquivalentsAtCarryingValue,0001558370-25-001132,USD,True,,,,,False,23900000000.0,DebtAndCapitalLeaseObligations,0001558370-25-001132,USD,True,1359000000.0,DebtCurrent,0001558370-25-001132,USD,True,374000000.0,FinanceLeaseLiabilityNoncurrent,0001558370-25-001132,USD,True,8252000000.0,StockholdersEquity,0001558370-25-001132,USD,True,414000000.0,23900000000.0,4770000000.0,0.20618854829381145,31738000000.0,3225255928.2822437,0.10162127192268712,4063000000.0,False,0.21619906631011196,1.7370721048798252,True,True,WM,0000823768,ticker:WM,23
2023,20426000000.0,Revenues,0001558370-24-001049,USD,True,2304000000.0,NetIncomeLoss,0001558370-24-001049,USD,True,4719000000.0,NetCashProvidedByUsedInOperatingActivities,0001558370-24-001049,USD,True,2895000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001558370-24-001049,USD,True,3575000000.0,OperatingIncomeLoss,0001558370-24-001049,USD,True,,,,,False,745000000.0,IncomeTaxExpenseBenefit,0001558370-24-001049,USD,True,0.2466,EffectiveIncomeTaxRateContinuingOperations,0001558370-24-001049,pure,True,3021000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001558370-24-001049,USD,True,458000000.0,CashAndCashEquivalentsAtCarryingValue,0001558370-24-001049,USD,True,,,,,False,16229000000.0,DebtAndCapitalLeaseObligations,0001558370-24-001049,USD,True,334000000.0,DebtCurrent,0001558370-24-001049,USD,True,321000000.0,FinanceLeaseLiabilityNoncurrent,0001558370-24-001049,USD,True,6903000000.0,StockholdersEquity,0001558370-24-001049,USD,True,458000000.0,16229000000.0,1824000000.0,0.2466070837471036,22674000000.0,2693379675.6041045,0.11878714278927867,3575000000.0,False,0.0892979535885636,0.7916666666666666,True,True,WM,0000823768,ticker:WM,23
2022,19698000000.0,Revenues,0001558370-23-000964,USD,True,2238000000.0,NetIncomeLoss,0001558370-23-000964,USD,True,4536000000.0,NetCashProvidedByUsedInOperatingActivities,0001558370-23-000964,USD,True,2809000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001558370-23-000964,USD,True,3365000000.0,OperatingIncomeLoss,0001558370-23-000964,USD,True,,,,,False,678000000.0,IncomeTaxExpenseBenefit,0001558370-23-000964,USD,True,0.2324,EffectiveIncomeTaxRateContinuingOperations,0001558370-23-000964,pure,True,2918000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001558370-23-000964,USD,True,351000000.0,CashAndCashEquivalentsAtCarryingValue,0001558370-23-000964,USD,True,,,,,False,14984000000.0,DebtAndCapitalLeaseObligations,0001558370-23-000964,USD,True,414000000.0,DebtCurrent,0001558370-23-000964,USD,True,258000000.0,FinanceLeaseLiabilityNoncurrent,0001558370-23-000964,USD,True,6849000000.0,StockholdersEquity,0001558370-23-000964,USD,True,351000000.0,14984000000.0,1727000000.0,0.23235092529129542,21482000000.0,2583139136.394791,0.12024667798132349,3365000000.0,False,0.0876738755203574,0.7716711349419124,True,True,WM,0000823768,ticker:WM,23
2021,17931000000.0,Revenues,0001558370-22-001179,USD,True,1816000000.0,NetIncomeLoss,0001558370-22-001179,USD,True,4338000000.0,NetCashProvidedByUsedInOperatingActivities,0001558370-22-001179,USD,True,2039000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001558370-22-001179,USD,True,2965000000.0,OperatingIncomeLoss,0001558370-22-001179,USD,True,,,,,False,532000000.0,IncomeTaxExpenseBenefit,0001558370-22-001179,USD,True,0.2262,EffectiveIncomeTaxRateContinuingOperations,0001558370-22-001179,pure,True,2349000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001558370-22-001179,USD,True,118000000.0,CashAndCashEquivalentsAtCarryingValue,0001558370-22-001179,USD,True,,,,,False,13405000000.0,DebtAndCapitalLeaseObligations,0001558370-22-001179,USD,True,708000000.0,DebtCurrent,0001558370-22-001179,USD,True,291000000.0,FinanceLeaseLiabilityNoncurrent,0001558370-22-001179,USD,True,7124000000.0,StockholdersEquity,0001558370-22-001179,USD,True,118000000.0,13405000000.0,2299000000.0,0.22647935291613452,20411000000.0,2293488718.603661,0.11236532843092749,2965000000.0,False,0.1282137081032848,1.2659691629955947,True,True,WM,0000823768,ticker:WM,23
2020,15218000000.0,Revenues,0001558370-21-001348,USD,True,1496000000.0,NetIncomeLoss,0001558370-21-001348,USD,True,3403000000.0,NetCashProvidedByUsedInOperatingActivities,0001558370-21-001348,USD,True,1585000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001558370-21-001348,USD,True,2434000000.0,OperatingIncomeLoss,0001558370-21-001348,USD,True,,,,,False,397000000.0,IncomeTaxExpenseBenefit,0001558370-21-001348,USD,True,0.2094,EffectiveIncomeTaxRateContinuingOperations,0001558370-21-001348,pure,True,1893000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001558370-21-001348,USD,True,553000000.0,CashAndCashEquivalentsAtCarryingValue,0001558370-21-001348,USD,True,,,,,False,13810000000.0,DebtAndCapitalLeaseObligations,0001558370-21-001348,USD,True,551000000.0,DebtCurrent,0001558370-21-001348,USD,True,314000000.0,FinanceLeaseLiabilityNoncurrent,0001558370-21-001348,USD,True,7452000000.0,StockholdersEquity,0001558370-21-001348,USD,True,553000000.0,13810000000.0,1818000000.0,0.20972002113048072,20709000000.0,1923541468.5684102,0.0928843241377377,2434000000.0,False,0.11946379287685635,1.21524064171123,True,True,WM,0000823768,ticker:WM,23
2019,15455000000.0,Revenues,0001558370-20-000762,USD,True,1670000000.0,NetIncomeLoss,0001558370-20-000762,USD,True,3874000000.0,NetCashProvidedByUsedInOperatingActivities,0001558370-20-000762,USD,True,1815000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001558370-20-000762,USD,True,2706000000.0,OperatingIncomeLoss,0001558370-20-000762,USD,True,,,,,False,434000000.0,IncomeTaxExpenseBenefit,0001558370-20-000762,USD,True,0.2061,EffectiveIncomeTaxRateContinuingOperations,0001558370-20-000762,pure,True,2105000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001558370-20-000762,USD,True,3561000000.0,CashAndCashEquivalentsAtCarryingValue,0001558370-20-000762,USD,True,,,,,False,13498000000.0,DebtAndCapitalLeaseObligations,0001558370-20-000762,USD,True,218000000.0,DebtCurrent,0001558370-20-000762,USD,True,323000000.0,FinanceLeaseLiabilityNoncurrent,0001558370-20-000762,USD,True,7068000000.0,StockholdersEquity,0001558370-20-000762,USD,True,3561000000.0,13498000000.0,2059000000.0,0.20617577197149645,17005000000.0,2148088361.0451303,0.126320985653933,2706000000.0,False,0.13322549336784212,1.232934131736527,True,True,WM,0000823768,ticker:WM,23
2018,14914000000.0,Revenues,0001558370-19-000662,USD,True,1925000000.0,NetIncomeLoss,0001558370-19-000662,USD,True,3570000000.0,NetCashProvidedByUsedInOperatingActivities,0001558370-19-000662,USD,True,1671000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001558370-19-000662,USD,True,2789000000.0,OperatingIncomeLoss,0001558370-19-000662,USD,True,,,,,False,453000000.0,IncomeTaxExpenseBenefit,0001558370-19-000662,USD,True,0.1904,EffectiveIncomeTaxRateContinuingOperations,0001558370-19-000662,pure,True,2376000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001558370-19-000662,USD,True,61000000.0,CashAndCashEquivalentsAtCarryingValue,0001558370-19-000662,USD,True,,,,,False,10026000000.0,DebtAndCapitalLeaseObligations,0001558370-19-000662,USD,True,432000000.0,DebtCurrent,0001558370-19-000662,USD,True,,,,,False,6275000000.0,StockholdersEquity,0001558370-19-000662,USD,True,61000000.0,10026000000.0,1899000000.0,0.19065656565656566,16240000000.0,2257258838.3838387,0.13899377083644326,2789000000.0,False,0.12733002547941533,0.9864935064935065,True,True,WM,0000823768,ticker:WM,23
2017,14485000000.0,Revenues,0001558370-18-000716,USD,True,1949000000.0,NetIncomeLoss,0001558370-18-000716,USD,True,3180000000.0,NetCashProvidedByUsedInOperatingActivities,0001558370-18-000716,USD,True,1568000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001558370-18-000716,USD,True,2636000000.0,OperatingIncomeLoss,0001558370-18-000716,USD,True,,,,,False,242000000.0,IncomeTaxExpenseBenefit,0001558370-18-000716,USD,True,0.1104,EffectiveIncomeTaxRateContinuingOperations,0001558370-18-000716,pure,True,2191000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001558370-18-000716,USD,True,22000000.0,CashAndCashEquivalentsAtCarryingValue,0001558370-18-000716,USD,True,,,,,False,9491000000.0,DebtAndCapitalLeaseObligations,0001558370-18-000716,USD,True,739000000.0,DebtCurrent,0001558370-18-000716,USD,True,,,,,False,6019000000.0,StockholdersEquity,0001558370-18-000716,USD,True,22000000.0,9491000000.0,1612000000.0,0.1104518484710178,15488000000.0,2344848927.430397,0.1513977871533056,2636000000.0,False,0.1112875388332758,0.8270908158029758,True,True,WM,0000823768,ticker:WM,23
2016,13609000000.0,Revenues,0001193125-17-046480,USD,True,1182000000.0,NetIncomeLoss,0001193125-17-046480,USD,True,,,,,False,1347000000.0,PaymentsToAcquirePropertyPlantAndEquipment,0001193125-17-046480,USD,True,2296000000.0,OperatingIncomeLoss,0001193125-17-046480,USD,True,,,,,False,642000000.0,IncomeTaxExpenseBenefit,0001193125-17-046480,USD,True,0.3523,EffectiveIncomeTaxRateContinuingOperations,0001193125-17-046480,pure,True,1822000000.0,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0001193125-17-046480,USD,True,32000000.0,CashAndCashEquivalentsAtCarryingValue,0001193125-17-046480,USD,True,,,,,False,9310000000.0,DebtAndCapitalLeaseObligations,0001193125-17-046480,USD,True,417000000.0,DebtCurrent,0001193125-17-046480,USD,True,,,,,False,5297000000.0,StockholdersEquity,0001193125-17-046480,USD,True,32000000.0,9310000000.0,,0.35236004390779363,14575000000.0,1486981339.1877058,0.10202273339195236,2296000000.0,False,,,True,False,WM,0000823768,ticker:WM,23
