year,revenue,eps,net_income,operating_margin,cash,total_debt,total_assets,net_assets,pe_ratio,total_liabilities,shares_outstanding,dividend_yield,price_to_sales,price_to_book
2026,25410000000.0,6.93,4430000000.0,,,,,,,,400000000.0,1.49,3.57,
2025,25200000000.0,6.72,4330000000.0,13.59,200000000.0,22900000000.0,45830000000.0,9990000000.0,32.7,35840000000.0,400000000.0,1.5,3.49,8.81
2024,22060000000.0,6.84,4050000000.0,15.67,410000000.0,23900000000.0,44560000000.0,8250000000.0,29.3,36310000000.0,400000000.0,1.5,3.71,9.92
2023,20420000000.0,5.7,3520000000.0,14.79,450000000.0,16219999999.999998,32820000000.0,6890000000.0,30.8,25920000000.0,400000000.0,1.6,3.53,10.5
2022,19690000000.0,5.43,3290000000.0,14.81,350000000.0,14980000000.0,31360000000.0,6860000000.0,27.8,24500000000.0,400000000.0,1.72,3.27,9.38
2021,17930000000.0,4.32,2710000000.0,13.1,110000000.0,13400000000.0,29090000000.0,7120000000.0,36.6,21970000000.0,410000000.0,1.46,3.89,9.8
2020,15210000000.0,3.54,2310000000.0,12.44,550000000.0,13810000000.0,29340000000.0,7450000000.0,31.0,21890000000.0,420000000.0,1.98,3.27,6.69
2019,15450000000.0,3.94,2510000000.0,13.62,3560000000.0,13490000000.0,27740000000.0,7070000000.0,26.4,20670000000.0,420000000.0,1.97,3.13,6.84
2018,14910000000.0,4.48,2750000000.0,15.93,61000000.0,10020000000.0,22650000000.0,6270000000.0,17.8,16370000000.000002,420000000.0,2.33,2.53,6.01
2017,14480000000.0,4.46,2550000000.0,15.13,22000000.0,9490000000.0,21820000000.0,6040000000.0,17.0,15780000000.0,430000000.0,2.24,2.59,6.2
2016,13600000000.0,2.67,2190000000.0,13.39,32000000.0,9310000000.0,20850000000.0,5320000000.0,22.8,15530000000.0,440000000.0,2.69,2.3,5.89
2015,12960000000.0,1.68,1440000000.0,8.18,39000000.0,8920000000.0,20360000000.0,5360000000.0,26.6,15000000000.0,440000000.0,3.45,1.84,4.45
2014,13990000000.0,2.82,2210000000.0,12.51,1300000000.0,9430000000.0,21290000000.0,5880000000.0,14.8,15400000000.0,450000000.0,3.6,1.68,4.0
2013,13980000000.0,,970000000.0,3.53,230000000.0,10220000000.0,22600000000.0,6000000000.0,,16600000000.000002,460000000.0,4.14,1.49,3.47
2012,13640000000.0,,1790000000.0,9.55,190000000.0,9910000000.0,23090000000.0,6670000000.0,,16420000000.000002,460000000.0,5.55,1.15,2.35
2011,13370000000.0,,2000000000.0,11.36,250000000.0,9750000000.0,22560000000.0,6390000000.0,,16170000000.000002,460000000.0,5.72,1.13,2.36
2010,12510000000.0,,2100000000.0,13.03,530000000.0,8900000000.0,21470000000.0,6590000000.0,,14880000000.0,470000000.0,4.89,1.4,2.66
2009,11790000000.0,,1890000000.0,12.49,1140000000.0,8870000000.0,21150000000.0,6590000000.0,,14560000000.0,490000000.0,5.1,1.39,2.49
2008,13380000000.0,,2210000000.0,13.12,480000000.0,8320000000.0,20220000000.0,6180000000.0,,14040000000.0,490000000.0,5.05,1.18,2.55
2007,13310000000.0,,2200000000.0,12.79,340000000.0,8330000000.0,20170000000.0,6100000000.0,,14070000000.0,510000000.0,4.7,1.23,2.68
2006,13360000000.0,,2089999999.9999998,11.03,610000000.0,8310000000.000001,20600000000.0,6490000000.0,,14100000000.0,530000000.0,3.93,1.47,3.02
2005,13070000000.0,,1730000000.0,8.35,660000000.0,8680000000.0,21130000000.0,6400000000.0,,14730000000.0,550000000.0,4.44,1.28,2.62
2004,12510000000.0,,1690000000.0,9.41,420000000.0,8560000000.000001,20900000000.0,6250000000.0,,14650000000.0,580000000.0,4.35,1.36,2.73
2003,11630000000.0,,1580000000.0,9.64,210000000.0,8510000000.0,20380000000.0,5850000000.0,,14530000000.0,580000000.0,0.06,1.47,2.91
2002,11140000000.0,,1680000000.0,11.12,260000000.0,8289999999.999999,19850000000.0,5320000000.0,,14520000000.0,600000000.0,0.08,1.22,2.56
2001,11320000000.0,,1280000000.0,6.95,730000000.0,8220000000.000001,19490000000.0,5400000000.0,,14080000000.0,600000000.0,0.06,1.77,
2000,12490000000.0,,1780000000.0,,94000000.0,8480000000.0,,,,,620000000.0,0.06,,
1999,13120000000.0,,1330000000.0,,180000000.0,11490000000.0,,,,,610000000.0,0.1,,
1998,12920000000.0,,2540000000.0,,87000000.0,11730000000.0,,,,,590000000.0,0.08,,
1997,4960000000.0,,910000000.0,,180000000.0,9470000000.0,,,,,160000000.0,0.0,,
1996,1400000000.0,,320000000.0,,26100000.0,1500000000.0,,,,,170000000.0,0.0,,
1995,,,,,,,,,,,,0.0,,
1994,,,,,,,,,,,,0.0,,
1993,,,,,,,,,,,,0.0,,
1992,,,,,,,,,,,,0.0,,
1991,,,,,,,,,,,,0.0,,
1990,,,,,,,,,,,,0.0,,
1989,,,,,,,,,,,,0.0,,
1988,,,,,,,,,,,,0.0,,
